# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.381
metadata : {}


# id : NWRW1800000030.381.1.1
[수도권Ⅲ] 과잉행동장애 검사 초교 4학년까지 확대

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
용인교육지원청은	용인교육지원청/NNP+은/JX
13일	13/SN+일/NNB
"4월부터	"/SS+4/SN+월/NNB+부터/JX
학생	학생/NNG
정서·행동발달	정서/NNG+·/SP+행동/NNG+발달/NNG
검사를	검사/NNG+를/JKO
확대	확대/NNG
실시해	실시/NNG+하/XSV+아/EC
ADHD와	ADHD/SL+와/JC
소아우울증	소아/NNG+우울증/NNG
고위험군	고위험군/NNG
학생을	학생/NNG+을/JKO
조기에	조기/NNG+에/JKB
발견하고	발견/NNG+하/XSV+고/EC
치료를	치료/NNG+를/JKO
돕겠다"고	돕/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.381.5.1
학생 정서·행동발달 검사는 작년 초등학교 1학년과 교육과학기술부 지정 학교 9138명의 학생을 대상으로 시행되고 있으나 앞으로 초등학교 1·4학년으로 대상 범위를 확대해 96개 초등학교와 4개 교육과학기술부 지정 학교에서 실시한다는 것이다.

학생	학생/NNG
정서·행동발달	정서/NNG+·/SP+행동/NNG+발달/NNG
검사는	검사/NNG+는/JX
작년	작년/NNG
초등학교	초등학교/NNG
1학년과	1/SN+학년/NNG+과/JC
교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
지정	지정/NNG
학교	학교/NNG
9138명의	9138/SN+명/NNB+의/JKG
학생을	학생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
시행되고	시행/NNG+되/XSV+고/EC
있으나	있/VX+으나/EC
앞으로	앞/NNG+으로/JKB
1·4학년으로	1/SN+·/SP+4/SN+학년/NNG+으로/JKB
대상	대상/NNG
범위를	범위/NNG+를/JKO
확대해	확대/NNG+하/XSV+아/EC
96개	96/SN+개/NNB
초등학교와	초등학교/NNG+와/JC
4개	4/SN+개/NNB
학교에서	학교/NNG+에서/JKB
실시한다는	실시/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.381.6.1
우선 일선 학교에서 1차 검사로 선별된 학생들을 대상으로 정신보건센터에서 심층 평가를 하고, 치료 대상 아동으로 선정되면 심리검사와 치료비 지원, 센터 등록을 통한 맞춤형 사례 관리 서비스를 제공한다는 방침이다.

우선	우선/MAG
일선	일선/NNG
학교에서	학교/NNG+에서/JKB
1차	1/SN+차/NNB
검사로	검사/NNG+로/JKB
선별된	선별/NNG+되/XSV+ㄴ/ETM
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
정신보건센터에서	정신/NNG+보건/NNG+센터/NNG+에서/JKB
심층	심층/NNG
평가를	평가/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
치료	치료/NNG
대상	대상/NNG
아동으로	아동/NNG+으로/JKB
선정되면	선정/NNG+되/XSV+면/EC
심리검사와	심리/NNG+검사/NNG+와/JC
치료비	치료비/NNG
지원,	지원/NNG+,/SP
센터	센터/NNG
등록을	등록/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
사례	사례/NNG
관리	관리/NNG
서비스를	서비스/NNG+를/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.381.6.2
또 학교 부적응, 또래 관계의 어려움, 우울 등 정서와 행동문제 등이 있는 학생들을 대상으로 학부모 또는 담임교사의 추천을 받아 집단 상담 프로그램인 'For You' 프로그램도 5월부터 운영할 계획이다.

또	또/MAG
학교	학교/NNG
부적응,	부/XPN+적응/NNG+,/SP
또래	또래/NNG
관계의	관계/NNG+의/JKG
어려움,	어려움/NNG+,/SP
우울	우울/NNG
등	등/NNB
정서와	정서/NNG+와/JC
행동문제	행동/NNG+문제/NNG
등이	등/NNB+이/JKS
있는	있/VA+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
학부모	학부모/NNG
또는	또는/MAG
담임교사의	담임/NNG+교사/NNG+의/JKG
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
집단	집단/NNG
상담	상담/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'For	'/SS+For/SL
You'	You/SL+'/SS
프로그램도	프로그램/NNG+도/JX
5월부터	5/SN+월/NNB+부터/JX
운영할	운영/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.381.7.1
정신보건센터 관계자는 "학생들이 어린 시절부터 정신적·신체적으로 건강하게 성장할 수 있도록 적극적으로 사업을 실시할 계획"이라고 밝혔다.

정신보건센터	정신/NNG+보건/NNG+센터/NNG
관계자는	관계자/NNG+는/JX
"학생들이	"/SS+학생/NNG+들/XSN+이/JKS
어린	어리/VA+ㄴ/ETM
시절부터	시절/NNG+부터/JX
정신적·신체적으로	정신/NNG+적/XSN+·/SP+신체/NNG+적/XSN+으로/JKB
건강하게	건강/NNG+하/XSA+게/EC
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
사업을	사업/NNG+을/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


