# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.215
metadata : {}


# id : NWRW1800000041.215.1.1
“獨 가전전시회 기간 매장 세탁기 파손”… 삼성전자, LG전자 사장 檢 수사의뢰

“獨	“/SS+獨/SH
TV를	TV/SL+를/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이	이/NP
중	중/NNB
한	한/MMN
대를	대/NNB+를/JKO
사장이	사장/NNG+이/JKS
손상시키는	손상/NNG+시키/XSV+는/ETM
모습이	모습/NNG+이/JKS
찍혔다는	찍히/VV+었/EP+다는/ETM
것이	것/NNB+이/JKS
삼성전자	삼성전자/NNP
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.215.5.2
삼성전자 측은 “당시 7, 8명의 LG전자 관계자들과 함께 있었던 조 사장이 크리스탈 블루 세탁기 도어를 연 뒤 힘껏 위에서 아래쪽으로 눌렀다”며 “이 과정에서 도어의 힌지(hinge·경첩) 부분이 손상돼 제대로 닫히지 않게 됐다”고 주장했다.

삼성전자	삼성전자/NNP
측은	측/NNB+은/JX
“당시	“/SS+당시/NNG
7,	7/SN+,/SP
8명의	8/SN+명/NNB+의/JKG
LG전자	LG전자/NNP
관계자들과	관계자/NNG+들/XSN+과/JKB
함께	함께/MAG
있었던	있/VA+었/EP+던/ETM
조	조/NNP
사장이	사장/NNG+이/JKS
크리스탈	크리스탈/NNP
블루	블루/NNP
세탁기	세탁기/NNG
도어를	도어/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
힘껏	힘껏/MAG
위에서	위/NNG+에서/JKB
아래쪽으로	아래쪽/NNG+으로/JKB
눌렀다”며	누르/VV+었/EP+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
과정에서	과정/NNG+에서/JKB
도어의	도어/NNG+의/JKG
힌지(hinge·경첩)	힌지/NNG+(/SS+hinge/SL+·/SP+경첩/NNG+)/SS
부분이	부분/NNG+이/JKS
손상돼	손상/NNG+되/XSV+어/EC
제대로	제대로/MAG
닫히지	닫히/VV+지/EC
않게	않/VX+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.6.1
삼성전자 측은 IFA 2014 기간 중 국가적 위신과 사회적 파장을 고려해 현지에서는 사안을 확대하지 않았다.

삼성전자	삼성전자/NNP
측은	측/NNB+은/JX
IFA	IFA/SL
2014	2014/SN
기간	기간/NNG
중	중/NNB
국가적	국가/NNG+적/XSN
위신과	위신/NNG+과/JC
사회적	사회/NNG+적/XSN
파장을	파장/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
현지에서는	현지/NNG+에서/JKB+는/JX
사안을	사안/NNG+을/JKO
확대하지	확대/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.215.6.2
하지만 LG전자가 지속적으로 크리스탈 블루 세탁기 품질에 문제가 있다는 식으로 해명해 수사 의뢰를 결정했다고 강조했다.

하지만	하지만/MAJ
LG전자가	LG전자/NNP+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
크리스탈	크리스탈/NNP
블루	블루/NNP
세탁기	세탁기/NNG
품질에	품질/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
식으로	식/NNB+으로/JKB
해명해	해명/NNG+하/XSV+아/EC
수사	수사/NNG
의뢰를	의뢰/NNG+를/JKO
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.7.1
이에 대해 LG전자는 “삼성전자가 제품에 문제가 있는 것을 고의적으로 손상시킨 것으로 몰아가고 있다”고 반박하고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
LG전자는	LG전자/NNP+는/JX
“삼성전자가	“/SS+삼성전자/NNP+가/JKS
제품에	제품/NNG+에/JKB
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
것을	것/NNB+을/JKO
고의적으로	고의/NNG+적/XSN+으로/JKB
손상시킨	손상/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
몰아가고	몰아가/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
반박하고	반박/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.215.7.2
세탁기 도어를 열고 닫게 하는 힌지가 삼성전자 제품만 약하게 붙어 있어 조금만 힘을 실어서 눌러도 파손될 수밖에 없었다는 것이다.

세탁기	세탁기/NNG
도어를	도어/NNG+를/JKO
열고	열/VV+고/EC
닫게	닫/VV+게/EC
하는	하/VX+는/ETM
힌지가	힌지/NNG+가/JKS
삼성전자	삼성전자/NNP
제품만	제품/NNG+만/JX
약하게	약하/VA+게/EC
붙어	붙/VV+어/EC
있어	있/VX+어/EC
조금만	조금/NNG+만/JX
힘을	힘/NNG+을/JKO
실어서	싣/VV+어서/EC
눌러도	누르/VV+어도/EC
파손될	파손/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다는	없/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.215.7.3
LG전자는 이날 내놓은 해명자료를 통해 “다른 기업 세탁기들과 달리 유독 특정 회사(삼성전자)의 해당 모델(크리스탈 블루 세탁기)은 세탁기 본체와 도어를 연결하는 힌지 부분이 상대적으로 취약했다”고 주장했다.

LG전자는	LG전자/NNP+는/JX
이날	이날/NNG
내놓은	내놓/VV+은/ETM
해명자료를	해명/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“다른	“/SS+다른/MMD
기업	기업/NNG
세탁기들과	세탁기/NNG+들/XSN+과/JKB
달리	달리/MAG
유독	유독/MAG
특정	특정/NNG
회사(삼성전자)의	회사/NNG+(/SS+삼성전자/NNP+)/SS+의/JKG
해당	해당/NNG
모델(크리스탈	모델/NNG+(/SS+크리스탈/NNP
블루	블루/NNP
세탁기)은	세탁기/NNG+)/SS+은/JX
세탁기	세탁기/NNG
본체와	본체/NNG+와/JC
도어를	도어/NNG+를/JKO
연결하는	연결/NNG+하/XSV+는/ETM
힌지	힌지/NNG
부분이	부분/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
취약했다”고	취약/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.8.1
LG전자 관계자는 “다른 회사 제품에 대해서도 모두 살펴봤는데 삼성전자 제품만 일부러 손상시켰다는 건 말이 안 된다”며 “현재까지 독일 경찰이나 매장 측으로부터도 어떤 요구도 없는 상태”라고 말했다.

LG전자	LG전자/NNP
관계자는	관계자/NNG+는/JX
“다른	“/SS+다른/MMD
회사	회사/NNG
제품에	제품/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
모두	모두/MAG
살펴봤는데	살펴보/VV+았/EP+는데/EC
삼성전자	삼성전자/NNP
제품만	제품/NNG+만/JX
일부러	일부러/MAG
손상시켰다는	손상/NNG+시키/XSV+었/EP+다는/ETM
건	거/NNB+ㄴ/JX
말이	말/NNG+이/JKC
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“현재까지	“/SS+현재/NNG+까지/JX
독일	독일/NNP
경찰이나	경찰/NNG+이나/JC
매장	매장/NNG
측으로부터도	측/NNB+으로부터/JKB+도/JX
어떤	어떤/MMD
요구도	요구/NNG+도/JX
없는	없/VA+는/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.8.2
LG전자는 검찰 조사가 시작되면 수사에 적극 협조할 방침이다.

LG전자는	LG전자/NNP+는/JX
검찰	검찰/NNG
조사가	조사/NNG+가/JKS
시작되면	시작/NNG+되/XSV+면/EC
수사에	수사/NNG+에/JKB
적극	적극/NNG
협조할	협조/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


