# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.176
metadata : {}


# id : NWRW1800000024.176.1.1
녹색바람 타고 친환경제품 잘나가네~

녹색바람	녹색/NNG+바람/NNG


# id : NWRW1800000024.176.5.1
친환경 제품을 사면 일정 금액을 적립해 주는 ‘마일리지 제도’는 유통업계에서 널리 퍼지고 있는 친환경 마케팅이다.

친환경	친/XPN+환경/NNG
제품을	제품/NNG+을/JKO
사면	사/VV+면/EC
일정	일정/NNG
금액을	금액/NNG+을/JKO
적립해	적립/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
‘마일리지	‘/SS+마일리지/NNG
제도’는	제도/NNG+’/SS+는/JX
유통업계에서	유통업/NNG+계/XSN+에서/JKB
널리	널리/MAG
퍼지고	퍼지/VV+고/EC
있는	있/VX+는/ETM
마케팅이다.	마케팅/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.176.5.2
환경부와 함께 29일부터 다음달 10일까지 저탄소 녹색소비 캠페인 ‘2009 그린 데이! 그린 페스티벌’을 진행하고 있는 홈플러스는 자전거를 타고 오는 소비자에게 올해 말까지 50원의 ‘그린 마일리지’를 적립해 준다.

환경부와	환경부/NNG+와/JKB
함께	함께/MAG
29일부터	29/SN+일/NNB+부터/JX
다음달	다음/NNG+달/NNG
10일까지	10/SN+일/NNB+까지/JX
저탄소	저/XPN+탄소/NNG
녹색소비	녹색/NNG+소비/NNG
캠페인	캠페인/NNG
‘2009	‘/SS+2009/SN
그린	그린/NNG
데이!	데이/NNG+!/SF
페스티벌’을	페스티벌/NNG+’/SS+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
홈플러스는	홈플러스/NNP+는/JX
자전거를	자전거/NNG+를/JKO
타고	타/VV+고/EC
오는	오/VV+는/ETM
소비자에게	소비자/NNG+에게/JKB
올해	올해/NNG
말까지	말/NNB+까지/JX
50원의	50/SN+원/NNB+의/JKG
‘그린	‘/SS+그린/NNG
마일리지’를	마일리지/NNG+’/SS+를/JKO
적립해	적립/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.176.5.3
또 탄소 배출을 줄이기 위해 포장재를 줄인 상품을 사도 그린 마일리지가 적립된다.

또	또/MAG
탄소	탄소/NNG
배출을	배출/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
포장재를	포장재/NNG+를/JKO
줄인	줄이/VV+ㄴ/ETM
상품을	상품/NNG+을/JKO
사도	사/VV+아도/EC
그린	그린/NNG
마일리지가	마일리지/NNG+가/JKS
적립된다.	적립/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.176.5.4
롯데백화점은 에코숍에서 1000원어치의 물건을 사면 ‘이산화탄소 마일리지’를 10포인트씩 적립해 준다.

롯데백화점은	롯데백화점/NNP+은/JX
에코숍에서	에코숍/NNG+에서/JKB
1000원어치의	1000/SN+원/NNB+어치/XSN+의/JKG
물건을	물건/NNG+을/JKO
사면	사/VV+면/EC
‘이산화탄소	‘/SS+이산화/NNG+탄소/NNG
마일리지’를	마일리지/NNG+’/SS+를/JKO
10포인트씩	10/SN+포인트/NNG+씩/XSN
적립해	적립/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.176.5.5
적립한 포인트는 다시 에코숍에서 현금처럼 쓸 수 있다.

적립한	적립/NNG+하/XSV+ㄴ/ETM
포인트는	포인트/NNG+는/JX
다시	다시/MAG
에코숍에서	에코숍/NNG+에서/JKB
현금처럼	현금/NNG+처럼/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.176.6.1
소비자들의 ‘친환경 소비’에 대한 인식 수준을 끌어올리기 위해 관련 정보를 모아 놓은 온라인 공간도 있다.

소비자들의	소비자/NNG+들/XSN+의/JKG
‘친환경	‘/SS+친/XPN+환경/NNG
소비’에	소비/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
인식	인식/NNG
수준을	수준/NNG+을/JKO
끌어올리기	끌어올리/VV+기/ETN
위해	위하/VV+아/EC
관련	관련/NNG
정보를	정보/NNG+를/JKO
모아	모으/VV+아/EC
놓은	놓/VX+은/ETM
온라인	온라인/NNG
공간도	공간/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.176.6.2
롯데백화점은 친환경 정보 포털사이트인 ‘롯데 그린 파트너십’(www.lottegreen.co.kr)을 운영중이다.

롯데백화점은	롯데백화점/NNP+은/JX
친환경	친/XPN+환경/NNG
정보	정보/NNG
포털사이트인	포털/NNG+사이트/NNG+이/VCP+ㄴ/ETM
‘롯데	‘/SS+롯데/NNP
그린	그린/NNG
파트너십’(www.lottegreen.co.kr)을	파트너십/NNG+’/SS+(/SS+www/SL+./SP+lottegreen/SL+./SP+co/SL+./SP+kr/SL+)/SS+을/JKO
운영중이다.	운영/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.176.6.3
이곳에는 친환경 제품에 대한 설명뿐 아니라, 친환경 생활이나 패션과 관련된 정보를 얻을 수 있다.

이곳에는	이곳/NP+에/JKB+는/JX
친환경	친/XPN+환경/NNG
제품에	제품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명뿐	설명/NNG+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
생활이나	생활/NNG+이나/JC
패션과	패션/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
정보를	정보/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.176.6.4
롯데백화점 정승인 마케팅부문장은 “이제 친환경이라는 화두는 기업에는 선택이 아닌 필수 마케팅 요소가 되고 있다”고 말했다.

롯데백화점	롯데백화점/NNP
정승인	정승인/NNP
마케팅부문장은	마케팅/NNG+부문장/NNG+은/JX
“이제	“/SS+이제/MAG
친환경이라는	친/XPN+환경/NNG+이/VCP+라는/ETM
화두는	화두/NNG+는/JX
기업에는	기업/NNG+에/JKB+는/JX
선택이	선택/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
필수	필수/NNG
마케팅	마케팅/NNG
요소가	요소/NNG+가/JKC
되고	되/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


