# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.179
metadata : {}


# id : NWRW1800000046.179.1.1
위안부·천안함·연평도 포격사건, 高校 한국사 교과서에 서술 강화

위안부·천안함·연평도	위안부/NNG+·/SP+천안함/NNP+·/SP+연평도/NNP
준비했다는	준비/NNG+하/XSV+았/EP+다는/ETM
데	데/NNB
유의해	유의/NNG+하/XSV+아/EC
내용을	내용/NNG+을/JKO
구성하라'고	구성/NNG+하/XSV+라/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.8.1
이 시안은 또 고구려까지 자국의 지방 정권으로 보려는 중국의 '동북공정(東北工程)'에 맞서 학생들이 올바른 역사관을 갖게 하기 위해 '고구려와 수, 고구려와 당이 전쟁할 당시 동아시아 국제 정세와 그 배경 등을 이해할 수 있도록 서술하라'고 했다.

이	이/MMD
시안은	시안/NNG+은/JX
또	또/MAG
고구려까지	고구려/NNP+까지/JX
자국의	자국/NNG+의/JKG
지방	지방/NNG
정권으로	정권/NNG+으로/JKB
보려는	보/VV+려는/ETM
중국의	중국/NNP+의/JKG
'동북공정(東北工程)'에	'/SS+동북/NNG+공정/NNG+(/SS+東北工程/SH+)/SS+'/SS+에/JKB
맞서	맞서/VV+어/EC
학생들이	학생/NNG+들/XSN+이/JKS
올바른	올바르/VA+ㄴ/ETM
역사관을	역사관/NNG+을/JKO
갖게	갖/VV+게/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
'고구려와	'/SS+고구려/NNP+와/JC
수,	수/NNP+,/SP
고구려와	고구려/NNP+와/JC
당이	당/NNP+이/JKS
전쟁할	전쟁/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
동아시아	동아시아/NNP
국제	국제/NNG
정세와	정세/NNG+와/JKB
그	그/MMD
배경	배경/NNG
등을	등/NNB+을/JKO
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
서술하라'고	서술/NNG+하/XSV+라/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.9.1
교육부 관계자는 "이번 시안은 한국사 교과서 검정(檢定) 체제의 국정(國定) 전환 여부와는 별개로 정해지는 것"이라며 "시안은 공청회 의견 등을 수렴해 이달 말 확정될 예정"이라고 말했다.

교육부	교육부/NNG
관계자는	관계자/NNG+는/JX
"이번	"/SS+이번/NNG
시안은	시안/NNG+은/JX
한국사	한국사/NNG
교과서	교과서/NNG
검정(檢定)	검정/NNG+(/SS+檢定/SH+)/SS
체제의	체제/NNG+의/JKG
국정(國定)	국정/NNG+(/SS+國定/SH+)/SS
전환	전환/NNG
여부와는	여부/NNG+와/JKB+는/JX
별개로	별개/NNG+로/JKB
정해지는	정하/VV+아/EC+지/VX+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"시안은	"/SS+시안/NNG+은/JX
공청회	공청회/NNG
의견	의견/NNG
등을	등/NNB+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
이달	이달/NNG
말	말/NNB
확정될	확정/NNG+되/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.10.1
한편 이날 공청회에서 한국사 집필기준 연구진 5명은 "만약 역사 교과서가 국정제로 환원되고 내용도 학계의 정설을 담지 못할 경우 역사 교육이 감내해야 할 피해는 만만치 않을 것"이라며 국정화 반대를 선언하기도 했다.

한편	한편/MAG
이날	이날/NNG
공청회에서	공청회/NNG+에서/JKB
한국사	한국사/NNG
집필기준	집필/NNG+기준/NNG
연구진	연구진/NNG
5명은	5/SN+명/NNB+은/JX
"만약	"/SS+만약/MAG
역사	역사/NNG
교과서가	교과서/NNG+가/JKS
국정제로	국정/NNG+제/XSN+로/JKB
환원되고	환원/NNG+되/XSV+고/EC
내용도	내용/NNG+도/JX
학계의	학계/NNG+의/JKG
정설을	정설/NNG+을/JKO
담지	담/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
교육이	교육/NNG+이/JKS
감내해야	감내/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
피해는	피해/NNG+는/JX
만만치	만만하/VA+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
국정화	국정/NNG+화/XSN
반대를	반대/NNG+를/JKO
선언하기도	선언/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


