# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.246
metadata : {}


# id : NWRW1800000052.246.1.1
“박 대통령 올케 서향희, 철거왕 이금열 사건에 개입”

“박	“/SS+박/NNP
5년을	5/SN+년/NNB+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
복역	복역/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.246.10.1
서 변호사가 사건 수임만이 아니라 수사와 재판 과정에서 당시 김수남 지검장을 만났다는 이야기도 나왔다.

서	서/NNP
변호사가	변호사/NNG+가/JKS
사건	사건/NNG
수임만이	수임/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
수사와	수사/NNG+와/JC
재판	재판/NNG
과정에서	과정/NNG+에서/JKB
당시	당시/NNG
김수남	김수남/NNP
지검장을	지검장/NNG+을/JKO
만났다는	만나/VV+았/EP+다는/ETM
이야기도	이야기/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.10.2
박순석 회장의 한 측근은 “서 변호사가 자기가 수원지검장을 두세 번 만났다고, 사건을 부탁했다고 말했다”고 전했다.

박순석	박순석/NNP
회장의	회장/NNG+의/JKG
한	한/MMN
측근은	측근/NNG+은/JX
“서	“/SS+서/NNP
변호사가	변호사/NNG+가/JKS
자기가	자기/NP+가/JKS
수원지검장을	수원지검장/NNG+을/JKO
두세	두세/MMN
번	번/NNB
만났다고,	만나/VV+았/EP+다고/EC+,/SP
사건을	사건/NNG+을/JKO
부탁했다고	부탁/NNG+하/XSV+았/EP+다고/EC
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.10.3
이에 서 변호사는 <뉴스타파>에 이메일로 “이 사건(이금열 회장 사건)과 관련하여 본인이 수원지검장을 만났다거나 하는 활동을 한 사실이 없다”고 부인했고, 서 변호사가 소개해준 법무법인 대표도 이러한 사실이 없다고 말했다.

이에	이/NP+에/JKB
서	서/NNP
변호사는	변호사/NNG+는/JX
<뉴스타파>에	</SS+뉴스타파/NNP+>/SS+에/JKB
이메일로	이메일/NNG+로/JKB
“이	“/SS+이/MMD
사건(이금열	사건/NNG+(/SS+이금열/NNP
회장	회장/NNG
사건)과	사건/NNG+)/SS+과/JKB
관련하여	관련/NNG+하/XSV+아/EC
본인이	본인/NNG+이/JKS
수원지검장을	수원지검장/NNG+을/JKO
만났다거나	만나/VV+았/EP+다/EF+거나/JX
하는	하/VV+는/ETM
활동을	활동/NNG+을/JKO
한	하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
부인했고,	부인/NNG+하/XSV+았/EP+고/EC+,/SP
변호사가	변호사/NNG+가/JKS
소개해준	소개/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
대표도	대표/NNG+도/JX
이러한	이러하/VA+ㄴ/ETM
없다고	없/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.10.4
대검 관계자는 이날 <한겨레>에 “총장은 수원지검장 당시 서 변호사를 만난 적이 없다”고 밝혔다.

대검	대검/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
“총장은	“/SS+총장/NNG+은/JX
수원지검장	수원지검장/NNG
당시	당시/NNG
서	서/NNP
변호사를	변호사/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.246.10.5
또한 서 변호사는 변호사협회에 휴업계를 낸 상태로 변호사법을 위반했다는 의혹도 제기됐다.

또한	또한/MAG
서	서/NNP
변호사는	변호사/NNG+는/JX
변호사협회에	변호사협회/NNP+에/JKB
휴업계를	휴업계/NNG+를/JKO
낸	내/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
변호사법을	변호사법/NNG+을/JKO
위반했다는	위반/NNG+하/XSV+았/EP+다는/ETM
의혹도	의혹/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.246.11.1
당시 청와대 민정수석실에서 서 변호사가 박순석 회장을 만나지 못하게 해야 한다는 경고를 했던 사실도 확인됐다.

당시	당시/NNG
청와대	청와대/NNP
민정수석실에서	민정/NNG+수석실/NNG+에서/JKB
서	서/NNP
변호사가	변호사/NNG+가/JKS
박순석	박순석/NNP
회장을	회장/NNG+을/JKO
만나지	만나/VV+지/EC
못하게	못하/VX+게/EC
해야	하/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
경고를	경고/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
사실도	사실/NNG+도/JX
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.246.11.2
2014년 말에 불거진 이른바 ‘정윤회 문건 유출 사건’ 관계자는 당시 청와대에서 유출된 문건 중 2013년 6월에 작성된 서향희 관련 문건도 있었고, “서 변호사가 박순석 회장과 공동으로 무슨 사업을 준비하면서 자주 만남을 갖고 있는데, 매우 부적절하다는 내용이 들어 있었다.

2014년	2014/SN+년/NNB
말에	말/NNB+에/JKB
불거진	불거지/VV+ㄴ/ETM
이른바	이른바/MAG
‘정윤회	‘/SS+정윤회/NNP
문건	문건/NNG
유출	유출/NNG
사건’	사건/NNG+’/SS
관계자는	관계자/NNG+는/JX
당시	당시/NNG
청와대에서	청와대/NNP+에서/JKB
유출된	유출/NNG+되/XSV+ㄴ/ETM
중	중/NNB
2013년	2013/SN+년/NNB
6월에	6/SN+월/NNB+에/JKB
작성된	작성/NNG+되/XSV+ㄴ/ETM
서향희	서향희/NNP
관련	관련/NNG
문건도	문건/NNG+도/JX
있었고,	있/VA+었/EP+고/EC+,/SP
“서	“/SS+서/NNP
변호사가	변호사/NNG+가/JKS
박순석	박순석/NNP
회장과	회장/NNG+과/JKB
공동으로	공동/NNG+으로/JKB
무슨	무슨/MMD
사업을	사업/NNG+을/JKO
준비하면서	준비/NNG+하/XSV+면서/EC
자주	자주/MAG
만남을	만남/NNG+을/JKO
갖고	갖/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
매우	매우/MAG
부적절하다는	부적절하/VA+다는/ETM
내용이	내용/NNG+이/JKS
들어	들/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.246.11.3
박지만 회장에게 말해 두 사람이 더 이상 만나지 못하게 해야 한다는 내용이었다”고 <뉴스타파>에 밝혔다.

박지만	박지만/NNP
회장에게	회장/NNG+에게/JKB
말해	말/NNG+하/XSV+아/EC
두	두/MMN
사람이	사람/NNG+이/JKS
더	더/MAG
이상	이상/NNG
만나지	만나/VV+지/EC
못하게	못하/VX+게/EC
해야	하/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
내용이었다”고	내용/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
<뉴스타파>에	</SS+뉴스타파/NNP+>/SS+에/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.246.11.4
서 변호사도 이메일에서 이런 사실을 시인했다.

서	서/NNP
변호사도	변호사/NNG+도/JX
이메일에서	이메일/NNG+에서/JKB
이런	이런/MMD
사실을	사실/NNG+을/JKO
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.246.12.1
우병우 현 청와대 민정수석은 2014년 말 민정비서관으로서 정윤회 사건의 처리를 맡았고 다음해 2월 민정수석으로 발탁돼, 이런 내용들을 알고 있었을 가능성이 제기된다.

우병우	우병우/NNP
현	현/MMD
청와대	청와대/NNP
민정수석은	민정/NNG+수석/NNG+은/JX
2014년	2014/SN+년/NNB
말	말/NNB
민정비서관으로서	민정/NNG+비서관/NNG+으로서/JKB
정윤회	정윤회/NNP
사건의	사건/NNG+의/JKG
처리를	처리/NNG+를/JKO
맡았고	맡/VV+았/EP+고/EC
다음해	다음/NNG+해/NNG
2월	2/SN+월/NNB
민정수석으로	민정/NNG+수석/NNG+으로/JKB
발탁돼,	발탁/NNG+되/XSV+어/EC+,/SP
이런	이런/MMD
내용들을	내용/NNG+들/XSN+을/JKO
알고	알/VV+고/EC
있었을	있/VX+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


