# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.255
metadata : {}


# id : NWRW1800000054.255.1.1
['2017 프로야구' 감독·해설위원 14명이 답했다] 은퇴예고 이승엽 홈런 몇개 칠까

['2017	[/SS+'/SS+2017/SN
타구를	타구/NNG+를/JKO
담장	담장/NNG
밖으로	밖/NNG+으로/JKB
넘겨	넘기/VV+어/EC
이	이/MMD
부문	부문/NNG
공동	공동/NNG
8위에	8/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.4.5
올해는 몇 개를 넘길까.

올해는	올해/NNG+는/JX
몇	몇/NR
개를	개/NNB+를/JKO
넘길까.	넘기/VV+ㄹ까/EF+./SF


# id : NWRW1800000054.255.4.6
본지 설문에 응한 14명(현역 감독 9명, 해설위원 5명)의 야구 전문가 중 3명이 지난해보다 더 많은 30개 이상의 홈런을 예상했다.

본지	본지/NNG
설문에	설문/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
14명(현역	14/SN+명/NNB+(/SS+현역/NNG
감독	감독/NNG
9명,	9/SN+명/NNB+,/SP
해설위원	해설/NNG+위원/NNG
5명)의	5/SN+명/NNB+)/SS+의/JKG
야구	야구/NNG
전문가	전문가/NNG
중	중/NNB
3명이	3/SN+명/NNB+이/JKS
지난해보다	지난해/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
30개	30/SN+개/NNB
이상의	이상/NNG+의/JKG
홈런을	홈런/NNG+을/JKO
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.4.7
25개 이상이 2명, 20개 이상이 9명이었다.

25개	25/SN+개/NNB
이상이	이상/NNG+이/JKS
2명,	2/SN+명/NNB+,/SP
20개	20/SN+개/NNB
9명이었다.	9/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.255.5.1
홈런 30개 이상을 점친 민훈기 SPO TV 해설위원은 "캠프 때 보니 타격폼을 조금 고쳤다. 워낙 성실한 선수이고, 홈구장 라이온즈 파크의 좌우 펜스 거리가 짧은 점을 감안하면 그 정도는 넘길 수 있을 것 같다"고 전망했다.

홈런	홈런/NNG
30개	30/SN+개/NNB
이상을	이상/NNG+을/JKO
점친	점치/VV+ㄴ/ETM
민훈기	민훈기/NNP
SPO	SPO/SL
TV	TV/SL
해설위원은	해설/NNG+위원/NNG+은/JX
"캠프	"/SS+캠프/NNG
때	때/NNG
보니	보/VV+니/EC
타격폼을	타격/NNG+폼/NNG+을/JKO
조금	조금/MAG
고쳤다.	고치/VV+었/EP+다/EF+./SF
워낙	워낙/MAG
성실한	성실/NNG+하/XSA+ㄴ/ETM
선수이고,	선수/NNG+이/VCP+고/EC+,/SP
홈구장	홈구장/NNG
라이온즈	라이온즈/NNP
파크의	파크/NNP+의/JKG
좌우	좌우/NNG
펜스	펜스/NNG
거리가	거리/NNG+가/JKS
짧은	짧/VA+은/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
그	그/MMD
정도는	정도/NNG+는/JX
넘길	넘기/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.5.2
안치용 해설위원도 "메이저리그에서도 은퇴를 예고한 선수가 놀라운 성적을 내곤 한다"며 "이승엽은 실력이 모자라 물러나는 게 아니기 때문에 홈런 30개는 충분히 때릴 것"이라고 했다.

안치용	안치용/NNP
해설위원도	해설/NNG+위원/NNG+도/JX
"메이저리그에서도	"/SS+메이저리그/NNG+에서/JKB+도/JX
은퇴를	은퇴/NNG+를/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
선수가	선수/NNG+가/JKS
놀라운	놀랍/VA+ㄴ/ETM
성적을	성적/NNG+을/JKO
내곤	내/VV+곤/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이승엽은	"/SS+이승엽/NNP+은/JX
실력이	실력/NNG+이/JKS
모자라	모자라/VV+아/EC
물러나는	물러나/VV+는/ETM
게	거/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
홈런	홈런/NNG
30개는	30/SN+개/NNB+는/JX
충분히	충분히/MAG
때릴	때리/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.6.1
'25개 이상'을 점친 김선우 해설위원은 "마지막 시즌인 만큼 타율보다 홈런처럼 의미 있는 장면을 팬들에게 보여주려고 할 것"이라며 "여기엔 내 개인적인 희망도 섞여 있다"고 했다.

'25개	'/SS+25/SN+개/NNB
이상'을	이상/NNG+'/SS+을/JKO
점친	점치/VV+ㄴ/ETM
김선우	김선우/NNP
해설위원은	해설/NNG+위원/NNG+은/JX
"마지막	"/SS+마지막/NNG
시즌인	시즌/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
타율보다	타율/NNG+보다/JKB
홈런처럼	홈런/NNG+처럼/JKB
의미	의미/NNG
있는	있/VA+는/ETM
장면을	장면/NNG+을/JKO
팬들에게	팬/NNG+들/XSN+에게/JKB
보여주려고	보이/VV+어/EC+주/VX+려고/EC
할	하/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"여기엔	"/SS+여기/NP+에/JKB+ㄴ/JX
내	나/NP+의/JKG
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
희망도	희망/NNG+도/JX
섞여	섞이/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.6.2
실제로 이승엽은 지난 시즌을 끝낸 다음 "지금까지는 안타에 치중한 스윙이었지만, 2017년엔 홈런을 많이 때리기 위해 폼을 수정할 것"이라고 했었다.

실제로	실제로/MAG
이승엽은	이승엽/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌을	시즌/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
다음	다음/NNG
"지금까지는	"/SS+지금/NNG+까지/JX+는/JX
안타에	안타/NNG+에/JKB
치중한	치중/NNG+하/XSV+ㄴ/ETM
스윙이었지만,	스윙/NNG+이/VCP+었/EP+지만/EC+,/SP
2017년엔	2017/SN+년/NNB+에/JKB+ㄴ/JX
홈런을	홈런/NNG+을/JKO
많이	많이/MAG
때리기	때리/VV+기/ETN
위해	위하/VV+아/EC
폼을	폼/NNG+을/JKO
수정할	수정/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.255.7.1
현역 감독 9명 중 8명과 해설위원 1명은 20개를 예상했다.

현역	현역/NNG
감독	감독/NNG
9명	9/SN+명/NNB
중	중/NNB
8명과	8/SN+명/NNB+과/JC
해설위원	해설/NNG+위원/NNG
1명은	1/SN+명/NNB+은/JX
20개를	20/SN+개/NNB+를/JKO
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.7.2
이순철 해설위원은 "투수 견제가 심해질 것"이라고 예상했다.

이순철	이순철/NNP
해설위원은	해설/NNG+위원/NNG+은/JX
"투수	"/SS+투수/NNG
견제가	견제/NNG+가/JKS
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.7.3
삼성은 최형우의 KIA 이적으로 중심 타선이 약해진 상태다.

삼성은	삼성/NNP+은/JX
최형우의	최형우/NNP+의/JKG
KIA	KIA/SL
이적으로	이적/NNG+으로/JKB
중심	중심/NNG
타선이	타선/NNG+이/JKS
약해진	약하/VA+아/EC+지/VX+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.255.7.4
그만큼 투수들이 이승엽을 '건너뛰는' 견제성 투구를 할 가능성이 높다는 이야기다.

그만큼	그만큼/MAG
투수들이	투수/NNG+들/XSN+이/JKS
이승엽을	이승엽/NNP+을/JKO
'건너뛰는'	'/SS+건너뛰/VV+는/ETM+'/SS
견제성	견제/NNG+성/XSN
투구를	투구/NNG+를/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.255.7.5
양상문 LG 감독은 "시범경기 때 보니 약간은 파워가 떨어진 것 같았다. 마지막 해라는 심적 부담을 어떻게 떨치느냐도 관건"이라고 봤다.

양상문	양상문/NNP
LG	LG/SL
감독은	감독/NNG+은/JX
"시범경기	"/SS+시범/NNG+경기/NNG
때	때/NNG
보니	보/VV+니/EC
약간은	약간/NNG+은/JX
파워가	파워/NNG+가/JKS
떨어진	떨어지/VV+ㄴ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF
마지막	마지막/NNG
해라는	해/NNG+이/VCP+라는/ETM
심적	심적/MMA
부담을	부담/NNG+을/JKO
어떻게	어떻/VA+게/EC
떨치느냐도	떨치/VV+느냐/EF+도/JX
관건"이라고	관건/NNG+"/SS+이라고/JKQ
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.7.6
스트라이크존이 작년보다 넓어지면서 상대적으로 타자들이 불리해진 점도 있다.

스트라이크존이	스트라이크존/NNG+이/JKS
작년보다	작년/NNG+보다/JKB
넓어지면서	넓어지/VV+면서/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
타자들이	타자/NNG+들/XSN+이/JKS
불리해진	불리/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
점도	점/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.255.8.1
이런 여러 변수에도 이승엽의 올 홈런 수가 20개에 못 미칠 것이라고 예상한 이는 없었다.

이런	이런/MMD
여러	여러/MMN
변수에도	변수/NNG+에/JKB+도/JX
이승엽의	이승엽/NNP+의/JKG
올	올/NNG
홈런	홈런/NNG
수가	수/NNG+가/JKS
20개에	20/SN+개/NNB+에/JKB
못	못/MAG
미칠	미치/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
예상한	예상/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.255.8.2
그의 은퇴에 대한 아쉬움을 말하는 전문가도 많았다.

그의	그/NP+의/JKG
은퇴에	은퇴/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
아쉬움을	아쉬움/NNG+을/JKO
말하는	말/NNG+하/XSV+는/ETM
전문가도	전문가/NNG+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.255.8.3
양상문 감독은 "국가대표팀에서 이승엽을 지켜보면 선배인 나도 존경스러움을 느낄 때가 많았다"며 "마지막 해에 '국민 타자'의 위용을 보여주길 바란다"고 했다.

양상문	양상문/NNP
감독은	감독/NNG+은/JX
"국가대표팀에서	"/SS+국가/NNG+대표/NNG+팀/NNG+에서/JKB
이승엽을	이승엽/NNP+을/JKO
지켜보면	지켜보/VV+면/EC
선배인	선배/NNG+이/VCP+ㄴ/ETM
나도	나/NP+도/JX
존경스러움을	존경/NNG+스럽/XSA+ㅁ/ETN+을/JKO
느낄	느끼/VV+ㄹ/ETM
때가	때/NNG+가/JKS
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"마지막	"/SS+마지막/NNG
해에	해/NNG+에/JKB
'국민	'/SS+국민/NNG
타자'의	타자/NNG+'/SS+의/JKG
위용을	위용/NNG+을/JKO
보여주길	보이/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.255.9.1
삼성에서 한솥밥을 먹었던 김기태 KIA 감독은 "한국 야구에 언제 다시 나올지 알 수 없는 대단한 선수'라며 "개인적으론 두세 시즌 더 뛰어줬으면 좋겠다.

삼성에서	삼성/NNP+에서/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹었던	먹/VV+었/EP+던/ETM
김기태	김기태/NNP
KIA	KIA/SL
감독은	감독/NNG+은/JX
"한국	"/SS+한국/NNP
야구에	야구/NNG+에/JKB
언제	언제/MAG
다시	다시/MAG
나올지	나오/VV+ㄹ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
대단한	대단하/VA+ㄴ/ETM
선수'라며	선수/NNG+'/SS+이/VCP+라며/EC
"개인적으론	"/SS+개인/NNG+적/XSN+으로/JKB+ㄴ/JX
두세	두세/MMN
시즌	시즌/NNG
더	더/MAG
뛰어줬으면	뛰/VV+어/EC+주/VX+었/EP+으면/EC
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000054.255.9.2
혹시 마음을 돌릴 수 있는 방법은 없느냐"고 했다.

혹시	혹시/MAG
마음을	마음/NNG+을/JKO
돌릴	돌리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법은	방법/NNG+은/JX
없느냐"고	없/VA+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


