# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.166
metadata : {}


# id : NWRW1800000022.166.1.1
방송3社와 경쟁할 새 채널… "2개 이하 만들것";서비스업 선진화 방안

방송3社와	방송/NNG+3/SN+社/SH+와/JKB
서비스	서비스/NNG
시장을	시장/NNG+을/JKO
병원	병원/NNG
외에	외/NNB+에/JKB
민간회사들에	민간/NNG+회사/NNG+들/XSN+에/JKB
개방하는	개방/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
새로운	새롭/VA+ㄴ/ETM
성장산업을	성장/NNG+산업/NNG+을/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안으로	방안/NNG+으로/JKB
기대되고	기대/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.4.1
다만 이명박 정부의 핵심 규제개혁 사안이었던 '영리(營利) 의료법인 허용' 문제는 관계부처와 이해집단의 저항에 부딪혀 연말에 최종 결정을 내리기로 했다.

다만	다만/MAG
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
핵심	핵심/NNG
규제개혁	규제/NNG+개혁/NNG
사안이었던	사안/NNG+이/VCP+었/EP+던/ETM
'영리(營利)	'/SS+영리/NNG+(/SS+營利/SH+)/SS
의료법인	의료/NNG+법인/NNG
허용'	허용/NNG+'/SS
문제는	문제/NNG+는/JX
관계부처와	관계/NNG+부처/NNG+와/JC
이해집단의	이해/NNG+집단/NNG+의/JKG
저항에	저항/NNG+에/JKB
부딪혀	부딪히/VV+어/EC
연말에	연말/NNG+에/JKB
최종	최종/NNG
결정을	결정/NNG+을/JKO
내리기로	내리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.166.4.2
따라서 이번 방안에 대해 "반쪽 개혁"이라는 지적도 나오고 있다.

따라서	따라서/MAJ
이번	이번/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
"반쪽	"/SS+반쪽/NNG
개혁"이라는	개혁/NNG+"/SS+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.4.3
방송·통신 시장 규제 완화도 야당 등에서 반대하고 있어 관련 법이 통과될지도 불투명하다.

방송·통신	방송/NNG+·/SP+통신/NNG
시장	시장/NNG
규제	규제/NNG
완화도	완화/NNG+도/JX
야당	야당/NNG
등에서	등/NNB+에서/JKB
반대하고	반대/NNG+하/XSV+고/EC
있어	있/VX+어/EC
관련	관련/NNG
법이	법/NNG+이/JKS
통과될지도	통과/NNG+되/XSV+ㄹ지/EC+도/JX
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.166.5.1
◆연내에 신규 종합편성 채널 사업자 등장

◆연내에	◆/SW+연내/NNG+에/JKB
신규	신규/NNG
종합편성	종합/NNG+편성/NNG
채널	채널/NNG
사업자	사업자/NNG
등장	등장/NNG


# id : NWRW1800000022.166.6.1
케이블 TV와 위성방송에서 보도·교양·오락을 모두 할 수 있는 신규 종합편성 PP(program provider) 사업자를 연내에 선정하겠다고 정부는 밝혔다.

케이블	케이블/NNG
TV와	TV/SL+와/JC
위성방송에서	위성/NNG+방송/NNG+에서/JKB
보도·교양·오락을	보도/NNG+·/SP+교양/NNG+·/SP+오락/NNG+을/JKO
모두	모두/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
신규	신규/NNG
종합편성	종합/NNG+편성/NNG
PP(program	PP/SL+(/SS+program/SL
provider)	provider/SL+)/SS
사업자를	사업자/NNG+를/JKO
연내에	연내/NNG+에/JKB
선정하겠다고	선정/NNG+하/XSV+겠/EP+다고/EC
정부는	정부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.166.6.2
종합편성 PP는 보도에서 오락에 이르는 모든 장르의 프로그램을 편성할 수 있는 채널로, 그동안 KBS와 MBC·SBS가 사실상 독과점해오던 방송 시장에 큰 변화를 불러올 것으로 예상된다.

종합편성	종합/NNG+편성/NNG
PP는	PP/SL+는/JX
보도에서	보도/NNG+에서/JKB
오락에	오락/NNG+에/JKB
이르는	이르/VV+는/ETM
모든	모든/MMN
장르의	장르/NNG+의/JKG
프로그램을	프로그램/NNG+을/JKO
편성할	편성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
채널로,	채널/NNG+로/JKB+,/SP
그동안	그동안/NNG
KBS와	KBS/SL+와/JC
MBC·SBS가	MBC/SL+·/SP+SBS/SL+가/JKS
사실상	사실/NNG+상/XSN
독과점해오던	독과점/NNG+하/XSV+아/EC+오/VX+던/ETM
방송	방송/NNG
시장에	시장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
불러올	불러오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.166.6.3
방통위 관계자는 "신규 종합편성 사업자의 숫자는 2개 이하가 될 것"이라고 말했다.

방통위	방통위/NNG
관계자는	관계자/NNG+는/JX
"신규	"/SS+신규/NNG
종합편성	종합/NNG+편성/NNG
사업자의	사업자/NNG+의/JKG
숫자는	숫자/NNG+는/JX
2개	2/SN+개/NNB
이하가	이하/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.166.7.1
하지만, 종합편성 방송사업자 선정을 위해서는 국회에 계류 중인 방송법 개정안 통과가 선행되어야 한다.

하지만,	하지만/MAJ+,/SP
종합편성	종합/NNG+편성/NNG
방송사업자	방송/NNG+사업자/NNG
선정을	선정/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
국회에	국회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
방송법	방송법/NNG
개정안	개정안/NNG
통과가	통과/NNG+가/JKS
선행되어야	선행/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.166.7.2
개정안은 종합편성 PP에 자산규모 10조원 이상의 대기업과 신문사들이 진출할 수 있도록 하는 내용을 담고 있다.

개정안은	개정안/NNG+은/JX
종합편성	종합/NNG+편성/NNG
PP에	PP/SL+에/JKB
자산규모	자산/NNG+규모/NNG
10조원	10/SN+조/NR+원/NNB
이상의	이상/NNG+의/JKG
대기업과	대/XPN+기업/NNG+과/JC
신문사들이	신문사/NNG+들/XSN+이/JKS
진출할	진출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.7.3
현재 야당이 개정안에 반대 입장을 밝히고 있어 다음 달 국회 통과에 어려움이 예상된다.

현재	현재/MAG
야당이	야당/NNG+이/JKS
개정안에	개정안/NNG+에/JKB
반대	반대/NNG
입장을	입장/NNG+을/JKO
밝히고	밝히/VV+고/EC
있어	있/VX+어/EC
다음	다음/NNG
달	달/NNG
국회	국회/NNG
통과에	통과/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.166.8.1
방통위는 또 다음 달 전기통신사업법을 개정해 망이나 설비를 갖지 못한 사업자들도 기존 사업자의 통신망(網)과 설비를 임대(재판매)해 사업을 할 수 있도록 할 방침이다.

방통위는	방통위/NNG+는/JX
또	또/MAG
다음	다음/NNG
달	달/NNG
전기통신사업법을	전기/NNG+통신/NNG+사업법/NNG+을/JKO
개정해	개정/NNG+하/XSV+아/EC
망이나	망/NNG+이나/JC
설비를	설비/NNG+를/JKO
갖지	갖/VV+지/EC
못한	못하/VX+ㄴ/ETM
사업자들도	사업자/NNG+들/XSN+도/JX
기존	기존/NNG
사업자의	사업자/NNG+의/JKG
통신망(網)과	통신망/NNG+(/SS+網/SH+)/SS+과/JC
임대(재판매)해	임대/NNG+(/SS+재/XPN+판매/NNG+)/SS+하/VV+아/EC
사업을	사업/NNG+을/JKO
할	하/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.166.8.2
이에 따라 후발 사업자가 KT나 SKT의 통신망·설비를 빌려 사업을 할 수 있게 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
후발	후발/NNG
사업자가	사업자/NNG+가/JKS
KT나	KT/SL+나/JC
SKT의	SKT/SL+의/JKG
통신망·설비를	통신망/NNG+·/SP+설비/NNG+를/JKO
빌려	빌리/VV+어/EC
사업을	사업/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.166.9.1
지금도 업체 간 자율적인 협정에 따라 재판매가 이뤄지고는 있지만, '특수 관계자' 간의 거래를 제외하고는 재판매 사례를 찾아보기 어렵다.

지금도	지금/NNG+도/JX
업체	업체/NNG
간	간/NNB
자율적인	자율/NNG+적/XSN+이/VCP+ㄴ/ETM
협정에	협정/NNG+에/JKB
따라	따르/VV+아/EC
재판매가	재/XPN+판매/NNG+가/JKS
이뤄지고는	이뤄지/VV+고/EC+는/JX
있지만,	있/VX+지만/EC+,/SP
'특수	'/SS+특수/NNG
관계자'	관계자/NNG+'/SS
간의	간/NNB+의/JKG
거래를	거래/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
재판매	재/XPN+판매/NNG
사례를	사례/NNG+를/JKO
찾아보기	찾아보/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000022.166.9.2
또 지배적 사업자가 통신요금을 인하할 때 신고만 하면 되도록 완화해 통신 사업자들 간의 가격 경쟁을 유도할 계획이다.

또	또/MAG
지배적	지배/NNG+적/XSN
사업자가	사업자/NNG+가/JKS
통신요금을	통신/NNG+요금/NNG+을/JKO
인하할	인하/NNG+하/XSV+ㄹ/ETM
때	때/NNG
신고만	신고/NNG+만/JX
하면	하/VV+면/EC
되도록	되도록/MAG
완화해	완화/NNG+하/XSV+아/EC
통신	통신/NNG
사업자들	사업자/NNG+들/XSN
간의	간/NNB+의/JKG
가격	가격/NNG
경쟁을	경쟁/NNG+을/JKO
유도할	유도/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.166.10.1
◆건강관리서비스 시장도 열릴 듯

◆건강관리서비스	◆/SW+건강/NNG+관리/NNG+서비스/NNG
시장도	시장/NNG+도/JX
열릴	열리/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000022.166.11.1
이르면 내년부터 비만클리닉·금연클리닉·알코올중독교실·운동처방 등을 전문으로 하는 건강관리서비스 회사들이 등장할 전망이다.

이르면	이르/VA+면/EC
내년부터	내년/NNG+부터/JX
비만클리닉·금연클리닉·알코올중독교실·운동처방	비만/NNG+클리닉/NNG+·/SP+금연/NNG+클리닉/NNG+·/SP+알코올/NNG+중독/NNG+교실/NNG+·/SP+운동/NNG+처방/NNG
등을	등/NNB+을/JKO
전문으로	전문/NNG+으로/JKB
하는	하/VV+는/ETM
건강관리서비스	건강/NNG+관리/NNG+서비스/NNG
회사들이	회사/NNG+들/XSN+이/JKS
등장할	등장/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.166.11.2
이를 위해 정부는 올해 안에 건강관리서비스 특별법을 제정하기로 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
정부는	정부/NNG+는/JX
올해	올해/NNG
안에	안/NNG+에/JKB
건강관리서비스	건강/NNG+관리/NNG+서비스/NNG
특별법을	특별법/NNG+을/JKO
제정하기로	제정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.166.11.3
건강관리서비스란 금연·절주·식이운동 등 건강을 증진하도록 교육이나 상담을 제공하는 서비스로 현재 일부 대형의료기관 등에서 주로 제공하고 있다.

건강관리서비스란	건강/NNG+관리/NNG+서비스/NNG+란/JX
금연·절주·식이운동	금연/NNG+·/SP+절주/NNG+·/SP+식이/NNG+운동/NNG
등	등/NNB
건강을	건강/NNG+을/JKO
증진하도록	증진/NNG+하/XSV+도록/EC
교육이나	교육/NNG+이나/JC
상담을	상담/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
서비스로	서비스/NNG+로/JKB
현재	현재/MAG
일부	일부/NNG
대형의료기관	대형/NNG+의료/NNG+기관/NNG
등에서	등/NNB+에서/JKB
주로	주로/MAG
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.11.4
정부는 건강관리서비스에 대한 국내 수요규모가 약 7700억원에 이를 것으로 추정하고 있다.

정부는	정부/NNG+는/JX
건강관리서비스에	건강/NNG+관리/NNG+서비스/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국내	국내/NNG
수요규모가	수요/NNG+규모/NNG+가/JKS
약	약/MMA
7700억원에	7700/SN+억/NR+원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.11.5
하지만, 현재 건강관리서비스는 건강보험이 적용되지 않고 있는데다 민간 회사가 이 서비스를 제공할 경우 무면허 의료행위로 처벌받을 수 있어 시장 규모는 490억원에 그치고 있다.

하지만,	하지만/MAJ+,/SP
현재	현재/MAG
건강관리서비스는	건강/NNG+관리/NNG+서비스/NNG+는/JX
건강보험이	건강/NNG+보험/NNG+이/JKS
적용되지	적용/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있는데다	있/VX+는/ETM+데/NNB+다/JX
민간	민간/NNG
회사가	회사/NNG+가/JKS
이	이/MMD
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
무면허	무/XPN+면허/NNG
의료행위로	의료/NNG+행위/NNG+로/JKB
처벌받을	처벌/NNG+받/XSV+을/ETM
수	수/NNB
있어	있/VA+어/EC
시장	시장/NNG
규모는	규모/NNG+는/JX
490억원에	490/SN+억/NR+원/NNB+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.166.12.1
또 내년부터는 병원 한곳에서 한의사와 의사, 치과의사로부터 한꺼번에 진료를 받을 수 있는 길도 열린다.

또	또/MAG
내년부터는	내년/NNG+부터/JX+는/JX
병원	병원/NNG
한곳에서	한곳/NNG+에서/JKB
한의사와	한의사/NNG+와/JC
의사,	의사/NNG+,/SP
치과의사로부터	치과/NNG+의사/NNG+로부터/JKB
한꺼번에	한꺼번에/MAG
진료를	진료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
길도	길/NNG+도/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.166.13.1
◆올 연말 파견직 업종 확대

◆올	◆/SW+올/NNG
연말	연말/NNG
파견직	파견직/NNG
업종	업종/NNG
확대	확대/NNG


# id : NWRW1800000022.166.14.1
이르면 연말부터 단기 파견직 일자리를 얻을 기회가 늘어날 전망이다.

이르면	이르/VA+면/EC
연말부터	연말/NNG+부터/JX
단기	단기/NNG
파견직	파견직/NNG
일자리를	일자리/NNG+를/JKO
얻을	얻/VV+을/ETM
기회가	기회/NNG+가/JKS
늘어날	늘어나/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.166.14.2
정부는 현재 주차장·수위·경비 업무 등 32개 업종에 한해 허용되는 파견 대상 업무를 대폭 확대하기로 했다.

정부는	정부/NNG+는/JX
현재	현재/MAG
주차장·수위·경비	주차장/NNG+·/SP+수위/NNG+·/SP+경비/NNG
업무	업무/NNG
등	등/NNB
32개	32/SN+개/NNB
업종에	업종/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
허용되는	허용/NNG+되/XSV+는/ETM
파견	파견/NNG
대상	대상/NNG
업무를	업무/NNG+를/JKO
대폭	대폭/MAG
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.166.14.3
파견직이란 파견사업주에 고용된 근로자가 일시적으로 인력이 필요한 기업에 1년 미만 파견 나갈 수 있는 업종을 말한다.

파견직이란	파견직/NNG+이란/JX
파견사업주에	파견/NNG+사업주/NNG+에/JKB
고용된	고용/NNG+되/XSV+ㄴ/ETM
근로자가	근로자/NNG+가/JKS
일시적으로	일시/NNG+적/XSN+으로/JKB
인력이	인력/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
기업에	기업/NNG+에/JKB
1년	1/SN+년/NNB
미만	미만/NNG
파견	파견/NNG
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
업종을	업종/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.166.15.1
하반기부터 불법 콘텐츠 사용 및 불법 복제물 유통에 대한 단속이 대폭 강화됨에 따라 콘텐츠 생산 및 사용에 주의를 기울여야 한다.

하반기부터	하반기/NNG+부터/JX
불법	불법/NNG
콘텐츠	콘텐츠/NNG
사용	사용/NNG
및	및/MAG
복제물	복제물/NNG
유통에	유통/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속이	단속/NNG+이/JKS
대폭	대폭/MAG
강화됨에	강화/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
생산	생산/NNG
사용에	사용/NNG+에/JKB
주의를	주의/NNG+를/JKO
기울여야	기울이/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.166.15.2
정부는 또 경제자유구역 내에 설립된 외국교육기관이 수익금을 해외로 송금하는 것을 허용하고, 초·중등학교 외국교육기관의 내국인 입학비율을 현재 '재학생의 30%'에서 '정원의 30%'로 완화해주는 방안을 추진키로 했다.

정부는	정부/NNG+는/JX
또	또/MAG
경제자유구역	경제/NNG+자유/NNG+구역/NNG
내에	내/NNB+에/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
외국교육기관이	외국/NNG+교육/NNG+기관/NNG+이/JKS
수익금을	수익금/NNG+을/JKO
해외로	해외/NNG+로/JKB
송금하는	송금/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
허용하고,	허용/NNG+하/XSV+고/EC+,/SP
초·중등학교	초·중등학교/NNG
외국교육기관의	외국/NNG+교육/NNG+기관/NNG+의/JKG
내국인	내국인/NNG
입학비율을	입학/NNG+비율/NNG+을/JKO
현재	현재/MAG
'재학생의	'/SS+재학/NNG+생/XSN+의/JKG
30%'에서	30/SN+%/SW+'/SS+에서/JKB
'정원의	'/SS+정원/NNG+의/JKG
30%'로	30/SN+%/SW+'/SS+로/JKB
완화해주는	완화/NNG+하/XSV+아/EC+주/VX+는/ETM
방안을	방안/NNG+을/JKO
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


