# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.335
metadata : {}


# id : NWRW1800000041.335.1.1
與 압승… 이정현 호남門 열다

與	與/SH
안기겠다”는	안기/VV+겠/EP+다/EF+”/SS+는/ETM
공약을	공약/NNG+을/JKO
던지며	던지/VV+며/EC
바닥	바닥/NNG
민심을	민심/NNG+을/JKO
흔들어	흔들/VV+어/EC
놓은	놓/VX+은/ETM
것이	것/NNB+이/JKS
주효했던	주효/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.335.5.1
새누리당의 승리로 경제 활성화와 국가대혁신을 내건 여권의 국정운영에 힘이 실릴 것으로 보인다.

새누리당의	새누리당/NNP+의/JKG
승리로	승리/NNG+로/JKB
경제	경제/NNG
활성화와	활성/NNG+화/XSN+와/JC
국가대혁신을	국가/NNG+대/XPN+혁신/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
여권의	여권/NNG+의/JKG
국정운영에	국정/NNG+운영/NNG+에/JKB
힘이	힘/NNG+이/JKS
실릴	실리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.335.5.2
새누리당 김무성 대표는 “정쟁을 중단하고 민생경제를 활성화시켜 서민들의 삶의 질을 높여 달라는 국민의 뜻으로 알겠다”고 밝혔다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표는	대표/NNG+는/JX
“정쟁을	“/SS+정쟁/NNG+을/JKO
중단하고	중단/NNG+하/XSV+고/EC
민생경제를	민생/NNG+경제/NNG+를/JKO
활성화시켜	활성/NNG+화/XSN+시키/XSV+어/EC
서민들의	서민/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
높여	높이/VV+어/EC
달라는	달/VX+라는/ETM
국민의	국민/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
알겠다”고	알/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.6.1
재·보선에서 패배한 새정치연합은 내부에서 김한길 안철수 공동대표에 대한 선거 패배 책임론 공세가 본격화할 것으로 전망된다.

재·보선에서	재·보선/NNG+에서/JKB
패배한	패배/NNG+하/XSV+ㄴ/ETM
새정치연합은	새정치연합/NNP+은/JX
내부에서	내부/NNG+에서/JKB
김한길	김한길/NNP
안철수	안철수/NNP
공동대표에	공동/NNG+대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선거	선거/NNG
패배	패배/NNG
책임론	책임/NNG+론/XSN
공세가	공세/NNG+가/JKS
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.335.6.2
안 대표는 31일 대표직 사퇴 의사를 밝힐 것으로 알려졌다.

안	안/NNP
대표는	대표/NNG+는/JX
31일	31/SN+일/NNB
대표직	대표직/NNG
사퇴	사퇴/NNG
의사를	의사/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.6.3
이럴 경우 당 쇄신을 위해 조기 전당대회를 열자는 목소리가 커지며 야권 내부는 내홍을 겪을 것으로 보인다.

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
당	당/NNG
쇄신을	쇄신/NNG+을/JKO
위해	위하/VV+아/EC
조기	조기/NNG
전당대회를	전당/NNG+대회/NNG+를/JKO
열자는	열/VV+자는/ETM
목소리가	목소리/NNG+가/JKS
커지며	커지/VV+며/EC
야권	야권/NNG
내부는	내부/NNG+는/JX
내홍을	내홍/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.335.7.1
새정치연합은 세월호 참사와 관련해 정부 심판론에 너무 매달린 데다 권은희 전략공천 파문 등을 겪으며 역풍을 맞은 것으로 분석된다.

새정치연합은	새정치연합/NNP+은/JX
세월호	세월호/NNP
참사와	참사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정부	정부/NNG
심판론에	심판/NNG+론/XSN+에/JKB
너무	너무/MAG
매달린	매달리/VV+ㄴ/ETM
데다	데/NNB+다/JX
권은희	권은희/NNP
전략공천	전략/NNG+공천/NNG
파문	파문/NNG
등을	등/NNB+을/JKO
겪으며	겪/VV+으며/EC
역풍을	역풍/NNG+을/JKO
맞은	맞/VV+은/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.335.7.2
새누리당으로서도 인사 파동, 유병언 전 세모그룹 회장 부실 수사 등 악재가 많았지만 새정치연합에 대한 실망감이 더 커지면서 ‘야당 심판’으로 바뀐 셈이다.

새누리당으로서도	새누리당/NNP+으로서/JKB+도/JX
인사	인사/NNG
파동,	파동/NNG+,/SP
유병언	유병언/NNP
전	전/MMD
세모그룹	세모그룹/NNP
회장	회장/NNG
부실	부실/NNG
수사	수사/NNG
등	등/NNB
악재가	악재/NNG+가/JKS
많았지만	많/VA+았/EP+지만/EC
새정치연합에	새정치연합/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
실망감이	실망감/NNG+이/JKS
더	더/MAG
커지면서	커지/VV+면서/EC
‘야당	‘/SS+야당/NNG
심판’으로	심판/NNG+’/SS+으로/JKB
바뀐	바뀌/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.335.7.3
새정치연합 핵심 관계자는 “공천에 대한 반발을 효과적으로 당내에서 관리하고 제어하지 못한 것, 권은희 후보에 대한 네거티브 선거에 효과적으로 대응하지 못한 것이 주요 패인”이라고 말했다.

새정치연합	새정치연합/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“공천에	“/SS+공천/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반발을	반발/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
당내에서	당내/NNG+에서/JKB
관리하고	관리/NNG+하/XSV+고/EC
제어하지	제어/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것,	것/NNB+,/SP
권은희	권은희/NNP
후보에	후보/NNG+에/JKB
네거티브	네거티브/NNG
선거에	선거/NNG+에/JKB
대응하지	대응/NNG+하/XSV+지/EC
것이	것/NNB+이/JKS
주요	주요/NNG
패인”이라고	패인/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.335.8.1
이번 선거의 최대 승부처인 수도권 6곳 중 새누리당은 5곳에서 승리했다.

이번	이번/NNG
선거의	선거/NNG+의/JKG
최대	최대/NNG
승부처인	승부처/NNG+이/VCP+ㄴ/ETM
수도권	수도/NNG+권/XSN
6곳	6/SN+곳/NNG
중	중/NNB
새누리당은	새누리당/NNP+은/JX
5곳에서	5/SN+곳/NNG+에서/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.335.8.2
서울의 유일한 선거구인 동작을에선 새누리당 나경원 후보가 야권 단일후보인 노회찬 정의당 후보를 꺾었다.

서울의	서울/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
선거구인	선거구/NNG+이/VCP+ㄴ/ETM
동작을에선	동작을/NNP+에서/JKB+ㄴ/JX
새누리당	새누리당/NNP
나경원	나경원/NNP
후보가	후보/NNG+가/JKS
야권	야권/NNG
단일후보인	단일/NNG+후보/NNG+이/VCP+ㄴ/ETM
노회찬	노회찬/NNP
정의당	정의당/NNP
후보를	후보/NNG+를/JKO
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.8.3
야권의 대선후보군인 손학규, 김두관 후보는 이번에 새누리당 정치 신인들에게 무릎을 꿇었다.

야권의	야권/NNG+의/JKG
대선후보군인	대선/NNG+후보군/NNG+이/VCP+ㄴ/ETM
손학규,	손학규/NNP+,/SP
김두관	김두관/NNP
후보는	후보/NNG+는/JX
이번에	이번/NNG+에/JKB
새누리당	새누리당/NNP
정치	정치/NNG
신인들에게	신인/NNG+들/XSN+에게/JKB
무릎을	무릎/NNG+을/JKO
꿇었다.	꿇/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.335.8.4
역대 재·보선은 정치 거물들의 복귀 무대였다는 점에서 ‘재·보선의 철칙(鐵則)’이 깨졌다는 평가가 나왔다.

역대	역대/NNG
재·보선은	재·보선/NNG+은/JX
정치	정치/NNG
거물들의	거물/NNG+들/XSN+의/JKG
복귀	복귀/NNG
무대였다는	무대/NNG+이/VCP+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
‘재·보선의	‘/SS+재·보선/NNG+의/JKG
철칙(鐵則)’이	철칙/NNG+(/SS+鐵則/SH+)/SS+’/SS+이/JKS
깨졌다는	깨지/VV+었/EP+다는/ETM
평가가	평가/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.335.8.5
야권은 수도권 선거구 3곳에서 후보 단일화를 성사시키며 바람을 일으키려 했지만 경기 수원정(영통)에서 새정치연합 박광온 후보만 당선되는 데 그쳤다.

야권은	야권/NNG+은/JX
수도권	수도/NNG+권/XSN
선거구	선거구/NNG
3곳에서	3/SN+곳/NNG+에서/JKB
후보	후보/NNG
단일화를	단일/NNG+화/XSN+를/JKO
성사시키며	성사/NNG+시키/XSV+며/EC
바람을	바람/NNG+을/JKO
일으키려	일으키/VV+려/EC
했지만	하/VX+았/EP+지만/EC
경기	경기/NNP
수원정(영통)에서	수원정/NNP+(/SS+영통/NNP+)/SS+에서/JKB
새정치연합	새정치연합/NNP
박광온	박광온/NNP
후보만	후보/NNG+만/JX
당선되는	당선/NNG+되/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


