# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.173
metadata : {}


# id : NWRW1800000056.173.1.1
‘AI 청정’ 제주도 뚫렸다…철새 분변서 ‘고병원성’ 확진

‘AI	‘/SS+AI/SL
검출됐다.	검출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.173.5.2
제주에서는 첫 확진 사례다.

제주에서는	제주/NNP+에서/JKB+는/JX
첫	첫/MMN
확진	확진/NNG
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.173.5.3
지금까지 전국 도 단위 가운데 농가는 물론 야생조류에서도 에이아이가 없는 지역은 제주도가 유일했다.

지금까지	지금/NNG+까지/JX
전국	전국/NNG
도	도/NNG
단위	단위/NNG
가운데	가운데/NNG
농가는	농가/NNG+는/JX
물론	물론/MAG
야생조류에서도	야생/NNG+조류/NNG+에서/JKB+도/JX
에이아이가	에이아이/NNG+가/JKS
없는	없/VA+는/ETM
지역은	지역/NNG+은/JX
제주도가	제주도/NNP+가/JKS
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000056.173.5.4
경북은 제주와 마찬가지로 농가 발생은 없었지만, 야생조류 확진 사례는 있었다.

경북은	경북/NNP+은/JX
제주와	제주/NNP+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
농가	농가/NNG
발생은	발생/NNG+은/JX
없었지만,	없/VA+었/EP+지만/EC+,/SP
야생조류	야생/NNG+조류/NNG
확진	확진/NNG
사례는	사례/NNG+는/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.173.5.5
그동안 발생 추이를 보면 야생조류 확진이 나온 지역은 얼마 뒤 인근 농가에서 에이아이 신고가 들어오는 경우가 많아 방역 당국은 긴장하고 있다.

그동안	그동안/NNG
발생	발생/NNG
추이를	추이/NNG+를/JKO
보면	보/VV+면/EC
야생조류	야생/NNG+조류/NNG
확진이	확진/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
지역은	지역/NNG+은/JX
얼마	얼마/NNG
뒤	뒤/NNG
인근	인근/NNG
농가에서	농가/NNG+에서/JKB
에이아이	에이아이/NNG
신고가	신고/NNG+가/JKS
들어오는	들어오/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
방역	방역/NNG
당국은	당국/NNG+은/JX
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.173.5.6
농림부 관계자는 “제주의 경우 에이아이 발생에 대비해 만반의 준비를 하고 있었다”면서도 “상황을 예의주시 하고 있다”고 말했다.

농림부	농림부/NNG
관계자는	관계자/NNG+는/JX
“제주의	“/SS+제주/NNP+의/JKG
경우	경우/NNG
에이아이	에이아이/NNG
발생에	발생/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
만반의	만반/NNG+의/JKG
준비를	준비/NNG+를/JKO
하고	하/VV+고/EC
있었다”면서도	있/VX+었/EP+다/EF+”/SS+면서/EC+도/JX
“상황을	“/SS+상황/NNG+을/JKO
예의주시	예의/NNG+주시/NNG
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.173.6.1
제주도는 적극적으로 방역 조치를 시행하고 있다.

제주도는	제주도/NNP+는/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
방역	방역/NNG
조치를	조치/NNG+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.173.6.2
시료 채취 지역을 중심으로 반지름 10km 이내 농가에서 사육하는 닭·오리의 이동을 제한하고, 가금류 사육농가의 철새도래지 출입을 금지했다.

시료	시료/NNG
채취	채취/NNG
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
반지름	반지름/NNG
10km	10/SN+km/SW
이내	이내/MAG
농가에서	농가/NNG+에서/JKB
사육하는	사육/NNG+하/XSV+는/ETM
닭·오리의	닭/NNG+·/SP+오리/NNG+의/JKG
이동을	이동/NNG+을/JKO
제한하고,	제한/NNG+하/XSV+고/EC+,/SP
가금류	가금/NNG+류/XSN
사육농가의	사육/NNG+농가/NNG+의/JKG
철새도래지	철새/NNG+도래지/NNG
출입을	출입/NNG+을/JKO
금지했다.	금지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.173.6.3
방역대 안에서는 20개 농가가 닭 57만6천마리, 2개 농가가 오리 2천마리를 키우고 있다.

방역대	방역대/NNG
안에서는	안/NNG+에서/JKB+는/JX
20개	20/SN+개/NNB
농가가	농가/NNG+가/JKS
닭	닭/NNG
57만6천마리,	57/SN+만/NR+6/SN+천/NR+마리/NNB+,/SP
2개	2/SN+개/NNB
오리	오리/NNG
2천마리를	2/SN+천/NR+마리/NNB+를/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.173.6.4
제주도 관계자는 “철새도래지 야생조류 분변에서만 고병원 에이아이 바이러스가 검출된 상태다.

제주도	제주도/NNP
관계자는	관계자/NNG+는/JX
“철새도래지	“/SS+철새/NNG+도래지/NNG
야생조류	야생/NNG+조류/NNG
분변에서만	분변/NNG+에서/JKB+만/JX
고병원	고/XPN+병원/NNG
에이아이	에이아이/NNG
바이러스가	바이러스/NNG+가/JKS
검출된	검출/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.173.6.5
농가들이 방역을 철저히 하면 피해를 보지 않을 수 있다”고 말했다.

농가들이	농가/NNG+들/XSN+이/JKS
방역을	방역/NNG+을/JKO
철저히	철저히/MAG
하면	하/VV+면/EC
피해를	피해/NNG+를/JKO
보지	보/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.173.7.1
한편 이날 신규 에이아이 의심신고는 1건(경기 안성)으로 진정 국면이 유지되고 있다.

한편	한편/MAG
이날	이날/NNG
신규	신규/NNG
에이아이	에이아이/NNG
의심신고는	의심/NNG+신고/NNG+는/JX
1건(경기	1/SN+건/NNB+(/SS+경기/NNP
안성)으로	안성/NNP+)/SS+으로/JKB
진정	진정/NNG
국면이	국면/NNG+이/JKS
유지되고	유지/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.173.7.2
닭·오리 살처분 마릿수는 3150만마리로, 이 가운데 약 85%가 닭이다.

닭·오리	닭/NNG+·/SP+오리/NNG
살처분	살처분/NNG
마릿수는	마릿수/NNG+는/JX
3150만마리로,	3150/SN+만/NR+마리/NNB+로/JKB+,/SP
이	이/MMD
가운데	가운데/NNG
약	약/MMA
85%가	85/SN+%/SW+가/JKS
닭이다.	닭/NNG+이/VCP+다/EF+./SF


