# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.212
metadata : {}


# id : NWRW1800000041.212.1.1
“추석 택배물품 훼손땐 운송장 꼭 보관을”

“추석	“/SS+추석/NNG
공정위 관계자는 “배송날짜가 지연되거나 물품이 훼손됐다면 운송장에 적힌 가격, 수량, 종류를 바탕으로 택배 업체에 손해배상을 청구할 수 있는 만큼 손해배상을 받을 때까지 반드시 운송장을 보관해야 한다”고 설명했다.

공정위	공정위/NNG
관계자는	관계자/NNG+는/JX
“배송날짜가	“/SS+배송/NNG+날짜/NNG+가/JKS
지연되거나	지연/NNG+되/XSV+거나/EC
물품이	물품/NNG+이/JKS
훼손됐다면	훼손/NNG+되/XSV+었/EP+다면/EC
운송장에	운송장/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
가격,	가격/NNG+,/SP
수량,	수량/NNG+,/SP
종류를	종류/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
택배	택배/NNG
업체에	업체/NNG+에/JKB
손해배상을	손해/NNG+배상/NNG+을/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
받을	받/VV+을/ETM
때까지	때/NNG+까지/JX
반드시	반드시/MAG
운송장을	운송장/NNG+을/JKO
보관해야	보관/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.212.5.2
또 피해를 예방하기 위해 최소 1주 이상 시간적인 여유를 두고 배송을 맡길 것을 권고했다.

또	또/MAG
피해를	피해/NNG+를/JKO
예방하기	예방/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
최소	최소/NNG
1주	1/SN+주/NNB
이상	이상/NNG
시간적인	시간/NNG+적/XSN+이/VCP+ㄴ/ETM
여유를	여유/NNG+를/JKO
두고	두/VV+고/EC
배송을	배송/NNG+을/JKO
맡길	맡기/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다.	권고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.212.6.1
공정위는 또 추석연휴를 이용해 여행을 떠나는 소비자들이 여행사를 선택할 때 해당 회사가 등록된 업체인지, 여행보증보험에 가입한 업체인지 확인하는 게 좋다고 조언했다.

공정위는	공정위/NNG+는/JX
또	또/MAG
추석연휴를	추석/NNG+연휴/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
여행을	여행/NNG+을/JKO
떠나는	떠나/VV+는/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
여행사를	여행사/NNG+를/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
때	때/NNG
해당	해당/NNG
회사가	회사/NNG+가/JKS
등록된	등록/NNG+되/XSV+ㄴ/ETM
업체인지,	업체/NNG+이/VCP+ㄴ지/EC+,/SP
여행보증보험에	여행/NNG+보증/NNG+보험/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
업체인지	업체/NNG+이/VCP+ㄴ지/EC
확인하는	확인/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
좋다고	좋/VA+다고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.212.6.2
무등록 여행사가 무리하게 여행상품을 기획해 팔았다가 여행이 취소되거나 환불을 거부하는 사례가 적지 않기 때문이다.

무등록	무/XPN+등록/NNG
여행사가	여행사/NNG+가/JKS
무리하게	무리/NNG+하/XSA+게/EC
여행상품을	여행/NNG+상품/NNG+을/JKO
기획해	기획/NNG+하/XSV+아/EC
팔았다가	팔/VV+았/EP+다가/EC
여행이	여행/NNG+이/JKS
취소되거나	취소/NNG+되/XSV+거나/EC
환불을	환불/NNG+을/JKO
거부하는	거부/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
적지	적/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.212.6.3
업체 잘못으로 여행이 취소되거나 일정이 변경될 경우 소비자는 계약금을 돌려받거나 손해배상을 요구할 수 있다.

업체	업체/NNG
잘못으로	잘못/NNG+으로/JKB
여행이	여행/NNG+이/JKS
취소되거나	취소/NNG+되/XSV+거나/EC
일정이	일정/NNG+이/JKS
변경될	변경/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
소비자는	소비자/NNG+는/JX
계약금을	계약금/NNG+을/JKO
돌려받거나	돌려받/VV+거나/EC
손해배상을	손해/NNG+배상/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.212.7.1
공정위 관계자는 “인터넷 등을 통해 구매한 상품권을 이용할 때 분쟁이 생길 것에 대비해 상품권 주문번호와 주문내역, 영수증 등을 보관해야 한다”고 강조했다.

공정위	공정위/NNG
관계자는	관계자/NNG+는/JX
“인터넷	“/SS+인터넷/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
구매한	구매/NNG+하/XSV+ㄴ/ETM
상품권을	상품/NNG+권/XSN+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
분쟁이	분쟁/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
것에	것/NNB+에/JKB
대비해	대비/NNG+하/XSV+아/EC
상품권	상품/NNG+권/XSN
주문번호와	주문/NNG+번호/NNG+와/JC
주문내역,	주문/NNG+내역/NNG+,/SP
영수증	영수증/NNG
보관해야	보관/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.212.8.1
피해를 본 소비자는 정부가 운영하는 소비자 상담센터(1372)나 한국소비자원(02-3460-3000)에서 상담을 받으면 된다.

피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
소비자는	소비자/NNG+는/JX
정부가	정부/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
소비자	소비자/NNG
상담센터(1372)나	상담/NNG+센터/NNG+(/SS+1372/SN+)/SS+나/JC
한국소비자원(02-3460-3000)에서	한국소비자원/NNP+(/SS+02/SN+-/SO+3460/SN+-/SO+3000/SN+)/SS+에서/JKB
상담을	상담/NNG+을/JKO
받으면	받/VV+으면/EC
된다.	되/VV+ㄴ다/EF+./SF


