# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.150
metadata : {}


# id : NWRW1800000026.150.1.1
['아! 6·25' 6·25전쟁 60주년 특별기획전 ] 보고 듣고 만지는 '6·25, 그리고 분단 60년';DMZ를 3D 영상으로 실감나게… 참전 용사의 육성 전쟁 체험담…

['아!	[/SS+'/SS+아/IC+!/SF
특히 '6·25란 무엇인가'란 제목의 주제 영상은 상영관 좌우에 유리벽을 설치해 "영상에 탱크 한 대가 등장해도 좌우로 10대가 늘어선 것처럼 보이도록(임기성 전쟁기념관 6·25 60주년 TF 단장)" 효과를 냈다.

특히	특히/MAG
'6·25란	'/SS+6/SN+·/SP+25/SN+란/JX
무엇인가'란	무엇/NP+이/VCP+ㄴ가/EF+'/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
주제	주제/NNG
영상은	영상/NNG+은/JX
상영관	상영관/NNG
좌우에	좌우/NNG+에/JKB
유리벽을	유리/NNG+벽/NNG+을/JKO
설치해	설치/NNG+하/XSV+아/EC
"영상에	"/SS+영상/NNG+에/JKB
탱크	탱크/NNG
한	한/MMN
대가	대/NNB+가/JKS
등장해도	등장/NNG+하/XSV+아도/EC
좌우로	좌우/NNG+로/JKB
10대가	10/SN+대/NNB+가/JKS
늘어선	늘어서/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보이도록(임기성	보이/VV+도록/EC+(/SS+임기/NNG+성/XSN
전쟁기념관	전쟁기념관/NNP
6·25	6/SN+·/SP+25/SN
60주년	60/SN+주년/NNB
TF	TF/SL
단장)"	단장/NNG+)/SS+"/SS
효과를	효과/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.150.7.3
DMZ 사진영상전으로 들어서는 유리통로에도 위에서 아래로 관련 사진영상을 비춰 역사의 터널을 통과하는 듯한 느낌을 더했다.

DMZ	DMZ/SL
사진영상전으로	사진/NNG+영상전/NNG+으로/JKB
들어서는	들어서/VV+는/ETM
유리통로에도	유리/NNG+통로/NNG+에/JKB+도/JX
위에서	위/NNG+에서/JKB
아래로	아래/NNG+로/JKB
관련	관련/NNG
사진영상을	사진/NNG+영상/NNG+을/JKO
비춰	비추/VV+어/EC
역사의	역사/NNG+의/JKG
터널을	터널/NNG+을/JKO
통과하는	통과/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
더했다.	더/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.150.8.1
◆몸으로 체험하는 역사

◆몸으로	◆/SW+몸/NNG+으로/JKB
체험하는	체험/NNG+하/XSV+는/ETM
역사	역사/NNG


# id : NWRW1800000026.150.9.1
'아! 6·25'전에서는 전쟁과 분단의 역사를 몸으로 직접 겪어보고 손으로 만져볼 수 있다.

'아!	'/SS+아/IC+!/SF
6·25'전에서는	6/SN+·/SP+25/SN+'/SS+전/NA+에서/JKB+는/JX
전쟁과	전쟁/NNG+과/JC
분단의	분단/NNG+의/JKG
역사를	역사/NNG+를/JKO
몸으로	몸/NNG+으로/JKB
직접	직접/MAG
겪어보고	겪/VV+어/EC+보/VX+고/EC
손으로	손/NNG+으로/JKB
만져볼	만지/VV+어/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.150.9.2
북한 인권문제의 대표적 사례이면서도 실체가 제대로 알려져 있지 않은 북한 정치범수용소를 탈북자들의 증언을 토대로 모형으로 만들었다.

북한	북한/NNP
인권문제의	인권/NNG+문제/NNG+의/JKG
대표적	대표/NNG+적/XSN
사례이면서도	사례/NNG+이/VCP+면서/EC+도/JX
실체가	실체/NNG+가/JKS
제대로	제대로/MAG
알려져	알려지/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
정치범수용소를	정치범/NNG+수용소/NNG+를/JKO
탈북자들의	탈북자/NNG+들/XSN+의/JKG
증언을	증언/NNG+을/JKO
토대로	토대/NNG+로/JKB
모형으로	모형/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.150.10.1
차기전차 XK-2 '흑표'와 K-21 보병전투장갑차, 국산헬기 '수리온', 초음속 고등훈련기 T-50 등 우리 국방과학기술의 세계적 수준을 보여주는 최신형 국산무기들의 실물 또는 실물크기 모형도 전시된다.

차기전차	차기/NNG+전차/NNG
XK-2	XK/SL+-/SO+2/SN
'흑표'와	'/SS+흑표/NNG+'/SS+와/JC
K-21	K/SL+-/SO+21/SN
보병전투장갑차,	보병/NNG+전투/NNG+장갑차/NNG+,/SP
국산헬기	국산/NNG+헬기/NNG
'수리온',	'/SS+수리온/NNP+'/SS+,/SP
초음속	초/XPN+음속/NNG
고등훈련기	고등/NNG+훈련기/NNG
T-50	T/SL+-/SO+50/SN
등	등/NNB
우리	우리/NP
국방과학기술의	국방/NNG+과학/NNG+기술/NNG+의/JKG
세계적	세계/NNG+적/XSN
수준을	수준/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
최신형	최신/NNG+형/XSN
국산무기들의	국산/NNG+무기/NNG+들/XSN+의/JKG
실물	실물/NNG
또는	또는/MAG
실물크기	실물/NNG+크기/NNG
모형도	모형/NNG+도/JX
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.10.2
천안함 사태로 주목을 받고 있는 첫 국산 장거리 대잠수함 미사일 '홍상어', 잠수함을 잡는 국산 경어뢰 '청상어', 디지털 기술이 적용돼 세계에서 처음으로 실전배치되는 복합형 소총 K-11 등도 볼 수 있다.

천안함	천안함/NNP
사태로	사태/NNG+로/JKB
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
첫	첫/MMN
국산	국산/NNG
장거리	장거리/NNG
대잠수함	대잠수함/NNG
미사일	미사일/NNG
'홍상어',	'/SS+홍상어/NNP+'/SS+,/SP
잠수함을	잠수함/NNG+을/JKO
잡는	잡/VV+는/ETM
경어뢰	경어뢰/NNG
'청상어',	'/SS+청상어/NNP+'/SS+,/SP
디지털	디지털/NNG
기술이	기술/NNG+이/JKS
적용돼	적용/NNG+되/XSV+어/EC
세계에서	세계/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
실전배치되는	실전/NNG+배치/NNG+되/XSV+는/ETM
복합형	복합/NNG+형/XSN
소총	소총/NNG
K-11	K/SL+-/SO+11/SN
등도	등/NNB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.150.11.1
이번 전시는 전시장 곳곳에 해당하는 역사를 삶으로 체험한 사람들이 직접 해설자로 등장한다.

이번	이번/NNG
전시는	전시/NNG+는/JX
전시장	전시장/NNG
곳곳에	곳곳/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
역사를	역사/NNG+를/JKO
삶으로	삶/NNG+으로/JKB
체험한	체험/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
직접	직접/MAG
해설자로	해설자/NNG+로/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.11.2
전 세계 참전용사 2500여명이 연중 수시로 방문, 전쟁 당시 상황을 들려줄 계획이다.

전	전/MMN
세계	세계/NNG
참전용사	참전/NNG+용사/NNG
2500여명이	2500/SN+여/XSN+명/NNB+이/JKS
연중	연중/NNG
수시로	수시로/MAG
방문,	방문/NNG+,/SP
전쟁	전쟁/NNG
당시	당시/NNG
상황을	상황/NNG+을/JKO
들려줄	들려주/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.150.12.1
DMZ 사진영상전의 경우 촬영지역이나 부대에서 실제로 근무한 경험이 있어 생생한 사진 설명을 도와줄 이들을 모집하고 있다.

DMZ	DMZ/SL
사진영상전의	사진/NNG+영상전/NNG+의/JKG
경우	경우/NNG
촬영지역이나	촬영/NNG+지역/NNG+이나/JC
부대에서	부대/NNG+에서/JKB
실제로	실제로/MAG
근무한	근무/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있어	있/VA+어/EC
생생한	생생하/VA+ㄴ/ETM
사진	사진/NNG
설명을	설명/NNG+을/JKO
도와줄	도와주/VV+ㄹ/ETM
이들을	이/NNB+들/XSN+을/JKO
모집하고	모집/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.150.13.1
◆DMZ 내부 최초 공개

◆DMZ	◆/SW+DMZ/SL
내부	내부/NNG
최초	최초/NNG
공개	공개/NNG


# id : NWRW1800000026.150.14.1
'Inside the DMZ-DMZ 사진영상전'에서는 본지 취재팀이 국내외 언론 사상 최초로 국방부 및 유엔사의 정식허가와 육군본부의 지원을 통해 취재한 DMZ 내부의 모습이 260여점의 사진과 영상으로 공개된다.

'Inside	'/SS+Inside/SL
the	the/SL
DMZ-DMZ	DMZ/SL+-/SO+DMZ/SL
사진영상전'에서는	사진/NNG+영상전/NNG+'/SS+에서/JKB+는/JX
본지	본지/NNG
취재팀이	취재/NNG+팀/NNG+이/JKS
국내외	국내외/NNG
언론	언론/NNG
사상	사상/NNG
최초로	최초/NNG+로/JKB
국방부	국방부/NNG
및	및/MAG
유엔사의	유엔사/NNP+의/JKG
정식허가와	정식/NNG+허가/NNG+와/JC
육군본부의	육군/NNG+본부/NNG+의/JKG
지원을	지원/NNG+을/JKO
통해	통하/VV+아/EC
취재한	취재/NNG+하/XSV+ㄴ/ETM
DMZ	DMZ/SL
내부의	내부/NNG+의/JKG
모습이	모습/NNG+이/JKS
260여점의	260/SN+여/XSN+점/NNB+의/JKG
사진과	사진/NNG+과/JC
영상으로	영상/NNG+으로/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.150.15.1
특히 DMZ 내부에서 장병들이 생활하는 감시초소 GP(Guard Post)의 안과 밖을 밀착해서 담았다.

특히	특히/MAG
DMZ	DMZ/SL
내부에서	내부/NNG+에서/JKB
장병들이	장병/NNG+들/XSN+이/JKS
생활하는	생활/NNG+하/XSV+는/ETM
감시초소	감시/NNG+초소/NNG
GP(Guard	GP/SL+(/SS+Guard/SL
Post)의	Post/SL+)/SS+의/JKG
안과	안/NNG+과/JC
밖을	밖/NNG+을/JKO
밀착해서	밀착/NNG+하/XSV+아서/EC
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.150.15.2
DMZ 안에서의 수색작전, 사람의 손길이 닿지 않아 그대로 보존된 전쟁의 흔적 등을 볼 수 있다.

DMZ	DMZ/SL
안에서의	안/NNG+에서/JKB+의/JKG
수색작전,	수색/NNG+작전/NNG+,/SP
사람의	사람/NNG+의/JKG
손길이	손길/NNG+이/JKS
닿지	닿/VV+지/EC
않아	않/VX+아/EC
그대로	그대로/MAG
보존된	보존/NNG+되/XSV+ㄴ/ETM
전쟁의	전쟁/NNG+의/JKG
흔적	흔적/NNG
등을	등/NNB+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.150.15.3
DMZ에서 바라본 북한 GP와 군인들, 철조망이 가로지르는 한반도의 장엄한 산하, 때묻지 않은 자연에서만 발견되는 희귀한 동물들이 카메라에 잡혔다.

DMZ에서	DMZ/SL+에서/JKB
바라본	바라보/VV+ㄴ/ETM
북한	북한/NNP
GP와	GP/SL+와/JC
군인들,	군인/NNG+들/XSN+,/SP
철조망이	철조망/NNG+이/JKS
가로지르는	가로지르/VV+는/ETM
한반도의	한반도/NNP+의/JKG
장엄한	장엄/NNG+하/XSA+ㄴ/ETM
산하,	산하/NNG+,/SP
때묻지	때/NNG+묻/VV+지/EC
않은	않/VX+은/ETM
자연에서만	자연/NNG+에서/JKB+만/JX
발견되는	발견/NNG+되/XSV+는/ETM
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
동물들이	동물/NNG+들/XSN+이/JKS
카메라에	카메라/NNG+에/JKB
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.150.16.1
DMZ 사진에 입체감을 더한 '3D 영상관', GP와 내무반, 땅굴 등의 배경을 360도로 회전시켜 볼 수 있는 'VR 터치룸'이 마련돼 있다.

DMZ	DMZ/SL
사진에	사진/NNG+에/JKB
입체감을	입체감/NNG+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
'3D	'/SS+3/SN+D/SL
영상관',	영상관/NNG+'/SS+,/SP
GP와	GP/SL+와/JC
내무반,	내무반/NNG+,/SP
땅굴	땅굴/NNG
등의	등/NNB+의/JKG
배경을	배경/NNG+을/JKO
360도로	360/SN+도/NNB+로/JKB
회전시켜	회전/NNG+시키/XSV+어/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
'VR	'/SS+VR/SL
터치룸'이	터치/NNG+룸/NNG+'/SS+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.150.17.1
DMZ 현장을 배경으로 본인 모습을 합성해 마치 DMZ 안에서 기념사진을 찍은 듯한 느낌을 주는 '크로마키' 서비스(인쇄할 경우 유료)가 운영된다.

DMZ	DMZ/SL
현장을	현장/NNG+을/JKO
배경으로	배경/NNG+으로/JKB
본인	본인/NNG
모습을	모습/NNG+을/JKO
합성해	합성/NNG+하/XSV+아/EC
마치	마치/MAG
안에서	안/NNG+에서/JKB
기념사진을	기념사진/NNG+을/JKO
찍은	찍/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
주는	주/VV+는/ETM
'크로마키'	'/SS+크로마키/NNG+'/SS
서비스(인쇄할	서비스/NNG+(/SS+인쇄/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
유료)가	유료/NNG+)/SS+가/JKS
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


