# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.316
metadata : {}


# id : NWRW1800000048.316.1.1
기세 오른 중국 ‘호주도 꺾어주마’

기세	기세/NNG
<중국중앙티브이>(CCTV)	</SS+중국중앙티브이/NNP+>/SS+(/SS+CCTV/SL+)/SS
등	등/NNB
중국	중국/NNP
언론은	언론/NNG+은/JX
아시안컵	아시안/NNP+컵/NNG
소식을	소식/NNG+을/JKO
연일	연일/MAG
주요	주요/NNG
뉴스로	뉴스/NNG+로/JKB
다루었다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.316.5.3
<시시티브이>는 18일 1976년 이후 11차례의 아시안컵 성적을 상세히 분석한 뒤 “축구대표팀 역사상 가장 좋은 성적으로 8강에 진출했다”며 흥분을 감추지 못했다.

<시시티브이>는	</SS+시시티브이/NNP+>/SS+는/JX
18일	18/SN+일/NNB
1976년	1976/SN+년/NNB
이후	이후/NNG
11차례의	11/SN+차례/NNG+의/JKG
아시안컵	아시안/NNP+컵/NNG
성적을	성적/NNG+을/JKO
상세히	상세히/MAG
분석한	분석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“축구대표팀	“/SS+축구/NNG+대표/NNG+팀/NNG
역사상	역사/NNG+상/XSN
가장	가장/MAG
좋은	좋/VA+은/ETM
성적으로	성적/NNG+으로/JKB
8강에	8/SN+강/NNB+에/JKB
진출했다”며	진출/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
흥분을	흥분/NNG+을/JKO
감추지	감추/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.316.6.1
중국이 예선전 결과에 환호하는 것은 최근 몇 년 동안 중국 축구대표팀의 성적이 좋지 못했기 때문이다.

중국이	중국/NNP+이/JKS
예선전	예선전/NNG
결과에	결과/NNG+에/JKB
환호하는	환호/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
최근	최근/NNG
몇	몇/NR
년	년/NNB
동안	동안/NNG
중국	중국/NNP
축구대표팀의	축구/NNG+대표/NNG+팀/NNG+의/JKG
성적이	성적/NNG+이/JKS
좋지	좋/VA+지/EC
못했기	못하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.316.6.2
아시안컵 전적만 봐도 중국은 2007년, 2011년 대회에서 1승1무1패 승점 4점의 성적으로 연달아 예선 탈락했다.

아시안컵	아시안/NNP+컵/NNG
전적만	전적/NNG+만/JX
봐도	보/VV+아도/EC
중국은	중국/NNP+은/JX
2007년,	2007/SN+년/NNB+,/SP
2011년	2011/SN+년/NNB
대회에서	대회/NNG+에서/JKB
1승1무1패	1/SN+승/NNB+1/SN+무/NNB+1/SN+패/NNB
승점	승점/NNG
4점의	4/SN+점/NNB+의/JKG
성적으로	성적/NNG+으로/JKB
연달아	연달/VV+아/EC
예선	예선/NNG
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.316.6.3
지난해 6월 중국에서 열린 타이와의 대표팀 평가전에서는 1-5로 참패해 난동이 일어나기도 했다.

지난해	지난해/NNG
6월	6/SN+월/NNB
중국에서	중국/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
타이와의	타이/NNP+와/JKB+의/JKG
대표팀	대표/NNG+팀/NNG
평가전에서는	평가전/NNG+에서/JKB+는/JX
1-5로	1/SN+-/SO+5/SN+로/JKB
참패해	참패/NNG+하/XSV+아/EC
난동이	난동/NNG+이/JKS
일어나기도	일어나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.316.6.4
축구팬인 시진핑 중국 국가주석이 격노해 “도저히 결과를 용인할 수 없다.

축구팬인	축구/NNG+팬/NNG+이/VCP+ㄴ/ETM
시진핑	시진핑/NNP
중국	중국/NNP
국가주석이	국가주석/NNG+이/JKS
격노해	격노/NNG+하/XSV+아/EC
“도저히	“/SS+도저히/MAG
결과를	결과/NNG+를/JKO
용인할	용인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.316.6.5
모든 역량을 동원해 원인을 파악하라”는 지시까지 내릴 정도로 중국인들의 충격은 컸다.

모든	모든/MMN
역량을	역량/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
원인을	원인/NNG+을/JKO
파악하라”는	파악/NNG+하/XSV+라/EF+”/SS+는/JX
지시까지	지시/NNG+까지/JX
내릴	내리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
중국인들의	중국인/NNG+들/XSN+의/JKG
충격은	충격/NNG+은/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.316.7.1
중국 대표팀의 선전에 중국 언론들은 상세한 분석을 내놓고 있다.

중국	중국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
선전에	선전/NNG+에/JKB
언론들은	언론/NNG+들/XSN+은/JX
상세한	상세하/VA+ㄴ/ETM
분석을	분석/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.316.7.2
<양쯔만보>는 첫번째 이유를 중국 프로리그에서 찾았다.

<양쯔만보>는	</SS+양쯔만보/NNP+>/SS+는/JX
첫번째	첫/MMN+번/NNB+째/XSN
이유를	이유/NNG+를/JKO
중국	중국/NNP
프로리그에서	프로/NNG+리그/NNG+에서/JKB
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.316.7.3
최근 들어 과감한 투자가 이뤄지면서 아시아챔피언스리그에서 좋은 결과를 거둔 것이 실력 향상과 자신감으로 돌아왔다는 것이다.

최근	최근/NNG
들어	들/VV+어/EC
과감한	과감하/VA+ㄴ/ETM
투자가	투자/NNG+가/JKS
이뤄지면서	이뤄지/VV+면서/EC
아시아챔피언스리그에서	아시아/NNP+챔피언스리그/NNG+에서/JKB
좋은	좋/VA+은/ETM
결과를	결과/NNG+를/JKO
거둔	거두/VV+ㄴ/ETM
것이	것/NNB+이/JKS
실력	실력/NNG
향상과	향상/NNG+과/JC
자신감으로	자신감/NNG+으로/JKB
돌아왔다는	돌아오/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.316.7.4
알랭 페랭 감독의 조련과 과감한 신인 등용도 큰 힘이 됐다.

알랭	알랭/NNP
페랭	페랭/NNP
감독의	감독/NNG+의/JKG
조련과	조련/NNG+과/JC
과감한	과감하/VA+ㄴ/ETM
신인	신인/NNG
등용도	등용/NNG+도/JX
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.316.7.5
나쁜 습관과 패배주의에 젖어 쉽게 포기하던 노장파들의 고질병을 떨쳐냈다.

나쁜	나쁘/VA+ㄴ/ETM
습관과	습관/NNG+과/JC
패배주의에	패배주의/NNG+에/JKB
젖어	젖/VV+어/EC
쉽게	쉽/VA+게/EC
포기하던	포기/NNG+하/XSV+던/ETM
노장파들의	노장파/NNG+들/XSN+의/JKG
고질병을	고질병/NNG+을/JKO
떨쳐냈다.	떨치/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.316.7.6
이밖에 축구협회와 감독 간의 신뢰, 프로팀들의 과감한 지원도 이유로 들었다.

이밖에	이/NP+밖/NNG+에/JKB
축구협회와	축구협회/NNP+와/JC
감독	감독/NNG
간의	간/NNB+의/JKG
신뢰,	신뢰/NNG+,/SP
프로팀들의	프로/NNG+팀/NNG+들/XSN+의/JKG
과감한	과감하/VA+ㄴ/ETM
지원도	지원/NNG+도/JX
이유로	이유/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.316.8.1
중국은 홈팀인 호주와의 8강전(22일)도 해볼 만하다는 분위기다.

중국은	중국/NNP+은/JX
홈팀인	홈팀/NNG+이/VCP+ㄴ/ETM
호주와의	호주/NNP+와/JKB+의/JKG
8강전(22일)도	8/SN+강전/NNB+(/SS+22/SN+일/NNB+)/SS+도/JX
해볼	하/VV+아/EC+보/VX+ㄹ/ETM
만하다는	만/NNB+하/XSA+다는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.316.8.2
중국 매체 <징화시보>는 “지금까지 경기 내용들이 좋았던데다 상승세의 중국을 만나면 부담을 느끼고 머리가 아픈 쪽은 오히려 호주가 될 것”이라고 전망했다.

중국	중국/NNP
매체	매체/NNG
<징화시보>는	</SS+징화시보/NNP+>/SS+는/JX
“지금까지	“/SS+지금/NNG+까지/JX
경기	경기/NNG
내용들이	내용/NNG+들/XSN+이/JKS
좋았던데다	좋/VA+았/EP+던데/EC+다/JX
상승세의	상승세/NNG+의/JKG
중국을	중국/NNP+을/JKO
만나면	만나/VV+면/EC
부담을	부담/NNG+을/JKO
느끼고	느끼/VV+고/EC
머리가	머리/NNG+가/JKS
아픈	아프/VA+ㄴ/ETM
쪽은	쪽/NNB+은/JX
오히려	오히려/MAG
호주가	호주/NNP+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.316.8.3
중국-호주전 열기로 브리즈번에서는 이미 표를 구하기가 힘들다.

중국-호주전	중국/NNP+-/SO+호주전/NNG
열기로	열기/NNG+로/JKB
브리즈번에서는	브리즈번/NNP+에서/JKB+는/JX
이미	이미/MAG
표를	표/NNG+를/JKO
구하기가	구하/VV+기/ETN+가/JKS
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000048.316.8.4
우즈베크전, 북한전에서는 1만명이 넘는 중국 팬들이 입장했었다.

우즈베크전,	우즈베크전/NNG+,/SP
북한전에서는	북한전/NNG+에서/JKB+는/JX
1만명이	1/SN+만/NR+명/NNB+이/JKS
넘는	넘/VV+는/ETM
중국	중국/NNP
팬들이	팬/NNG+들/XSN+이/JKS
입장했었다.	입장/NNG+하/XSV+았었/EP+다/EF+./SF


