# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.246
metadata : {}


# id : NWRW1800000028.246.1.1
법원 “서울대, 황우석 파면 정당”

법원	법원/NNG
# id : NWRW1800000028.246.4.2
그는 줄기세포 연구 성과를 과장해 연구비를 타낸 혐의 등으로 기소돼 지난해 10월 징역 2년에 집행유예 3년을 선고받았으며 현재 항소심이 진행중이다.

그는	그/NP+는/JX
줄기세포	줄기세포/NNG
연구	연구/NNG
성과를	성과/NNG+를/JKO
과장해	과장/NNG+하/XSV+아/EC
연구비를	연구비/NNG+를/JKO
타낸	타/VV+아/EC+내/VX+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소돼	기소/NNG+되/XSV+어/EC
지난해	지난해/NNG
10월	10/SN+월/NNB
징역	징역/NNG
2년에	2/SN+년/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
3년을	3/SN+년/NNB+을/JKO
선고받았으며	선고/NNG+받/XSV+았/EP+으며/EC
현재	현재/MAG
항소심이	항소심/NNG+이/JKS
진행중이다.	진행/NNG+중/NNB+이/VCP+다/EF+./SF


