# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.370
metadata : {}


# id : NWRW1800000036.370.1.1
19대도 법조인 과잉…새누리·민주당 11%대

19대도	19/SN+대/NNB+도/JX
공천신청자의	공천/NNG+신청자/NNG+의/JKG
평균	평균/NNG
연령은	연령/NNG+은/JX
새누리당이	새누리당/NNP+이/JKS
54.4살이었고,	54/SN+./SP+4/SN+살/NNB+이/VCP+었/EP+고/EC+,/SP
민주통합당이	민주통합당/NNP+이/JKS
52.6살로	52/SN+./SP+6/SN+살/NNB+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.370.10.3
20대 신청자는 새누리당 2명이 전부였고, 30~40대의 경우 새누리당이 229명(24.3%)인 반면 민주통합당은 271명(38.0%)으로 상당한 비중을 차지했다.

20대	20/SN+대/NNB
신청자는	신청자/NNG+는/JX
새누리당	새누리당/NNP
2명이	2/SN+명/NNB+이/JKS
전부였고,	전부/NNG+이/VCP+었/EP+고/EC+,/SP
30~40대의	30/SN+~/SO+40/SN+대/NNB+의/JKG
경우	경우/NNG
새누리당이	새누리당/NNP+이/JKS
229명(24.3%)인	229/SN+명/NNB+(/SS+24/SN+./SP+3/SN+%/SW+)/SS+이/VCP+ㄴ/ETM
반면	반면/NNG
민주통합당은	민주통합당/NNP+은/JX
271명(38.0%)으로	271/SN+명/NNB+(/SS+38/SN+./SP+0/SN+%/SW+)/SS+으로/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
비중을	비중/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.370.11.1
신청자들은 공천 신청 때 2가지 경력을 제출했는데, 자신의 직업이나 전공 분야를 드러낸 경력 외에도 이번 총선에 영향력을 미치는 정치인이 ‘키워드’인 경우가 많았다.

신청자들은	신청자/NNG+들/XSN+은/JX
공천	공천/NNG
신청	신청/NNG
때	때/NNG
2가지	2/SN+가지/NNB
경력을	경력/NNG+을/JKO
제출했는데,	제출/NNG+하/XSV+았/EP+는데/EC+,/SP
자신의	자신/NNG+의/JKG
직업이나	직업/NNG+이나/JC
전공	전공/NNG
분야를	분야/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
경력	경력/NNG
외에도	외/NNB+에/JKB+도/JX
이번	이번/NNG
총선에	총선/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
미치는	미치/VV+는/ETM
정치인이	정치인/NNG+이/JKS
‘키워드’인	‘/SS+키워드/NNG+’/SS+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.370.11.2
새누리당 신청자 가운데 ‘박근혜’라는 단어를 쓴 사람이 77명으로 8.1%를 차지했으며, ‘친박’이나 ‘박사모’ 등까지 포함하면 90여명으로 집계됐다.

새누리당	새누리당/NNP
신청자	신청자/NNG
가운데	가운데/NNG
‘박근혜’라는	‘/SS+박근혜/NNP+’/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
77명으로	77/SN+명/NNB+으로/JKB
8.1%를	8/SN+./SP+1/SN+%/SW+를/JKO
차지했으며,	차지/NNG+하/XSV+았/EP+으며/EC+,/SP
‘친박’이나	‘/SS+친/XPN+박/NNP+’/SS+이나/JC
‘박사모’	‘/SS+박사모/NNP+’/SS
등까지	등/NNB+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
90여명으로	90/SN+여/XSN+명/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.370.11.3
민주통합당의 ‘키워드’ 쏠림 현상도 심했다.

민주통합당의	민주통합당/NNP+의/JKG
‘키워드’	‘/SS+키워드/NNG+’/SS
쏠림	쏠림/NNG
현상도	현상/NNG+도/JX
심했다.	심하/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.370.11.4
경력에 ‘노무현’이 들어가는 신청자가 무려 122명으로 17.1%에 이르렀고, ‘김대중’이 29명으로 4.1%, 경력에 ‘박원순’을 넣은 신청자도 26명(3.6%)이나 됐다.

경력에	경력/NNG+에/JKB
‘노무현’이	‘/SS+노무현/NNP+’/SS+이/JKS
들어가는	들어가/VV+는/ETM
신청자가	신청자/NNG+가/JKS
무려	무려/MAG
122명으로	122/SN+명/NNB+으로/JKB
17.1%에	17/SN+./SP+1/SN+%/SW+에/JKB
이르렀고,	이르/VV+었/EP+고/EC+,/SP
‘김대중’이	‘/SS+김대중/NNP+’/SS+이/JKS
29명으로	29/SN+명/NNB+으로/JKB
4.1%,	4/SN+./SP+1/SN+%/SW+,/SP
‘박원순’을	‘/SS+박원순/NNP+’/SS+을/JKO
넣은	넣/VV+은/ETM
신청자도	신청자/NNG+도/JX
26명(3.6%)이나	26/SN+명/NNB+(/SS+3/SN+./SP+6/SN+%/SW+)/SS+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


