# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.41
metadata : {}


# id : NWRW1800000053.41.1.1
‘非전시 美해군 방호’… 日, 자위대에 첫 명령

‘非전시	‘/SS+非/SH+전시/NNG
평시의	평시/NNG+의/JKG
중간	중간/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
‘그레이존(Gray	‘/SS+그레이존/NNG+(/SS+Gray/SL
zone)’	zone/SL+)/SS+’/SS
상태에서	상태/NNG+에서/JKB
자위대가	자위대/NNG+가/JKS
무기를	무기/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
미군	미군/NNG
외국	외국/NNG
군대	군대/NNG
함선을	함선/NNG+을/JKO
방호(보호)하는	방호/NNG+(/SS+보호/NNG+)/SS+하/XSV+는/ETM
임무를	임무/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.41.4.2
지난해 3월 시행된 안보관련법(안보법)에 따라 임무 부여가 가능해졌다.

지난해	지난해/NNG
3월	3/SN+월/NNB
시행된	시행/NNG+되/XSV+ㄴ/ETM
안보관련법(안보법)에	안보/NNG+관련/NNG+법/NNG+(/SS+안보법/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
임무	임무/NNG
부여가	부여/NNG+가/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.41.5.1
일본 정부는 지난해 11, 12월 남수단 유엔평화유지활동(PKO)에 파견된 육상자위대 부대에 ‘출동경호’ 임무를 부여한 데 이어 이번에 해상자위대에 ‘무기 등 방호’ 명령을 내림으로써 자위대 활동 범위를 확대했다.

일본	일본/NNP
정부는	정부/NNG+는/JX
지난해	지난해/NNG
11,	11/SN+,/SP
12월	12/SN+월/NNB
남수단	남수단/NNP
유엔평화유지활동(PKO)에	유엔/NNP+평화/NNG+유지/NNG+활동/NNG+(/SS+PKO/SL+)/SS+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
육상자위대	육상/NNG+자위대/NNG
부대에	부대/NNG+에/JKB
‘출동경호’	‘/SS+출동/NNG+경호/NNG+’/SS
임무를	임무/NNG+를/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이번에	이번/NNG+에/JKB
해상자위대에	해상/NNG+자위대/NNG+에/JKB
‘무기	‘/SS+무기/NNG
등	등/NNB
방호’	방호/NNG+’/SS
명령을	명령/NNG+을/JKO
내림으로써	내리/VV+ㅁ/ETN+으로써/JKB
자위대	자위대/NNG
활동	활동/NNG
범위를	범위/NNG+를/JKO
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.41.5.2
‘전쟁이 가능한 국가’로 한 걸음 더 나아가게 된 것을 의미한다.

‘전쟁이	‘/SS+전쟁/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
국가’로	국가/NNG+’/SS+로/JKB
한	한/MMN
걸음	걸음/NNG
더	더/MAG
나아가게	나아가/VV+게/EC
된	되/VV+ㄴ/ETM
것을	것/NNB+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.41.5.3
아베 신조(安倍晋三) 정권은 해상자위대의 새 임무에 대해 당초 미일 공동훈련 중 첫 실시를 검토했으나 한반도 위기가 고조되면서 그 시기가 앞당겨졌다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
정권은	정권/NNG+은/JX
해상자위대의	해상/NNG+자위대/NNG+의/JKG
새	새/MMA
임무에	임무/NNG+에/JKB
대해	대하/VV+아/EC
당초	당초/NNG
미일	미일/NNP
공동훈련	공동/NNG+훈련/NNG
중	중/NNB
첫	첫/MMN
실시를	실시/NNG+를/JKO
검토했으나	검토/NNG+하/XSV+았/EP+으나/EC
한반도	한반도/NNP
위기가	위기/NNG+가/JKS
고조되면서	고조/NNG+되/XSV+면서/EC
그	그/MMD
시기가	시기/NNG+가/JKS
앞당겨졌다.	앞당기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.41.6.1
첫 ‘무기 등 방호’ 임무는 항공모함급 호위함 이즈모에 부여됐다.

첫	첫/MMN
‘무기	‘/SS+무기/NNG
등	등/NNB
방호’	방호/NNG+’/SS
임무는	임무/NNG+는/JX
항공모함급	항공/NNG+모함급/NNG
호위함	호위함/NNG
이즈모에	이즈모/NNP+에/JKB
부여됐다.	부여/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.41.6.2
이즈모는 길이 248m에 기준 배수량이 약 1만9500t(최대 배수량 2만7000t)인 대형 호위함으로 14대의 헬기를 탑재할 수 있다.

이즈모는	이즈모/NNP+는/JX
길이	길이/NNG
248m에	248/SN+m/SW+에/JKB
기준	기준/NNG
배수량이	배수량/NNG+이/JKS
약	약/MMA
1만9500t(최대	1/SN+만/NR+9500/SN+t/SW+(/SS+최대/NNG
배수량	배수량/NNG
2만7000t)인	2/SN+만/NR+7000/SN+t/SW+)/SS+이/VCP+ㄴ/ETM
대형	대형/NNG
호위함으로	호위함/NNG+으로/JKB
14대의	14/SN+대/NNB+의/JKG
헬기를	헬기/NNG+를/JKO
탑재할	탑재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.41.6.3
1일 가나가와(神奈川) 현 요코스카(橫須賀) 기지를 출항하는 이즈모는 간토(關東) 지방 보소(房總) 반도 앞바다에 있는 미 해군 보급함과 합류해 시코쿠(四國) 앞바다까지 이 보급함을 호위하며 함께 항행할 예정이다.

1일	1/SN+일/NNB
가나가와(神奈川)	가나가와/NNP+(/SS+神奈川/SH+)/SS
현	현/NNG
요코스카(橫須賀)	요코스카/NNP+(/SS+橫須賀/SH+)/SS
기지를	기지/NNG+를/JKO
출항하는	출항/NNG+하/XSV+는/ETM
이즈모는	이즈모/NNP+는/JX
간토(關東)	간토/NNP+(/SS+關東/SH+)/SS
지방	지방/NNG
보소(房總)	보소/NNP+(/SS+房總/SH+)/SS
반도	반도/NNG
앞바다에	앞바다/NNG+에/JKB
있는	있/VA+는/ETM
미	미/NNP
해군	해군/NNG
보급함과	보급/NNG+함/NNG+과/JKB
합류해	합류/NNG+하/XSV+아/EC
시코쿠(四國)	시코쿠/NNP+(/SS+四國/SH+)/SS
앞바다까지	앞바다/NNG+까지/JX
이	이/MMD
보급함을	보급/NNG+함/NNG+을/JKO
호위하며	호위/NNG+하/XSV+며/EC
함께	함께/MAG
항행할	항행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.41.7.1
보호 대상이 될 미 해군 보급함은 북한에 의한 탄도미사일 발사에 대한 경계 등을 하는 미 태평양함대 함선에 물자를 전달할 계획이다.

보호	보호/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
미	미/NNP
해군	해군/NNG
보급함은	보급/NNG+함/NNG+은/JX
북한에	북한/NNP+에/JKB
의한	의하/VV+ㄴ/ETM
탄도미사일	탄도/NNG+미사일/NNG
발사에	발사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경계	경계/NNG
등을	등/NNB+을/JKO
하는	하/VV+는/ETM
태평양함대	태평양/NNP+함대/NNG
함선에	함선/NNG+에/JKB
물자를	물자/NNG+를/JKO
전달할	전달/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.41.7.2
신문은 이 보급함이 지난달 29일 동해로 들어간 칼빈슨 항모전단에도 물자를 보급할 가능성이 있다고 전했다.

신문은	신문/NNG+은/JX
이	이/MMD
보급함이	보급/NNG+함/NNG+이/JKS
지난달	지난달/NNG
29일	29/SN+일/NNB
동해로	동해/NNP+로/JKB
들어간	들어가/VV+ㄴ/ETM
칼빈슨	칼빈슨/NNP
항모전단에도	항모/NNG+전단/NNG+에/JKB+도/JX
물자를	물자/NNG+를/JKO
보급할	보급/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.41.8.1
아사히신문은 ‘무기 등 방호’ 임무 부여 권한을 방위성이 마음대로 행사할 수 있게 돼 있는 점에 대해 “견제나 정보 공개가 불충분하다는 지적이 있다”고 짚었다.

아사히신문은	아사히신문/NNP+은/JX
‘무기	‘/SS+무기/NNG
등	등/NNB
방호’	방호/NNG+’/SS
임무	임무/NNG
부여	부여/NNG
권한을	권한/NNG+을/JKO
방위성이	방위성/NNG+이/JKS
마음대로	마음대로/MAG
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
있는	있/VX+는/ETM
점에	점/NNG+에/JKB
대해	대하/VV+아/EC
“견제나	“/SS+견제/NNG+나/JC
정보	정보/NNG
공개가	공개/NNG+가/JKS
불충분하다는	불충분/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.41.8.2
아베 정권은 지난해 12월 국가안전보장회의(NSC)에서 방치할 경우 일본이 공격당할 수 있는 ‘중요영향사태’가 아닌 한은 방위성이 ‘무기 등 방호’를 명령하고 결과를 다음 해에 NSC에 보고하도록 했다.

아베	아베/NNP
정권은	정권/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
국가안전보장회의(NSC)에서	국가/NNG+안전/NNG+보장/NNG+회의/NNG+(/SS+NSC/SL+)/SS+에서/JKB
방치할	방치/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
일본이	일본/NNP+이/JKS
공격당할	공격/NNG+당하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘중요영향사태’가	‘/SS+중요/NNG+영향/NNG+사태/NNG+’/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
한은	한/NNG+은/JX
방위성이	방위성/NNG+이/JKS
‘무기	‘/SS+무기/NNG
등	등/NNB
방호’를	방호/NNG+’/SS+를/JKO
명령하고	명령/NNG+하/XSV+고/EC
결과를	결과/NNG+를/JKO
다음	다음/NNG
해에	해/NNG+에/JKB
NSC에	NSC/SL+에/JKB
보고하도록	보고/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.41.9.1
한편 미국 일본 영국 프랑스 등 4개국은 5월 3∼22일 태평양에서 대규모 연합 훈련을 실시한다고 일본 언론이 30일 보도했다.

한편	한편/NNG
미국	미국/NNP
일본	일본/NNP
영국	영국/NNP
프랑스	프랑스/NNP
등	등/NNB
4개국은	4/SN+개국/NNB+은/JX
5월	5/SN+월/NNB
3∼22일	3/SN+∼/SO+22/SN+일/NNB
태평양에서	태평양/NNP+에서/JKB
대규모	대/XPN+규모/NNG
연합	연합/NNG
훈련을	훈련/NNG+을/JKO
실시한다고	실시/NNG+하/XSV+ㄴ다고/EC
언론이	언론/NNG+이/JKS
30일	30/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.41.9.2
4개국의 대규모 연합 훈련은 처음으로 중국의 해군력 강화와 북한의 미사일 도발을 염두에 두고 실시되는 것으로 보인다.

4개국의	4/SN+개국/NNB+의/JKG
대규모	대/XPN+규모/NNG
연합	연합/NNG
훈련은	훈련/NNG+은/JX
처음으로	처음/NNG+으로/JKB
중국의	중국/NNP+의/JKG
해군력	해군력/NNG
강화와	강화/NNG+와/JC
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
도발을	도발/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
실시되는	실시/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.41.9.3
이번 훈련은 일본 근해와 괌, 미국령 북마리아나 제도 티니언 섬 등에서 실시된다.

이번	이번/NNG
훈련은	훈련/NNG+은/JX
일본	일본/NNP
근해와	근해/NNG+와/JC
괌,	괌/NNP+,/SP
미국령	미국령/NNG
북마리아나	북마리아나/NNP
제도	제도/NNG
티니언	티니언/NNP
섬	섬/NNG
등에서	등/NNB+에서/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


