# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.88
metadata : {}


# id : NWRW1800000040.88.1.1
파키스탄서 히말라야 등반객 테러 10명 사망

파키스탄서	파키스탄/NNP+서/JKB
낭가파르바트봉	낭가파르바트봉/NNP
기슭의	기슭/NNG+의/JKG
한	한/MMN
호텔에	호텔/NNG+에/JKB
무장	무장/NNG
테러리스트들이	테러리스트/NNG+들/XSN+이/JKS
난입해,	난입/NNG+하/XSV+아/EC+,/SP
이	이/MMD
산을	산/NNG+을/JKO
오르려는	오르/VV+려는/ETM
외국인	외국인/NNG
관광객	관광객/NNG
9명	9/SN+명/NNB
등	등/NNB
모두	모두/MAG
10명을	10/SN+명/NNB+을/JKO
살해했다고	살해/NNG+하/XSV+았/EP+다고/EC
<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신	통신/NNG
외신들이	외신/NNG+들/XSN+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.88.5.2
이 테러로 우크라이나인 5명, 러시아인 1명, 중국인 3명 및 파키스탄 가이드 1명이 숨졌다.

이	이/MMD
테러로	테러/NNG+로/JKB
우크라이나인	우크라이나인/NNG
5명,	5/SN+명/NNB+,/SP
러시아인	러시아인/NNG
1명,	1/SN+명/NNB+,/SP
중국인	중국인/NNG
3명	3/SN+명/NNB
및	및/MAG
파키스탄	파키스탄/NNP
가이드	가이드/NNG
1명이	1/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.88.5.3
이 지역의 수니파 무장세력인 ‘준둘라’는 이날 테러가 자신들의 소행이라고 밝혔으나, 동기는 아직 명확치 않다고 영국 <비비시>(BBC)가 보도했다.

이	이/MMD
지역의	지역/NNG+의/JKG
수니파	수니파/NNG
무장세력인	무장/NNG+세력/NNG+이/VCP+ㄴ/ETM
‘준둘라’는	‘/SS+준둘라/NNP+’/SS+는/JX
이날	이날/NNG
테러가	테러/NNG+가/JKS
자신들의	자신/NNG+들/XSN+의/JKG
소행이라고	소행/NNG+이/VCP+라고/EC
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
동기는	동기/NNG+는/JX
아직	아직/MAG
명확치	명확하/VA+지/EC
않다고	않/VX+다고/EC
영국	영국/NNP
<비비시>(BBC)가	</SS+비비시/NNP+>/SS+(/SS+BBC/SL+)/SS+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.88.6.1
중국과 접경 지역에 있는 낭가파르바트봉은 히말라야 산맥에 있는 세계 9번째의 고봉(8126m)이다.

중국과	중국/NNP+과/JKB
접경	접경/NNG
지역에	지역/NNG+에/JKB
있는	있/VA+는/ETM
낭가파르바트봉은	낭가파르바트봉/NNP+은/JX
히말라야	히말라야/NNP
산맥에	산맥/NNG+에/JKB
세계	세계/NNG
9번째의	9/SN+번/NNB+째/XSN+의/JKG
고봉(8126m)이다.	고봉/NNG+(/SS+8126/SN+m/SW+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000040.88.6.2
6~7월에 산악인 및 트레킹을 즐기는 관광객들에게 인기가 높다.

6~7월에	6/SN+~/SO+7/SN+월/NNB+에/JKB
산악인	산악인/NNG
및	및/MAG
트레킹을	트레킹/NNG+을/JKO
즐기는	즐기/VV+는/ETM
관광객들에게	관광객/NNG+들/XSN+에게/JKB
인기가	인기/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000040.88.6.3
길기트-발티스탄은 파키스탄이 인도와 영유권 분쟁으로 여러 차례 전쟁을 벌인 카슈미르 지역에 속하지만, 최근까지 치안이 안전해 많은 관광객들이 찾는 관광지였다.

길기트-발티스탄은	길기트/NNP+-/SO+발티스탄/NNP+은/JX
파키스탄이	파키스탄/NNP+이/JKS
인도와	인도/NNP+와/JKB
영유권	영유/NNG+권/XSN
분쟁으로	분쟁/NNG+으로/JKB
여러	여러/MMN
차례	차례/NNG
전쟁을	전쟁/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
카슈미르	카슈미르/NNP
지역에	지역/NNG+에/JKB
속하지만,	속하/VV+지만/EC+,/SP
최근까지	최근/NNG+까지/JX
치안이	치안/NNG+이/JKS
안전해	안전/NNG+하/XSA+아/EC
많은	많/VA+은/ETM
관광객들이	관광객/NNG+들/XSN+이/JKS
찾는	찾/VV+는/ETM
관광지였다.	관광지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.88.7.1
경찰 제복으로 위장한 테러리스트들은 자정께 호텔을 급습해, 외국 관광객들의 여권과 돈을 빼앗은 뒤 총기를 난사해 살해했다고 현지 경찰이 <로이터> 통신에 밝혔다.

경찰	경찰/NNG
제복으로	제복/NNG+으로/JKB
위장한	위장/NNG+하/XSV+ㄴ/ETM
테러리스트들은	테러리스트/NNG+들/XSN+은/JX
자정께	자정/NNG+께/XSN
호텔을	호텔/NNG+을/JKO
급습해,	급습/NNG+하/XSV+아/EC+,/SP
외국	외국/NNG
관광객들의	관광객/NNG+들/XSN+의/JKG
여권과	여권/NNG+과/JC
돈을	돈/NNG+을/JKO
빼앗은	빼앗/VV+은/ETM
뒤	뒤/NNG
총기를	총기/NNG+를/JKO
난사해	난사/NNG+하/XSV+아/EC
살해했다고	살해/NNG+하/XSV+았/EP+다고/EC
현지	현지/NNG
경찰이	경찰/NNG+이/JKS
<로이터>	</SS+로이터/NNP+>/SS
통신에	통신/NNG+에/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.88.7.2
이번 사건은 카슈미르를 이슬람 지역으로 분리독립시키려는 이슬람주의 세력들의 테러로 추정된다.

이번	이번/NNG
사건은	사건/NNG+은/JX
카슈미르를	카슈미르/NNP+를/JKO
이슬람	이슬람/NNG
지역으로	지역/NNG+으로/JKB
분리독립시키려는	분리/NNG+독립/NNG+시키/XSV+려는/ETM
이슬람주의	이슬람주의/NNG
세력들의	세력/NNG+들/XSN+의/JKG
테러로	테러/NNG+로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.88.7.3
카슈미르 지역에서는 소련의 아프가니스탄 침공 이후 이슬람주의 무장세력이 자리를 잡고, 인도와 파키스탄으로 나뉜 카슈미르 지역 전체를 파키스탄으로 합병하거나 분리독립을 추구하는 테러 활동을 벌여왔다.

카슈미르	카슈미르/NNP
지역에서는	지역/NNG+에서/JKB+는/JX
소련의	소련/NNP+의/JKG
아프가니스탄	아프가니스탄/NNP
침공	침공/NNG
이후	이후/NNG
이슬람주의	이슬람주의/NNG
무장세력이	무장/NNG+세력/NNG+이/JKS
자리를	자리/NNG+를/JKO
잡고,	잡/VV+고/EC+,/SP
인도와	인도/NNP+와/JC
파키스탄으로	파키스탄/NNP+으로/JKB
나뉜	나뉘/VV+ㄴ/ETM
지역	지역/NNG
전체를	전체/NNG+를/JKO
합병하거나	합병/NNG+하/XSV+거나/EC
분리독립을	분리/NNG+독립/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
테러	테러/NNG
활동을	활동/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.88.7.4
2008년 인도 뭄바이에 잠입해서 시가전에 준하는 테러 공격을 벌인 ‘라슈카르 타이바’도 카슈미르의 이슬람주의 무장세력이다.

2008년	2008/SN+년/NNB
인도	인도/NNP
뭄바이에	뭄바이/NNP+에/JKB
잠입해서	잠입/NNG+하/XSV+아서/EC
시가전에	시가전/NNG+에/JKB
준하는	준하/VV+는/ETM
테러	테러/NNG
공격을	공격/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
‘라슈카르	‘/SS+라슈카르/NNP
타이바’도	타이바/NNP+’/SS+도/JX
카슈미르의	카슈미르/NNP+의/JKG
이슬람주의	이슬람주의/NNG
무장세력이다.	무장/NNG+세력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.88.8.1
무고한 민간인 관광객을 표적으로 한 이 사건으로 파키스탄에서는 테러 안전지대가 갈수록 축소되고 있다.

무고한	무고하/VA+ㄴ/ETM
민간인	민간인/NNG
관광객을	관광객/NNG+을/JKO
표적으로	표적/NNG+으로/JKB
한	하/VV+ㄴ/ETM
이	이/MMD
사건으로	사건/NNG+으로/JKB
파키스탄에서는	파키스탄/NNP+에서/JKB+는/JX
테러	테러/NNG
안전지대가	안전지대/NNG+가/JKS
갈수록	갈수록/MAG
축소되고	축소/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.88.8.2
시에드 메디 샤 카슈미르 주지사는 “수많은 관광객들이 여름에 이곳에 오고, 우리 주민들이 그 관광객들의 돈으로 먹고산다”며 “이 사건은 이 지역뿐만 아니라 파키스탄 전체에 악영향을 줄 것”이라고 말했다.

시에드	시에드/NNP
메디	메디/NNP
샤	샤/NNP
카슈미르	카슈미르/NNP
주지사는	주지사/NNG+는/JX
“수많은	“/SS+수많/VA+은/ETM
관광객들이	관광객/NNG+들/XSN+이/JKS
여름에	여름/NNG+에/JKB
이곳에	이곳/NP+에/JKB
오고,	오/VV+고/EC+,/SP
우리	우리/NP
주민들이	주민/NNG+들/XSN+이/JKS
그	그/MMD
관광객들의	관광객/NNG+들/XSN+의/JKG
돈으로	돈/NNG+으로/JKB
먹고산다”며	먹고살/VV+ㄴ다/EF+”/SS+며/EC
“이	“/SS+이/MMD
사건은	사건/NNG+은/JX
이	이/MMD
지역뿐만	지역/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
파키스탄	파키스탄/NNP
전체에	전체/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


