# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.61
metadata : {}


# id : NWRW1800000041.61.1.1
이스라엘軍, 유엔 학교 포격 최소15명 사망

이스라엘軍,	이스라엘/NNP+軍/SH+,/SP
생기고	생기/VV+고/EC
책을	책/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
용품들이	용품/NNG+들/XSN+이/JKS
어지럽게	어지럽/VA+게/EC
흩어져	흩어지/VV+어/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.5.1
가자지구에서 이스라엘과 하마스 간 전투로 유엔 시설이 공격을 받기는 8일 이스라엘의 가자지구 공격 개시 이후 이번이 네 번째이며 희생자가 보고된 것은 처음이다.

가자지구에서	가자지구/NNP+에서/JKB
이스라엘과	이스라엘/NNP+과/JC
하마스	하마스/NNP
간	간/NNB
전투로	전투/NNG+로/JKB
유엔	유엔/NNP
시설이	시설/NNG+이/JKS
공격을	공격/NNG+을/JKO
받기는	받/VV+기/ETN+는/JX
8일	8/SN+일/NNB
이스라엘의	이스라엘/NNP+의/JKG
가자지구	가자지구/NNP
공격	공격/NNG
개시	개시/NNG
이후	이후/NNG
이번이	이번/NNG+이/JKS
네	네/MMN
번째이며	번/NNB+째/XSN+이/VCP+며/EC
희생자가	희생자/NNG+가/JKS
보고된	보고/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.61.5.2
이스라엘군은 가자지구의 로켓 발사를 차단하고 가자지구에서 이스라엘로 통하는 많은 땅굴을 파괴하기 위해 공격 수위를 낮추지 않고 있다.

이스라엘군은	이스라엘군/NNG+은/JX
가자지구의	가자지구/NNP+의/JKG
로켓	로켓/NNG
발사를	발사/NNG+를/JKO
차단하고	차단/NNG+하/XSV+고/EC
가자지구에서	가자지구/NNP+에서/JKB
이스라엘로	이스라엘/NNP+로/JKB
통하는	통하/VV+는/ETM
많은	많/VA+은/ETM
땅굴을	땅굴/NNG+을/JKO
파괴하기	파괴/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공격	공격/NNG
수위를	수위/NNG+를/JKO
낮추지	낮추/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.61.6.1
특히 이날 포격은 유엔인권이사회(UNHRC)가 23일 스위스 제네바에서 긴급회의를 열어 이스라엘의 가자지구 군사작전에 대한 조사위원회를 구성하는 결의안을 채택한 뒤 하루 만에 벌어진 것이다.

특히	특히/MAG
이날	이날/NNG
포격은	포격/NNG+은/JX
유엔인권이사회(UNHRC)가	유엔인권이사회/NNP+(/SS+UNHRC/SL+)/SS+가/JKS
23일	23/SN+일/NNB
스위스	스위스/NNP
제네바에서	제네바/NNP+에서/JKB
긴급회의를	긴급회의/NNG+를/JKO
열어	열/VV+어/EC
이스라엘의	이스라엘/NNP+의/JKG
가자지구	가자지구/NNP
군사작전에	군사/NNG+작전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사위원회를	조사/NNG+위원회/NNG+를/JKO
구성하는	구성/NNG+하/XSV+는/ETM
결의안을	결의안/NNG+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
하루	하루/NNG
만에	만/NNB+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.61.7.1
이날 가자지구 다른 지역의 공습과 포격으로 최소 40명이 숨져 팔레스타인 사망자는 최소 790명으로 늘었고 이스라엘 희생자는 35명이 됐다.

이날	이날/NNG
가자지구	가자지구/NNP
다른	다른/MMD
지역의	지역/NNG+의/JKG
공습과	공습/NNG+과/JC
포격으로	포격/NNG+으로/JKB
최소	최소/NNG
40명이	40/SN+명/NNB+이/JKS
숨져	숨지/VV+어/EC
팔레스타인	팔레스타인/NNP
사망자는	사망자/NNG+는/JX
790명으로	790/SN+명/NNB+으로/JKB
늘었고	늘/VV+었/EP+고/EC
이스라엘	이스라엘/NNP
희생자는	희생자/NNG+는/JX
35명이	35/SN+명/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.61.8.1
한편 하마스와 교전 중인 이스라엘 상공에서 자국 민항기 비행을 금지했던 미국 연방항공청(FAA)은 23일 오후 국내 유대인 지지자들의 반발에 밀려 이틀 만에 비행 금지를 철회했다.

한편	한편/MAG
하마스와	하마스/NNP+와/JKB
교전	교전/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이스라엘	이스라엘/NNP
상공에서	상공/NNG+에서/JKB
자국	자국/NNG
민항기	민항기/NNG
비행을	비행/NNG+을/JKO
금지했던	금지/NNG+하/XSV+았/EP+던/ETM
미국	미국/NNP
연방항공청(FAA)은	연방항공청/NNP+(/SS+FAA/SL+)/SS+은/JX
23일	23/SN+일/NNB
오후	오후/NNG
국내	국내/NNG
유대인	유대인/NNP
지지자들의	지지자/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
밀려	밀리/VV+어/EC
이틀	이틀/NNG
만에	만/NNB+에/JKB
비행	비행/NNG
금지를	금지/NNG+를/JKO
철회했다.	철회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.8.2
우크라이나 친러시아 분리주의 반군의 말레이시아 MH17 여객기 격추 사건으로 22일 비행 금지 조치를 내린 지 딱 하루 반나절 만이다.

우크라이나	우크라이나/NNP
친러시아	친/XPN+러시아/NNP
분리주의	분리주의/NNG
반군의	반군/NNG+의/JKG
말레이시아	말레이시아/NNP
MH17	MH/SL+17/SN
여객기	여객기/NNG
격추	격추/NNG
사건으로	사건/NNG+으로/JKB
22일	22/SN+일/NNB
비행	비행/NNG
금지	금지/NNG
조치를	조치/NNG+를/JKO
내린	내리/VV+ㄴ/ETM
지	지/NNB
딱	딱/MAG
하루	하루/NNG
반나절	반나절/NNG
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.61.9.1
베냐민 네타냐후 이스라엘 총리는 22일 존 케리 미 국무장관에게 비행 금지 해제를 강력하게 요청했다.

베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
이스라엘	이스라엘/NNP
총리는	총리/NNG+는/JX
22일	22/SN+일/NNB
존	존/NNP
케리	케리/NNP
미	미/NNP
국무장관에게	국무/NNG+장관/NNG+에게/JKB
비행	비행/NNG
금지	금지/NNG
해제를	해제/NNG+를/JKO
강력하게	강력/NNG+하/XSA+게/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.9.2
이스라엘 교통장관은 “벤구리온 공항은 안전하며 완전하게 경호되고 있다. 미국 회사들이 운항을 중단해 테러조직에 상을 줄 이유가 전혀 없다”고 주장했다.

이스라엘	이스라엘/NNP
교통장관은	교통/NNG+장관/NNG+은/JX
“벤구리온	“/SS+벤구리온/NNP
공항은	공항/NNG+은/JX
안전하며	안전/NNG+하/XSA+며/EC
완전하게	완전/NNG+하/XSA+게/EC
경호되고	경호/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF
미국	미국/NNP
회사들이	회사/NNG+들/XSN+이/JKS
운항을	운항/NNG+을/JKO
중단해	중단/NNG+하/XSV+아/EC
테러조직에	테러/NNG+조직/NNG+에/JKB
상을	상/NNG+을/JKO
줄	주/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
전혀	전혀/MAG
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.10.1
미 공화당 정치인들도 이스라엘 돕기에 나섰다.

미	미/NNP
공화당	공화당/NNP
정치인들도	정치인/NNG+들/XSN+도/JX
이스라엘	이스라엘/NNP
돕기에	돕/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.61.10.2
2016년 대선 공화당 유력 후보인 테드 크루즈 상원의원(텍사스)은 23일 성명을 내고 “버락 오바마 대통령이 자신의 외교정책을 강요하려고 연방기관을 동원해 동맹을 향해 경제적 불매운동에 나섰다”고 비난했다.

2016년	2016/SN+년/NNB
대선	대선/NNG
공화당	공화당/NNP
유력	유력/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
테드	테드/NNP
크루즈	크루즈/NNP
상원의원(텍사스)은	상원/NNG+의원/NNG+(/SS+텍사스/NNP+)/SS+은/JX
23일	23/SN+일/NNB
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
“버락	“/SS+버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
자신의	자신/NNG+의/JKG
외교정책을	외교/NNG+정책/NNG+을/JKO
강요하려고	강요/NNG+하/XSV+려고/EC
연방기관을	연방/NNG+기관/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
동맹을	동맹/NNG+을/JKO
향해	향하/VV+아/EC
경제적	경제/NNG+적/XSN
불매운동에	불매/NNG+운동/NNG+에/JKB
나섰다”고	나서/VV+었/EP+다/EF+”/SS+고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.11.1
유대인계인 마이클 블룸버그 전 뉴욕 시장도 유일하게 운항을 중단하지 않은 엘알 항공의 비행기를 타고 22일 밤 이스라엘 텔아비브로 날아갔다.

유대인계인	유대인/NNP+계/XSN+이/VCP+ㄴ/ETM
마이클	마이클/NNP
블룸버그	블룸버그/NNP
전	전/MMD
뉴욕	뉴욕/NNP
시장도	시장/NNG+도/JX
유일하게	유일/NNG+하/XSA+게/EC
운항을	운항/NNG+을/JKO
중단하지	중단/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
엘알	엘알/NNP
항공의	항공/NNG+의/JKG
비행기를	비행기/NNG+를/JKO
타고	타/VV+고/EC
22일	22/SN+일/NNB
밤	밤/NNG
이스라엘	이스라엘/NNP
텔아비브로	텔아비브/NNP+로/JKB
날아갔다.	날아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.11.2
그는 도착한 뒤 “이곳은 안전하다”고 목소리를 높였다.

그는	그/NP+는/JX
도착한	도착/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“이곳은	“/SS+이곳/NP+은/JX
안전하다”고	안전/NNG+하/XSA+다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.61.12.1
크루즈 의원의 공격에 마리 하프 미 국무부 대변인은 정례 브리핑에서 “정말 솔직히 말하면 어리석고 공격적인 발언”이라고 반박했다.

크루즈	크루즈/NNP
의원의	의원/NNG+의/JKG
공격에	공격/NNG+에/JKB
마리	마리/NNP
하프	하프/NNP
미	미/NNP
국무부	국무부/NNG
대변인은	대변인/NNG+은/JX
정례	정례/NNG
브리핑에서	브리핑/NNG+에서/JKB
“정말	“/SS+정말/MAG
솔직히	솔직히/MAG
말하면	말/NNG+하/XSV+면/EC
어리석고	어리석/VA+고/EC
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
발언”이라고	발언/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.61.12.2
그는 “FAA는 오로지 미국인의 안전을 위해 신중하게 책임 있는 결정을 내린 것”이라고 설명했다.

그는	그/NP+는/JX
“FAA는	“/SS+FAA/SL+는/JX
오로지	오로지/MAG
미국인의	미국인/NNG+의/JKG
안전을	안전/NNG+을/JKO
위해	위하/VV+아/EC
신중하게	신중/NNG+하/XSA+게/EC
책임	책임/NNG
있는	있/VA+는/ETM
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


