# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.300
metadata : {}


# id : NWRW1800000046.300.1.1
[기자의 시각] '빠던'의 나라

[기자의	[/SS+기자/NNG+의/JKG
스윙 뒤 타구가 홈런이라 예감하고 방망이를 일본 더그아웃 쪽으로 날려버린 것이다.

스윙	스윙/NNG
뒤	뒤/NNG
타구가	타구/NNG+가/JKS
홈런이라	홈런/NNG+이/VCP+라/EC
예감하고	예감/NNG+하/XSV+고/EC
방망이를	방망이/NNG+를/JKO
일본	일본/NNP
더그아웃	더그아웃/NNG
쪽으로	쪽/NNB+으로/JKB
날려버린	날리/VV+어/EC+버리/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.3.5
타구는 담장 코앞에서 일본 외야수의 글러브에 들어가 머쓱해졌지만, 네티즌들은 한일전 승리의 주역인 오재원을 단박에 '열사'로 추앙했다.

타구는	타구/NNG+는/JX
담장	담장/NNG
코앞에서	코앞/NNG+에서/JKB
일본	일본/NNP
외야수의	외야수/NNG+의/JKG
글러브에	글러브/NNG+에/JKB
들어가	들어가/VV+아/EC
머쓱해졌지만,	머쓱하/VA+아/EC+지/VX+었/EP+지만/EC+,/SP
네티즌들은	네티즌/NNG+들/XSN+은/JX
한일전	한일전/NNG
승리의	승리/NNG+의/JKG
주역인	주역/NNG+이/VCP+ㄴ/ETM
오재원을	오재원/NNP+을/JKO
단박에	단박/NNG+에/JKB
'열사'로	'/SS+열사/NNG+'/SS+로/JKB
추앙했다.	추앙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.3.6
"속 시원했다"는 극찬 세례 속에 빠던은 졸지에 의거(義擧)이자 대한민국의 기상이 됐다.

"속	"/SS+속/NNG
시원했다"는	시원하/VA+았/EP+다/EF+"/SS+는/ETM
극찬	극찬/NNG
세례	세례/NNG
속에	속/NNG+에/JKB
빠던은	빠던/NNG+은/JX
졸지에	졸지/NNG+에/JKB
의거(義擧)이자	의거/NNG+(/SS+義擧/SH+)/SS+이/VCP+자/EC
대한민국의	대한민국/NNP+의/JKG
기상이	기상/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.300.4.1
야구팬들에게 빠던은 노매너로 통한다.

야구팬들에게	야구팬/NNG+들/XSN+에게/JKB
빠던은	빠던/NNG+은/JX
노매너로	노매너/NNG+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.4.2
과도한 감정 분출이 상대를 향한 무례로 비치기 때문이다.

과도한	과도/NNG+하/XSA+ㄴ/ETM
감정	감정/NNG
분출이	분출/NNG+이/JKS
상대를	상대/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
무례로	무례/NNG+로/JKB
비치기	비치/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.4.3
야구는 빳빳하게 다린 상의를 하의 안에 넣고 벨트까지 차는 신사의 스포츠다.

야구는	야구/NNG+는/JX
빳빳하게	빳빳하/VA+게/EC
다린	다리/VV+ㄴ/ETM
상의를	상의/NNG+를/JKO
하의	하의/NNG
안에	안/NNG+에/JKB
넣고	넣/VV+고/EC
벨트까지	벨트/NNG+까지/JX
차는	차/VV+는/ETM
신사의	신사/NNG+의/JKG
스포츠다.	스포츠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.4.4
야구의 본고장 미국에선 빠던을 '배트 플립'(Bat flip)이라 하는데, 자칫 보복성 위협구가 날아오고 대형 몸싸움으로 번진다.

야구의	야구/NNG+의/JKG
본고장	본고장/NNG
미국에선	미국/NNP+에서/JKB+ㄴ/JX
빠던을	빠던/NNG+을/JKO
'배트	'/SS+배트/NNG
플립'(Bat	플립/NNG+'/SS+(/SS+Bat/SL
flip)이라	flip/SL+)/SS+이/VCP+라/EC
하는데,	하/VV+는데/EC+,/SP
자칫	자칫/MAG
보복성	보복/NNG+성/XSN
위협구가	위협구/NNG+가/JKS
날아오고	날아오/VV+고/EC
대형	대형/NNG
몸싸움으로	몸싸움/NNG+으로/JKB
번진다.	번지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.4.5
반면 한국 타자들은 습관처럼 방망이를 집어 던진다.

반면	반면/NNG
한국	한국/NNP
타자들은	타자/NNG+들/XSN+은/JX
습관처럼	습관/NNG+처럼/JKB
방망이를	방망이/NNG+를/JKO
집어	집/VV+어/EC
던진다.	던지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.4.6
지난 9월 뉴욕타임스가 빠던(ppa-dun)을 '한국의 현상'으로 조명했을 정도다.

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
뉴욕타임스가	뉴욕타임스/NNP+가/JKS
빠던(ppa-dun)을	빠던/NNG+(/SS+ppa/SL+-/SO+dun/SL+)/SS+을/JKO
'한국의	'/SS+한국/NNP+의/JKG
현상'으로	현상/NNG+'/SS+으로/JKB
조명했을	조명/NNG+하/XSV+았/EP+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.4.7
국내 리그도 아닌 국제 경기에서 빠던이 터져 나와도 별 지적이 없는 것 또한 지극히 한국적인 반응인 셈이다.

국내	국내/NNG
리그도	리그/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
국제	국제/NNG
경기에서	경기/NNG+에서/JKB
빠던이	빠던/NNG+이/JKS
터져	터지/VV+어/EC
나와도	나오/VV+아도/EC
별	별/MMA
지적이	지적/NNG+이/JKS
없는	없/VA+는/ETM
것	것/NNB
또한	또한/MAG
지극히	지극히/MAG
한국적인	한국/NNP+적/XSN+이/VCP+ㄴ/ETM
반응인	반응/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.5.1
곳곳에서 빠던이 속출한다.

곳곳에서	곳곳/NNG+에서/JKB
빠던이	빠던/NNG+이/JKS
속출한다.	속출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.5.2
국회에서, 교육 현장에서, 집회·시위에서 무시로 감정을 집어 던진다.

국회에서,	국회/NNG+에서/JKB+,/SP
교육	교육/NNG
현장에서,	현장/NNG+에서/JKB+,/SP
집회·시위에서	집회/NNG+·/SP+시위/NNG+에서/JKB
무시로	무시로/MAG
감정을	감정/NNG+을/JKO
집어	집/VV+어/EC
던진다.	던지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.5.3
매너보다 승리에, 감정의 해소에 목말라 있는 모습이다.

매너보다	매너/NNG+보다/JKB
승리에,	승리/NNG+에/JKB+,/SP
감정의	감정/NNG+의/JKG
해소에	해소/NNG+에/JKB
목말라	목마르/VA+아/EC
있는	있/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.5.4
솔직히 '배려' 운운하는 게 너무 순진해 보이기도 할 것이다.

솔직히	솔직히/MAG
'배려'	'/SS+배려/NNG+'/SS
운운하는	운운/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
너무	너무/MAG
순진해	순진/NNG+하/XSA+아/EC
보이기도	보이/VV+기/ETN+도/JX
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.5.5
그런 걸 따지기엔 사회가 너무 각박해졌다.

그런	그런/MMD
걸	거/NNB+ㄹ/JKO
따지기엔	따지/VV+기/ETN+에/JKB+ㄴ/JX
사회가	사회/NNG+가/JKS
너무	너무/MAG
각박해졌다.	각박하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.300.5.6
스트레스가 많고, 잔뜩 화가 나 있다.

스트레스가	스트레스/NNG+가/JKS
많고,	많/VA+고/EC+,/SP
잔뜩	잔뜩/MAG
화가	화/NNG+가/JKS
나	나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.300.5.7
우리 편이 이겨야 하고, 이왕이면 화끈하게 상대를 골려주고 싶다.

우리	우리/NP
편이	편/NNG+이/JKS
이겨야	이기/VV+어야/EC
하고,	하/VX+고/EC+,/SP
이왕이면	이왕이면/MAG
화끈하게	화끈/MAG+하/XSA+게/EC
상대를	상대/NNG+를/JKO
골려주고	골리/VV+어/EC+주/VX+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000046.300.5.8
이긴 걸로 모자라 '빠따'가 휙휙 날아간다.

이긴	이기/VV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
모자라	모자라/VV+아/EC
'빠따'가	'/SS+빠따/NNG+'/SS+가/JKS
휙휙	휙휙/MAG
날아간다.	날아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.300.5.9
이젠 습관성이 돼 고치기도 어렵고, 모두가 그냥 그러려니 하는 분위기다.

이젠	이제/NNG+ㄴ/JX
습관성이	습관/NNG+성/XSN+이/JKC
돼	되/VV+어/EC
고치기도	고치/VV+기/ETN+도/JX
어렵고,	어렵/VA+고/EC+,/SP
모두가	모두/NNG+가/JKS
그냥	그냥/MAG
그러려니	그러/VV+려니/EC
하는	하/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.5.10
하지만 빠던이 '한국의 현상'으로 고착돼선 곤란하다.

하지만	하지만/MAJ
빠던이	빠던/NNG+이/JKS
'한국의	'/SS+한국/NNP+의/JKG
현상'으로	현상/NNG+'/SS+으로/JKB
고착돼선	고착/NNG+되/XSV+어서/EC+ㄴ/JX
곤란하다.	곤란/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.300.5.11
뉴욕타임스 칼럼니스트 데이비드 브룩스는 책 '인간의 품격'에서 "삶은 결함 있는 자아와 끊임없이 싸우며 성장하는 과정"이라고 했다.

뉴욕타임스	뉴욕타임스/NNP
칼럼니스트	칼럼니스트/NNG
데이비드	데이비드/NNP
브룩스는	브룩스/NNP+는/JX
책	책/NNG
'인간의	'/SS+인간/NNG+의/JKG
품격'에서	품격/NNG+'/SS+에서/JKB
"삶은	"/SS+삶/NNG+은/JX
결함	결함/NNG
있는	있/VA+는/ETM
자아와	자아/NNG+와/JKB
끊임없이	끊임없이/MAG
싸우며	싸우/VV+며/EC
성장하는	성장/NNG+하/XSV+는/ETM
과정"이라고	과정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.5.12
흥분과 감정의 소용돌이 속에서 품격을 갖추기가 쉽지 않다.

흥분과	흥분/NNG+과/JC
감정의	감정/NNG+의/JKG
소용돌이	소용돌이/NNG
속에서	속/NNG+에서/JKB
품격을	품격/NNG+을/JKO
갖추기가	갖추/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000046.300.5.13
하지만 그 지난함을 이겨내야 인간은 도약한다는 것이다.

하지만	하지만/MAJ
그	그/MMD
지난함을	지난하/VA+ㅁ/ETN+을/JKO
이겨내야	이기/VV+어/EC+내/VX+어야/EC
인간은	인간/NNG+은/JX
도약한다는	도약/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.300.6.1
박병호는 메이저리그 진출을 모색하면서 빠던을 버리겠다고 했다.

박병호는	박병호/NNP+는/JX
메이저리그	메이저리그/NNG
진출을	진출/NNG+을/JKO
모색하면서	모색/NNG+하/XSV+면서/EC
빠던을	빠던/NNG+을/JKO
버리겠다고	버리/VX+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.6.2
"몸에 익어서 안 하면 굉장히 불편할 것 같다"고 했지만 빠던 포기 이후에도 승승장구하고 있다.

"몸에	"/SS+몸/NNG+에/JKB
익어서	익/VA+어서/EC
안	안/MAG
하면	하/VV+면/EC
굉장히	굉장히/MAG
불편할	불편/NNG+하/XSA+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
빠던	빠던/NNG
포기	포기/NNG
이후에도	이후/NNG+에/JKB+도/JX
승승장구하고	승승장구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.300.6.3
미국 스포츠 매체 ESPN은 메이저리그 입성을 사실상 눈앞에 둔 박병호를 내년 시즌 아메리칸리그 유력 신인왕 후보로 선정했다.

미국	미국/NNP
스포츠	스포츠/NNG
매체	매체/NNG
ESPN은	ESPN/SL+은/JX
메이저리그	메이저리그/NNG
입성을	입성/NNG+을/JKO
사실상	사실/NNG+상/XSN
눈앞에	눈앞/NNG+에/JKB
둔	두/VV+ㄴ/ETM
박병호를	박병호/NNP+를/JKO
내년	내년/NNG
시즌	시즌/NNG
아메리칸리그	아메리칸/NNP+리그/NNG
유력	유력/NNG
신인왕	신인왕/NNG
후보로	후보/NNG+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.300.6.4
품격이 성장을 방해하지 않는다.

품격이	품격/NNG+이/JKS
성장을	성장/NNG+을/JKO
방해하지	방해/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.300.6.5
오히려 그 반대다.

오히려	오히려/MAG
그	그/MMD
반대다.	반대/NNG+이/VCP+다/EF+./SF


