# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.136
metadata : {}


# id : NWRW1800000021.136.1.1
[미술 & 소통]여기는 상상미술관… 엉뚱한 질문만 환영!

[미술	[/SS+미술/NNG
‘상상’을	‘/SS+상상/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
일상에	일상/NNG+에/JKB
활력을	활력/NNG+을/JKO
일깨운다.	일깨우/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.7.4
인간이 파리채를 든 거대한 파리에게 쫓기는 이원주의 작업은 ‘입장 바꿔 생각해봐’라는 단순한 진리를 웃음에 버무려 전한다.

인간이	인간/NNG+이/JKS
파리채를	파리채/NNG+를/JKO
든	들/VV+ㄴ/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
파리에게	파리/NNG+에게/JKB
쫓기는	쫓기/VV+는/ETM
이원주의	이원주/NNP+의/JKG
작업은	작업/NNG+은/JX
‘입장	‘/SS+입장/NNG
바꿔	바꾸/VV+어/EC
생각해봐’라는	생각/NNG+하/XSV+아/EC+보/VX+아/EF+’/SS+이/VCP+라는/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
진리를	진리/NNG+를/JKO
웃음에	웃음/NNG+에/JKB
버무려	버무리/VV+어/EC
전한다.	전하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.7.5
버려진 나뭇가지로 하늘을 나는 사람을 조각한 이점원, 반짝이는 물고기로 자연이 주는 위로를 느끼게 하는 경수민, 사랑받으면 산소를 뿜어내는 풍선 나무를 선보인 박발륜은 행복한 상상이 치유의 힘을 품고 있음을 보여준다.

버려진	버리/VV+어/EC+지/VX+ㄴ/ETM
나뭇가지로	나뭇가지/NNG+로/JKB
하늘을	하늘/NNG+을/JKO
나는	날/VV+는/ETM
사람을	사람/NNG+을/JKO
조각한	조각/NNG+하/XSV+ㄴ/ETM
이점원,	이점원/NNP+,/SP
반짝이는	반짝이/VV+는/ETM
물고기로	물고기/NNG+로/JKB
자연이	자연/NNG+이/JKS
주는	주/VV+는/ETM
위로를	위로/NNG+를/JKO
느끼게	느끼/VV+게/EC
하는	하/VX+는/ETM
경수민,	경수민/NNP+,/SP
사랑받으면	사랑/NNG+받/XSV+으면/EC
산소를	산소/NNG+를/JKO
뿜어내는	뿜어내/VV+는/ETM
풍선	풍선/NNG
나무를	나무/NNG+를/JKO
선보인	선보이/VV+ㄴ/ETM
박발륜은	박발륜/NNG+은/JX
행복한	행복/NNG+하/XSA+ㄴ/ETM
상상이	상상/NNG+이/JKS
치유의	치유/NNG+의/JKG
힘을	힘/NNG+을/JKO
품고	품/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.136.8.1
5월 1일부터 6월 21일까지 서울 올림픽공원 내 소마미술관에서 열리는 ‘앨리스 뮤지엄 2009’전(02-425-1077)은 ‘창의성’에 초점을 맞춘 미디어아트전.

5월	5/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
6월	6/SN+월/NNB
21일까지	21/SN+일/NNB+까지/JX
서울	서울/NNP
올림픽공원	올림픽공원/NNP
내	내/NNB
소마미술관에서	소마미술관/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘앨리스	‘/SS+앨리스/NNG
뮤지엄	뮤지엄/NNG
2009’전(02-425-1077)은	2009/SN+’/SS+전/NA+(/SS+02/SN+-/SO+425/SN+-/SO+1077/SN+)/SS+은/JX
‘창의성’에	‘/SS+창의/NNG+성/XSN+’/SS+에/JKB
초점을	초점/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
미디어아트전.	미디어/NNG+아트전/NNG+./SF


# id : NWRW1800000021.136.8.2
아트센터 나비와 소마미술관은 지구가 하나의 생명체라는 진지한 주제를 공감각적으로 경험할 수 있게 꾸몄다.

아트센터	아트센터/NNG
나비와	나비/NNG+와/JC
소마미술관은	소마미술관/NNP+은/JX
지구가	지구/NNG+가/JKS
하나의	하나/NR+의/JKG
생명체라는	생명체/NNG+이/VCP+라는/ETM
진지한	진지하/VA+ㄴ/ETM
주제를	주제/NNG+를/JKO
공감각적으로	공감각/NNG+적/XSN+으로/JKB
경험할	경험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.136.8.3
5m 크기의 아바타와 대화를 나누거나(스텔락의 ‘하이! 스텔락’), 식물의 생장과정에서 나오는 에너지를 빛으로 시각화해 느끼게 해준다(안도 다카히로의 ‘생물의 빛’).

5m	5/SN+m/SW
크기의	크기/NNG+의/JKG
아바타와	아바타/NNG+와/JKB
대화를	대화/NNG+를/JKO
나누거나(스텔락의	나누/VV+거나/EC+(/SS+스텔락/NNP+의/JKG
‘하이!	‘/SS+하이/IC+!/SF
스텔락’),	스텔락/NNP+’/SS+)/SS+,/SP
식물의	식물/NNG+의/JKG
생장과정에서	생장/NNG+과정/NNG+에서/JKB
나오는	나오/VV+는/ETM
에너지를	에너지/NNG+를/JKO
빛으로	빛/NNG+으로/JKB
시각화해	시각/NNG+화/XSN+하/XSV+아/EC
느끼게	느끼/VV+게/EC
해준다(안도	하/VX+아/EC+주/VX+ㄴ다/EF+(/SS+안도/NNP
다카히로의	다카히로/NNP+의/JKG
‘생물의	‘/SS+생물/NNG+의/JKG
빛’).	빛/NNG+’/SS+)/SS+./SF


# id : NWRW1800000021.136.9.1
김승영 오윤석 서승모 안규철 이정민 등이 참여하는 서울 금호미술관의 ‘움직이는 미술관’전(02-720-5114)은 낯선 공간이 주는 긴장감과 상상력을 맛보게 한다.

김승영	김승영/NNP
오윤석	오윤석/NNP
서승모	서승모/NNP
안규철	안규철/NNP
이정민	이정민/NNP
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
서울	서울/NNP
금호미술관의	금호미술관/NNP+의/JKG
‘움직이는	‘/SS+움직이/VV+는/ETM
미술관’전(02-720-5114)은	미술관/NNG+’/SS+전/NA+(/SS+02/SN+-/SO+720/SN+-/SO+5114/SN+)/SS+은/JX
낯선	낯설/VA+ㄴ/ETM
공간이	공간/NNG+이/JKS
주는	주/VV+는/ETM
긴장감과	긴장감/NNG+과/JC
상상력을	상상력/NNG+을/JKO
맛보게	맛보/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.136.9.2
5월 1일∼8월 16일.

5월	5/SN+월/NNB
1일∼8월	1/SN+일/NNB+∼/SO+8/SN+월/NNB
16일.	16/SN+일/NNB+./SF


# id : NWRW1800000021.136.10.1
○ 유희의 힘, 질문의 힘

○	○/SW
유희의	유희/NNG+의/JKG
힘,	힘/NNG+,/SP
질문의	질문/NNG+의/JKG
힘	힘/NNG


# id : NWRW1800000021.136.11.1
평소 현대미술과 친숙하지 않은 어른들에게 아이들과 전시를 보는 일은 부담스럽다.

평소	평소/NNG
현대미술과	현대/NNG+미술/NNG+과/JKB
친숙하지	친숙/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
어른들에게	어른/NNG+들/XSN+에게/JKB
아이들과	아이/NNG+들/XSN+과/JKB
전시를	전시/NNG+를/JKO
보는	보/VV+는/ETM
일은	일/NNG+은/JX
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000021.136.11.2
하지만 걱정할 필요는 없다.

하지만	하지만/MAJ
걱정할	걱정/NNG+하/XSV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.136.11.3
예술을 통해 창의적 시각과 소통방식을 얻기 위해선 지식보다 열린 마음이 필요하기 때문.

예술을	예술/NNG+을/JKO
통해	통하/VV+아/EC
창의적	창의/NNG+적/XSN
시각과	시각/NNG+과/JC
소통방식을	소통/NNG+방식/NNG+을/JKO
얻기	얻/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
지식보다	지식/NNG+보다/JKB
열린	열리/VV+ㄴ/ETM
마음이	마음/NNG+이/JKS
필요하기	필요/NNG+하/XSA+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000021.136.12.1
아트센터 나비 최두은 큐레이터는 “전문적 지식을 내세워 자녀를 가르치려 애쓸 필요는 없다”며 “전시를 보면서 아이 스스로 이것저것 질문을 찾아내도록 이끄는 것이 중요하다”고 말했다.

아트센터	아트센터/NNG
나비	나비/NNG
최두은	최두은/NNP
큐레이터는	큐레이터/NNG+는/JX
“전문적	“/SS+전문/NNG+적/XSN
지식을	지식/NNG+을/JKO
내세워	내세우/VV+어/EC
자녀를	자녀/NNG+를/JKO
가르치려	가르치/VV+려/EC
애쓸	애쓰/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“전시를	“/SS+전시/NNG+를/JKO
보면서	보/VV+면서/EC
아이	아이/NNG
스스로	스스로/MAG
이것저것	이것저것/NNG
질문을	질문/NNG+을/JKO
찾아내도록	찾아내/VV+도록/EC
이끄는	이끌/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.136.12.2
아람미술관 김언정 큐레이터도 “작품을 볼 때 아이가 호기심을 느끼는 것과 어른이 궁금한 것은 다른 만큼 서로 묻고 대답하는 대화의 과정을 즐기라”고 조언했다.

아람미술관	아람미술관/NNP
김언정	김언정/NNP
큐레이터도	큐레이터/NNG+도/JX
“작품을	“/SS+작품/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
아이가	아이/NNG+가/JKS
호기심을	호기심/NNG+을/JKO
느끼는	느끼/VV+는/ETM
것과	것/NNB+과/JC
어른이	어른/NNG+이/JKS
궁금한	궁금하/VA+ㄴ/ETM
것은	것/NNB+은/JX
다른	다른/MMD
만큼	만큼/NNB
서로	서로/MAG
묻고	묻/VV+고/EC
대답하는	대답/NNG+하/XSV+는/ETM
대화의	대화/NNG+의/JKG
과정을	과정/NNG+을/JKO
즐기라”고	즐기/VV+라/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.136.12.3
‘동화책 속 세계여행’을 기획한 홍경기 대표는 “열린 질문을 주고받다 보면 그 안에서 아이들의 창의력이 자란다”고 강조했다.

‘동화책	‘/SS+동화책/NNG
속	속/NNG
세계여행’을	세계/NNG+여행/NNG+’/SS+을/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
홍경기	홍경기/NNP
대표는	대표/NNG+는/JX
“열린	“/SS+열리/VV+ㄴ/ETM
질문을	질문/NNG+을/JKO
주고받다	주고받/VV+다/EC
보면	보/VX+면/EC
그	그/MMD
안에서	안/NNG+에서/JKB
아이들의	아이/NNG+들/XSN+의/JKG
창의력이	창의력/NNG+이/JKS
자란다”고	자라/VV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.136.13.1
예술작품은 창의적 사고를 집대성하고 새로운 질문을 던지는 작업이다.

예술작품은	예술/NNG+작품/NNG+은/JX
창의적	창의/NNG+적/XSN
사고를	사고/NNG+를/JKO
집대성하고	집대성/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
질문을	질문/NNG+을/JKO
던지는	던지/VV+는/ETM
작업이다.	작업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.136.13.2
아이들에게 전시장은 그런 새로운 질문을 경험하는 장이어야 한다.

아이들에게	아이/NNG+들/XSN+에게/JKB
전시장은	전시장/NNG+은/JX
그런	그런/MMD
새로운	새롭/VA+ㄴ/ETM
질문을	질문/NNG+을/JKO
경험하는	경험/NNG+하/XSV+는/ETM
장이어야	장/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.136.13.3
따라서 부모들은 이것만 기억하면 된다.

따라서	따라서/MAJ
부모들은	부모/NNG+들/XSN+은/JX
이것만	이것/NP+만/JX
기억하면	기억/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.136.13.4
‘질문하라 그리고 질문하게 하라.’

‘질문하라	‘/SS+질문/NNG+하/XSV+라/EF
그리고	그리고/MAJ
질문하게	질문/NNG+하/XSV+게/EC
하라.’	하/VX+라/EF+./SF+’/SS


