# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.168
metadata : {}


# id : NWRW1800000028.168.1.1
중 우다웨이, 위성락 본부장 면담 “6자 잘 돌아갔더라면” /한-미-일 외교부 고위당국자, 향후 ‘대응방향’ 협의 /러 대통령, 이 대통령과 통화 “북에 제대로 신호줄것”

중	중/NNP
아시아대양주국장	아시아/NNP+대양주/NNP+국장/NNG
등	등/NNB
한-미-일	한-미-일/NNP
3국의	3국/NNG+의/JKG
고위당국자들이	고위/NNG+당국자/NNG+들/XSN+이/JKS
26일	26/SN+일/NNB
서울에서	서울/NNP+에서/JKB
조찬	조찬/NNG
모임을	모임/NNG+을/JKO
갖고	갖/VV+고/EC
천안함	천안함/NNP
사태	사태/NNG
대응	대응/NNG
방향을	방향/NNG+을/JKO
협의한다.	협의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.168.5.2
3국 고위당국자들은 천안함 사건의 유엔 안전보장이사회 회부 등을 논의할 것으로 예상된다.

3국	3국/NNG
고위당국자들은	고위/NNG+당국자/NNG+들/XSN+은/JX
천안함	천안함/NNP
사건의	사건/NNG+의/JKG
유엔	유엔/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
회부	회부/NNG
등을	등/NNB+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.168.5.3
클린턴 미 국무장관도 중국 베이징에서 열린 미-중 전략·경제대화를 마치고 26일 방한해, 유명환 장관과 오찬을 겸한 한-미 외교장관 회담을 통해 천안함 문제를 조율한다.

클린턴	클린턴/NNP
미	미/NNP
국무장관도	국무/NNG+장관/NNG+도/JX
중국	중국/NNP
베이징에서	베이징/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미-중	미/NNP+-/SO+중/NNP
전략·경제대화를	전략/NNG+·/SP+경제/NNG+대화/NNG+를/JKO
마치고	마치/VV+고/EC
26일	26/SN+일/NNB
방한해,	방한/NNG+하/XSV+아/EC+,/SP
유명환	유명환/NNP
장관과	장관/NNG+과/JKB
오찬을	오찬/NNG+을/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
한-미	한-미/NNP
외교장관	외교/NNG+장관/NNG
회담을	회담/NNG+을/JKO
통해	통하/VV+아/EC
천안함	천안함/NNP
문제를	문제/NNG+를/JKO
조율한다.	조율/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.168.6.1
한편, 드미트리 메드베데프 러시아 대통령은 25일 이명박 대통령과의 전화통화에서 “한반도 평화와 안전을 보장하면서 북한에 제대로 된 신호(시그널)를 주도록 노력하겠다”고 말했다고 김은혜 청와대 대변인이 전했다.

한편,	한편/MAG+,/SP
드미트리	드미트리/NNP
메드베데프	메드베데프/NNP
러시아	러시아/NNP
대통령은	대통령/NNG+은/JX
25일	25/SN+일/NNB
이명박	이명박/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“한반도	“/SS+한반도/NNP
평화와	평화/NNG+와/JC
안전을	안전/NNG+을/JKO
보장하면서	보장/NNG+하/XSV+면서/EC
북한에	북한/NNP+에/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
신호(시그널)를	신호/NNG+(/SS+시그널/NNG+)/SS+를/JKO
주도록	주/VV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
김은혜	김은혜/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


