# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.153
metadata : {}


# id : NWRW1800000029.153.1.1
“관람석 추락만은…” 끝까지 조종간 돌린 74세 노장, 300명 살렸다

“관람석	“/SS+관람석/NNG
시셀	시셀/NNP
씨는	씨/NNB+는/JX
미국	미국/NNP
CNN과의	CNN/SL+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“조종사가	“/SS+조종사/NNG+가/JKS
추락하면서	추락/NNG+하/XSV+면서/EC
관람석을	관람석/NNG+을/JKO
발견하고	발견/NNG+하/XSV+고/EC
조종간을	조종간/NNG+을/JKO
돌려	돌리/VV+어/EC
200∼300명의	200/SN+∼/SO+300/SN+명/NNB+의/JKG
목숨을	목숨/NNG+을/JKO
구했다”고	구하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.153.4.2
또 다른 목격자 존 웨한 씨도 “지미, 당신이 내 생명을 구했다.

또	또/MAG
다른	다른/MMD
목격자	목격자/NNG
존	존/NNP
웨한	웨한/NNP
씨도	씨/NNB+도/JX
“지미,	“/SS+지미/NNP+,/SP
당신이	당신/NP+이/JKS
내	나/NP+의/JKG
생명을	생명/NNG+을/JKO
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.153.4.3
우리로부터 50피트(약 15m) 떨어진 곳으로 비행기를 돌리기 위해 상승했다”며 리워드 씨의 페이스북에 감사의 글을 올렸다.

우리로부터	우리/NP+로부터/JKB
50피트(약	50/SN+피트/NNB+(/SS+약/MMA
15m)	15/SN+m/SW+)/SS
떨어진	떨어지/VV+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
비행기를	비행기/NNG+를/JKO
돌리기	돌리/VV+기/ETN
위해	위하/VV+아/EC
상승했다”며	상승/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
리워드	리워드/NNP
씨의	씨/NNB+의/JKG
페이스북에	페이스북/NNP+에/JKB
감사의	감사/NNG+의/JKG
글을	글/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.153.5.1
플로리다 주 오캘라 출신인 리워드 씨는 지금까지 120회가량의 레이스를 경험한 베테랑 조종사였다.

플로리다	플로리다/NNP
주	주/NNG
오캘라	오캘라/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
리워드	리워드/NNP
씨는	씨/NNB+는/JX
지금까지	지금/NNG+까지/JX
120회가량의	120/SN+회/NNB+가량/XSN+의/JKG
레이스를	레이스/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
베테랑	베테랑/NNG
조종사였다.	조종사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.153.5.2
영화 ‘아멜리아’와 ‘클라우드 댄서’ 등에서 스턴트 조종사로 출연한 적도 있다.

영화	영화/NNG
‘아멜리아’와	‘/SS+아멜리아/NNP+’/SS+와/JC
‘클라우드	‘/SS+클라우드/NNG
댄서’	댄서/NNG+’/SS
등에서	등/NNB+에서/JKB
스턴트	스턴트/NNG
조종사로	조종사/NNG+로/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.153.5.3
그가 몰았던 P-51 머스탱은 제2차 세계대전 때 투입됐던 첫 미군 전투기다.

그가	그/NP+가/JKS
몰았던	몰/VV+았/EP+던/ETM
P-51	P/SL+-/SO+51/SN
머스탱은	머스탱/NNG+은/JX
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
때	때/NNG
투입됐던	투입/NNG+되/XSV+었/EP+던/ETM
첫	첫/MMN
미군	미군/NNG
전투기다.	전투기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.153.5.4
미국 연방교통안전위원회(NTSB)는 트림탭(비행고도 안전 장비) 관련 고장으로 추정한다.

미국	미국/NNP
연방교통안전위원회(NTSB)는	연방교통안전위원회/NNP+(/SS+NTSB/SL+)/SS+는/JX
트림탭(비행고도	트림탭/NNG+(/SS+비행/NNG+고도/NNG
안전	안전/NNG
장비)	장비/NNG+)/SS
관련	관련/NNG
고장으로	고장/NNG+으로/JKB
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.153.6.1
47년 전 처음 시연된 리노 에어쇼에서는 현재까지 리워드 씨를 포함해 조종사만도 20명이 목숨을 잃었다.

47년	47/SN+년/NNB
전	전/NNG
처음	처음/NNG
시연된	시연/NNG+되/XSV+ㄴ/ETM
리노	리노/NNP
에어쇼에서는	에어쇼/NNG+에서/JKB+는/JX
현재까지	현재/NNG+까지/JX
리워드	리워드/NNP
씨를	씨/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
조종사만도	조종사/NNG+만/JX+도/JX
20명이	20/SN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


