# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.336
metadata : {}


# id : NWRW1800000048.336.1.1
‘낭랑 18세’ 벤치치 기세 무섭네

‘낭랑	‘/SS+낭랑/XR


# id : NWRW1800000048.336.7.2
지난 6월 이스트본 인터내셔널 여자단식 결승에서는 아그니에슈카 라드반스카(폴란드)를 2-1로 누르고 정규투어 첫 우승을 차지한 바 있다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
이스트본	이스트본/NNP
인터내셔널	인터내셔널/NNG
여자단식	여자/NNG+단식/NNG
결승에서는	결승/NNG+에서/JKB+는/JX
아그니에슈카	아그니에슈카/NNP
라드반스카(폴란드)를	라드반스카/NNP+(/SS+폴란드/NNP+)/SS+를/JKO
2-1로	2/SN+-/SO+1/SN+로/JKB
누르고	누르/VV+고/EC
정규투어	정규/NNG+투어/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.336.8.1
로저스컵 남자단식 결승에서는 앤디 머리(3위·영국)가 노박 조코비치(1위·세르비아)를 2-1(6:4/4:6/6:3)로 꺾고 우승했다.

로저스컵	로저스컵/NNG
남자단식	남자/NNG+단식/NNG
결승에서는	결승/NNG+에서/JKB+는/JX
앤디	앤디/NNP
머리(3위·영국)가	머리/NNP+(/SS+3/SN+위/NNB+·/SP+영국/NNP+)/SS+가/JKS
노박	노박/NNP
조코비치(1위·세르비아)를	조코비치/NNP+(/SS+1/SN+위/NNB+·/SP+세르비아/NNP+)/SS+를/JKO
2-1(6:4/4:6/6:3)로	2/SN+-/SO+1/SN+(/SS+6/SN+:/SP+4/SN+//SP+4/SN+:/SP+6/SN+//SP+6/SN+:/SP+3/SN+)/SS+로/JKB
꺾고	꺾/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.336.8.2
머리는 2013년 윔블던 결승에서 조코비치를 꺾은 이후 최근까지 8연패를 당하다가 이번에 설욕에 성공했다.

머리는	머리/NNP+는/JX
2013년	2013/SN+년/NNB
윔블던	윔블던/NNP
결승에서	결승/NNG+에서/JKB
조코비치를	조코비치/NNP+를/JKO
꺾은	꺾/VV+은/ETM
이후	이후/NNG
최근까지	최근/NNG+까지/JX
8연패를	8/SN+연패/NNG+를/JKO
당하다가	당하/VV+다가/EC
이번에	이번/NNG+에/JKB
설욕에	설욕/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


