# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.369
metadata : {}


# id : NWRW1800000044.369.1.1
세부내용도 없이…‘국가개조위’ 급조 발표

세부내용도	세부/NNG+내용/NNG+도/JX
민·관	민·관/NNG
합동으로	합동/NNG+으로/JKB
‘국가대개조	‘/SS+국가/NNG+대/XPN+개조/NNG
범국민위원회’를	범/XPN+국민/NNG+위원회/NNG+’/SS+를/JKO
꾸리고,	꾸리/VV+고/EC+,/SP
위원회	위원회/NNG
산하에	산하/NNG+에/JKB
공직개혁·안전혁신·부패척결·의식개혁	공직/NNG+개혁/NNG+·/SP+안전/NNG+혁신/NNG+·/SP+부패/NNG+척결/NNG+·/SP+의식/NNG+개혁/NNG
등	등/NNB
전문분과를	전문/NNG+분과/NNG+를/JKO
두어	두/VV+어/EC
국민	국민/NNG
의견을	의견/NNG+을/JKO
수렴하고	수렴/NNG+하/XSV+고/EC
의제를	의제/NNG+를/JKO
계속	계속/MAG
발굴해	발굴/NNG+하/XSV+아/EC
나가겠다고	나가/VX+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.5.3
총리실은 내년 2월까지 ‘안전 대한민국’의 청사진을 담은 ‘안전혁신 마스터플랜’을 마련하겠다고 밝혔다.

총리실은	총리실/NNG+은/JX
내년	내년/NNG
2월까지	2/SN+월/NNB+까지/JX
‘안전	‘/SS+안전/NNG
대한민국’의	대한민국/NNP+’/SS+의/JKG
청사진을	청사진/NNG+을/JKO
담은	담/VV+은/ETM
‘안전혁신	‘/SS+안전/NNG+혁신/NNG
마스터플랜’을	마스터플랜/NNG+’/SS+을/JKO
마련하겠다고	마련/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.369.6.1
정 총리는 또 “더이상의 국정중단을 막아야 한다는 대통령님의 요청에 따라 유임을 결심하고도 많은 고뇌를 거듭해왔다.

정	정/NNP
총리는	총리/NNG+는/JX
또	또/MAG
“더이상의	“/SS+더/MAG+이상/NNG+의/JKG
국정중단을	국정/NNG+중단/NNG+을/JKO
막아야	막/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
대통령님의	대통령/NNG+님/XSN+의/JKG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
유임을	유임/NNG+을/JKO
결심하고도	결심/NNG+하/XSV+고/EC+도/JX
많은	많/VA+은/ETM
고뇌를	고뇌/NNG+를/JKO
거듭해왔다.	거듭/MAG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.369.6.2
세월호 사고수습 현장에서 뼈저리게 느낀 경험을 토대로 결자해지의 심정에서 국가개조라는 대소명을 완수하는 것이 국민 여러분께 책임을 지는 하나의 자세라는 생각을 하게 됐다”고 말했다.

세월호	세월호/NNP
사고수습	사고/NNG+수습/NNG
현장에서	현장/NNG+에서/JKB
뼈저리게	뼈저리/VA+게/EC
느낀	느끼/VV+ㄴ/ETM
경험을	경험/NNG+을/JKO
토대로	토대/NNG+로/JKB
결자해지의	결자해지/NNG+의/JKG
심정에서	심정/NNG+에서/JKB
국가개조라는	국가/NNG+개조/NNG+이/VCP+라는/ETM
대소명을	대/XPN+소명/NNG+을/JKO
완수하는	완수/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
국민	국민/NNG
여러분께	여러분/NP+께/JKB
책임을	책임/NNG+을/JKO
지는	지/VV+는/ETM
하나의	하나/NR+의/JKG
자세라는	자세/NNG+이/VCP+라는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.6.3
세월호 참사 ‘책임’을 지고 사표를 낸 총리를 유임시키는 데 대한 부적절성을 해명한 것으로 보인다.

세월호	세월호/NNP
참사	참사/NNG
‘책임’을	‘/SS+책임/NNG+’/SS+을/JKO
지고	지/VV+고/EC
사표를	사표/NNG+를/JKO
낸	내/VV+ㄴ/ETM
총리를	총리/NNG+를/JKO
유임시키는	유임/NNG+시키/XSV+는/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
부적절성을	부적절성/NNG+을/JKO
해명한	해명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.369.7.1
그러나 이날 발표 내용을 보면, 세부항목이 거의 마련돼 있지 않고, 발표 과정도 급하게 진행된 흔적이 곳곳에서 드러났다.

그러나	그러나/MAJ
이날	이날/NNG
발표	발표/NNG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
세부항목이	세부/NNG+항목/NNG+이/JKS
거의	거의/MAG
마련돼	마련/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않고,	않/VX+고/EC+,/SP
과정도	과정/NNG+도/JX
급하게	급하/VA+게/EC
진행된	진행/NNG+되/XSV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
곳곳에서	곳곳/NNG+에서/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.7.2
총리실은 이날 오전 11시30분께에야 출입기자들에게 문자로 발표 사실만 알렸다.

총리실은	총리실/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
11시30분께에야	11/SN+시/NNB+30/SN+분/NNB+께/XSN+에/JKB+야/JX
출입기자들에게	출입/NNG+기자/NNG+들/XSN+에게/JKB
문자로	문자/NNG+로/JKB
발표	발표/NNG
사실만	사실/NNG+만/JX
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.369.7.3
기자회견 뒤에도 정 총리는 일문일답 없이 회견장을 떠났다.

기자회견	기자/NNG+회견/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
정	정/NNP
총리는	총리/NNG+는/JX
일문일답	일문일답/NNG
없이	없이/MAG
회견장을	회견장/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.7.4
게다가 총리실은 구체적인 시기나 조직 규모 등에 대해서도 “차차 준비해 나갈 것”이라고 말할 뿐 더이상의 설명을 못했다.

게다가	게다가/MAG
총리실은	총리실/NNG+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
시기나	시기/NNG+나/JC
조직	조직/NNG
규모	규모/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“차차	“/SS+차차/MAG
준비해	준비/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
뿐	뿐/NNB
더이상의	더/MAG+이상/NNG+의/JKG
설명을	설명/NNG+을/JKO
못했다.	못/MAG+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.369.8.1
국회의 반발도 컸다.

국회의	국회/NNG+의/JKG
반발도	반발/NNG+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.369.8.2
정무위 소속 민병두 새정치민주연합 의원은 이날 오전부터 국회에서 총리실 소관 상임위인 정무위 회의가 열리고 있었음에도 정 총리 발표 직전까지 별도의 사전통보가 없었고, 심지어 총리실을 총괄하는 김동연 국무조정실장도 오전에야 발표 사실을 알았다는 점을 들어 “청와대가 발표 시간부터 (대국민 담화문에 대한) 모든 것을 만들어 준 것 아닌가”라고 비판했다.

정무위	정무위/NNG
소속	소속/NNG
민병두	민병두/NNP
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오전부터	오전/NNG+부터/JX
국회에서	국회/NNG+에서/JKB
총리실	총리실/NNG
소관	소관/NNG
상임위인	상임위/NNG+이/VCP+ㄴ/ETM
회의가	회의/NNG+가/JKS
열리고	열리/VV+고/EC
있었음에도	있/VX+었/EP+음/ETN+에/JKB+도/JX
정	정/NNP
총리	총리/NNG
발표	발표/NNG
직전까지	직전/NNG+까지/JX
별도의	별도/NNG+의/JKG
사전통보가	사전/NNG+통보/NNG+가/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
심지어	심지어/MAG
총리실을	총리실/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
김동연	김동연/NNP
국무조정실장도	국무/NNG+조정실장/NNG+도/JX
오전에야	오전/NNG+에/JKB+야/JX
사실을	사실/NNG+을/JKO
알았다는	알/VV+았/EP+다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
“청와대가	“/SS+청와대/NNP+가/JKS
시간부터	시간/NNG+부터/JX
(대국민	(/SS+대국민/NNG
담화문에	담화문/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
모든	모든/MMN
것을	것/NNB+을/JKO
만들어	만들/VV+어/EC
준	주/VX+ㄴ/ETM
것	것/NNB
아닌가”라고	아니/VCN+ㄴ가/EF+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


