# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.281
metadata : {}


# id : NWRW1800000030.281.1.1
[만물상] 잠수함 수출

[만물상]	[/SS+만물상/NNG+]/SS
음향탐지기도	음향/NNG+탐지기/NNG+도/JX
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.281.2.5
나중엔 일본 본토 항만까지 침투해 정박 함정을 공격하기에 이르렀다.

나중엔	나중/NNG+에/JKB+ㄴ/JX
일본	일본/NNP
본토	본토/NNG
항만까지	항만/NNG+까지/JX
침투해	침투/NNG+하/XSV+아/EC
정박	정박/NNG
함정을	함정/NNG+을/JKO
공격하기에	공격/NNG+하/XSV+기/ETN+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.6
미 잠수함은 일본 해군 전력의 55%에 달하는 1314척의 함정을 격침시켰다.

미	미/NNP
잠수함은	잠수함/NNG+은/JX
일본	일본/NNP
해군	해군/NNG
전력의	전력/NNG+의/JKG
55%에	55/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
1314척의	1314/SN+척/NNB+의/JKG
함정을	함정/NNG+을/JKO
격침시켰다.	격침/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.7
▶1차대전 때 독일 잠수함 U보트의 공포를 맛보고 2차대전에서 잠수함의 위력을 확실히 깨달은 미국은 더 빨리, 더 깊이, 더 오래 항해할 수 있는 미래형 잠수함 개발에 매달렸다.

▶1차대전	▶/SW+1/SN+차/NNB+대전/NNG
때	때/NNG
독일	독일/NNP
잠수함	잠수함/NNG
U보트의	U/SL+보트/NNG+의/JKG
공포를	공포/NNG+를/JKO
맛보고	맛보/VV+고/EC
2차대전에서	2/SN+차/NNB+대전/NNG+에서/JKB
잠수함의	잠수함/NNG+의/JKG
위력을	위력/NNG+을/JKO
확실히	확실히/MAG
깨달은	깨닫/VV+은/ETM
미국은	미국/NNP+은/JX
더	더/MAG
빨리,	빨리/MAG+,/SP
깊이,	깊이/MAG+,/SP
오래	오래/MAG
항해할	항해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
미래형	미래/NNG+형/XSN
개발에	개발/NNG+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.8
1955년 세계 최초의 핵추진 잠수함 노틸러스호가 탄생했다.

1955년	1955/SN+년/NNB
세계	세계/NNG
최초의	최초/NNG+의/JKG
핵추진	핵/NNG+추진/NNG
잠수함	잠수함/NNG
노틸러스호가	노틸러스호/NNP+가/JKS
탄생했다.	탄생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.281.2.9
디젤 연료 대신 소형 원자로를 탑재한 핵추진 잠수함의 출현으로 무한시간 수중 작전이 가능한 새로운 잠수함 시대가 열렸다.

디젤	디젤/NNG
연료	연료/NNG
대신	대신/NNG
소형	소형/NNG
원자로를	원자로/NNG+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
핵추진	핵/NNG+추진/NNG
잠수함의	잠수함/NNG+의/JKG
출현으로	출현/NNG+으로/JKB
무한시간	무한/NNG+시간/NNG
수중	수중/NNG
작전이	작전/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
잠수함	잠수함/NNG
시대가	시대/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.10
▶잠수함의 생명은 은밀성이다.

▶잠수함의	▶/SW+잠수함/NNG+의/JKG
생명은	생명/NNG+은/JX
은밀성이다.	은밀성/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.281.2.11
수중에서는 레이더도 쓸모가 없고 음향 탐지만 가능하다.

수중에서는	수중/NNG+에서/JKB+는/JX
레이더도	레이더/NNG+도/JX
쓸모가	쓸모/NNG+가/JKS
없고	없/VA+고/EC
음향	음향/NNG
탐지만	탐지/NNG+만/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.281.2.12
아무리 훈련받은 전문가라도 파도 소리, 선박 엔진 소리, 해류(海流) 소리가 뒤섞인 소음 속에서 잠수함이 움직이는 소리를 구별해내기란 쉽지 않다.

아무리	아무리/MAG
훈련받은	훈련/NNG+받/XSV+은/ETM
전문가라도	전문가/NNG+이/VCP+라도/EC
파도	파도/NNG
소리,	소리/NNG+,/SP
선박	선박/NNG
엔진	엔진/NNG
해류(海流)	해류/NNG+(/SS+海流/SH+)/SS
소리가	소리/NNG+가/JKS
뒤섞인	뒤섞이/VV+ㄴ/ETM
소음	소음/NNG
속에서	속/NNG+에서/JKB
잠수함이	잠수함/NNG+이/JKS
움직이는	움직이/VV+는/ETM
소리를	소리/NNG+를/JKO
구별해내기란	구별/NNG+하/XSV+아/EC+내/VX+기/ETN+란/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.281.2.13
이 점에선 바다 밑 언덕 등에 쉽게 숨을 수 있는 디젤식이 원자로 탓에 덩치가 큰 핵잠수함보다 유리하다.

이	이/MMD
점에선	점/NNG+에서/JKB+ㄴ/JX
바다	바다/NNG
밑	밑/NNG
언덕	언덕/NNG
등에	등/NNB+에/JKB
쉽게	쉽/VA+게/EC
숨을	숨/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
디젤식이	디젤식/NNG+이/JKS
원자로	원자로/NNG
탓에	탓/NNG+에/JKB
덩치가	덩치/NNG+가/JKS
큰	크/VA+ㄴ/ETM
핵잠수함보다	핵/NNG+잠수함/NNG+보다/JKB
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.281.2.14
▶한국 해군의 주력 잠수함은 209급(배수량 1200~1400t) 디젤식이다.

▶한국	▶/SW+한국/NNP
해군의	해군/NNG+의/JKG
주력	주력/NNG
잠수함은	잠수함/NNG+은/JX
209급(배수량	209/SN+급/NNG+(/SS+배수량/NNG
1200~1400t)	1200/SN+~/SO+1400/SN+t/SW+)/SS
디젤식이다.	디젤식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.281.2.15
1990년대 초 독일에서 도입한 것으로 지난 50년간 가장 인기가 좋았던 모델이다.

1990년대	1990/SN+년대/NNB
초	초/NNB
독일에서	독일/NNP+에서/JKB
도입한	도입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
지난	지나/VV+ㄴ/ETM
50년간	50/SN+년/NNB+간/XSN
가장	가장/MAG
인기가	인기/NNG+가/JKS
좋았던	좋/VA+았/EP+던/ETM
모델이다.	모델/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.281.2.16
시속 37㎞이상 낼 수 있고, 지휘관이 함수(艦首) 어뢰관부터 함미 엔진실까지 한꺼번에 보면서 작전할 수 있는 효율적인 구조다.

시속	시속/NNG
37㎞이상	37/SN+㎞/SW+이상/NNG
낼	내/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
지휘관이	지휘관/NNG+이/JKS
함수(艦首)	함수/NNG+(/SS+艦首/SH+)/SS
어뢰관부터	어뢰관/NNG+부터/JX
함미	함미/NNG
엔진실까지	엔진실/NNG+까지/JX
한꺼번에	한꺼번에/MAG
보면서	보/VV+면서/EC
작전할	작전/NNG+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.281.2.17
한국 해군은 한·미 연합훈련에서 이 잠수함으로 여러 차례 함정을 가상격침시켰다.

한국	한국/NNP
해군은	해군/NNG+은/JX
한·미	한·미/NNP
연합훈련에서	연합/NNG+훈련/NNG+에서/JKB
이	이/MMD
잠수함으로	잠수함/NNG+으로/JKB
여러	여러/MMN
차례	차례/NNG
함정을	함정/NNG+을/JKO
가상격침시켰다.	가상/NNG+격침/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.281.2.18
▶대우조선해양이 어제 인도네시아에 209급 잠수함 3척을 수출할 수 있는 단독협상자로 선정됐다고 발표했다.

▶대우조선해양이	▶/SW+대우조선해양/NNP+이/JKS
어제	어제/MAG
인도네시아에	인도네시아/NNP+에/JKB
209급	209/SN+급/NNG
잠수함	잠수함/NNG
3척을	3/SN+척/NNB+을/JKO
수출할	수출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단독협상자로	단독/NNG+협상자/NNG+로/JKB
선정됐다고	선정/NNG+되/XSV+었/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.281.2.19
성사되면 1조2000억원에 달하는 방산(防産) 수출 사상 최대 규모의 쾌거가 된다.

성사되면	성사/NNG+되/XSV+면/EC
1조2000억원에	1/SN+조/NR+2000/SN+억/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
방산(防産)	방산/NNG+(/SS+防産/SH+)/SS
수출	수출/NNG
사상	사상/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
쾌거가	쾌거/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.281.2.20
20년 전 잠수함을 도입할 때 1척만 직도입하고 8척은 우리 손으로 만들면서 기술을 배워온 것이 드디어 결실을 보는 것이다.

20년	20/SN+년/NNB
전	전/NNG
잠수함을	잠수함/NNG+을/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
1척만	1/SN+척/NNB+만/JX
직도입하고	직도입/NNG+하/XSV+고/EC
8척은	8/SN+척/NNB+은/JX
우리	우리/NP
손으로	손/NNG+으로/JKB
만들면서	만들/VV+면서/EC
기술을	기술/NNG+을/JKO
배워온	배우/VV+어/EC+오/VX+ㄴ/ETM
것이	것/NNB+이/JKS
드디어	드디어/MAG
결실을	결실/NNG+을/JKO
보는	보/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.281.2.21
러시아 프랑스 같은 쟁쟁한 잠수함 강국들은 물론 '스승'이라 할 독일까지 물리치고 거둔 성과여서 더욱 대견스럽다.

러시아	러시아/NNP
프랑스	프랑스/NNP
같은	같/VA+은/ETM
쟁쟁한	쟁쟁하/VA+ㄴ/ETM
잠수함	잠수함/NNG
강국들은	강국/NNG+들/XSN+은/JX
물론	물론/MAG
'스승'이라	'/SS+스승/NNG+'/SS+이라/JKQ
할	하/VV+ㄹ/ETM
독일까지	독일/NNP+까지/JX
물리치고	물리치/VV+고/EC
거둔	거두/VV+ㄴ/ETM
성과여서	성과/NNG+이/VCP+어서/EC
더욱	더욱/MAG
대견스럽다.	대견스럽/VA+다/EF+./SF


