# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.353
metadata : {}


# id : NWRW1800000054.353.1.1
문재인, 朴대통령 추진 '액티브X 폐지'를 공약으로

문재인,	문재인/NNP+,/SP
기술이지만	기술/NNG+이/VCP+지만/EC
오히려	오히려/MAG
보안상	보안/NNG+상/XSN
문제가	문제/NNG+가/JKS
많이	많이/MAG
발견되면서	발견/NNG+되/XSV+면서/EC
해외에서는	해외/NNG+에서/JKB+는/JX
거의	거의/MAG
쓰지	쓰/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.353.5.1
액티브X 문제는 박 대통령이 지난 2014년 3월 규제 개혁 장관 토론회에서 꺼내면서 일반인들에게 많이 알려졌다.

액티브X	액티브/NNG+X/SL
문제는	문제/NNG+는/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2014년	2014/SN+년/NNB
3월	3/SN+월/NNB
규제	규제/NNG
개혁	개혁/NNG
장관	장관/NNG
토론회에서	토론회/NNG+에서/JKB
꺼내면서	꺼내/VV+면서/EC
일반인들에게	일반인/NNG+들/XSN+에게/JKB
많이	많이/MAG
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.353.5.2
당시 박 대통령은 중국인들이 국내 드라마 '별에서 온 그대'에 나온 '천송이 코트'를 한국 쇼핑몰에서 살 수 없다는 문제를 지적했다.

당시	당시/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
중국인들이	중국인/NNG+들/XSN+이/JKS
국내	국내/NNG
드라마	드라마/NNG
'별에서	'/SS+별/NNG+에서/JKB
온	오/VV+ㄴ/ETM
그대'에	그대/NP+'/SS+에/JKB
나온	나오/VV+ㄴ/ETM
'천송이	'/SS+천송이/NNP
코트'를	코트/NNG+'/SS+를/JKO
한국	한국/NNP
쇼핑몰에서	쇼핑몰/NNG+에서/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
문제를	문제/NNG+를/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.5.3
한국 쇼핑몰에서 물건을 사려면 공인인증서와 '액티브X'를 깔아야 하는데 이 때문에 중국인들이 구입을 포기한다는 것이었다.

한국	한국/NNP
쇼핑몰에서	쇼핑몰/NNG+에서/JKB
물건을	물건/NNG+을/JKO
사려면	사/VV+려면/EC
공인인증서와	공인/NNG+인증서/NNG+와/JC
'액티브X'를	'/SS+액티브/NNG+X/SL+'/SS+를/JKO
깔아야	깔/VV+아야/EC
하는데	하/VX+는데/EC
이	이/NP
때문에	때문/NNB+에/JKB
중국인들이	중국인/NNG+들/XSN+이/JKS
구입을	구입/NNG+을/JKO
포기한다는	포기/NNG+하/XSV+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.353.5.4
박 대통령은 이후에도 여러 차례 ICT 분야의 규제 완화를 강조했지만 여전히 상당수 국내 사이트에서 '액티브X'가 사용되고 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이후에도	이후/NNG+에/JKB+도/JX
여러	여러/MMN
차례	차례/NNG
ICT	ICT/SL
분야의	분야/NNG+의/JKG
규제	규제/NNG
완화를	완화/NNG+를/JKO
강조했지만	강조/NNG+하/XSV+았/EP+지만/EC
여전히	여전히/MAG
상당수	상당수/NNG
국내	국내/NNG
사이트에서	사이트/NNG+에서/JKB
'액티브X'가	'/SS+액티브/NNG+X/SL+'/SS+가/JKS
사용되고	사용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.353.5.5
문 후보 측은 "현 정부가 추진한다고 했지만 미진한 부분을 지적한 것"이라고 했다.

문	문/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"현	"/SS+현/MMD
정부가	정부/NNG+가/JKS
추진한다고	추진/NNG+하/XSV+ㄴ다고/EC
했지만	하/VX+았/EP+지만/EC
미진한	미진하/VA+ㄴ/ETM
부분을	부분/NNG+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.353.6.1
문 후보는 이날 안희정 후보가 대연정을 다시 주장하고 나온 것에 대해 "탄핵과 특검 연장을 반대하는 세력과 손잡겠다고 어떻게 말할 수 있겠느냐"며 "분열 극복과 통합을 위해 노력을 해야겠지만 그것은 탄핵이 끝나고 적폐를 청산한 토대에서 노력해야 할 문제"라고 했다.

문	문/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
안희정	안희정/NNP
후보가	후보/NNG+가/JKS
대연정을	대/XPN+연정/NNG+을/JKO
다시	다시/MAG
주장하고	주장/NNG+하/XSV+고/EC
나온	나오/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"탄핵과	"/SS+탄핵/NNG+과/JC
특검	특검/NNG
연장을	연장/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
세력과	세력/NNG+과/JKB
손잡겠다고	손잡/VV+겠/EP+다고/EC
어떻게	어떻/VA+게/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠느냐"며	있/VA+겠/EP+느냐/EF+"/SS+며/EC
"분열	"/SS+분열/NNG
극복과	극복/NNG+과/JC
통합을	통합/NNG+을/JKO
위해	위하/VV+아/EC
노력을	노력/NNG+을/JKO
해야겠지만	하/VV+아야/EC+하/VX+겠/EP+지만/EC
그것은	그것/NP+은/JX
탄핵이	탄핵/NNG+이/JKS
끝나고	끝나/VV+고/EC
적폐를	적폐/NNG+를/JKO
청산한	청산/NNG+하/XSV+ㄴ/ETM
토대에서	토대/NNG+에서/JKB
노력해야	노력/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


