# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.149
metadata : {}


# id : NWRW1800000029.149.1.1
[카다피의 종말]총성도 멎기 전… “석유 선점” 열강 아우성

[카다피의	[/SS+카다피/NNP+의/JKG
프랑스의	프랑스/NNP+의/JKG
토탈,	토탈/NNP+,/SP
영국의	영국/NNP+의/JKG
BP	BP/SL
등이	등/NNB+이/JKS
현지에	현지/NNG+에/JKB
생산시설을	생산/NNG+시설/NNG+을/JKO
갖고	갖/VV+고/EC
있어	있/VX+어/EC
‘글로벌	‘/SS+글로벌/NNG
석유	석유/NNG
메이저의	메이저/NNG+의/JKG
각축장’으로	각축장/NNG+’/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.149.8.1
이들이 일찌감치 원유 생산시설 확보에 나서는 것은 기존 카다피 정권과 맺은 생산 계약이 무효가 되면서 정권을 장악할 반군 측과 재계약을 해야 하기 때문.

이들이	이/NP+들/XSN+이/JKS
일찌감치	일찌감치/MAG
원유	원유/NNG
생산시설	생산/NNG+시설/NNG
확보에	확보/NNG+에/JKB
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
기존	기존/NNG
카다피	카다피/NNP
정권과	정권/NNG+과/JKB
맺은	맺/VV+은/ETM
생산	생산/NNG
계약이	계약/NNG+이/JKS
무효가	무효/NNG+가/JKC
되면서	되/VV+면서/EC
정권을	정권/NNG+을/JKO
장악할	장악/NNG+하/XSV+ㄹ/ETM
반군	반군/NNG
측과	측/NNB+과/JKB
재계약을	재/XPN+계약/NNG+을/JKO
해야	하/VV+아야/EC
하기	하/VX+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000029.149.8.2
반군 측은 벌써부터 상대국들을 아군과 적군으로 가르며 세를 과시하고 있다.

반군	반군/NNG
측은	측/NNB+은/JX
벌써부터	벌써/MAG+부터/JX
상대국들을	상대국/NNG+들/XSN+을/JKO
아군과	아군/NNG+과/JC
적군으로	적군/NNG+으로/JKB
가르며	가르/VV+며/EC
세를	세/NNG+를/JKO
과시하고	과시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.149.8.3
반군 측 석유회사인 아고코의 압둘잘릴 마유프 대변인은 22일 로이터통신과의 인터뷰에서 “이탈리아와 프랑스, 영국과 같은 서방국가는 별 문제가 없지만 러시아 중국 브라질과는 정치적인 이슈가 남아 있다”고 말했다.

반군	반군/NNG
측	측/NNB
석유회사인	석유/NNG+회사/NNG+이/VCP+ㄴ/ETM
아고코의	아고코/NNP+의/JKG
압둘잘릴	압둘잘릴/NNP
마유프	마유프/NNP
대변인은	대변인/NNG+은/JX
22일	22/SN+일/NNB
로이터통신과의	로이터통신/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“이탈리아와	“/SS+이탈리아/NNP+와/JC
프랑스,	프랑스/NNP+,/SP
영국과	영국/NNP+과/JKB
같은	같/VA+은/ETM
서방국가는	서방/NNG+국가/NNG+는/JX
별	별/MMA
문제가	문제/NNG+가/JKS
없지만	없/VA+지만/EC
러시아	러시아/NNP
중국	중국/NNP
브라질과는	브라질/NNP+과/JKB+는/JX
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
이슈가	이슈/NNG+가/JKS
남아	남/VV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.8.4
금수(禁輸)조치에 미온적으로 협조했던 중국과 러시아는 반군이 장악할 경우 불이익을 받을 수 있음을 시사한 것이다.

금수(禁輸)조치에	금수/NNG+(/SS+禁輸/SH+)/SS+조치/NNG+에/JKB
미온적으로	미온/NNG+적/XSN+으로/JKB
협조했던	협조/NNG+하/XSV+았/EP+던/ETM
중국과	중국/NNP+과/JC
러시아는	러시아/NNP+는/JX
반군이	반군/NNG+이/JKS
장악할	장악/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
불이익을	불/XPN+이익/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.149.9.1
하지만 원유 생산이 재개되고 리비아가 정치적 안정을 찾기까지는 상당한 시간이 걸려 원유 확보전이 너무 이르다는 지적도 많다.

하지만	하지만/MAJ
원유	원유/NNG
생산이	생산/NNG+이/JKS
재개되고	재개/NNG+되/XSV+고/EC
리비아가	리비아/NNP+가/JKS
정치적	정치/NNG+적/XSN
안정을	안정/NNG+을/JKO
찾기까지는	찾/VV+기/ETN+까지/JX+는/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
시간이	시간/NNG+이/JKS
걸려	걸리/VV+어/EC
확보전이	확보전/NNG+이/JKS
너무	너무/MAG
이르다는	이르/VA+다는/ETM
지적도	지적/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.149.9.2
글로벌 석유컨설팅업체인 우드매켄지는 보고서에서 “리비아가 내전 이전 수준으로 석유를 생산하려면 3년이 걸릴 것”이라고 전망했다.

글로벌	글로벌/NNG
석유컨설팅업체인	석유/NNG+컨설팅/NNG+업체/NNG+이/VCP+ㄴ/ETM
우드매켄지는	우드매켄지/NNP+는/JX
보고서에서	보고서/NNG+에서/JKB
“리비아가	“/SS+리비아/NNP+가/JKS
내전	내전/NNG
이전	이전/NNG
수준으로	수준/NNG+으로/JKB
석유를	석유/NNG+를/JKO
생산하려면	생산/NNG+하/XSV+려면/EC
3년이	3/SN+년/NNB+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.149.10.1
한편 리비아의 원유생산 재개는 유가를 떨어뜨려 글로벌 인플레이션을 진정시키는 데 기여할 것이라는 전망도 나온다.

한편	한편/MAG
리비아의	리비아/NNP+의/JKG
원유생산	원유/NNG+생산/NNG
재개는	재개/NNG+는/JX
유가를	유가/NNG+를/JKO
떨어뜨려	떨어뜨리/VV+어/EC
글로벌	글로벌/NNG
인플레이션을	인플레이션/NNG+을/JKO
진정시키는	진정/NNG+시키/XSV+는/ETM
데	데/NNB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.149.10.2
특히 휘발유 가격이 경제회복의 발목을 잡고 있는 미국으로서는 인플레이션 우려를 덜면서 3차 양적완화 조치 카드를 빼들 수 있어 운신의 폭이 넓어질 것으로 보인다.

특히	특히/MAG
휘발유	휘발유/NNG
가격이	가격/NNG+이/JKS
경제회복의	경제/NNG+회복/NNG+의/JKG
발목을	발목/NNG+을/JKO
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
미국으로서는	미국/NNP+으로서/JKB+는/JX
인플레이션	인플레이션/NNG
우려를	우려/NNG+를/JKO
덜면서	덜/VV+면서/EC
3차	3/SN+차/NNB
양적완화	양/NNG+적/XSN+완화/NNG
조치	조치/NNG
카드를	카드/NNG+를/JKO
빼들	빼/VV+어/EC+들/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
운신의	운신/NNG+의/JKG
폭이	폭/NNG+이/JKS
넓어질	넓어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.149.10.3
글로벌 주요 기업도 글로벌 경제의 주요 악재 중 하나였던 북아프리카 중동 정세가 안정을 찾게 되면 세계 경제도 실낱같은 희망을 찾을 것으로 기대하고 있다.

글로벌	글로벌/NNG
주요	주요/NNG
기업도	기업/NNG+도/JX
경제의	경제/NNG+의/JKG
악재	악재/NNG
중	중/NNB
하나였던	하나/NR+이/VCP+었/EP+던/ETM
북아프리카	북아프리카/NNP
중동	중동/NNP
정세가	정세/NNG+가/JKS
안정을	안정/NNG+을/JKO
찾게	찾/VV+게/EC
되면	되/VV+면/EC
세계	세계/NNG
경제도	경제/NNG+도/JX
실낱같은	실낱같/VA+은/ETM
희망을	희망/NNG+을/JKO
찾을	찾/VV+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


