# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.162
metadata : {}


# id : NWRW1800000038.162.1.1
[기자수첩] 더 시끄러워진 대한문… 이럴 바엔 화단 치우는게 낫겠다

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
방송하세요"라며	방송/NNG+하/XSV+시/EP+어요/EF+"/SS+이/VCP+라며/EC
경찰을	경찰/NNG+을/JKO
조롱했다.	조롱/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.4.4
경찰이 경비 태세를 갖추며 화단에서 나오라고 방송하자, 이들은 "잔디 밟았다고 연행할 건가"라며 구호를 마저 외치고 유유히 화단에서 나왔다.

경찰이	경찰/NNG+이/JKS
경비	경비/NNG
태세를	태세/NNG+를/JKO
갖추며	갖추/VV+며/EC
화단에서	화단/NNG+에서/JKB
나오라고	나오/VV+라고/EC
방송하자,	방송/NNG+하/XSV+자/EC+,/SP
이들은	이/NP+들/XSN+은/JX
"잔디	"/SS+잔디/NNG
밟았다고	밟/VV+았/EP+다고/EC
연행할	연행/NNG+하/XSV+ㄹ/ETM
건가"라며	거/NNB+이/VCP+ㄴ가/EF+"/SS+이/VCP+라며/EC
구호를	구호/NNG+를/JKO
마저	마저/MAG
외치고	외치/VV+고/EC
유유히	유유히/MAG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.4.5
이처럼 구청이 만든 화단은 시위대의 웃음거리로 전락했다.

이처럼	이/NP+처럼/JKB
구청이	구청/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
화단은	화단/NNG+은/JX
시위대의	시위대/NNG+의/JKG
웃음거리로	웃음거리/NNG+로/JKB
전락했다.	전락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.162.5.1
더구나 폭 14.5m 인도(人道) 절반 이상을 화단과 시위대들이 차지해 버렸기 때문에, 시민 불편이 이만저만이 아니다.

더구나	더구나/MAG
폭	폭/NNG
14.5m	14/SN+./SP+5/SN+m/SW
인도(人道)	인도/NNG+(/SS+人道/SH+)/SS
절반	절반/NNG
이상을	이상/NNG+을/JKO
화단과	화단/NNG+과/JC
시위대들이	시위대/NNG+들/XSN+이/JKS
차지해	차지/NNG+하/XSV+아/EC
버렸기	버리/VX+었/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
시민	시민/NNG
불편이	불편/NNG+이/JKS
이만저만이	이만저만/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.162.5.2
덕수궁 왕궁수문장 교대의식이라도 열리면 관광객과 시위대, 경찰이 뒤섞여 인근은 금세 혼잡해진다.

덕수궁	덕수궁/NNP
왕궁수문장	왕궁/NNG+수문장/NNG
교대의식이라도	교대/NNG+의식/NNG+이/VCP+라도/EC
열리면	열리/VV+면/EC
관광객과	관광객/NNG+과/JC
시위대,	시위대/NNG+,/SP
경찰이	경찰/NNG+이/JKS
뒤섞여	뒤섞이/VV+어/EC
인근은	인근/NNG+은/JX
금세	금세/MAG
혼잡해진다.	혼잡/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.162.5.3
철거 이후 이레 동안 대한문 앞에선 하루에도 2~3차례씩 촛불 시위, 미사 등 갖가지 집회가 열렸다.

철거	철거/NNG
이후	이후/NNG
이레	이레/NNG
동안	동안/NNG
대한문	대한문/NNP
앞에선	앞/NNG+에서/JKB+ㄴ/JX
하루에도	하루/NNG+에/JKB+도/JX
2~3차례씩	2/SN+~/SO+3/SN+차례/NNG+씩/XSN
촛불	촛불/NNG
시위,	시위/NNG+,/SP
미사	미사/NNG
등	등/NNB
갖가지	갖가지/NNG
집회가	집회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.162.5.4
이들은 오는 12·19·26·30일과 내달 1일 대규모 규탄집회를 여는 등 집회·시위를 계속한다고 선언했고 앞으로도 대한문 앞 시위를 계속한다니 이런 불편은 당분간 계속될 것 같다.

이들은	이/NP+들/XSN+은/JX
오는	오/VV+는/ETM
12·19·26·30일과	12/SN+·/SP+19/SN+·/SP+26/SN+·/SP+30/SN+일/NNB+과/JC
내달	내달/NNG
1일	1/SN+일/NNB
대규모	대/XPN+규모/NNG
규탄집회를	규탄/NNG+집회/NNG+를/JKO
여는	열/VV+는/ETM
등	등/NNB
집회·시위를	집회/NNG+·/SP+시위/NNG+를/JKO
계속한다고	계속/NNG+하/XSV+ㄴ다고/EC
선언했고	선언/NNG+하/XSV+았/EP+고/EC
앞으로도	앞/NNG+으로/JKB+도/JX
대한문	대한문/NNP
앞	앞/NNG
시위를	시위/NNG+를/JKO
계속한다니	계속/MAG+하/XSV+ㄴ다니/EC
이런	이런/MMD
불편은	불편/NNG+은/JX
당분간	당분간/MAG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000038.162.5.5
이들이 '합법'적으로 신고를 하고 시위를 하니 경찰도 막지 못해 쳐다보기만 할 뿐이다.

이들이	이/NP+들/XSN+이/JKS
'합법'적으로	'/SS+합법/NNG+'/SS+적/XSN+으로/JKB
신고를	신고/NNG+를/JKO
하고	하/VV+고/EC
시위를	시위/NNG+를/JKO
하니	하/VV+니/EC
경찰도	경찰/NNG+도/JX
막지	막/VV+지/EC
못해	못하/VX+아/EC
쳐다보기만	쳐다보/VV+기/ETN+만/JX
할	하/VX+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.162.6.1
지나가는 시민 중에는 "천막이 있었을 때가 낫다"고 말하는 사람도 있었다.

지나가는	지나가/VV+는/ETM
시민	시민/NNG
중에는	중/NNB+에/JKB+는/JX
"천막이	"/SS+천막/NNG+이/JKS
있었을	있/VA+었/EP+을/ETM
때가	때/NNG+가/JKS
낫다"고	낫/VA+다/EF+"/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
사람도	사람/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.162.6.2
기자도 '공권력도 어쩌지 못하는 상황이 계속될 바에야 차라리 화단을 치우고 시위대가 그 자리에서 시위하게 하면 그나마 시민들이 지나갈 인도 공간은 더 넓어지고 불편도 덜하지 않겠냐'는 생각이 들었다.

기자도	기자/NNG+도/JX
'공권력도	'/SS+공권력/NNG+도/JX
어쩌지	어쩌/VV+지/EC
못하는	못하/VX+는/ETM
상황이	상황/NNG+이/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
바에야	바/NNB+에/JKB+야/JX
차라리	차라리/MAG
화단을	화단/NNG+을/JKO
치우고	치우/VV+고/EC
시위대가	시위대/NNG+가/JKS
그	그/MMD
자리에서	자리/NNG+에서/JKB
시위하게	시위/NNG+하/XSV+게/EC
하면	하/VX+면/EC
그나마	그나마/MAG
시민들이	시민/NNG+들/XSN+이/JKS
지나갈	지나가/VV+ㄹ/ETM
인도	인도/NNG
공간은	공간/NNG+은/JX
더	더/MAG
넓어지고	넓어지/VV+고/EC
불편도	불편/NNG+도/JX
덜하지	덜/MAG+하/XSA+지/EC
않겠냐'는	않/VX+겠/EP+냐/EF+'/SS+는/ETM
생각이	생각/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.162.6.3
하도 답답해서 해본 생각이다.

하도	하도/MAG
답답해서	답답하/VA+아서/EC
해본	하/VV+아/EC+보/VX+ㄴ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


