# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.193
metadata : {}


# id : NWRW1800000032.193.1.1
조선왕실도서 1200책 90여년만에 귀환

조선왕실도서	조선/NNP+왕실/NNG+도서/NNG
옮겨져	옮기/VV+어/EC+지/VX+어/EC
경찰	경찰/NNG
사이드카의	사이드카/NNG+의/JKG
호위	호위/NNG
속에	속/NNG+에/JKB
이날	이날/NNG
저녁	저녁/NNG
보관	보관/NNG
장소인	장소/NNG+이/VCP+ㄴ/ETM
국립고궁박물관에	국립고궁박물관/NNP+에/JKB
안착했다.	안착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.193.7.1
이날 돌아온 도서들은 지난 10월 노다 요시히코 일본 총리가 방한할 당시 먼저 인도한 <대례의궤> 등 3종 5책을 뺀 147종 1200책이다.

이날	이날/NNG
돌아온	돌아오/VV+ㄴ/ETM
도서들은	도서/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
노다	노다/NNP
요시히코	요시히코/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
방한할	방한/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
먼저	먼저/MAG
인도한	인도/NNG+하/XSV+ㄴ/ETM
<대례의궤>	</SS+대례의궤/NNP+>/SS
등	등/NNB
3종	3/SN+종/NNG
5책을	5/SN+책/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
147종	147/SN+종/NNG
1200책이다.	1200/SN+책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.193.7.2
1922년 조선총독부를 통해 일본에 넘어간 <조선왕실의궤>(81종 167책)와 1906~1909년 조선통감 이토 히로부미가 규장각 등에서 반출해간 도서(이토 본) 66종 938책, 국내 역대 문물제도를 정리한 백과사전격인 <증보문헌비고>(2종 99책)와 조선시대 마지막 법전인 <대전회통>(1종 1책)으로 이뤄져 있다.

1922년	1922/SN+년/NNB
조선총독부를	조선총독부/NNP+를/JKO
통해	통하/VV+아/EC
일본에	일본/NNP+에/JKB
넘어간	넘어가/VV+ㄴ/ETM
<조선왕실의궤>(81종	</SS+조선왕실의궤/NNG+>/SS+(/SS+81/SN+종/NNG
167책)와	167/SN+책/NNG+)/SS+와/JC
1906~1909년	1906/SN+~/SO+1909/SN+년/NNB
조선통감	조선/NNP+통감/NNG
이토	이토/NNP
히로부미가	히로부미/NNP+가/JKS
규장각	규장각/NNP
등에서	등/NNB+에서/JKB
반출해간	반출/NNG+하/XSV+아/EC+가/VX+ㄴ/ETM
도서(이토	도서/NNG+(/SS+이토/NNP
본)	본/NA+)/SS
66종	66/SN+종/NNG
938책,	938/SN+책/NNG+,/SP
국내	국내/NNG
역대	역대/NNG
문물제도를	문물제도/NNG+를/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
백과사전격인	백과사전/NNG+격/NNB+이/VCP+ㄴ/ETM
<증보문헌비고>(2종	</SS+증보문헌비고/NNG+>/SS+(/SS+2/SN+종/NNG
99책)와	99/SN+책/NNG+)/SS+와/JC
조선시대	조선시대/NNG
마지막	마지막/NNG
법전인	법전/NNG+이/VCP+ㄴ/ETM
<대전회통>(1종	</SS+대전회통/NNP+>/SS+(/SS+1/SN+종/NNG
1책)으로	1/SN+책/NNG+)/SS+으로/JKB
이뤄져	이뤄지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.193.8.1
왕실도서들의 귀환은 지난해 8월10일 당시 간 나오토 일본 총리가 한국 강제 병합 100주년 담화에서 “조선총독부를 거쳐 한반도에서 일본으로 반출된 조선왕실 의궤 등 도서를 인도하겠다”고 밝힌 뒤 1년3개월여만에 성사됐다.

왕실도서들의	왕실/NNG+도서/NNG+들/XSN+의/JKG
귀환은	귀환/NNG+은/JX
지난해	지난해/NNG
8월10일	8/SN+월/NNB+10/SN+일/NNB
당시	당시/NNG
간	간/NNP
나오토	나오토/NNP
일본	일본/NNP
총리가	총리/NNG+가/JKS
한국	한국/NNP
강제	강제/NNG
병합	병합/NNG
100주년	100/SN+주년/NNB
담화에서	담화/NNG+에서/JKB
“조선총독부를	“/SS+조선총독부/NNP+를/JKO
거쳐	거치/VV+어/EC
한반도에서	한반도/NNP+에서/JKB
일본으로	일본/NNP+으로/JKB
반출된	반출/NNG+되/XSV+ㄴ/ETM
조선왕실	조선/NNP+왕실/NNG
의궤	의궤/NNG
등	등/NNB
도서를	도서/NNG+를/JKO
인도하겠다”고	인도/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
1년3개월여만에	1/SN+년/NNB+3/SN+개월/NNB+여/XSN+만/JX+에/JKB
성사됐다.	성사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.193.8.2
일본 여야의 대립으로 비준이 올해 6월까지 미뤄지는 곡절을 겪기도 했으나, 노다 총리가 10월 방한 때 도서 일부를 먼저 돌려주면서, 12월10일 최종 인도를 확정해 반환 논의를 마무리지었다.

일본	일본/NNP
여야의	여야/NNG+의/JKG
대립으로	대립/NNG+으로/JKB
비준이	비준/NNG+이/JKS
올해	올해/NNG
6월까지	6/SN+월/NNB+까지/JX
미뤄지는	미루/VV+어/EC+지/VX+는/ETM
곡절을	곡절/NNG+을/JKO
겪기도	겪/VV+기/ETN+도/JX
했으나,	하/VX+았/EP+으나/EC+,/SP
노다	노다/NNP
총리가	총리/NNG+가/JKS
10월	10/SN+월/NNB
방한	방한/NNG
때	때/NNG
도서	도서/NNG
일부를	일부/NNG+를/JKO
먼저	먼저/MAG
돌려주면서,	돌려주/VV+면서/EC+,/SP
12월10일	12/SN+월/NNB+10/SN+일/NNB
최종	최종/NNG
인도를	인도/NNG+를/JKO
확정해	확정/NNG+하/XSV+아/EC
반환	반환/NNG
논의를	논의/NNG+를/JKO
마무리지었다.	마무리/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.193.8.3
앞서 2002년 국내 고문서학자들이 의궤의 일본 반출을 확인했다는 사실을 <한겨레>가 처음 보도한 이래 2006년 불교계를 중심으로 조선왕실의궤환수위원회가 만들어져 적극적인 환수 활동을 펼쳤고, 정부도 뒤늦게 환수협상을 본격화하면서 거둔 성과였다.

앞서	앞서/MAG
2002년	2002/SN+년/NNB
국내	국내/NNG
고문서학자들이	고문서학자/NNG+들/XSN+이/JKS
의궤의	의궤/NNG+의/JKG
일본	일본/NNP
반출을	반출/NNG+을/JKO
확인했다는	확인/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
처음	처음/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
2006년	2006/SN+년/NNB
불교계를	불교/NNG+계/XSN+를/JKO
중심으로	중심/NNG+으로/JKB
조선왕실의궤환수위원회가	조선왕실의궤/NNG+환수/NNG+위원회/NNG+가/JKS
만들어져	만들/VV+어/EC+지/VX+어/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
환수	환수/NNG
활동을	활동/NNG+을/JKO
펼쳤고,	펼치/VV+었/EP+고/EC+,/SP
정부도	정부/NNG+도/JX
뒤늦게	뒤늦/VA+게/EC
환수협상을	환수/NNG+협상/NNG+을/JKO
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
거둔	거두/VV+ㄴ/ETM
성과였다.	성과/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.193.8.4
반환 형식이 ‘인도’라는 한계는 있지만, 지난 4~5월 프랑스에서 돌아온 외규장각 왕실도서가 ‘대여’ 형식인 것과 달리 온전히 소유권을 넘겨받았다는 점에서 차이가 있다.

반환	반환/NNG
형식이	형식/NNG+이/JKS
‘인도’라는	‘/SS+인도/NNP+’/SS+이/VCP+라는/ETM
한계는	한계/NNG+는/JX
있지만,	있/VA+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
4~5월	4/SN+~/SO+5/SN+월/NNB
프랑스에서	프랑스/NNP+에서/JKB
돌아온	돌아오/VV+ㄴ/ETM
외규장각	외규장각/NNP
왕실도서가	왕실/NNG+도서/NNG+가/JKS
‘대여’	‘/SS+대여/NNG+’/SS
형식인	형식/NNG+이/VCP+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
온전히	온전히/MAG
소유권을	소유/NNG+권/XSN+을/JKO
넘겨받았다는	넘겨받/VV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.193.9.1
문화재청은 조선왕실 도서가 무사 귀환했음을 알리는 환수 고유제를 오는 13일 오전 11시 종묘 정전에서 연다.

문화재청은	문화재청/NNG+은/JX
조선왕실	조선/NNP+왕실/NNG
도서가	도서/NNG+가/JKS
무사	무사/NNG
귀환했음을	귀환/NNG+하/XSV+았/EP+음/ETN+을/JKO
알리는	알리/VV+는/ETM
환수	환수/NNG
고유제를	고유제/NNG+를/JKO
오는	오/VV+는/ETM
13일	13/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
종묘	종묘/NNP
정전에서	정전/NNG+에서/JKB
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.193.9.2
이어 27일부터 내년 2월5일까지 국립고궁박물관에서 특별전을 열어 일반 공개할 예정이다.

이어	이어/MAG
27일부터	27/SN+일/NNB+부터/JX
내년	내년/NNG
2월5일까지	2/SN+월/NNB+5/SN+일/NNB+까지/JX
국립고궁박물관에서	국립고궁박물관/NNP+에서/JKB
특별전을	특별전/NNG+을/JKO
열어	열/VV+어/EC
일반	일반/NNG
공개할	공개/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.193.9.3
문화재청은 구한말 당시 의궤류의 상당 부분을 보관했던 강원도 평창군 오대산사고와 월정사에서 국민환영행사를 여는 방안도 협의 중이라고 밝혔다.

문화재청은	문화재청/NNG+은/JX
구한말	구/XPN+한말/NNG
당시	당시/NNG
의궤류의	의궤/NNG+류/XSN+의/JKG
상당	상당/NNG
부분을	부분/NNG+을/JKO
보관했던	보관/NNG+하/XSV+았/EP+던/ETM
강원도	강원도/NNP
평창군	평창군/NNP
오대산사고와	오대산/NNP+사고/NNG+와/JC
월정사에서	월정사/NNP+에서/JKB
국민환영행사를	국민/NNG+환영/NNG+행사/NNG+를/JKO
여는	열/VV+는/ETM
방안도	방안/NNG+도/JX
협의	협의/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


