# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.275
metadata : {}


# id : NWRW1800000046.275.1.1
[전문기자 칼럼] 分斷(분단) 시대를 끝내는 법

[전문기자	[/SS+전문/NNG+기자/NNG
좌익을 혐오한 우익 작품이라는 말도 있지만 근거가 약하다.

좌익을	좌익/NNG+을/JKO
혐오한	혐오/NNG+하/XSV+ㄴ/ETM
우익	우익/NNG
작품이라는	작품/NNG+이/VCP+라는/ETM
말도	말/NNG+도/JX
있지만	있/VA+지만/EC
근거가	근거/NNG+가/JKS
약하다.	약하/VA+다/EF+./SF


# id : NWRW1800000046.275.2.4
조선인민당 당수(黨首)였던 좌익 지도자 여운형도 '국민개병(國民皆兵)' '국민개로(國民皆勞)'를 논했다.

조선인민당	조선인민당/NNP
당수(黨首)였던	당수/NNG+(/SS+黨首/SH+)/SS+이/VCP+었/EP+던/ETM
좌익	좌익/NNG
지도자	지도자/NNG
여운형도	여운형/NNP+도/JX
'국민개병(國民皆兵)'	'/SS+국민개병/NNG+(/SS+國民皆兵/SH+)/SS+'/SS
'국민개로(國民皆勞)'를	'/SS+국민/NNG+개로/NNG+(/SS+國民皆勞/SH+)/SS+'/SS+를/JKO
논했다.	논하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.275.2.5
우파 지도자였던 초대 대통령 이승만도 여러 연설문과 담화문에서 '인민'이라는 단어를 썼다.

우파	우파/NNG
지도자였던	지도자/NNG+이/VCP+었/EP+던/ETM
초대	초대/NNG
대통령	대통령/NNG
이승만도	이승만/NNP+도/JX
여러	여러/MMN
연설문과	연설문/NNG+과/JC
담화문에서	담화문/NNG+에서/JKB
'인민'이라는	'/SS+인민/NNG+'/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.275.2.6
일반 대중에게 국민과 인민은 별 차이가 없었다.

일반	일반/NNG
대중에게	대중/NNG+에게/JKB
국민과	국민/NNG+과/JC
인민은	인민/NNG+은/JX
별	별/MMA
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.275.2.7
오히려 되찾은 나라 대한민국 구성원으로서 국민이 헌법의 주체라는 묵시적 동의가 있었을 가능성이 크다.

오히려	오히려/MAG
되찾은	되찾/VV+은/ETM
나라	나라/NNG
대한민국	대한민국/NNP
구성원으로서	구성원/NNG+으로서/JKB
국민이	국민/NNG+이/JKS
헌법의	헌법/NNG+의/JKG
주체라는	주체/NNG+이/VCP+라는/ETM
묵시적	묵시/NNG+적/XSN
동의가	동의/NNG+가/JKS
있었을	있/VA+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000046.275.2.8
어찌 됐건 지금 대한민국 '국민'은 '인민'이라는 단어를 쓰지 않는다.

어찌	어찌/MAG
됐건	되/VV+었/EP+건/EC
지금	지금/MAG
대한민국	대한민국/NNP
'국민'은	'/SS+국민/NNG+'/SS+은/JX
'인민'이라는	'/SS+인민/NNG+'/SS+이/VCP+라는/ETM
단어를	단어/NNG+를/JKO
쓰지	쓰/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.275.3.1
분단으로 생긴 더 큰 언어적 상실은 '동무'다.

분단으로	분단/NNG+으로/JKB
생긴	생기/VV+ㄴ/ETM
더	더/MAG
큰	크/VA+ㄴ/ETM
언어적	언어/NNG+적/XSN
상실은	상실/NNG+은/JX
'동무'다.	'/SS+동무/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.3.2
북한의 조선말사전에 따르면 동무는 '혁명 대오에서 함께 싸우는 사람을 친근하게 이르는 말'이다.

북한의	북한/NNP+의/JKG
조선말사전에	조선말/NNG+사전/NNG+에/JKB
따르면	따르/VV+면/EC
동무는	동무/NNG+는/JX
'혁명	'/SS+혁명/NNG
대오에서	대오/NNG+에서/JKB
함께	함께/MAG
싸우는	싸우/VV+는/ETM
사람을	사람/NNG+을/JKO
친근하게	친근하/VA+게/EC
이르는	이르/VV+는/ETM
말'이다.	말/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.3.3
사회주의 국가에서 만인 평등을 주장하며 모든 관습적 호칭 뒤에 붙이는 단어다.

사회주의	사회주의/NNG
국가에서	국가/NNG+에서/JKB
만인	만인/NNG
평등을	평등/NNG+을/JKO
주장하며	주장/NNG+하/XSV+며/EC
모든	모든/MMN
관습적	관습/NNG+적/XSN
호칭	호칭/NNG
뒤에	뒤/NNG+에/JKB
붙이는	붙이/VV+는/ETM
단어다.	단어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.3.4
딱히 나라에서 금지한 적도 없지만 어느 틈에 우리 국민은 '동무'를 '동무'라 부르지 않고 '친구'라 부르게 되었다.

딱히	딱히/MAG
나라에서	나라/NNG+에서/JKB
금지한	금지/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없지만	없/VA+지만/EC
어느	어느/MMD
틈에	틈/NNB+에/JKB
우리	우리/NP
국민은	국민/NNG+은/JX
'동무'를	'/SS+동무/NNG+'/SS+를/JKO
'동무'라	'/SS+동무/NNG+'/SS+이/VCP+라/EC
부르지	부르/VV+지/EC
않고	않/VX+고/EC
'친구'라	'/SS+친구/NNG+'/SS+이/VCP+라/EC
부르게	부르/VV+게/EC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.275.3.5
'동무 따라 강남 간다'는 속담은 '친구 따라 강남 간다'가 되었고, 어깨동무를 하는 사람은 동무가 아니라 친구다.

'동무	'/SS+동무/NNG
따라	따르/VV+아/EC
강남	강남/NNP
간다'는	가/VV+ㄴ다/EF+'/SS+는/ETM
속담은	속담/NNG+은/JX
'친구	'/SS+친구/NNG
간다'가	가/VV+ㄴ다/EF+'/SS+가/JKC
되었고,	되/VV+었/EP+고/EC+,/SP
어깨동무를	어깨동무/NNG+를/JKO
하는	하/VV+는/ETM
사람은	사람/NNG+은/JX
동무가	동무/NNG+가/JKC
아니라	아니/VCN+라/EC
친구다.	친구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.3.6
분단은 이렇게 공동체의 일상 언어생활까지 파괴하고 변형시켰다.

분단은	분단/NNG+은/JX
이렇게	이렇/VA+게/EC
공동체의	공동체/NNG+의/JKG
일상	일상/NNG
언어생활까지	언어생활/NNG+까지/JX
파괴하고	파괴/NNG+하/XSV+고/EC
변형시켰다.	변형/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.275.4.1
강원도 양구군 동북단에는 해안면이 있다.

강원도	강원도/NNP
양구군	양구군/NNP
동북단에는	동북단/NNG+에/JKB+는/JX
해안면이	해안면/NNP+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.275.4.2
'돼지 해(亥)'에 '편안할 안(安)'을 쓰는 해안면이다.

'돼지	'/SS+돼지/NNG
해(亥)'에	해/NNG+(/SS+亥/SH+)/SS+'/SS+에/JKB
'편안할	'/SS+편안/NNG+하/XSA+ㄹ/ETM
안(安)'을	안/NA+(/SS+安/SH+)/SS+'/SS+을/JKO
쓰는	쓰/VV+는/ETM
해안면이다.	해안면/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.4.3
원래는 해안(海安)면이었는데 뱀이 들끓는 옛적에 스님 한 분이 '돼지 해(亥)'를 지명에 쓰면 뱀이 사라진다고 해서 바꿨다고 한다.

원래는	원래/NNG+는/JX
해안(海安)면이었는데	해안/NNG+(/SS+海安/SH+)/SS+면/NNG+이/VCP+었/EP+는데/EC
뱀이	뱀/NNG+이/JKS
들끓는	들끓/VV+는/ETM
옛적에	옛적/NNG+에/JKB
스님	스님/NNG
한	한/MMN
분이	분/NNB+이/JKS
'돼지	'/SS+돼지/NNG
해(亥)'를	해/NNG+(/SS+亥/SH+)/SS+'/SS+를/JKO
지명에	지명/NNG+에/JKB
쓰면	쓰/VV+면/EC
사라진다고	사라지/VV+ㄴ다고/EC
해서	하/VV+아서/EC
바꿨다고	바꾸/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.275.4.4
해안은 금강산에서 서울에 이르는 보부상과 장돌뱅이들이 일제강점기까지 장(場)을 열던 곳이다.

해안은	해안/NNG+은/JX
금강산에서	금강산/NNP+에서/JKB
서울에	서울/NNP+에/JKB
이르는	이르/VV+는/ETM
보부상과	보부상/NNG+과/JC
장돌뱅이들이	장돌뱅이/NNG+들/XSN+이/JKS
일제강점기까지	일제/NNG+강점기/NNG+까지/JX
장(場)을	장/NNG+(/SS+場/SH+)/SS+을/JKO
열던	열/VV+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.4.5
38선 이북에 있다가 6·25전쟁 후 수복된 마을인데 지금은 인구가 1500명밖에 되지 않는다.

38선	38/SN+선/NNG
이북에	이북/NNG+에/JKB
있다가	있/VA+다가/EC
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
후	후/NNG
수복된	수복/NNG+되/XSV+ㄴ/ETM
마을인데	마을/NNG+이/VCP+ㄴ데/EC
지금은	지금/NNG+은/JX
인구가	인구/NNG+가/JKS
1500명밖에	1500/SN+명/NNB+밖에/JX
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.275.5.1
이렇게 말하면 어디 붙어 있는 촌동네인가 하겠지만 '펀치볼(Punch Bowl) 마을'이라고 하면 웬만한 사람은 아는 척한다.

이렇게	이렇/VA+게/EC
말하면	말/NNG+하/XSV+면/EC
어디	어디/NP
붙어	붙/VV+어/EC
있는	있/VX+는/ETM
촌동네인가	촌/NNG+동네/NNG+이/VCP+ㄴ가/EF
하겠지만	하/VV+겠/EP+지만/EC
'펀치볼(Punch	'/SS+펀치/NNG+볼/NNG+(/SS+Punch/SL
Bowl)	Bowl/SL+)/SS
마을'이라고	마을/NNG+'/SS+이/VCP+라고/EC
하면	하/VV+면/EC
웬만한	웬만하/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
아는	알/VV+는/ETM
척한다.	척/NNB+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.275.5.2
6·25전쟁 당시 외국 종군기자가 화채 그릇 같다고 해서 이름 붙인 거대한 분지 지형이다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
외국	외국/NNG
종군기자가	종군/NNG+기자/NNG+가/JKS
화채	화채/NNG
그릇	그릇/NNG
같다고	같/VA+다고/EC
해서	하/VV+아서/EC
이름	이름/NNG
붙인	붙이/VV+ㄴ/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
분지	분지/NNG
지형이다.	지형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.5.3
공식 지명보다 더 많이 사용돼 영농조합도 펀치볼이고 특산품인 시래기 상표도 펀치볼이다.

공식	공식/NNG
지명보다	지명/NNG+보다/JKB
더	더/MAG
많이	많이/MAG
사용돼	사용/NNG+되/XSV+어/EC
영농조합도	영농/NNG+조합/NNG+도/JX
펀치볼이고	펀치/NNG+볼/NNG+이/VCP+고/EC
특산품인	특산품/NNG+이/VCP+ㄴ/ETM
시래기	시래기/NNG
상표도	상표/NNG+도/JX
펀치볼이다.	펀치/NNG+볼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.6.1
펀치볼을 찾은 관광객은 북쪽 능선에 있는 을지 전망대에 꼭 오른다.

펀치볼을	펀치/NNG+볼/NNG+을/JKO
찾은	찾/VV+은/ETM
관광객은	관광객/NNG+은/JX
북쪽	북쪽/NNG
능선에	능선/NNG+에/JKB
있는	있/VA+는/ETM
을지	을지/NNP
전망대에	전망대/NNG+에/JKB
꼭	꼭/MAG
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.275.6.2
을지 전망대는 6·25전쟁 당시 '모택동 고지'라고 했다.

을지	을지/NNP
전망대는	전망대/NNG+는/JX
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
'모택동	'/SS+모택동/NNP
고지'라고	고지/NNG+'/SS+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.275.6.3
그 옆에 있는 무명 봉우리는 '김일성 고지'다.

그	그/MMD
옆에	옆/NNG+에/JKB
있는	있/VA+는/ETM
무명	무명/NNG
봉우리는	봉우리/NNG+는/JX
'김일성	'/SS+김일성/NNP
고지'다.	고지/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.6.4
코앞에 있는 비무장지대 안쪽 금강산 자락인 매봉은 '스탈린 고지'다.

코앞에	코앞/NNG+에/JKB
있는	있/VA+는/ETM
비무장지대	비/XPN+무장/NNG+지대/NNG
안쪽	안쪽/NNG
금강산	금강산/NNP
자락인	자락/NNG+이/VCP+ㄴ/ETM
매봉은	매봉/NNP+은/JX
'스탈린	'/SS+스탈린/NNP
고지'다.	고지/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.6.5
모두 아군의 사기를 북돋우려는 의도로 붙인 것으로 원래 이름은 사라졌다.

모두	모두/MAG
아군의	아군/NNG+의/JKG
사기를	사기/NNG+를/JKO
북돋우려는	북돋우/VV+려는/ETM
의도로	의도/NNG+로/JKB
붙인	붙이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
원래	원래/NNG
이름은	이름/NNG+은/JX
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.275.6.6
이 또한 분단이 낳은 상실이다.

이	이/NP
또한	또한/MAG
분단이	분단/NNG+이/JKS
낳은	낳/VV+은/ETM
상실이다.	상실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.6.7
북쪽 풍경은 사진도 찍을 수 없다.

북쪽	북쪽/NNG
풍경은	풍경/NNG+은/JX
사진도	사진/NNG+도/JX
찍을	찍/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.275.6.8
군사 시설이 드러나지 않게 하기 위해서다.

군사	군사/NNG
시설이	시설/NNG+이/JKS
드러나지	드러나/VV+지/EC
않게	않/VX+게/EC
하기	하/VX+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.7.1
2013년 백두대간의 남과 북을 아울러 종주한 사람은 뉴질랜드 경찰관 로저 셰퍼드였다.

2013년	2013/SN+년/NNB
백두대간의	백두대간/NNP+의/JKG
남과	남/NNP+과/JC
북을	북/NNP+을/JKO
아울러	아울러/MAG
종주한	종주/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
뉴질랜드	뉴질랜드/NNP
경찰관	경찰관/NNG
로저	로저/NNP
셰퍼드였다.	셰퍼드/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.275.7.2
오토바이를 몰고 판문점을 거쳐 남북을 종주한 그룹도 뉴질랜드 팀이었다.

오토바이를	오토바이/NNG+를/JKO
몰고	몰/VV+고/EC
판문점을	판문점/NNP+을/JKO
거쳐	거치/VV+어/EC
남북을	남북/NNP+을/JKO
종주한	종주/NNG+하/XSV+ㄴ/ETM
그룹도	그룹/NNG+도/JX
뉴질랜드	뉴질랜드/NNP
팀이었다.	팀/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.275.7.3
아무리 '우리의 소원은 통일'이라고 노래해도 분단 시대는 끝나지 않는다.

아무리	아무리/MAG
'우리의	'/SS+우리/NP+의/JKG
소원은	소원/NNG+은/JX
통일'이라고	통일/NNG+'/SS+이/VCP+라고/EC
노래해도	노래/NNG+하/XSV+아도/EC
분단	분단/NNG
시대는	시대/NNG+는/JX
끝나지	끝나/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.275.7.4
문제는 실천이다.

문제는	문제/NNG+는/JX
실천이다.	실천/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.275.7.5
통일은 남이 주는 선물이 아니다.

통일은	통일/NNG+은/JX
남이	남/NNG+이/JKS
주는	주/VV+는/ETM
선물이	선물/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.275.7.6
점심 한 끼에 차 한 잔 비용인 1만원짜리 통일나눔펀드면, 작되 거대한 우리 스스로의 실천을 할 수 있다.

점심	점심/NNG
한	한/MMN
끼에	끼/NNG+에/JKB
차	차/NNG
잔	잔/NNG
비용인	비용/NNG+이/VCP+ㄴ/ETM
1만원짜리	1/SN+만/NR+원/NNB+짜리/XSN
통일나눔펀드면,	통일/NNG+나눔/NNG+펀드/NNG+이/VCP+면/EC+,/SP
작되	작/VA+되/EC
거대한	거대/NNG+하/XSA+ㄴ/ETM
우리	우리/NP
스스로의	스스로/NNG+의/JKG
실천을	실천/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.275.7.7
언제까지 우리는 삼천리금수강산을 순례하는 이방인들을 보고 감탄만 할 것인가.

언제까지	언제/NP+까지/JX
우리는	우리/NP+는/JX
삼천리금수강산을	삼천리금수강산/NNG+을/JKO
순례하는	순례/NNG+하/XSV+는/ETM
이방인들을	이방인/NNG+들/XSN+을/JKO
보고	보/VV+고/EC
감탄만	감탄/NNG+만/JX
할	하/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


