# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.7
metadata : {}


# id : NWRW1800000041.7.1.1
중기중앙회 “해주-남포에 ‘제2 개성공단’ 설치 추진”

중기중앙회	중기중앙회/NNP
대도시와	대/XPN+도시/NNG+와/JKB
인접해	인접/NNG+하/XSV+아/EC
노동력	노동력/NNG
조달도	조달/NNG+도/JX
쉽기	쉽/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.7.7.1
김 회장은 “값싼 인건비를 찾아 동남아시아 여러 국가를 전전하는 여러 중소기업에 제2개성공단은 반드시 필요한 숙원 사업”이라며 “북한의 개방과 남북 화해무드 조성에도 큰 도움이 될 수 있다”고 말했다.

김	김/NNP
회장은	회장/NNG+은/JX
“값싼	“/SS+값싸/VA+ㄴ/ETM
인건비를	인건비/NNG+를/JKO
찾아	찾/VV+아/EC
동남아시아	동남아시아/NNP
여러	여러/MMN
국가를	국가/NNG+를/JKO
전전하는	전전/NNG+하/XSV+는/ETM
중소기업에	중소기업/NNG+에/JKB
제2개성공단은	제2개성공단/NNP+은/JX
반드시	반드시/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
숙원	숙원/NNG
사업”이라며	사업/NNG+”/SS+이/VCP+라며/EC
“북한의	“/SS+북한/NNP+의/JKG
개방과	개방/NNG+과/JC
남북	남북/NNP
화해무드	화해/NNG+무드/NNG
조성에도	조성/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VV+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.7.8.1
이에 대해 통일부 관계자는 “정부와 사전 협의가 전혀 없었다”며 “정부는 제2개성공단을 검토한 바 없다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
“정부와	“/SS+정부/NNG+와/JKB
사전	사전/NNG
협의가	협의/NNG+가/JKS
전혀	전혀/MAG
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“정부는	“/SS+정부/NNG+는/JX
제2개성공단을	제2개성공단/NNP+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
바	바/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.7.8.2
현재는 기존 개성공단을 국제적 공단으로 발전시키는 게 우선”이라고 말했다.

현재는	현재/NNG+는/JX
기존	기존/NNG
개성공단을	개성공단/NNP+을/JKO
국제적	국제/NNG+적/XSN
공단으로	공단/NNG+으로/JKB
발전시키는	발전/NNG+시키/XSV+는/ETM
게	거/NNB+이/JKS
우선”이라고	우선/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.7.9.1
한편 취임 7년째를 맞이한 김 회장은 “우리 경제의 저성장과 일자리를 만들기 위해서는 중소기업이 되살아나야 한다”며 “2014년을 중소기업의 자생력 제고와 질적 성장기반 강화에 역점을 두고 사업을 추진할 계획“이라고 강조했다.

한편	한편/MAG
취임	취임/NNG
7년째를	7/SN+년/NNB+째/XSN+를/JKO
맞이한	맞이하/VV+ㄴ/ETM
김	김/NNP
회장은	회장/NNG+은/JX
“우리	“/SS+우리/NP
경제의	경제/NNG+의/JKG
저성장과	저/XPN+성장/NNG+과/JC
일자리를	일자리/NNG+를/JKO
만들기	만들/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
중소기업이	중소기업/NNG+이/JKS
되살아나야	되살아나/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“2014년을	“/SS+2014/SN+년/NNB+을/JKO
중소기업의	중소기업/NNG+의/JKG
자생력	자생력/NNG
제고와	제고/NNG+와/JC
질적	질/NNG+적/XSN
성장기반	성장/NNG+기반/NNG
강화에	강화/NNG+에/JKB
역점을	역점/NNG+을/JKO
두고	두/VV+고/EC
사업을	사업/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획“이라고	계획/NNG+“/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.7.10.1
중기중앙회는 이와 관련해 △신시장 개척을 위한 혁신기반 구축 △내수활력 회복을 위한 투자환경 개선 유도 △창조경제 확산을 통한 기술 및 생산성 혁신 △중기·소상공인 관련 비정상의 정상화 △성장 사다리 복원 및 소상공인 경영 안정 등 5개항의 세부 실천 과제를 제시했다.

중기중앙회는	중기중앙회/NNP+는/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
△신시장	△/SW+신/XPN+시장/NNG
개척을	개척/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
혁신기반	혁신/NNG+기반/NNG
구축	구축/NNG
△내수활력	△/SW+내수/NNG+활력/NNG
회복을	회복/NNG+을/JKO
투자환경	투자/NNG+환경/NNG
개선	개선/NNG
유도	유도/NNG
△창조경제	△/SW+창조/NNG+경제/NNG
확산을	확산/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
기술	기술/NNG
및	및/MAG
생산성	생산/NNG+성/XSN
혁신	혁신/NNG
△중기·소상공인	△/SW+중기/NNG+·/SP+소/XPN+상공인/NNG
관련	관련/NNG
비정상의	비/XPN+정상/NNG+의/JKG
정상화	정상/NNG+화/XSN
△성장	△/SW+성장/NNG
사다리	사다리/NNG
복원	복원/NNG
소상공인	소/XPN+상공인/NNG
경영	경영/NNG
안정	안정/NNG
등	등/NNB
5개항의	5/SN+개/NNB+항/NNG+의/JKG
세부	세부/NNG
실천	실천/NNG
과제를	과제/NNG+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


