# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.156
metadata : {}


# id : NWRW1800000026.156.1.1
족욕에도 '王道' 있다;43도 이하 물로 30분 이상 해야 교감신경 억제… 피로 풀어줘

족욕에도	족욕/NNG+에/JKB+도/JX
5분만	5/SN+분/NNB+만/JX
욕조	욕조/NNG
안에	안/NNG+에/JKB
있어도	있/VV+어도/EC
몸이	몸/NNG+이/JKS
이완되지만	이완/NNG+되/XSV+지만/EC
족욕으로	족욕/NNG+으로/JKB
같은	같/VA+은/ETM
효과를	효과/NNG+를/JKO
보려면	보/VV+려면/EC
수면이	수면/NNG+이/JKS
복사뼈	복사뼈/NNG
위	위/NNG
10㎝까지	10/SN+㎝/SW+까지/JX
올라오게	올라오/VV+게/EC
한	하/VX+ㄴ/ETM
상태로	상태/NNG+로/JKB
최소	최소/NNG
30분은	30/SN+분/NNB+은/JX
있어야	있/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.156.6.2
물의 온도가 너무 높으면 교감신경이 오히려 활성화될 수 있으므로 수온은 최고 43도를 넘기지 않는 게 좋다.

물의	물/NNG+의/JKG
온도가	온도/NNG+가/JKS
너무	너무/MAG
높으면	높/VA+으면/EC
교감신경이	교감/NNG+신경/NNG+이/JKS
오히려	오히려/MAG
활성화될	활성/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
수온은	수온/NNG+은/JX
최고	최고/NNG
43도를	43/SN+도/NNB+를/JKO
넘기지	넘기/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000026.156.6.3
김 교수는 "족욕기에 지압발판기나 기포발생기 등의 부가 기능이 있다고 해서 근육 이완·진통 효과에 큰 차이는 없으므로 굳이 이런 기능이 있는 족욕기를 살 필요는 없다"고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
"족욕기에	"/SS+족욕기/NNG+에/JKB
지압발판기나	지압/NNG+발판기/NNG+나/JC
기포발생기	기포/NNG+발생기/NNG
등의	등/NNB+의/JKG
부가	부가/NNG
기능이	기능/NNG+이/JKS
있다고	있/VA+다고/EC
해서	하/VV+아서/EC
근육	근육/NNG
이완·진통	이완/NNG+·/SP+진통/NNG
효과에	효과/NNG+에/JKB
큰	크/VA+ㄴ/ETM
차이는	차이/NNG+는/JX
없으므로	없/VA+으므로/EC
굳이	굳이/MAG
이런	이런/MMD
있는	있/VA+는/ETM
족욕기를	족욕기/NNG+를/JKO
살	사/VV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


