# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.372
metadata : {}


# id : NWRW1800000054.372.1.1
'허위 여론조사 유포' 洪캠프 정책특보 등 4명 고발

'허위	'/SS+허위/NNG
선관위 관계자는 본지 통화에서 "아예 조사한 적도 없는 허위 여론조사 결과를 유포하다가 적발된 것은 이번이 처음"이라고 했다.

선관위	선관위/NNG
관계자는	관계자/NNG+는/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"아예	"/SS+아예/MAG
조사한	조사/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없는	없/VA+는/ETM
허위	허위/NNG
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
유포하다가	유포/NNG+하/XSV+다가/EC
적발된	적발/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


