# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.258
metadata : {}


# id : NWRW1800000041.258.1.1
마라톤 2시간 벽 깨질 것 같은데, 한국은…

마라톤	마라톤/NNG
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.258.5.1
1999년 10월 시카고 마라톤에서 할리드 하누치(미국)가 2시간5분42초로 사상 처음 2시간6분 벽을 넘은 뒤 세계 최고 기록은 15년 동안 3분가량 단축됐다.

1999년	1999/SN+년/NNB
10월	10/SN+월/NNB
시카고	시카고/NNP
마라톤에서	마라톤/NNG+에서/JKB
할리드	할리드/NNP
하누치(미국)가	하누치/NNP+(/SS+미국/NNP+)/SS+가/JKS
2시간5분42초로	2/SN+시간/NNB+5/SN+분/NNB+42/SN+초/NNB+로/JKB
사상	사상/NNG
처음	처음/NNG
2시간6분	2/SN+시간/NNB+6/SN+분/NNB
벽을	벽/NNG+을/JKO
넘은	넘/VV+은/ETM
뒤	뒤/NNG
세계	세계/NNG
최고	최고/NNG
기록은	기록/NNG+은/JX
15년	15/SN+년/NNB
동안	동안/NNG
3분가량	3/SN+분/NNB+가량/XSN
단축됐다.	단축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.258.5.2
2003년 폴 터갓(케냐)이 2시간4분55초로 2시간5분 벽을 깼고, 2008년 하일레 게브르셀라시에(에티오피아)가 2시간3분59초로 2시간4분 벽마저 무너뜨렸다.

2003년	2003/SN+년/NNB
폴	폴/NNP
터갓(케냐)이	터갓/NNP+(/SS+케냐/NNP+)/SS+이/JKS
2시간4분55초로	2/SN+시간/NNB+4/SN+분/NNB+55/SN+초/NNB+로/JKB
2시간5분	2/SN+시간/NNB+5/SN+분/NNB
벽을	벽/NNG+을/JKO
깼고,	깨/VV+었/EP+고/EC+,/SP
2008년	2008/SN+년/NNB
하일레	하일레/NNP
게브르셀라시에(에티오피아)가	게브르셀라시에/NNP+(/SS+에티오피아/NNP+)/SS+가/JKS
2시간3분59초로	2/SN+시간/NNB+3/SN+분/NNB+59/SN+초/NNB+로/JKB
2시간4분	2/SN+시간/NNB+4/SN+분/NNB
벽마저	벽/NNG+마저/JX
무너뜨렸다.	무너뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.258.5.3
그리고 6년 만에 다시 2시간3분 벽이 무너졌으니 인간의 한계에 도전하는 마라톤임을 감안하면 엄청나게 빠른 속도다.

그리고	그리고/MAJ
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
2시간3분	2/SN+시간/NNB+3/SN+분/NNB
벽이	벽/NNG+이/JKS
무너졌으니	무너지/VV+었/EP+으니/EC
인간의	인간/NNG+의/JKG
한계에	한계/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
마라톤임을	마라톤/NNG+이/VCP+ㅁ/ETN+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
엄청나게	엄청나/VA+게/EC
빠른	빠르/VA+ㄴ/ETM
속도다.	속도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.258.5.4
전문가들은 아프리카 건각들의 타고난 심폐 지구력에 체계적인 훈련, 그리고 날로 평탄해지는 코스를 감안하면 2시간 벽도 무너질 것으로 전망하고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
아프리카	아프리카/NNP
건각들의	건각/NNG+들/XSN+의/JKG
타고난	타고나/VV+ㄴ/ETM
심폐	심폐/NNG
지구력에	지구력/NNG+에/JKB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
훈련,	훈련/NNG+,/SP
그리고	그리고/MAJ
날로	날로/MAG
평탄해지는	평탄/NNG+하/XSA+아/EC+지/VX+는/ETM
코스를	코스/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
2시간	2/SN+시간/NNB
벽도	벽/NNG+도/JX
무너질	무너지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.258.6.1
그러나 한국 마라톤은 아직도 2000년에 머물고 있다.

그러나	그러나/MAJ
한국	한국/NNP
마라톤은	마라톤/NNG+은/JX
아직도	아직/MAG+도/JX
2000년에	2000/SN+년/NNB+에/JKB
머물고	머물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.258.6.2
‘봉달이’ 이봉주가 2000년 2월 도쿄 마라톤에서 세운 2시간7분20초가 15년째 한국 기록으로 남아 있다.

‘봉달이’	‘/SS+봉달이/NNP+’/SS
이봉주가	이봉주/NNP+가/JKS
2000년	2000/SN+년/NNB
2월	2/SN+월/NNB
도쿄	도쿄/NNP
마라톤에서	마라톤/NNG+에서/JKB
세운	세우/VV+ㄴ/ETM
2시간7분20초가	2/SN+시간/NNB+7/SN+분/NNB+20/SN+초/NNB+가/JKS
15년째	15/SN+년/NNB+째/XSN
한국	한국/NNP
기록으로	기록/NNG+으로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.258.6.3
올 시즌 최고 기록은 3월 서울국제마라톤에서 심종섭(한국전력)이 세운 2시간14분19초다.

올	올/NNG
시즌	시즌/NNG
최고	최고/NNG
기록은	기록/NNG+은/JX
3월	3/SN+월/NNB
서울국제마라톤에서	서울/NNP+국제/NNG+마라톤/NNG+에서/JKB
심종섭(한국전력)이	심종섭/NNP+(/SS+한국전력/NNP+)/SS+이/JKS
세운	세우/VV+ㄴ/ETM
2시간14분19초다.	2/SN+시간/NNB+14/SN+분/NNB+19/SN+초/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.258.6.4
한국 기록에 무려 7분가량 뒤진다.

한국	한국/NNP
기록에	기록/NNG+에/JKB
무려	무려/MAG
7분가량	7/SN+분/NNB+가량/XSN
뒤진다.	뒤지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.258.6.5
2012년 이후 2시간10분 이내 기록을 낸 선수는 없다.

2012년	2012/SN+년/NNB
이후	이후/NNG
2시간10분	2/SN+시간/NNB+10/SN+분/NNB
이내	이내/NNG
기록을	기록/NNG+을/JKO
낸	내/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.258.6.6
아프리카 선수를 귀화시키는 중동 국가들은 그렇다 치더라도 라이벌 일본에도 크게 뒤지고 있다.

아프리카	아프리카/NNP
선수를	선수/NNG+를/JKO
귀화시키는	귀화/NNG+시키/XSV+는/ETM
중동	중동/NNP
국가들은	국가/NNG+들/XSN+은/JX
그렇다	그렇/VA+다/EC
치더라도	치/VV+더라도/EC
라이벌	라이벌/NNG
일본에도	일본/NNP+에/JKB+도/JX
크게	크/VA+게/EC
뒤지고	뒤지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.258.6.7
일본은 마쓰무라 고헤이가 2월 도쿄 마라톤에서 2시간8분9초를 기록하는 등 이번 시즌 2시간10분 이내 기록 보유자가 8명이나 된다.

일본은	일본/NNP+은/JX
마쓰무라	마쓰무라/NNP
고헤이가	고헤이/NNP+가/JKS
2월	2/SN+월/NNB
도쿄	도쿄/NNP
마라톤에서	마라톤/NNG+에서/JKB
2시간8분9초를	2/SN+시간/NNB+8/SN+분/NNB+9/SN+초/NNB+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
이번	이번/NNG
시즌	시즌/NNG
2시간10분	2/SN+시간/NNB+10/SN+분/NNB
이내	이내/NNG
기록	기록/NNG
보유자가	보유자/NNG+가/JKS
8명이나	8/SN+명/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.258.7.1
다음 달 3일 오전 9시에 열리는 인천 아시아경기 남자 마라톤에서도 한국은 ‘변방’으로 밀렸다.

다음	다음/NNG
달	달/NNG
3일	3/SN+일/NNB
오전	오전/NNG
9시에	9/SN+시/NNB+에/JKB
열리는	열리/VV+는/ETM
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
남자	남자/NNG
마라톤에서도	마라톤/NNG+에서/JKB+도/JX
한국은	한국/NNP+은/JX
‘변방’으로	‘/SS+변방/NNG+’/SS+으로/JKB
밀렸다.	밀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.258.7.2
세계를 두 번(1936년 베를린 올림픽의 손기정, 1992년 바르셀로나 올림픽의 황영조)이나 제패했던 한국은 이번 대회 금메달은 고사하고 메달권 밖 전력으로 분류되고 있는 실정이다.

세계를	세계/NNG+를/JKO
두	두/MMN
번(1936년	번/NNB+(/SS+1936/SN+년/NNB
베를린	베를린/NNP
올림픽의	올림픽/NNG+의/JKG
손기정,	손기정/NNP+,/SP
1992년	1992/SN+년/NNB
바르셀로나	바르셀로나/NNP
황영조)이나	황영조/NNP+)/SS+이나/JC
제패했던	제패/NNG+하/XSV+았/EP+던/ETM
한국은	한국/NNP+은/JX
이번	이번/NNG
대회	대회/NNG
금메달은	금메달/NNG+은/JX
고사하고	고사/NNG+하/XSV+고/EC
메달권	메달/NNG+권/XSN
밖	밖/NNG
전력으로	전력/NNG+으로/JKB
분류되고	분류/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.258.7.3
아시아경기 4연패(1990년 베이징 대회의 김원탁, 1994년 히로시마 대회의 황영조, 1998년 방콕 대회의 이봉주, 2002년 부산 대회의 이봉주)와 2010년 광저우 대회에서 우승(지영준)했던 한국 마라톤으로선 자존심이 상하는 일이다.

아시아경기	아시아/NNP+경기/NNG
4연패(1990년	4/SN+연패/NNG+(/SS+1990/SN+년/NNB
베이징	베이징/NNP
대회의	대회/NNG+의/JKG
김원탁,	김원탁/NNP+,/SP
1994년	1994/SN+년/NNB
히로시마	히로시마/NNP
황영조,	황영조/NNP+,/SP
1998년	1998/SN+년/NNB
방콕	방콕/NNP
이봉주,	이봉주/NNP+,/SP
2002년	2002/SN+년/NNB
부산	부산/NNP
이봉주)와	이봉주/NNP+)/SS+와/JC
2010년	2010/SN+년/NNB
광저우	광저우/NNP
대회에서	대회/NNG+에서/JKB
우승(지영준)했던	우승/NNG+(/SS+지영준/NNP+)/SS+하/VV+았/EP+던/ETM
한국	한국/NNP
마라톤으로선	마라톤/NNG+으로서/JKB+ㄴ/JX
자존심이	자존심/NNG+이/JKS
상하는	상하/VV+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.258.7.4
한국 마라톤의 희망 찾기 프로젝트가 절실하다.

한국	한국/NNP
마라톤의	마라톤/NNG+의/JKG
희망	희망/NNG
찾기	찾/VV+기/ETN
프로젝트가	프로젝트/NNG+가/JKS
절실하다.	절실하/VA+다/EF+./SF


