# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.207
metadata : {}


# id : NWRW1800000024.207.1.1
“재벌 구조조정, 부실책임 총수에 특혜”

“재벌	“/SS+재벌/NNG
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
동부메탈을	동부메탈/NNP+을/JKO
사주는	사/VV+아/EC+주/VX+는/ETM
구조조정	구조/NNG+조정/NNG
방식에	방식/NNG+에/JKB
대해	대하/VV+아/EC
시뮬레이션을	시뮬레이션/NNG+을/JKO
한	하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
투자자는	투자자/NNG+는/JX
물론	물론/MAG
부실을	부실/NNG+을/JKO
사전에	사전/NNG+에/JKB
막지	막/VV+지/EC
못한	못하/VX+ㄴ/ETM
채권단(산은	채권단/NNG+(/SS+산은/NNP
제외)은	제외/NNG+)/SS+은/JX
손해를	손해/NNG+를/JKO
보지	보/VV+지/EC
않고,	않/VX+고/EC+,/SP
부실	부실/NNG
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
동부하이텍과	동부하이텍/NNP+과/JC
김준기	김준기/NNP
회장도	회장/NNG+도/JX
이익이	이익/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
반면	반면/NNG
산은만	산은/NNP+만/JX
손실을	손실/NNG+을/JKO
볼	보/VV+ㄹ/ETM
위험성이	위험/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.3.2
국책은행인 산은의 손실은 결국 국민의 부담으로 전가된다.

국책은행인	국책/NNG+은행/NNG+이/VCP+ㄴ/ETM
산은의	산은/NNP+의/JKG
손실은	손실/NNG+은/JX
결국	결국/NNG
국민의	국민/NNG+의/JKG
부담으로	부담/NNG+으로/JKB
전가된다.	전가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.207.3.3
산은은 반도체사업 부진으로 인한 부실로 채권단과 재무구조 개선약정을 맺은 동부의 구조조정을 위해 사모펀드를 통해 동부메탈을 경영권 프리미엄(20~30%)을 더한 가격으로 사줘 부채를 갚도록 하고, 몇 년 뒤 동부메탈을 재매각할 때도 동부에 우선매수권을 주거나, 동부가 재매수하지 않으면 제3자에게 팔아 매각이익을 나눠주기로 했다.

산은은	산은/NNP+은/JX
반도체사업	반도체/NNG+사업/NNG
부진으로	부진/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
부실로	부실/NNG+로/JKB
채권단과	채권단/NNG+과/JKB
재무구조	재무/NNG+구조/NNG
개선약정을	개선/NNG+약정/NNG+을/JKO
맺은	맺/VV+은/ETM
동부의	동부/NNP+의/JKG
구조조정을	구조/NNG+조정/NNG+을/JKO
위해	위하/VV+아/EC
사모펀드를	사모/NNG+펀드/NNG+를/JKO
통해	통하/VV+아/EC
동부메탈을	동부메탈/NNP+을/JKO
경영권	경영/NNG+권/XSN
프리미엄(20~30%)을	프리미엄/NNG+(/SS+20/SN+~/SO+30/SN+%/SW+)/SS+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
사줘	사/VV+아/EC+주/VX+어/EF
부채를	부채/NNG+를/JKO
갚도록	갚/VV+도록/EC
하고,	하/VX+고/EC+,/SP
몇	몇/NR
년	년/NNB
뒤	뒤/NNG
재매각할	재/XPN+매각/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
동부에	동부/NNP+에/JKB
우선매수권을	우선/NNG+매수/NNG+권/XSN+을/JKO
주거나,	주/VV+거나/EC+,/SP
동부가	동부/NNP+가/JKS
재매수하지	재/XPN+매수/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
제3자에게	제3자/NNG+에게/JKB
팔아	팔/VV+아/EC
매각이익을	매각/NNG+이익/NNG+을/JKO
나눠주기로	나누/VV+어/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.4.1
김상조 소장은 “동부메탈을 (동부의 희망가격으로 알려진) 1조원에 20%의 프리미엄을 얹어 매입해서 3년 뒤 재매각한다고 가정하고, 사모펀드에 50% 출자하는 재무적 투자자에게 3년간 최소수익률 10% 보장, 동부에 3년 뒤 기업가치 상승분의 50% 배분 등의 조건을 더할 경우, 산은이 연 5%의 수익률(최근 시중금리)을 올리려면 기업가치가 70%나 급등해야 한다”고 밝혔다.

김상조	김상조/NNP
소장은	소장/NNG+은/JX
“동부메탈을	“/SS+동부메탈/NNP+을/JKO
(동부의	(/SS+동부/NNP+의/JKG
희망가격으로	희망/NNG+가격/NNG+으로/JKB
알려진)	알려지/VV+ㄴ/ETM+)/SS
1조원에	1/SN+조/NR+원/NNB+에/JKB
20%의	20/SN+%/SW+의/JKG
프리미엄을	프리미엄/NNG+을/JKO
얹어	얹/VV+어/EC
매입해서	매입/NNG+하/XSV+아서/EC
3년	3/SN+년/NNB
뒤	뒤/NNG
재매각한다고	재/XPN+매각/NNG+하/XSV+ㄴ다고/EC
가정하고,	가정/NNG+하/XSV+고/EC+,/SP
사모펀드에	사모/NNG+펀드/NNG+에/JKB
50%	50/SN+%/SW
출자하는	출자/NNG+하/XSV+는/ETM
재무적	재무/NNG+적/XSN
투자자에게	투자자/NNG+에게/JKB
3년간	3/SN+년/NNB+간/XSN
최소수익률	최소/NNG+수익/NNG+률/XSN
10%	10/SN+%/SW
보장,	보장/NNG+,/SP
동부에	동부/NNP+에/JKB
기업가치	기업/NNG+가치/NNG
상승분의	상승/NNG+분/XSN+의/JKG
배분	배분/NNG
등의	등/NNB+의/JKG
조건을	조건/NNG+을/JKO
더할	더/MAG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
산은이	산은/NNP+이/JKS
연	연/NNG
5%의	5/SN+%/SW+의/JKG
수익률(최근	수익/NNG+률/XSN+(/SS+최근/NNG
시중금리)을	시중/NNG+금리/NNG+)/SS+을/JKO
올리려면	올리/VV+려면/EC
기업가치가	기업/NNG+가치/NNG+가/JKS
70%나	70/SN+%/SW+나/JX
급등해야	급등/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.207.4.2
기업가치가 3년 뒤 38% 이상 오르지 않으면 산은은 되레 손해를 본다.

기업가치가	기업/NNG+가치/NNG+가/JKS
3년	3/SN+년/NNB
뒤	뒤/NNG
38%	38/SN+%/SW
이상	이상/NNG
오르지	오르/VV+지/EC
않으면	않/VX+으면/EC
산은은	산은/NNP+은/JX
되레	되레/MAG
손해를	손해/NNG+를/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.207.5.1
김 소장은 “산은은 형식상 시장을 통한 구조조정을 표방했지만, 실상은 국민 세금이 부실그룹에 투입되는 유사 공적자금의 수단으로 전락할 위험이 크다”며 “경영 부실을 초래한 대주주나 감시를 제대로 못한 채권단에 대해 책임을 묻지 않는 모럴해저드(도덕적 해이) 문제를 안고 있어 구조조정의 의미가 퇴색될 것”이라고 우려했다.

김	김/NNP
소장은	소장/NNG+은/JX
“산은은	“/SS+산은/NNP+은/JX
형식상	형식/NNG+상/XSN
시장을	시장/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
구조조정을	구조/NNG+조정/NNG+을/JKO
표방했지만,	표방/NNG+하/XSV+았/EP+지만/EC+,/SP
실상은	실상/NNG+은/JX
국민	국민/NNG
세금이	세금/NNG+이/JKS
부실그룹에	부실/NNG+그룹/NNG+에/JKB
투입되는	투입/NNG+되/XSV+는/ETM
유사	유사/NNG
공적자금의	공/NNG+적/XSN+자금/NNG+의/JKG
수단으로	수단/NNG+으로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
위험이	위험/NNG+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“경영	“/SS+경영/NNG
부실을	부실/NNG+을/JKO
초래한	초래/NNG+하/XSV+ㄴ/ETM
대주주나	대/XPN+주주/NNG+나/JC
감시를	감시/NNG+를/JKO
제대로	제대로/MAG
못한	못/MAG+하/VV+ㄴ/ETM
채권단에	채권단/NNG+에/JKB
대해	대하/VV+아/EC
책임을	책임/NNG+을/JKO
묻지	묻/VV+지/EC
않는	않/VX+는/ETM
모럴해저드(도덕적	모럴해저드/NNG+(/SS+도덕/NNG+적/XSN
해이)	해이/NNG+)/SS
문제를	문제/NNG+를/JKO
안고	안/VV+고/EC
있어	있/VX+어/EC
구조조정의	구조/NNG+조정/NNG+의/JKG
의미가	의미/NNG+가/JKS
퇴색될	퇴색/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.6.1
김준기 회장은 또 산은의 구조조정 방식이 시행되면 지난 2004년 동부하이텍이 1조4천억원을 채권단한테서 빌릴 때 담보로 맡긴 7개 핵심 계열사의 주식을 돌려받으면서, 재산과 경영권을 함께 지킬 수 있게 된다.

김준기	김준기/NNP
회장은	회장/NNG+은/JX
또	또/MAG
산은의	산은/NNP+의/JKG
구조조정	구조/NNG+조정/NNG
방식이	방식/NNG+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
동부하이텍이	동부하이텍/NNP+이/JKS
1조4천억원을	1/SN+조/NR+4/SN+천억/NR+원/NNB+을/JKO
채권단한테서	채권단/NNG+한테서/JKB
빌릴	빌리/VV+ㄹ/ETM
때	때/NNG
담보로	담보/NNG+로/JKB
맡긴	맡기/VV+ㄴ/ETM
7개	7/SN+개/NNB
핵심	핵심/NNG
계열사의	계열사/NNG+의/JKG
주식을	주식/NNG+을/JKO
돌려받으면서,	돌려받/VV+으면서/EC+,/SP
재산과	재산/NNG+과/JC
경영권을	경영/NNG+권/XSN+을/JKO
함께	함께/MAG
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.207.6.2
김 회장이 담보로 맡긴 주식은 동부건설 238만주·제강 157만주·정밀화학 14만주·증권 96만주·화재 437만주 등이다.

김	김/NNP
회장이	회장/NNG+이/JKS
담보로	담보/NNG+로/JKB
맡긴	맡기/VV+ㄴ/ETM
주식은	주식/NNG+은/JX
동부건설	동부건설/NNP
238만주·제강	238/SN+만/NR+주/NNG+·/SP+제강/NNG
157만주·정밀화학	157/SN+만/NR+주/NNG+·/SP+정밀/NNG+화학/NNG
14만주·증권	14/SN+만/NR+주/NNG+·/SP+증권/NNG
96만주·화재	96/SN+만/NR+주/NNG+·/SP+화재/NNG
437만주	437/SN+만/NR+주/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.207.6.3
김 회장은 계열사와 공동으로 동부일렉트로닉스 341만주·동부한농 710만주도 담보로 내놨다.

김	김/NNP
회장은	회장/NNG+은/JX
계열사와	계열사/NNG+와/JKB
공동으로	공동/NNG+으로/JKB
동부일렉트로닉스	동부일렉트로닉스/NNP
341만주·동부한농	341/SN+만/NR+주/NNG+·/SP+동부한농/NNP
710만주도	710/SN+만/NR+주/NNG+도/JX
담보로	담보/NNG+로/JKB
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.6.4
실적이 괜찮은 동부한농이 2007년 부실 기업인 동부일렉트릭스(옛 동부하이텍)와 합병한 것도 김 회장의 재산과 경영권을 지키기 위해 소액주주들에게 손실을 전가시킨 것이라는 지적이 나왔다.

실적이	실적/NNG+이/JKS
괜찮은	괜찮/VA+은/ETM
동부한농이	동부한농/NNP+이/JKS
2007년	2007/SN+년/NNB
부실	부실/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
동부일렉트릭스(옛	동부일렉트릭스/NNP+(/SS+옛/MMA
동부하이텍)와	동부하이텍/NNP+)/SS+와/JKB
합병한	합병/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
김	김/NNP
회장의	회장/NNG+의/JKG
재산과	재산/NNG+과/JC
경영권을	경영/NNG+권/XSN+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
소액주주들에게	소액/NNG+주주/NNG+들/XSN+에게/JKB
손실을	손실/NNG+을/JKO
전가시킨	전가/NNG+시키/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.207.6.5
김 회장은 2008년 초 동부하이텍에 동부화재 주식을 담보용으로 빌려줄 때도 연 1%(10억원 상당)의 수수료를 챙겼다.

김	김/NNP
회장은	회장/NNG+은/JX
2008년	2008/SN+년/NNB
초	초/NNB
동부하이텍에	동부하이텍/NNP+에/JKB
동부화재	동부화재/NNP
주식을	주식/NNG+을/JKO
담보용으로	담보/NNG+용/XSN+으로/JKB
빌려줄	빌려주/VV+ㄹ/ETM
때도	때/NNG+도/JX
연	연/NNG
1%(10억원	1/SN+%/SW+(/SS+10/SN+억/NR+원/NNB
상당)의	상당/NNG+)/SS+의/JKG
수수료를	수수료/NNG+를/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


