# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.18
metadata : {}


# id : NWRW1800000022.18.1.1
지갑은 얇아졌어도… 孝 선물 빠질 수 없죠

지갑은	지갑/NNG+은/JX
디자인으로	디자인/NNG+으로/JKB
혼자	혼자/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
어깨,	어깨/NNG+,/SP
허리	허리/NNG
등	등/NNB
손이	손/NNG+이/JKS
쉽게	쉽/VA+게/EC
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
곳도	곳/NNG+도/JX
마사지	마사지/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
진동이	진동/NNG+이/JKS
근육	근육/NNG
깊숙하게	깊숙하/VA+게/EC
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.18.7.1
몸 보신을 위한 품목도 효도 선물로 빼놓을 수 없다.

몸	몸/NNG
보신을	보신/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
품목도	품목/NNG+도/JX
효도	효도/NNG
선물로	선물/NNG+로/JKB
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.18.7.2
이마트는 올 설을 맞아 한우보신세트, 전복세트 물량을 지난해보다 10%가량 늘렸다.

이마트는	이마트/NNP+는/JX
올	올/NNG
설을	설/NNG+을/JKO
맞아	맞/VV+아/EC
한우보신세트,	한우/NNG+보신/NNG+세트/NNG+,/SP
전복세트	전복/NNG+세트/NNG
물량을	물량/NNG+을/JKO
지난해보다	지난해/NNG+보다/JKB
10%가량	10/SN+%/SW+가량/XSN
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.18.7.3
주요 상품으로 사골(1.4㎏), 꼬리반골(1.2㎏)과 사태(0.75㎏)가 추가된 한우보신세트를 7만8000~8만8000원에 준비했다.

주요	주요/NNG
상품으로	상품/NNG+으로/JKB
사골(1.4㎏),	사골/NNG+(/SS+1/SN+./SP+4/SN+㎏/SW+)/SS+,/SP
꼬리반골(1.2㎏)과	꼬리/NNG+반골/NNG+(/SS+1/SN+./SP+2/SN+㎏/SW+)/SS+과/JC
사태(0.75㎏)가	사태/NNG+(/SS+0/SN+./SP+75/SN+㎏/SW+)/SS+가/JKS
추가된	추가/NNG+되/XSV+ㄴ/ETM
한우보신세트를	한우/NNG+보신/NNG+세트/NNG+를/JKO
7만8000~8만8000원에	7/SN+만/NR+8000/SN+~/SO+8/SN+만/NR+8000/SN+원/NNB+에/JKB
준비했다.	준비/NNG+하/XSV+았/EP+다/EF+./SF


