# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.157
metadata : {}


# id : NWRW1800000053.157.1.1
짧은 귀성 연휴, 작년보다 정체 심할듯

짧은	짧/VA+은/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.157.5.1
27일 오전 승용차를 타고 귀성길에 오를 경우 △서울∼대전 3시간 55분 △서울∼강릉 4시간 30분 △서울∼목포 6시간 40분 △서울∼대구 4시간 55분 △서울∼울산 5시간 55분이 소요될 것으로 추정됐다.

27일	27/SN+일/NNB
오전	오전/NNG
승용차를	승용차/NNG+를/JKO
타고	타/VV+고/EC
귀성길에	귀성길/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
경우	경우/NNG
△서울∼대전	△/SW+서울/NNP+∼/SO+대전/NNP
3시간	3/SN+시간/NNB
55분	55/SN+분/NNB
△서울∼강릉	△/SW+서울/NNP+∼/SO+강릉/NNP
4시간	4/SN+시간/NNB
30분	30/SN+분/NNB
△서울∼목포	△/SW+서울/NNP+∼/SO+목포/NNP
6시간	6/SN+시간/NNB
40분	40/SN+분/NNB
△서울∼대구	△/SW+서울/NNP+∼/SO+대구/NNP
△서울∼울산	△/SW+서울/NNP+∼/SO+울산/NNP
5시간	5/SN+시간/NNB
55분이	55/SN+분/NNB+이/JKS
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.157.6.1
귀경길 교통 상황은 지난해보다 나아져 50분∼1시간 50분가량 단축될 것으로 보인다.

귀경길	귀경길/NNG
교통	교통/NNG
상황은	상황/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
나아져	나아지/VV+어/EC
50분∼1시간	50/SN+분/NNB+∼/SO+1/SN+시간/NNB
50분가량	50/SN+분/NNB+가량/XSN
단축될	단축/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.157.6.2
귀경객이 가장 많이 몰리는 28일 오후를 기준으로 △부산∼서울 6시간 5분 △대전∼서울 3시간 10분 △광주∼서울 5시간 5분 △목포∼서서울 6시간 5분 △강릉∼서울 3시간 45분 △대구∼서울 5시간 15분 △울산∼서울 6시간 15분이 소요될 것으로 분석됐다.

귀경객이	귀경객/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
몰리는	몰리/VV+는/ETM
28일	28/SN+일/NNB
오후를	오후/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
△부산∼서울	△/SW+부산/NNP+∼/SO+서울/NNP
6시간	6/SN+시간/NNB
5분	5/SN+분/NNB
△대전∼서울	△/SW+대전/NNP+∼/SO+서울/NNP
3시간	3/SN+시간/NNB
10분	10/SN+분/NNB
△광주∼서울	△/SW+광주/NNP+∼/SO+서울/NNP
5시간	5/SN+시간/NNB
△목포∼서서울	△/SW+목포/NNP+∼/SO+서서울/NNP
△강릉∼서울	△/SW+강릉/NNP+∼/SO+서울/NNP
45분	45/SN+분/NNB
△대구∼서울	△/SW+대구/NNP+∼/SO+서울/NNP
15분	15/SN+분/NNB
△울산∼서울	△/SW+울산/NNP+∼/SO+서울/NNP
15분이	15/SN+분/NNB+이/JKS
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.157.7.1
이번 설에는 위반 차량 단속에 처음으로 드론이 활용된다.

이번	이번/NNG
설에는	설/NNG+에/JKB+는/JX
위반	위반/NNG
차량	차량/NNG
단속에	단속/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
드론이	드론/NNG+이/JKS
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.157.7.2
한국도로공사는 끼어들기, 갓길 주행, 버스전용차로 위반 차량 등을 적발하기 위해 드론 4대를 투입한다.

한국도로공사는	한국도로공사/NNP+는/JX
끼어들기,	끼어들기/NNG+,/SP
갓길	갓길/NNG
주행,	주행/NNG+,/SP
버스전용차로	버스/NNG+전용/NNG+차로/NNG
위반	위반/NNG
차량	차량/NNG
등을	등/NNB+을/JKO
적발하기	적발/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
드론	드론/NNG
4대를	4/SN+대/NNB+를/JKO
투입한다.	투입/NNG+하/XSV+ㄴ다/EF+./SF


