# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.261
metadata : {}


# id : NWRW1800000046.261.1.1
[기자의 시각] 유족도 한발 물러서야

[기자의	[/SS+기자/NNG+의/JKG
등에게	등/NNB+에게/JKB
거친	거칠/VA+ㄴ/ETM
욕설을	욕설/NNG+을/JKO
내뱉었던	내뱉/VV+었/EP+던/ETM
일부	일부/NNG
가족은	가족/NNG+은/JX
이런	이런/MMD
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
두	두/MMN
달쯤	달/NNB+쯤/XSN
뒤에는	뒤/NNG+에/JKB+는/JX
정부	정부/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
"감사하다"는	"/SS+감사/NNG+하/XSA+다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
하기	하/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.261.2.4
수색 작업이 진행된 210일 동안 희생자 304명 중 295구의 시신을 수습한 것은 이처럼 가족과 정부가 쌓은 신뢰도 한몫했을 것이다.

수색	수색/NNG
작업이	작업/NNG+이/JKS
진행된	진행/NNG+되/XSV+ㄴ/ETM
210일	210/SN+일/NNB
동안	동안/NNG
희생자	희생자/NNG
304명	304/SN+명/NNB
중	중/NNB
295구의	295/SN+구/NNB+의/JKG
시신을	시신/NNG+을/JKO
수습한	수습/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이처럼	이/NP+처럼/JKB
가족과	가족/NNG+과/JC
정부가	정부/NNG+가/JKS
쌓은	쌓/VV+은/ETM
신뢰도	신뢰/NNG+도/JX
한몫했을	한몫/NNG+하/XSV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.261.3.1
하지만 세월호 1주기를 맞은 요즘, 유족과 정부는 이런 일을 까마득하게 느끼게 할 정도로 대립하고 있다.

하지만	하지만/MAJ
세월호	세월호/NNP
1주기를	1/SN+주기/NNB+를/JKO
맞은	맞/VV+은/ETM
요즘,	요즘/NNG+,/SP
유족과	유족/NNG+과/JC
정부는	정부/NNG+는/JX
이런	이런/MMD
일을	일/NNG+을/JKO
까마득하게	까마득하/VA+게/EC
느끼게	느끼/VV+게/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
대립하고	대립/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.261.3.2
단원고 희생자 유족이 중심이 된 세월호가족협의회는 지난해 11월 정부가 수색 중단을 발표하자 곧바로 즉각적인 선체 인양을 요구하며 최근까지 농성 등을 벌여왔다.

단원고	단원고/NNP
희생자	희생자/NNG
유족이	유족/NNG+이/JKS
중심이	중심/NNG+이/JKC
된	되/VV+ㄴ/ETM
세월호가족협의회는	세월호가족협의회/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
정부가	정부/NNG+가/JKS
수색	수색/NNG
중단을	중단/NNG+을/JKO
발표하자	발표/NNG+하/XSV+자/EC
곧바로	곧바로/MAG
즉각적인	즉각/MAG+적/XSN+이/VCP+ㄴ/ETM
선체	선체/NNG
인양을	인양/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
최근까지	최근/NNG+까지/JX
농성	농성/NNG
등을	등/NNB+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.261.3.3
정부는 '세월호 선체 처리 기술 검토TF'를 만들어 인양을 위한 기술·예산·일정을 검토하겠다고 했지만 유족 측은 "즉시 인양 절차에 착수하라"고 다그쳤다.

정부는	정부/NNG+는/JX
'세월호	'/SS+세월호/NNP
선체	선체/NNG
처리	처리/NNG
기술	기술/NNG
검토TF'를	검토/NNG+TF/SL+'/SS+를/JKO
만들어	만들/VV+어/EC
인양을	인양/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기술·예산·일정을	기술/NNG+·/SP+예산/NNG+·/SP+일정/NNG+을/JKO
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
했지만	하/VV+았/EP+지만/EC
유족	유족/NNG
측은	측/NNB+은/JX
"즉시	"/SS+즉시/NNG
인양	인양/NNG
절차에	절차/NNG+에/JKB
착수하라"고	착수/NNG+하/XSV+라/EF+"/SS+고/JKQ
다그쳤다.	다그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.261.3.4
사고 원인을 재차 확인하려는 유족과 시신이라도 찾고 싶은 실종자 가족의 급한 마음이야 이해할 부분이 있지만 제대로 된 정부라면 기술상 여러 위험이 따르는 문제를 면밀한 검토도 없이 덜컥 결정할 수는 없는 일이다.

사고	사고/NNG
원인을	원인/NNG+을/JKO
재차	재차/MAG
확인하려는	확인/NNG+하/XSV+려는/ETM
유족과	유족/NNG+과/JC
시신이라도	시신/NNG+이/VCP+라도/EC
찾고	찾/VV+고/EC
싶은	싶/VX+은/ETM
실종자	실종자/NNG
가족의	가족/NNG+의/JKG
급한	급하/VA+ㄴ/ETM
마음이야	마음/NNG+이야/JX
이해할	이해/NNG+하/XSV+ㄹ/ETM
부분이	부분/NNG+이/JKS
있지만	있/VA+지만/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
정부라면	정부/NNG+이/VCP+라면/EC
기술상	기술/NNG+상/XSN
여러	여러/MMN
위험이	위험/NNG+이/JKS
따르는	따르/VV+는/ETM
문제를	문제/NNG+를/JKO
면밀한	면밀하/VA+ㄴ/ETM
검토도	검토/NNG+도/JX
없이	없이/MAG
덜컥	덜컥/MAG
결정할	결정/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.261.4.1
이들은 정부가 세월호 1주기를 맞아 세월호 인양 방침을 공식 발표하자 이번엔 세월호특별법 시행령안 폐기를 요구하며 농성과 집회를 이어가고 있다.

이들은	이/NP+들/XSN+은/JX
정부가	정부/NNG+가/JKS
세월호	세월호/NNP
1주기를	1/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
인양	인양/NNG
방침을	방침/NNG+을/JKO
공식	공식/NNG
발표하자	발표/NNG+하/XSV+자/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
세월호특별법	세월호/NNP+특별법/NNG
시행령안	시행령안/NNG
폐기를	폐기/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
농성과	농성/NNG+과/JC
집회를	집회/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.261.4.2
세월호 사고 원인 등을 규명하기 위해 구성된 세월호특별조사위원회(특조위)의 조직 구성 등을 정하는 정부의 시행령이 마음에 안 든다는 이유다.

세월호	세월호/NNP
사고	사고/NNG
원인	원인/NNG
등을	등/NNB+을/JKO
규명하기	규명/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
구성된	구성/NNG+되/XSV+ㄴ/ETM
세월호특별조사위원회(특조위)의	세월호특별조사위원회/NNP+(/SS+특조위/NNG+)/SS+의/JKG
조직	조직/NNG
구성	구성/NNG
정하는	정하/VV+는/ETM
정부의	정부/NNG+의/JKG
시행령이	시행령/NNG+이/JKS
마음에	마음/NNG+에/JKB
안	안/MAG
든다는	들/VV+ㄴ다는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.261.4.3
정부는 유족 등이 요구한 10개 항목 중 7개를 수용한 수정안을 지난 29일 내놨다.

정부는	정부/NNG+는/JX
유족	유족/NNG
등이	등/NNB+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
10개	10/SN+개/NNB
항목	항목/NNG
중	중/NNB
7개를	7/SN+개/NNB+를/JKO
수용한	수용/NNG+하/XSV+ㄴ/ETM
수정안을	수정안/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.261.4.4
유족의 요구를 100% 받아들인 것은 아니라 해도 법과 원칙을 허물지 않는 범위 내에서 최대한 성의를 보였다고 할 만한 내용을 담고 있다.

유족의	유족/NNG+의/JKG
요구를	요구/NNG+를/JKO
100%	100/SN+%/SW
받아들인	받아들이/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니라	아니/VCN+라/EC
해도	하/VX+아도/EC
법과	법/NNG+과/JC
원칙을	원칙/NNG+을/JKO
허물지	허물/VV+지/EC
않는	않/VX+는/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
최대한	최대한/MAG
성의를	성의/NNG+를/JKO
보였다고	보이/VV+었/EP+다고/EC
할	하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.261.4.5
그럼에도 이들은 특조위 일부 위원이 제안한 특조위안(案)을 무조건 수용하라며, 이 요구가 받아들여지지 않으면 청와대로 쳐들어가겠다는 말까지 하고 있다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
이들은	이/NP+들/XSN+은/JX
특조위	특조위/NNG
일부	일부/NNG
위원이	위원/NNG+이/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
특조위안(案)을	특조위/NNG+안/NNG+(/SS+案/SH+)/SS+을/JKO
무조건	무/XPN+조건/NNG
수용하라며,	수용/NNG+하/XSV+라며/EC+,/SP
이	이/MMD
요구가	요구/NNG+가/JKS
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않으면	않/VX+으면/EC
청와대로	청와대/NNP+로/JKB
쳐들어가겠다는	쳐들어가/VV+겠/EP+다는/ETM
말까지	말/NNG+까지/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.261.5.1
헌법에 따라 시행령 제정 권한이 있는 정부가 자신들의 요구를 상당 부분 반영한 수정안까지 낸 마당에 자신들의 안을 일점일획도 고치지 말고 받아들이라며 세월호 수습 절차를 멈춰 세우는 게 과연 옳은 일일까.

헌법에	헌법/NNG+에/JKB
따라	따르/VV+아/EC
시행령	시행령/NNG
제정	제정/NNG
권한이	권한/NNG+이/JKS
있는	있/VA+는/ETM
정부가	정부/NNG+가/JKS
자신들의	자신/NNG+들/XSN+의/JKG
요구를	요구/NNG+를/JKO
상당	상당/NNG
부분	부분/NNG
반영한	반영/NNG+하/XSV+ㄴ/ETM
수정안까지	수정안/NNG+까지/JX
낸	내/VV+ㄴ/ETM
마당에	마당/NNB+에/JKB
안을	안/NNG+을/JKO
일점일획도	일점일획/NNG+도/JX
고치지	고치/VV+지/EC
말고	말/VX+고/EC
받아들이라며	받아들이/VV+라며/EC
세월호	세월호/NNP
수습	수습/NNG
절차를	절차/NNG+를/JKO
멈춰	멈추/VV+어/EC
세우는	세우/VV+는/ETM
게	거/NNB+이/JKS
과연	과연/MAG
옳은	옳/VA+은/ETM
일일까.	일/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.261.5.2
특히 이들은 지난 4월 초 정부가 피해자 배·보상 기준을 내놓자 "돈으로 유족을 우롱한다"면서 당장은 배·보상 절차에도 응하지 않겠다고 했다.

특히	특히/MAG
이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
초	초/NNB
정부가	정부/NNG+가/JKS
피해자	피해자/NNG
배·보상	배·보상/NNG
기준을	기준/NNG+을/JKO
내놓자	내놓/VV+자/EC
"돈으로	"/SS+돈/NNG+으로/JKB
유족을	유족/NNG+을/JKO
우롱한다"면서	우롱/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
당장은	당장/NNG+은/JX
절차에도	절차/NNG+에/JKB+도/JX
응하지	응하/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.261.5.3
세월호 사고로 가장을 잃은 일반인 희생자 유족이나 전 재산이나 다름없는 화물트럭 등을 잃은 일부 생존자가 생계 곤란을 겪고 있다는 점은 이들의 안중에 없는 것일까.

세월호	세월호/NNP
사고로	사고/NNG+로/JKB
가장을	가장/NNG+을/JKO
잃은	잃/VV+은/ETM
일반인	일반인/NNG
희생자	희생자/NNG
유족이나	유족/NNG+이나/JC
전	전/MMN
재산이나	재산/NNG+이나/JX
다름없는	다름없/VA+는/ETM
화물트럭	화물/NNG+트럭/NNG
등을	등/NNB+을/JKO
일부	일부/NNG
생존자가	생존자/NNG+가/JKS
생계	생계/NNG
곤란을	곤란/NNG+을/JKO
겪고	겪/VV+고/EC
있다는	있/VX+다는/ETM
점은	점/NNG+은/JX
이들의	이/NP+들/XSN+의/JKG
안중에	안중/NNG+에/JKB
없는	없/VA+는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.261.6.1
이들이 '반대를 위한 반대를 한다' '정부에 굴복을 요구한다'는 일부의 우려 섞인 시선을 받지 않으려면 이제는 차분히 진행 과정을 지켜보는 지혜와 인내가 필요하다는 목소리에 귀를 기울여야 할 것 같다.

이들이	이/NP+들/XSN+이/JKS
'반대를	'/SS+반대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
반대를	반대/NNG+를/JKO
한다'	하/VV+ㄴ다/EF+'/SS
'정부에	'/SS+정부/NNG+에/JKB
굴복을	굴복/NNG+을/JKO
요구한다'는	요구/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
일부의	일부/NNG+의/JKG
우려	우려/NNG
섞인	섞이/VV+ㄴ/ETM
시선을	시선/NNG+을/JKO
받지	받/VV+지/EC
않으려면	않/VX+으려면/EC
이제는	이제/NNG+는/JX
차분히	차분히/MAG
진행	진행/NNG
과정을	과정/NNG+을/JKO
지켜보는	지켜보/VV+는/ETM
지혜와	지혜/NNG+와/JC
인내가	인내/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
목소리에	목소리/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울여야	기울이/VV+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


