# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.241
metadata : {}


# id : NWRW1800000022.241.1.1
[울산]'고래 타고 온 한국의 신' 참배 "일본 신사 앞 노거수 살리자"

[울산]'고래	[/SS+울산/NNP+]/SS+'/SS+고래/NNG
혼슈(本州)	혼슈/NNP+(/SS+本州/SH+)/SS
후쿠이(福井)현	후쿠이/NNP+(/SS+福井/SH+)/SS+현/NNG
사카이(坂井)시의	사카이/NNP+(/SS+坂井/SH+)/SS+시/NNG+의/JKG
기부네(鬼船)	기부네/NNP+(/SS+鬼船/SH+)/SS
신사	신사/NNG
앞의	앞/NNG+의/JKG
후박나무	후박나무/NNG
보호운동을	보호/NNG+운동/NNG+을/JKO
벌인다고	벌이/VV+ㄴ다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.241.4.1
기부네신사는 이 마을사람들이 7세기부터 '고래를 타고 온 한국의 신'을 모셔놓고 참배하는 신성한 곳으로 전해진다.

기부네신사는	기부네신사/NNP+는/JX
이	이/MMD
마을사람들이	마을/NNG+사람/NNG+들/XSN+이/JKS
7세기부터	7/SN+세기/NNG+부터/JX
'고래를	'/SS+고래/NNG+를/JKO
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
신'을	신/NNG+'/SS+을/JKO
모셔놓고	모시/VV+어/EC+놓/VX+고/EC
참배하는	참배/NNG+하/XSV+는/ETM
신성한	신성/NNG+하/XSA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.241.5.1
조사단은 지난달 22일 이 마을을 찾았다가 우연히 신사 앞의 후박나무를 발견했고 이 나무가 조만간 도로 개설로 잘려나갈 위기에 처했다는 사실을 알게 됐다.

조사단은	조사단/NNG+은/JX
지난달	지난달/NNG
22일	22/SN+일/NNB
이	이/MMD
마을을	마을/NNG+을/JKO
찾았다가	찾/VV+았/EP+다가/EC
우연히	우연히/MAG
신사	신사/NNG
앞의	앞/NNG+의/JKG
후박나무를	후박나무/NNG+를/JKO
발견했고	발견/NNG+하/XSV+았/EP+고/EC
나무가	나무/NNG+가/JKS
조만간	조만간/MAG
도로	도로/NNG
개설로	개설/NNG+로/JKB
잘려나갈	잘리/VV+어/EC+나가/VX+ㄹ/ETM
위기에	위기/NNG+에/JKB
처했다는	처하/VV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.241.6.1
조사단은 일본 현지 언론기관 등에 이 나무가 자연문화재로 보호해야 할 노거수라는 것을 알리는 한편 후쿠이현 지사와 일본 신사총회 등에도 나무 보호를 요청했다.

조사단은	조사단/NNG+은/JX
일본	일본/NNP
현지	현지/NNG
언론기관	언론/NNG+기관/NNG
등에	등/NNB+에/JKB
이	이/MMD
나무가	나무/NNG+가/JKS
자연문화재로	자연/NNG+문화재/NNG+로/JKB
보호해야	보호/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
노거수라는	노거수/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
알리는	알리/VV+는/ETM
한편	한편/NNG
후쿠이현	후쿠이현/NNP
지사와	지사/NNG+와/JC
신사총회	신사/NNG+총회/NNG
등에도	등/NNB+에/JKB+도/JX
나무	나무/NNG
보호를	보호/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.241.6.2
한국에서는 울산생명의 숲과 (사)노거수회 이삼우 회장이 일본 후쿠이현에 이 나무를 한·일 우호의 상징으로 삼아 잘라내지 말고 지켜달라는 편지를 보내기도 했다.

한국에서는	한국/NNP+에서/JKB+는/JX
울산생명의	울산/NNP+생명/NNG+의/JKG
숲과	숲/NNG+과/JC
(사)노거수회	(/SS+사/NNG+)/SS+노거수회/NNG
이삼우	이삼우/NNP
회장이	회장/NNG+이/JKS
일본	일본/NNP
후쿠이현에	후쿠이현/NNP+에/JKB
이	이/MMD
나무를	나무/NNG+를/JKO
한·일	한·일/NNP
우호의	우호/NNG+의/JKG
상징으로	상징/NNG+으로/JKB
삼아	삼/VV+아/EC
잘라내지	자르/VV+아/EC+내/VX+지/EC
말고	말/VX+고/EC
지켜달라는	지키/VV+어/EC+달/VX+라는/ETM
편지를	편지/NNG+를/JKO
보내기도	보내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.241.7.1
이런 노력 끝에 후쿠이현은 지난 1일로 예정됐던 벌채를 당분간 연기하고 마을 주민과 지역의 여론을 조사하고 난 다음에 보호 여부를 결정하기로 했다.

이런	이런/MMD
노력	노력/NNG
끝에	끝/NNG+에/JKB
후쿠이현은	후쿠이현/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1일로	1/SN+일/NNB+로/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
벌채를	벌채/NNG+를/JKO
당분간	당분간/MAG
연기하고	연기/NNG+하/XSV+고/EC
마을	마을/NNG
주민과	주민/NNG+과/JC
지역의	지역/NNG+의/JKG
여론을	여론/NNG+을/JKO
조사하고	조사/NNG+하/XSV+고/EC
난	나/VX+ㄴ/ETM
다음에	다음/NNG+에/JKB
보호	보호/NNG
여부를	여부/NNG+를/JKO
결정하기로	결정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.241.8.1
울산생명의 숲 윤석 사무국장은 "사카이시는 동해를 가운데 두고 부산과 울산을 직선으로 마주 보는 곳에 위치하고 있다"며 "이곳 여인들은 검은 옷을 입고 곡을 하지 않는 일본의 장례 풍습과는 달리 한국처럼 소복을 입고 곡을 하는 등 사카이시의 문화는 한국과 상당한 연관이 있는 것 같다"고 말했다.

울산생명의	울산/NNP+생명/NNG+의/JKG
숲	숲/NNG
윤석	윤석/NNP
사무국장은	사무국장/NNG+은/JX
"사카이시는	"/SS+사카이시/NNP+는/JX
동해를	동해/NNP+를/JKO
가운데	가운데/NNG
두고	두/VV+고/EC
부산과	부산/NNP+과/JC
울산을	울산/NNP+을/JKO
직선으로	직선/NNG+으로/JKB
마주	마주/MAG
보는	보/VV+는/ETM
곳에	곳/NNG+에/JKB
위치하고	위치/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"이곳	"/SS+이곳/NP
여인들은	여인/NNG+들/XSN+은/JX
검은	검/VA+은/ETM
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
곡을	곡/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
일본의	일본/NNP+의/JKG
장례	장례/NNG
풍습과는	풍습/NNG+과/JKB+는/JX
달리	달리/MAG
한국처럼	한국/NNP+처럼/JKB
소복을	소복/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
사카이시의	사카이시/NNP+의/JKG
문화는	문화/NNG+는/JX
한국과	한국/NNP+과/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
연관이	연관/NNG+이/JKS
있는	있/VA+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


