# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.314
metadata : {}


# id : NWRW1800000038.314.1.1
[데스크에서] 이상한 채동욱 관련 수사

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
검찰은 임 여인을 상대로 채 전 총장의 혼외자 관련 내용도 조사했다.

검찰은	검찰/NNG+은/JX
임	임/NNP
여인을	여인/NNG+을/JKO
상대로	상대/NNG+로/JKB
채	채/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
혼외자	혼외자/NNG
관련	관련/NNG
내용도	내용/NNG+도/JX
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.4.7
한 시민단체가 "임 여인이 채 전 총장을 아이의 아버지로 사칭해 채 전 총장과 검찰의 명예를 훼손했다"며 임 여인을 고발했기 때문이다.

한	한/MMN
시민단체가	시민/NNG+단체/NNG+가/JKS
"임	"/SS+임/NNP
여인이	여인/NNG+이/JKS
채	채/NNP
전	전/MMD
총장을	총장/NNG+을/JKO
아이의	아이/NNG+의/JKG
아버지로	아버지/NNG+로/JKB
사칭해	사칭/NNG+하/XSV+아/EC
총장과	총장/NNG+과/JC
검찰의	검찰/NNG+의/JKG
명예를	명예/NNG+를/JKO
훼손했다"며	훼손/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
임	임/NNP
여인을	여인/NNG+을/JKO
고발했기	고발/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.314.5.1
하지만 검찰은 임 여인이 어떤 진술을 했는지 밝히지 않았다.

하지만	하지만/MAJ
검찰은	검찰/NNG+은/JX
임	임/NNP
여인이	여인/NNG+이/JKS
어떤	어떤/MMD
진술을	진술/NNG+을/JKO
했는지	하/VV+았/EP+는지/EC
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.314.5.2
임 여인은 나라를 발칵 뒤집어 놓은 혼외자 사건의 장본인으로 채군이 채 전 총장의 아들이 아니라는 편지를 언론사에 보낸 이후 노출을 피해왔다.

임	임/NNP
여인은	여인/NNG+은/JX
나라를	나라/NNG+를/JKO
발칵	발칵/MAG
뒤집어	뒤집/VV+어/EC
놓은	놓/VX+은/ETM
혼외자	혼외자/NNG
사건의	사건/NNG+의/JKG
장본인으로	장본인/NNG+으로/JKB
채군이	채/NNP+군/NNB+이/JKS
채	채/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
아들이	아들/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
편지를	편지/NNG+를/JKO
언론사에	언론사/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
이후	이후/NNG
노출을	노출/NNG+을/JKO
피해왔다.	피하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.314.5.3
임 여인에게 적용될 법규는 형법 제350조인 공갈죄에 해당돼 10년 이하 징역 또는 2000만원 이하의 벌금에 처해지는 중한 범죄다.

임	임/NNP
여인에게	여인/NNG+에게/JKB
적용될	적용/NNG+되/XSV+ㄹ/ETM
법규는	법규/NNG+는/JX
형법	형법/NNG
제350조인	제/XPN+350/SN+조/NNB+이/VCP+ㄴ/ETM
공갈죄에	공갈죄/NNG+에/JKB
해당돼	해당/NNG+되/XSV+어/EC
10년	10/SN+년/NNB
이하	이하/NNG
징역	징역/NNG
또는	또는/MAG
2000만원	2000/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
벌금에	벌금/NNG+에/JKB
처해지는	처하/VV+아/EC+지/VX+는/ETM
중한	중하/VA+ㄴ/ETM
범죄다.	범죄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.314.5.4
반면 채군 정보 유출 사건 관련자들에게 적용될 개인정보보호법 위반죄는 3년 이하의 징역이나 1000만원 이하의 벌금이 가능해 형량이 상대적으로 낮다.

반면	반면/NNG
채군	채/NNP+군/NNB
정보	정보/NNG
유출	유출/NNG
사건	사건/NNG
관련자들에게	관련자/NNG+들/XSN+에게/JKB
적용될	적용/NNG+되/XSV+ㄹ/ETM
개인정보보호법	개인/NNG+정보/NNG+보호법/NNG
위반죄는	위반죄/NNG+는/JX
3년	3/SN+년/NNB
이하의	이하/NNG+의/JKG
징역이나	징역/NNG+이나/JC
1000만원	1000/SN+만/NR+원/NNB
벌금이	벌금/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
형량이	형량/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000038.314.6.1
그런데도 검찰은 임 여인 사건은 감추기 급급하고 정보 유출 사건은 알리기 바쁜 모양이다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
검찰은	검찰/NNG+은/JX
임	임/NNP
여인	여인/NNG
사건은	사건/NNG+은/JX
감추기	감추/VV+기/ETN
급급하고	급급하/VA+고/EC
정보	정보/NNG
유출	유출/NNG
알리기	알리/VV+기/ETN
바쁜	바쁘/VA+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.314.6.2
검사장 출신 변호사는 "이 사건의 출발점은 채 전 총장의 혼외자 문제였고, 정보 유출은 파생된 사안이었다"고 말했다.

검사장	검사장/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
"이	"/SS+이/MMD
사건의	사건/NNG+의/JKG
출발점은	출발점/NNG+은/JX
채	채/NNP
전	전/MMD
총장의	총장/NNG+의/JKG
혼외자	혼외자/NNG
문제였고,	문제/NNG+이/VCP+었/EP+고/EC+,/SP
정보	정보/NNG
유출은	유출/NNG+은/JX
파생된	파생/NNG+되/XSV+ㄴ/ETM
사안이었다"고	사안/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.6.3
법원장 출신 변호사는 "검찰이 마치 채 전 총장 낙마에 분풀이하듯 정보 유출 수사에만 몰두하는 느낌이다. 두 사건 모두 철저하고 공평하게 수사해야 한다"고 주문했다.

법원장	법원장/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
"검찰이	"/SS+검찰/NNG+이/JKS
마치	마치/MAG
채	채/NNP
전	전/MMD
총장	총장/NNG
낙마에	낙마/NNG+에/JKB
분풀이하듯	분풀이/NNG+하/XSV+듯/EC
정보	정보/NNG
유출	유출/NNG
수사에만	수사/NNG+에/JKB+만/JX
몰두하는	몰두/NNG+하/XSV+는/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF
두	두/MMN
사건	사건/NNG
모두	모두/MAG
철저하고	철저/NNG+하/XSA+고/EC
공평하게	공평/NNG+하/XSA+게/EC
수사해야	수사/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.314.6.4
검찰은 역대 총장마다 누누이 강조해온 '균형감각'을 잊지 말아야 한다.

검찰은	검찰/NNG+은/JX
역대	역대/NNG
총장마다	총장/NNG+마다/JX
누누이	누누이/MAG
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
'균형감각'을	'/SS+균형/NNG+감각/NNG+'/SS+을/JKO
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


