# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.251
metadata : {}


# id : NWRW1800000026.251.1.1
[부산·울산·경남] 창원 공영자전거 '누비자' 명품화;안전·편의성 획기적 개선… 삼천리자전거와 공동개발

[부산·울산·경남]	[/SS+부산/NNP+·/SP+울산/NNP+·/SP+경남/NNP+]/SS
창원시는 이달 말 500대, 연말 500대 등 1000대의 명품 누비자를 롯데마트로부터 기증받아 시내 터미널에 비치하고, 자체 예산으로 300대를 추가 구입해 보급할 계획이다.

창원시는	창원시/NNP+는/JX
이달	이달/NNG
말	말/NNB
500대,	500/SN+대/NNB+,/SP
연말	연말/NNG
500대	500/SN+대/NNB
등	등/NNB
1000대의	1000/SN+대/NNB+의/JKG
명품	명품/NNG
누비자를	누비자/NNP+를/JKO
롯데마트로부터	롯데마트/NNP+로부터/JKB
기증받아	기증/NNG+받/XSV+아/EC
시내	시내/NNG
터미널에	터미널/NNG+에/JKB
비치하고,	비치/NNG+하/XSV+고/EC+,/SP
자체	자체/NNG
예산으로	예산/NNG+으로/JKB
300대를	300/SN+대/NNB+를/JKO
추가	추가/NNG
구입해	구입/NNG+하/XSV+아/EC
보급할	보급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.251.5.3
명품 누비자가 보급되면 2030대인 기존 누비자와 합해 3330대의 누비자가 창원지역을 누비게 된다.

명품	명품/NNG
누비자가	누비자/NNP+가/JKS
보급되면	보급/NNG+되/XSV+면/EC
2030대인	2030/SN+대/NNB+이/VCP+ㄴ/ETM
기존	기존/NNG
누비자와	누비자/NNP+와/JKB
합해	합/NNG+하/XSV+아/EC
3330대의	3330/SN+대/NNB+의/JKG
창원지역을	창원/NNP+지역/NNG+을/JKO
누비게	누비/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.251.6.1
누비자는 2008년 10월 도입 이후 회원수가 5만7000여명으로 늘어났고, 150개 터미널에 비치된 2030대의 1일 평균이용횟수도 8500여회에 달하는 등 시민들로부터 폭발적인 반응을 얻고 있다.

누비자는	누비자/NNP+는/JX
2008년	2008/SN+년/NNB
10월	10/SN+월/NNB
도입	도입/NNG
이후	이후/NNG
회원수가	회원/NNG+수/NNG+가/JKS
5만7000여명으로	5/SN+만/NR+7000/SN+여/XSN+명/NNB+으로/JKB
늘어났고,	늘어나/VV+았/EP+고/EC+,/SP
150개	150/SN+개/NNB
터미널에	터미널/NNG+에/JKB
비치된	비치/NNG+되/XSV+ㄴ/ETM
2030대의	2030/SN+대/NNB+의/JKG
1일	1/SN+일/NNB
평균이용횟수도	평균/NNG+이용/NNG+횟수/NNG+도/JX
8500여회에	8500/SN+여/XSN+회/NNB+에/JKB
달하는	달하/VV+는/ETM
등	등/NNB
시민들로부터	시민/NNG+들/XSN+로부터/JKB
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
반응을	반응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.251.7.1
창원시는 "다수가 이용하는 공영자전거의 특성상 고장이나 훼손 등이 적지 않아 명품 누비자를 보급하게 됐다"고 밝혔다.

창원시는	창원시/NNP+는/JX
"다수가	"/SS+다수/NNG+가/JKS
이용하는	이용/NNG+하/XSV+는/ETM
공영자전거의	공영/NNG+자전거/NNG+의/JKG
특성상	특성/NNG+상/XSN
고장이나	고장/NNG+이나/JC
훼손	훼손/NNG
등이	등/NNB+이/JKS
적지	적/VA+지/EC
않아	않/VX+아/EC
명품	명품/NNG
누비자를	누비자/NNP+를/JKO
보급하게	보급/NNG+하/XSV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


