# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.395
metadata : {}


# id : NWRW1800000033.395.1.1
[수도권]대법판결 앞둔 郭, 서울시 손잡고 ‘정책 대못박기’

[수도권]대법판결	[/SS+수도/NNG+권/XSN+]/SS+대법/NNG+판결/NNG
인사들과만	인사/NNG+들/XSN+과/JKB+만/JX
논의했다며	논의/NNG+하/XSV+았/EP+다며/EC
불참을	불참/NNG+을/JKO
선언해	선언/NNG+하/XSV+아/EC
결국	결국/MAG
반쪽짜리	반쪽/NNG+짜리/XSN
선언에	선언/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.395.6.1
시교육청 내부에서도 공동선언에 담을 내용을 두고 견해차를 좁히지 못한 장학관들끼리 고성이 오가는 등 불협화음이 나오고 있다.

시교육청	시/NNG+교육청/NNG
내부에서도	내부/NNG+에서/JKB+도/JX
공동선언에	공동/NNG+선언/NNG+에/JKB
담을	담/VV+을/ETM
내용을	내용/NNG+을/JKO
두고	두/VV+고/EC
견해차를	견해차/NNG+를/JKO
좁히지	좁히/VV+지/EC
못한	못하/VX+ㄴ/ETM
장학관들끼리	장학관/NNG+들/XSN+끼리/XSN
고성이	고성/NNG+이/JKS
오가는	오가/VV+는/ETM
등	등/NNB
불협화음이	불협화음/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.395.7.1
10일 오후 시교육청 장학관회의에서 ‘평생교육 관련 대학의 역할’을 논의하던 중 학교혁신과 소속 A 장학관이 여성인 미래인재교육과 소속 B 장학관에게 “입 다물라.

10일	10/SN+일/NNB
오후	오후/NNG
시교육청	시/NNG+교육청/NNG
장학관회의에서	장학관/NNG+회의/NNG+에서/JKB
‘평생교육	‘/SS+평생/NNG+교육/NNG
관련	관련/NNG
대학의	대학/NNG+의/JKG
역할’을	역할/NNG+’/SS+을/JKO
논의하던	논의/NNG+하/XSV+던/ETM
중	중/NNB
학교혁신과	학교/NNG+혁신/NNG+과/NNG
소속	소속/NNG
A	A/SL
장학관이	장학관/NNG+이/JKS
여성인	여성/NNG+이/VCP+ㄴ/ETM
미래인재교육과	미래/NNG+인재/NNG+교육/NNG+과/NNG
B	B/SL
장학관에게	장학관/NNG+에게/JKB
“입	“/SS+입/NNG
다물라.	다물/VV+라/EF+./SF


# id : NWRW1800000033.395.7.2
그러지 않으면 가만두지 않겠다”고 소리쳤다.

그러지	그러/VV+지/EC
않으면	않/VX+으면/EC
가만두지	가만두/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
소리쳤다.	소리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.395.7.3
A 장학관은 회의가 끝난 후 B 장학관의 사무실을 찾아 주먹으로 때릴 듯한 행동을 취하기도 했다.

A	A/SL
장학관은	장학관/NNG+은/JX
회의가	회의/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
B	B/SL
장학관의	장학관/NNG+의/JKG
사무실을	사무실/NNG+을/JKO
찾아	찾/VV+아/EC
주먹으로	주먹/NNG+으로/JKB
때릴	때리/VV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
행동을	행동/NNG+을/JKO
취하기도	취하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.395.7.4
B 장학관은 11일 병원에 입원했고, 그의 남편은 교육청을 찾아 A 장학관 징계를 요구했다.

B	B/SL
장학관은	장학관/NNG+은/JX
11일	11/SN+일/NNB
병원에	병원/NNG+에/JKB
입원했고,	입원/NNG+하/XSV+았/EP+고/EC+,/SP
그의	그/NP+의/JKG
남편은	남편/NNG+은/JX
교육청을	교육청/NNG+을/JKO
찾아	찾/VV+아/EC
A	A/SL
장학관	장학관/NNG
징계를	징계/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.7.5
교육청 관계자는 “이쯤 되면 다른 의견은 듣지도 않겠다는 ‘독재선언’이 아니냐”고 말했다.

교육청	교육청/NNG
관계자는	관계자/NNG+는/JX
“이쯤	“/SS+이쯤/MAG
되면	되/VV+면/EC
다른	다른/MMD
의견은	의견/NNG+은/JX
듣지도	듣/VV+지/EC+도/JX
않겠다는	않/VX+겠/EP+다는/ETM
‘독재선언’이	‘/SS+독재/NNG+선언/NNG+’/SS+이/JKC
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.8.1
선언의 추진 주체가 교육감 비서실인 것도 논란이 되고 있다.

선언의	선언/NNG+의/JKG
추진	추진/NNG
주체가	주체/NNG+가/JKS
교육감	교육감/NNG
비서실인	비서실/NNG+이/VCP+ㄴ/ETM
것도	것/NNB+도/JX
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.395.8.2
보통 이런 사안은 정책을 담당하는 부서가 추진한다.

보통	보통/MAG
이런	이런/MMD
사안은	사안/NNG+은/JX
정책을	정책/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
부서가	부서/NNG+가/JKS
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.395.8.3
이 때문에 대법원 판결을 앞둔 곽 교육감이 직을 상실해도 공약이 추진될 수 있도록 미리 손쓰는 것 아니냐는 분석이 나오고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
대법원	대/XPN+법원/NNG
판결을	판결/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
곽	곽/NNP
교육감이	교육감/NNG+이/JKS
직을	직/NNG+을/JKO
상실해도	상실/NNG+하/XSV+아도/EC
공약이	공약/NNG+이/JKS
추진될	추진/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
미리	미리/MAG
손쓰는	손쓰/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.395.8.4
시교육청은 보도자료를 통해 “선언에 대한 논의는 곽 교육감과 시민사회단체에서 시작됐고, 이후 박 시장이 공감하면서 함께하게 됐다”고 밝혔다.

시교육청은	시/NNG+교육청/NNG+은/JX
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“선언에	“/SS+선언/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의는	논의/NNG+는/JX
곽	곽/NNP
교육감과	교육감/NNG+과/JC
시민사회단체에서	시민/NNG+사회단체/NNG+에서/JKB
시작됐고,	시작/NNG+되/XSV+었/EP+고/EC+,/SP
이후	이후/NNG
박	박/NNP
시장이	시장/NNG+이/JKS
공감하면서	공감/NNG+하/XSV+면서/EC
함께하게	함께/MAG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.395.9.1
선언 의제는 △친환경급식 안정화 △가고 싶은 학교를 만드는 희망교육 △민관협의회 제안 등 곽 교육감의 공약이자 진보성향 교육 단체들이 총선·대선 교육의제로 추진하는 것들이다.

선언	선언/NNG
의제는	의제/NNG+는/JX
△친환경급식	△/SW+친/XPN+환경/NNG+급식/NNG
안정화	안정/NNG+화/XSN
△가고	△/SW+가/VV+고/EC
싶은	싶/VX+은/ETM
학교를	학교/NNG+를/JKO
만드는	만들/VV+는/ETM
희망교육	희망/NNG+교육/NNG
△민관협의회	△/SW+민관/NNG+협의회/NNG
제안	제안/NNG
등	등/NNB
곽	곽/NNP
교육감의	교육감/NNG+의/JKG
공약이자	공약/NNG+이/VCP+자/EC
진보성향	진보/NNG+성향/NNG
교육	교육/NNG
단체들이	단체/NNG+들/XSN+이/JKS
총선·대선	총선/NNG+·/SP+대선/NNG
교육의제로	교육/NNG+의제/NNG+로/JKB
추진하는	추진/NNG+하/XSV+는/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.395.9.2
전국교직원노동조합 서울지부는 “선거 준비부터 함께했던 시민사회가 약속 이행에 공동 책임을 갖고 있었기에 공동선언을 주문했다”고 밝혔다.

전국교직원노동조합	전국교직원노동조합/NNP
서울지부는	서울/NNP+지부/NNG+는/JX
“선거	“/SS+선거/NNG
준비부터	준비/NNG+부터/JX
함께했던	함께/MAG+하/XSV+았/EP+던/ETM
시민사회가	시민/NNG+사회/NNG+가/JKS
약속	약속/NNG
이행에	이행/NNG+에/JKB
공동	공동/NNG
책임을	책임/NNG+을/JKO
갖고	갖/VV+고/EC
있었기에	있/VX+었/EP+기에/EC
공동선언을	공동/NNG+선언/NNG+을/JKO
주문했다”고	주문/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.395.9.3
시교육청 관계자는 “공동선언 계획을 비서실로부터 전해들은 만큼 내부적으로 일부 담당 장학관을 제외하고는 내용을 잘 모른다”고 전했다.

시교육청	시/NNG+교육청/NNG
관계자는	관계자/NNG+는/JX
“공동선언	“/SS+공동/NNG+선언/NNG
계획을	계획/NNG+을/JKO
비서실로부터	비서실/NNG+로부터/JKB
전해들은	전하/VV+아/EC+듣/VV+은/ETM
만큼	만큼/NNB
내부적으로	내부/NNG+적/XSN+으로/JKB
일부	일부/NNG
담당	담당/NNG
장학관을	장학관/NNG+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
내용을	내용/NNG+을/JKO
잘	잘/MAG
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.10.1
현재까지 강남 서초 송파 중랑 중구청 등 5개 구청과 서울교총, 보수성향의 시교육의원들이 불참 의사를 밝혔다.

현재까지	현재/NNG+까지/JX
강남	강남/NNP
서초	서초/NNP
송파	송파/NNP
중랑	중랑/NNP
중구청	중구청/NNP
등	등/NNB
5개	5/SN+개/NNB
구청과	구청/NNG+과/JC
서울교총,	서울교총/NNP+,/SP
보수성향의	보수/NNG+성향/NNG+의/JKG
시교육의원들이	시/NNG+교육/NNG+의원/NNG+들/XSN+이/JKS
불참	불참/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.395.10.2
서울교총 이준순 회장은 “교육감 비서실 정책특별보좌관으로부터 지난주 ‘공동선언을 하니 오늘 중으로 문자로 과제를 보내주면 반영하겠다’는 문자메시지를 받았을 뿐이다.

서울교총	서울교총/NNP
이준순	이준순/NNP
회장은	회장/NNG+은/JX
“교육감	“/SS+교육감/NNG
비서실	비서실/NNG
정책특별보좌관으로부터	정책/NNG+특별/NNG+보좌관/NNG+으로부터/JKB
지난주	지난주/NNG
‘공동선언을	‘/SS+공동/NNG+선언/NNG+을/JKO
하니	하/VV+니/EC
오늘	오늘/NNG
중으로	중/NNB+으로/JKB
문자로	문자/NNG+로/JKB
과제를	과제/NNG+를/JKO
보내주면	보내/VV+어/EC+주/VX+면/EC
반영하겠다’는	반영/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
문자메시지를	문자/NNG+메시지/NNG+를/JKO
받았을	받/VV+았/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.395.10.3
형식적인 절차가 아니겠는가”라고 말했다.

형식적인	형식/NNG+적/XSN+이/VCP+ㄴ/ETM
절차가	절차/NNG+가/JKC
아니겠는가”라고	아니/VCN+겠/EP+는가/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.10.4
정문진 서울시의회 교육위원회 부위원장도 “사회 각계각층이 어우러지지 않으면 그들만의 잔치다.

정문진	정문진/NNP
서울시의회	서울시의회/NNP
교육위원회	교육/NNG+위원회/NNG
부위원장도	부위원장/NNG+도/JX
“사회	“/SS+사회/NNG
각계각층이	각계각층/NNG+이/JKS
어우러지지	어우러지/VV+지/EC
않으면	않/VX+으면/EC
그들만의	그/NP+들/XSN+만/JX+의/JKG
잔치다.	잔치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.395.10.5
교육감 직 상실 이후 진보 교육정책이 추진될 토대를 마련하려는 것 같다”고 지적했다.

교육감	교육감/NNG
직	직/NNG
상실	상실/NNG
이후	이후/NNG
진보	진보/NNG
교육정책이	교육/NNG+정책/NNG+이/JKS
추진될	추진/NNG+되/XSV+ㄹ/ETM
토대를	토대/NNG+를/JKO
마련하려는	마련/NNG+하/XSV+려는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.395.11.1
일부 의제는 실효성 논란도 일고 있다.

일부	일부/NNG
의제는	의제/NNG+는/JX
실효성	실효/NNG+성/XSN
논란도	논란/NNG+도/JX
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.395.11.2
△초중학교 학급당 학생수 25명 이하 △초등학교 저학년 보조교사 배치 등은 행정안전부가 관리하는 교원 정원과 관련된 문제다.

△초중학교	△/SW+초중학교/NNG
학급당	학급/NNG+당/XSN
학생수	학생/NNG+수/NNG
25명	25/SN+명/NNB
이하	이하/NNG
△초등학교	△/SW+초등학교/NNG
저학년	저/XPN+학년/NNG
보조교사	보조/NNG+교사/NNG
배치	배치/NNG
등은	등/NNB+은/JX
행정안전부가	행정/NNG+안전부/NNG+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
교원	교원/NNG
정원과	정원/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.395.11.3
또 자치구의 창의적 체험활동·학교부적응학생 지원센터 운영 의제는 막대한 예산 확보가 필수적이다.

또	또/MAG
자치구의	자치구/NNG+의/JKG
창의적	창의/NNG+적/XSN
체험활동·학교부적응학생	체험/NNG+활동/NNG+·/SP+학교/NNG+부/XPN+적응/NNG+학생/NNG
지원센터	지원/NNG+센터/NNG
운영	운영/NNG
의제는	의제/NNG+는/JX
막대한	막대하/VA+ㄴ/ETM
예산	예산/NNG
확보가	확보/NNG+가/JKS
필수적이다.	필수/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.395.11.4
시교육청 관계자는 “실현가능성이 불투명한 것을 선언에 담는 건 포퓰리즘이다”고 지적했다.

시교육청	시/NNG+교육청/NNG
관계자는	관계자/NNG+는/JX
“실현가능성이	“/SS+실현/NNG+가능/NNG+성/XSN+이/JKS
불투명한	불/XPN+투명/NNG+하/XSA+ㄴ/ETM
것을	것/NNB+을/JKO
선언에	선언/NNG+에/JKB
담는	담/VV+는/ETM
건	거/NNB+ㄴ/JX
포퓰리즘이다”고	포퓰리즘/NNG+이/VCP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


