# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.81
metadata : {}


# id : NWRW1800000024.81.1.1
“사퇴없다” 오자와 정면돌파 승부수

“사퇴없다”	“/SS+사퇴/NNG+없/VA+다/EF+”/SS
없으며,	없/VA+으며/EC+,/SP
책임질	책임지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
데	데/NNB
의견의	의견/NNG+의/JKG
일치를	일치/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.4.4
이에 따라 소장파 의원들을 중심으로 부각됐던 당내 일각의 오자와 퇴진론 분위기는 물 밑으로 잠복될 가능성이 커졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
소장파	소장파/NNG
의원들을	의원/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
부각됐던	부각/NNG+되/XSV+었/EP+던/ETM
당내	당내/NNG
일각의	일각/NNG+의/JKG
오자와	오자와/NNP
퇴진론	퇴진/NNG+론/XSN
분위기는	분위기/NNG+는/JX
물	물/NNG
밑으로	밑/NNG+으로/JKB
잠복될	잠복/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.81.5.1
2007년 참의원 선거 압승 이후 오자와 대표에 대한 당내 결속력은 굳건해, 이번 수사는 정부·여당의 모략이란 반응이 우세하다.

2007년	2007/SN+년/NNB
참의원	참의원/NNG
선거	선거/NNG
압승	압승/NNG
이후	이후/NNG
오자와	오자와/NNP
대표에	대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
당내	당내/NNG
결속력은	결속력/NNG+은/JX
굳건해,	굳건하/VA+아/EC+,/SP
이번	이번/NNG
수사는	수사/NNG+는/JX
정부·여당의	정부/NNG+·/SP+여당/NNG+의/JKG
모략이란	모략/NNG+이/VCP+란/ETM
반응이	반응/NNG+이/JKS
우세하다.	우세/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000024.81.5.2
오자와 대표는 1980년대 후반 진두 지휘한 여러 선거에서 패배보다는 승리를 많이 해 ‘선거의 달인’이라는 평가를 받고 있으며, 각종 여론조사에서 ‘차기 총리에 가장 어울리는 사람’ 1순위로 꼽힌다.

오자와	오자와/NNP
대표는	대표/NNG+는/JX
1980년대	1980/SN+년대/NNB
후반	후반/NNG
진두	진두/NNG
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
여러	여러/MMN
선거에서	선거/NNG+에서/JKB
패배보다는	패배/NNG+보다/JKB+는/JX
승리를	승리/NNG+를/JKO
많이	많이/MAG
해	하/VV+아/EC
‘선거의	‘/SS+선거/NNG+의/JKG
달인’이라는	달인/NNG+’/SS+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
‘차기	‘/SS+차기/NNG
총리에	총리/NNG+에/JKB
가장	가장/MAG
어울리는	어울리/VV+는/ETM
사람’	사람/NNG+’/SS
1순위로	1/SN+순위/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.81.6.1
■ 총선에 악영향 불가피=수사 결과와는 상관없이, 순조롭게 진행되던 민주당의 정권교체 가도에 ‘빨간불’이 켜졌다.

■	■/SW
총선에	총선/NNG+에/JKB
악영향	악영향/NNG
불가피=수사	불가피/XR+=/SW+수사/NNG
결과와는	결과/NNG+와/JKB+는/JX
상관없이,	상관없이/MAG+,/SP
순조롭게	순조/NNG+롭/XSA+게/EC
진행되던	진행/NNG+되/XSV+던/ETM
민주당의	민주당/NNP+의/JKG
정권교체	정권/NNG+교체/NNG
가도에	가도/NNG+에/JKB
‘빨간불’이	‘/SS+빨간불/NNG+’/SS+이/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.81.6.2
1980년대 후반 자민당 간사장 시절, 선거를 앞두고 기업들을 대상으로 200억엔 이상을 ‘수금’하는 등 오자와 대표의 옛 금권정치 이미지가 이번 수사로 유권자들에게 다시 또렷하게 각인될 수밖에 없다.

1980년대	1980/SN+년대/NNB
후반	후반/NNG
자민당	자민당/NNP
간사장	간사장/NNG
시절,	시절/NNG+,/SP
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
기업들을	기업/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
200억엔	200/SN+억/NR+엔/NNB
이상을	이상/NNG+을/JKO
‘수금’하는	‘/SS+수금/NNG+’/SS+하/XSV+는/ETM
등	등/NNB
오자와	오자와/NNP
대표의	대표/NNG+의/JKG
옛	옛/MMA
금권정치	금권/NNG+정치/NNG
이미지가	이미지/NNG+가/JKS
이번	이번/NNG
수사로	수사/NNG+로/JKB
유권자들에게	유권자/NNG+들/XSN+에게/JKB
다시	다시/MAG
또렷하게	또렷하/VA+게/EC
각인될	각인/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.81.7.1
당내에서도 “앞으로는 대표가 전면에 나서는 선거전략은 어렵다”며 “근본부터 뒤집힐 수도 있는 사태”라는 우려가 나오고 있다.

당내에서도	당내/NNG+에서/JKB+도/JX
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
대표가	대표/NNG+가/JKS
전면에	전면/NNG+에/JKB
나서는	나서/VV+는/ETM
선거전략은	선거/NNG+전략/NNG+은/JX
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“근본부터	“/SS+근본/NNG+부터/JX
뒤집힐	뒤집히/VV+ㄹ/ETM
수도	수/NNB+도/JX
있는	있/VA+는/ETM
사태”라는	사태/NNG+”/SS+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.81.7.2
당의 얼굴을 바꾸고 싶어도 바꿀 수 없을 만큼 오자와 대표에 대한 의존도가 높은 게 민주당의 현실이기 때문이다.

당의	당/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
싶어도	싶/VX+어도/EC
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
오자와	오자와/NNP
대표에	대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의존도가	의존도/NNG+가/JKS
높은	높/VA+은/ETM
게	거/NNB+이/JKS
민주당의	민주당/NNP+의/JKG
현실이기	현실/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.81.8.1
한편 도쿄지검 특수부는 오자와 대표 쪽이 먼저 비자금 불법 조성 의혹을 받고 있는 니시마쓰건설 쪽에 정치자금을 요구한 것으로 파악하고 있다고 <요미우리신문>이 이날 보도했다.

한편	한편/MAG
도쿄지검	도쿄지검/NNP
특수부는	특수부/NNG+는/JX
오자와	오자와/NNP
대표	대표/NNG
쪽이	쪽/NNB+이/JKS
먼저	먼저/MAG
비자금	비자금/NNG
불법	불법/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
니시마쓰건설	니시마쓰건설/NNP
쪽에	쪽/NNB+에/JKB
정치자금을	정치/NNG+자금/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
<요미우리신문>이	</SS+요미우리신문/NNP+>/SS+이/JKS
이날	이날/NNG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.8.2
니시마쓰의 구니사와 미키오 전 사장 등은 검찰 조사에서 “오자와 대표 쪽에 헌금을 한 것은 댐 공사 등을 수주하기 위한 것”이라고 진술했다고 <아사히신문>이 전했다.

니시마쓰의	니시마쓰/NNP+의/JKG
구니사와	구니사와/NNP
미키오	미키오/NNP
전	전/MMD
사장	사장/NNG
등은	등/NNB+은/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
“오자와	“/SS+오자와/NNP
대표	대표/NNG
쪽에	쪽/NNB+에/JKB
헌금을	헌금/NNG+을/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
댐	댐/NNG
공사	공사/NNG
등을	등/NNB+을/JKO
수주하기	수주/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
<아사히신문>이	</SS+아사히신문/NNP+>/SS+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.9.1
앞서 검찰은 3일 오자와 대표의 정치자금 관리조직인 리쿠산카이(육산회)를 압수수색하고, 이 조직의 회계책임자이자 오자와 대표의 ‘공설 제1비서’인 오쿠보 다카노리와 니시마쓰건설의 전 사장인 구니사와 미키오 등 3명을 체포했다.

앞서	앞서/MAG
검찰은	검찰/NNG+은/JX
3일	3/SN+일/NNB
오자와	오자와/NNP
대표의	대표/NNG+의/JKG
정치자금	정치/NNG+자금/NNG
관리조직인	관리/NNG+조직/NNG+이/VCP+ㄴ/ETM
리쿠산카이(육산회)를	리쿠산카이/NNP+(/SS+육산회/NNP+)/SS+를/JKO
압수수색하고,	압수/NNG+수색/NNG+하/XSV+고/EC+,/SP
이	이/MMD
조직의	조직/NNG+의/JKG
회계책임자이자	회계/NNG+책임자/NNG+이/VCP+자/EC
‘공설	‘/SS+공설/NNG
제1비서’인	제/XPN+1/SN+비서/NNG+’/SS+이/VCP+ㄴ/ETM
오쿠보	오쿠보/NNP
다카노리와	다카노리/NNP+와/JC
니시마쓰건설의	니시마쓰건설/NNP+의/JKG
전	전/MMD
사장인	사장/NNG+이/VCP+ㄴ/ETM
구니사와	구니사와/NNP
미키오	미키오/NNP
등	등/NNB
3명을	3/SN+명/NNB+을/JKO
체포했다.	체포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.81.9.2
오쿠보 비서는 리쿠산카이가 기부받은 거액의 민간기업 정치자금을 정치단체로부터 온 것인 양 기재한 혐의를 받고 있다.

오쿠보	오쿠보/NNP
비서는	비서/NNG+는/JX
리쿠산카이가	리쿠산카이/NNP+가/JKS
기부받은	기부/NNG+받/XSV+은/ETM
거액의	거액/NNG+의/JKG
민간기업	민간/NNG+기업/NNG
정치자금을	정치/NNG+자금/NNG+을/JKO
정치단체로부터	정치/NNG+단체/NNG+로부터/JKB
온	오/VV+ㄴ/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
양	양/NNB
기재한	기재/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


