# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.113
metadata : {}


# id : NWRW1800000029.113.1.1
“할인매장 카트 방향 틀땐 한손 놓으세요”

“할인매장	“/SS+할인/NNG+매장/NNG
# id : NWRW1800000029.113.11.1
따라서 무릎관절을 보호하기 위해서는 먼저 방향을 틀 때 그림 1처럼 두 손이 아니라 한쪽 손을 회전하는 방향 쪽으로 카트를 밀면서 놓아야 한다.

따라서	따라서/MAJ
무릎관절을	무릎/NNG+관절/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
먼저	먼저/MAG
방향을	방향/NNG+을/JKO
틀	틀/VV+ㄹ/ETM
때	때/NNG
그림	그림/NNG
1처럼	1/SN+처럼/JKB
두	두/MMN
손이	손/NNG+이/JKS
아니라	아니/VCN+라/EC
한쪽	한쪽/NNG
손을	손/NNG+을/JKO
회전하는	회전/NNG+하/XSV+는/ETM
방향	방향/NNG
쪽으로	쪽/NNB+으로/JKB
카트를	카트/NNG+를/JKO
밀면서	밀/VV+면서/EC
놓아야	놓/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.113.11.2
그러면 손을 놓은 쪽 아래 발은, 중력에 의한 카트 무게 부담에서 자유로워지므로 발을 옮기면서 미리 발바닥과 무릎 방향을 회전시켜 방향을 바꿔놓는다.

그러면	그러면/MAJ
손을	손/NNG+을/JKO
놓은	놓/VV+은/ETM
쪽	쪽/NNB
아래	아래/NNG
발은,	발/NNG+은/JX+,/SP
중력에	중력/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
카트	카트/NNG
무게	무게/NNG
부담에서	부담/NNG+에서/JKB
자유로워지므로	자유/NNG+롭/XSA+어/EC+지/VX+므로/EC
발을	발/NNG+을/JKO
옮기면서	옮기/VV+면서/EC
미리	미리/MAG
발바닥과	발바닥/NNG+과/JC
무릎	무릎/NNG
방향을	방향/NNG+을/JKO
회전시켜	회전/NNG+시키/XSV+어/EC
바꿔놓는다.	바꾸/VV+어/EC+놓/VX+는다/EF+./SF


# id : NWRW1800000029.113.12.1
이때 카트는 그림 2처럼 계속 회전하면서 방향을 전환한다.

이때	이때/NNG
카트는	카트/NNG+는/JX
그림	그림/NNG
2처럼	2/SN+처럼/JKB
계속	계속/MAG
회전하면서	회전/NNG+하/XSV+면서/EC
방향을	방향/NNG+을/JKO
전환한다.	전환/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.12.2
이에 따라 카트 무게의 영향을 받지 않고 남은 발의 방향을 바꾸면 된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
카트	카트/NNG
무게의	무게/NNG+의/JKG
영향을	영향/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
남은	남/VV+은/ETM
발의	발/NNG+의/JKG
방향을	방향/NNG+을/JKO
바꾸면	바꾸/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.113.12.3
그러면 그림 3처럼 무릎에 큰 부담을 주지 않고 방향을 전환할 수 있다.

그러면	그러면/MAJ
그림	그림/NNG
3처럼	3/SN+처럼/JKB
무릎에	무릎/NNG+에/JKB
큰	크/VA+ㄴ/ETM
부담을	부담/NNG+을/JKO
주지	주/VV+지/EC
않고	않/VX+고/EC
방향을	방향/NNG+을/JKO
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


