# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.395
metadata : {}


# id : NWRW1800000037.395.1.1
[수도권]“초교 앞에 빗물펌프장…” 대치동 시끌

[수도권]“초교	[/SS+수도/NNG+권/XSN+]/SS+“/SS+초교/NNG
강남구 관계자는 “이번 주에 입지 타당성조사 용역을 재발주해 9월 말경 서울시에 건의할 계획”이라며 “강남에서 해마다 발생하는 침수를 막기 위해 주민들의 협조가 꼭 필요하다”고 말했다.

강남구	강남구/NNP
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
주에	주/NNG+에/JKB
입지	입지/NNG
타당성조사	타당성/NNG+조사/NNG
용역을	용역/NNG+을/JKO
재발주해	재/XPN+발주/NNG+하/XSV+아/EC
9월	9/SN+월/NNB
말경	말경/NNG
서울시에	서울시/NNP+에/JKB
건의할	건의/NNG+하/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“강남에서	“/SS+강남/NNP+에서/JKB
해마다	해마다/MAG
발생하는	발생/NNG+하/XSV+는/ETM
침수를	침수/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
주민들의	주민/NNG+들/XSN+의/JKG
협조가	협조/NNG+가/JKS
꼭	꼭/MAG
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


