# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.283
metadata : {}


# id : NWRW1800000030.283.1.1
[조선일보에 비친 '모던 조선'] (80) '산림의 깽' 송충이 떼, 열차를 세우다

[조선일보에	[/SS+조선일보/NNP+에/JKB
나아가 송충이를 비료로 활용하는 방안을 강구, 여주군에선 송충이 비료가 다른 비료보다 10배 이상 효과가 있음을 확인했고(1929년 7월 24일자), 경북에선 송충이를 솥에 넣어 찐 뒤 말려 비료로 썼더니 생산 가격이 10관당 1원 내외에 불과, 다른 질소비료에 비해 경제성이 매우 높았다.

나아가	나아가/VV+아/EC
송충이를	송충이/NNG+를/JKO
비료로	비료/NNG+로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
강구,	강구/NNG+,/SP
여주군에선	여주군/NNP+에서/JKB+ㄴ/JX
송충이	송충이/NNG
비료가	비료/NNG+가/JKS
다른	다른/MMD
비료보다	비료/NNG+보다/JKB
10배	10/SN+배/NNG
이상	이상/NNG
효과가	효과/NNG+가/JKS
있음을	있/VA+음/ETN+을/JKO
확인했고(1929년	확인/NNG+하/XSV+았/EP+고/EC+(/SS+1929/SN+년/NNB
7월	7/SN+월/NNB
24일자),	24/SN+일/NNB+자/NNG+)/SS+,/SP
경북에선	경북/NNP+에서/JKB+ㄴ/JX
솥에	솥/NNG+에/JKB
넣어	넣/VV+어/EC
찐	찌/VV+ㄴ/ETM
뒤	뒤/NNG
말려	말리/VV+어/EC
썼더니	쓰/VV+었/EP+더니/EC
생산	생산/NNG
가격이	가격/NNG+이/JKS
10관당	10/SN+관/NNB+당/XSN
1원	1/SN+원/NNB
내외에	내외/NNG+에/JKB
불과,	불과/MAG+,/SP
질소비료에	질소/NNG+비료/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
경제성이	경제/NNG+성/XSN+이/JKS
매우	매우/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.283.5.2
(1931년 8월 18일자)

(1931년	(/SS+1931/SN+년/NNB
8월	8/SN+월/NNB
18일자)	18/SN+일/NNB+자/NNG+)/SS


# id : NWRW1800000030.283.6.1
'송충이 잡이' 독려를 위해 추첨을 통해 소 1마리를 주는 경품 행사도 도입했고(1926년 8월 1일자), 그 규모는 갈수록 커져 1931년 경기도 연천군은 특등에 황소 2마리, 1등 황소 1마리 외에 2~6등까지 399명을 포상할 정도였다.

'송충이	'/SS+송충이/NNG
잡이'	잡이/NA+'/SS
독려를	독려/NNG+를/JKO
위해	위하/VV+아/EC
추첨을	추첨/NNG+을/JKO
통해	통하/VV+아/EC
소	소/NNG
1마리를	1/SN+마리/NNB+를/JKO
주는	주/VV+는/ETM
경품	경품/NNG
행사도	행사/NNG+도/JX
도입했고(1926년	도입/NNG+하/XSV+았/EP+고/EC+(/SS+1926/SN+년/NNB
8월	8/SN+월/NNB
1일자),	1/SN+일/NNB+자/NNG+)/SS+,/SP
그	그/MMD
규모는	규모/NNG+는/JX
갈수록	갈수록/MAG
커져	커지/VV+어/EC
1931년	1931/SN+년/NNB
경기도	경기도/NNP
연천군은	연천군/NNP+은/JX
특등에	특등/NNG+에/JKB
황소	황소/NNG
2마리,	2/SN+마리/NNB+,/SP
1등	1/SN+등/NNB
1마리	1/SN+마리/NNB
외에	외/NNB+에/JKB
2~6등까지	2/SN+~/SO+6/SN+등/NNB+까지/JX
399명을	399/SN+명/NNB+을/JKO
포상할	포상/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.283.6.2
(1931년 8월 4일자) '산림의 깽'인 송충을 자발적으로 잡도록 유도하기 위한 '표창'도 시행했다.

(1931년	(/SS+1931/SN+년/NNB
8월	8/SN+월/NNB
4일자)	4/SN+일/NNB+자/NNG+)/SS
'산림의	'/SS+산림/NNG+의/JKG
깽'인	깽/NNG+'/SS+이/VCP+ㄴ/ETM
송충을	송충/NNG+을/JKO
자발적으로	자발/NNG+적/XSN+으로/JKB
잡도록	잡/VV+도록/EC
유도하기	유도/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
'표창'도	'/SS+표창/NNG+'/SS+도/JX
시행했다.	시행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.283.6.3
(1933년 6월 4일자) 이렇게 잡아들인 송충이는 1930년 한 해 동안 경남도에서만 총 1억9000만마리에 달해, 죽 이어 놓으면 부산서 신의주까지 거리의 열배나 됐다.

(1933년	(/SS+1933/SN+년/NNB
6월	6/SN+월/NNB
4일자)	4/SN+일/NNB+자/NNG+)/SS
이렇게	이렇/VA+게/EC
잡아들인	잡아들이/VV+ㄴ/ETM
송충이는	송충이/NNG+는/JX
1930년	1930/SN+년/NNB
한	한/MMN
해	해/NNB
동안	동안/NNG
경남도에서만	경남도/NNP+에서/JKB+만/JX
총	총/MMA
1억9000만마리에	1/SN+억/NR+9000/SN+만/NR+마리/NNB+에/JKB
달해,	달하/VV+아/EC+,/SP
죽	죽/MAG
이어	잇/VV+어/EC
놓으면	놓/VX+으면/EC
부산서	부산/NNP+서/JKB
신의주까지	신의주/NNP+까지/JX
거리의	거리/NNG+의/JKG
열배나	열/NR+배/NNG+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.6.4
(1931년 2월 15일자)

(1931년	(/SS+1931/SN+년/NNB
2월	2/SN+월/NNB
15일자)	15/SN+일/NNB+자/NNG+)/SS


# id : NWRW1800000030.283.7.1
당시 송충이가 얼마나 기승을 부렸는지 기차까지 세운 '거짓말 같은 참 사실'도 있었다.

당시	당시/NNG
송충이가	송충이/NNG+가/JKS
얼마나	얼마나/MAG
기승을	기승/NNG+을/JKO
부렸는지	부리/VV+었/EP+는지/EC
기차까지	기차/NNG+까지/JX
세운	세우/VV+ㄴ/ETM
'거짓말	'/SS+거짓말/NNG
같은	같/VA+은/ETM
참	참/NNG
사실'도	사실/NNG+'/SS+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.283.7.2
1937년 5월 20일 용인역을 떠나 수원으로 향한 경동선(京東線) 화물열차가 송충이 떼가 선로 위를 횡단하는 바람에 양지역 부근에서 멈췄다.

1937년	1937/SN+년/NNB
5월	5/SN+월/NNB
20일	20/SN+일/NNB
용인역을	용인역/NNP+을/JKO
떠나	떠나/VV+아/EC
수원으로	수원/NNP+으로/JKB
향한	향하/VV+ㄴ/ETM
경동선(京東線)	경동선/NNG+(/SS+京東線/SH+)/SS
화물열차가	화물/NNG+열차/NNG+가/JKS
송충이	송충이/NNG
떼가	떼/NNG+가/JKS
선로	선로/NNG
위를	위/NNG+를/JKO
횡단하는	횡단/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
양지역	양지역/NNP
부근에서	부근/NNG+에서/JKB
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.283.7.3
'송충이는 99%가 물과 기름으로 되야 그 기름 때문에 기차가 진행하지 못한 것'이라고 했다.

'송충이는	'/SS+송충이/NNG+는/JX
99%가	99/SN+%/SW+가/JKS
물과	물/NNG+과/JC
기름으로	기름/NNG+으로/JKB
되야	되/VV+야/EC
그	그/MMD
기름	기름/NNG
때문에	때문/NNB+에/JKB
기차가	기차/NNG+가/JKS
진행하지	진행/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
것'이라고	것/NNB+'/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.283.7.4
(1937년 5월 22일자)

(1937년	(/SS+1937/SN+년/NNB
5월	5/SN+월/NNB
22일자)	22/SN+일/NNB+자/NNG+)/SS


# id : NWRW1800000030.283.8.1
'송충이 잡이'는 1970년대까지만 해도 매년 초여름이 되면 전국에서 되풀이되는 풍경이었으나, 1980년대 천적 살포와 방제 작업이 성공하면서 사라졌다.

'송충이	'/SS+송충이/NNG
잡이'는	잡이/NA+'/SS+는/JX
1970년대까지만	1970/SN+년대/NNB+까지/JX+만/JX
해도	하/VV+아도/EC
매년	매년/MAG
초여름이	초여름/NNG+이/JKS
되면	되/VV+면/EC
전국에서	전국/NNG+에서/JKB
되풀이되는	되풀이/NNG+되/XSV+는/ETM
풍경이었으나,	풍경/NNG+이/VCP+었/EP+으나/EC+,/SP
1980년대	1980/SN+년대/NNB
천적	천적/NNG
살포와	살포/NNG+와/JC
방제	방제/NNG
작업이	작업/NNG+이/JKS
성공하면서	성공/NNG+하/XSV+면서/EC
사라졌다.	사라지/VV+었/EP+다/EF+./SF


