# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.243
metadata : {}


# id : NWRW1800000044.243.1.1
“한국사 국정교과서 전환땐 학생들 입시부담도 커진다”

“한국사	“/SS+한국사/NNG
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000044.243.8.1
교육부가 26일 ‘한국사 교과서 발행 체제 개선 방안’ 토론회를 시작으로 국정 교과서 추진을 본격화하려는 움직임을 보이는 가운데, 역사 교사들이 ‘국정 교과서는 안 되는 이유’를 조목조목 짚었다.

교육부가	교육부/NNG+가/JKS
26일	26/SN+일/NNB
‘한국사	‘/SS+한국사/NNG
교과서	교과서/NNG
발행	발행/NNG
체제	체제/NNG
개선	개선/NNG
방안’	방안/NNG+’/SS
토론회를	토론회/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
국정	국정/NNG
추진을	추진/NNG+을/JKO
본격화하려는	본격/NNG+화/XSN+하/XSV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이는	보이/VV+는/ETM
가운데,	가운데/NNG+,/SP
역사	역사/NNG
교사들이	교사/NNG+들/XSN+이/JKS
‘국정	‘/SS+국정/NNG
교과서는	교과서/NNG+는/JX
안	안/MAG
되는	되/VV+는/ETM
이유’를	이유/NNG+’/SS+를/JKO
조목조목	조목조목/MAG
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.243.8.2
조한경 전국역사교사모임 회장은 25일 야당과 역사정의실천연대 주최로 열린 ‘한국사 교과서 국정전환, 무엇이 문제인가?’ 토론회에서 ‘한국사 교과서 국정화’를 주장하는 논리를 반박했다.

조한경	조한경/NNP
전국역사교사모임	전국/NNG+역사/NNG+교사/NNG+모임/NNG
회장은	회장/NNG+은/JX
25일	25/SN+일/NNB
야당과	야당/NNG+과/JC
역사정의실천연대	역사/NNG+정의/NNG+실천/NNG+연대/NNG
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘한국사	‘/SS+한국사/NNG
교과서	교과서/NNG
국정전환,	국정/NNG+전환/NNG+,/SP
무엇이	무엇/NP+이/JKS
문제인가?’	문제/NNG+이/VCP+ㄴ가/EF+?/SF+’/SS
토론회에서	토론회/NNG+에서/JKB
국정화’를	국정/NNG+화/XSN+’/SS+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
논리를	논리/NNG+를/JKO
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.8.3
특히 보수와 진보 ‘이념 문제’를 떠나, 학생들의 실리를 위해서도 국정 교과서는 안 된다는 점을 강조했다.

특히	특히/MAG
보수와	보수/NNG+와/JC
진보	진보/NNG
‘이념	‘/SS+이념/NNG
문제’를	문제/NNG+’/SS+를/JKO
떠나,	떠나/VV+아/EC+,/SP
학생들의	학생/NNG+들/XSN+의/JKG
실리를	실리/NNG+를/JKO
위해서도	위하/VV+아서/EC+도/JX
국정	국정/NNG
교과서는	교과서/NNG+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.9.1
조 회장은 한국사 수능 필수화와 관련해, 한 가지 국정 교과서로 공부하면 ‘입시 부담’이 줄어든다는 주장을 반박했다.

조	조/NNP
회장은	회장/NNG+은/JX
한국사	한국사/NNG
수능	수능/NNG
필수화와	필수/NNG+화/XSN+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
한	한/MMN
가지	가지/NNB
국정	국정/NNG
교과서로	교과서/NNG+로/JKB
공부하면	공부/NNG+하/XSV+면/EC
‘입시	‘/SS+입시/NNG
부담’이	부담/NNG+’/SS+이/JKS
줄어든다는	줄어들/VV+ㄴ다는/ETM
주장을	주장/NNG+을/JKO
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.9.2
오히려 한권의 교과서만 배우게 될 때 지나치게 세세한 내용까지 출제할 가능성이 높다는 지적이다.

오히려	오히려/MAG
한권의	한/MMN+권/NNB+의/JKG
교과서만	교과서/NNG+만/JX
배우게	배우/VV+게/EC
될	되/VV+ㄹ/ETM
때	때/NNG
지나치게	지나치/VA+게/EC
세세한	세세하/VA+ㄴ/ETM
내용까지	내용/NNG+까지/JX
출제할	출제/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.243.9.3
조 회장은 “교과서 종류가 많으면 여러 교과서에 공통적으로 실린 중요한 개념이나 핵심적인 사실을 중심으로 시험을 출제한다.

조	조/NNP
회장은	회장/NNG+은/JX
“교과서	“/SS+교과서/NNG
종류가	종류/NNG+가/JKS
많으면	많/VA+으면/EC
여러	여러/MMN
교과서에	교과서/NNG+에/JKB
공통적으로	공통/NNG+적/XSN+으로/JKB
실린	실리/VV+ㄴ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
개념이나	개념/NNG+이나/JC
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
사실을	사실/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
시험을	시험/NNG+을/JKO
출제한다.	출제/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.243.9.4
반면 과거 국정 교과서 시잘엔 지엽적이고 자잘한 내용까지 공부해야 고득점을 올릴 수 있었다”고 설명했다.

반면	반면/NNG
과거	과거/NNG
국정	국정/NNG
교과서	교과서/NNG
시잘엔	시잘/NNG+에/JKB+ㄴ/JX
지엽적이고	지엽/NNG+적/XSN+이/VCP+고/EC
자잘한	자잘하/VA+ㄴ/ETM
내용까지	내용/NNG+까지/JX
공부해야	공부/NNG+하/XSV+아야/EC
고득점을	고/XPN+득점/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.10.1
역사교사들은 국가가 관리하는 국정 교과서가 검정 교과서보다 질적으로 나으리라는 기대도 근거가 없다고 반박했다.

역사교사들은	역사/NNG+교사/NNG+들/XSN+은/JX
국가가	국가/NNG+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
국정	국정/NNG
교과서가	교과서/NNG+가/JKS
검정	검정/NNG
교과서보다	교과서/NNG+보다/JKB
질적으로	질/NNG+적/XSN+으로/JKB
나으리라는	낫/VA+으리라는/ETM
기대도	기대/NNG+도/JX
근거가	근거/NNG+가/JKS
없다고	없/VA+다고/EC
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.10.2
초등학교 국정 사회 교과서와 검인정 및 자유발행제로 발행되는 중·고교 교과서를 비교하면, 오히려 국정 교과서의 질이 훨씬 떨어진다는 설명이다.

초등학교	초등학교/NNG
국정	국정/NNG
사회	사회/NNG
교과서와	교과서/NNG+와/JC
검인정	검인정/NNG
및	및/MAG
자유발행제로	자유/NNG+발행/NNG+제/XSN+로/JKB
발행되는	발행/NNG+되/XSV+는/ETM
중·고교	중·고교/NNG
교과서를	교과서/NNG+를/JKO
비교하면,	비교/NNG+하/XSV+면/EC+,/SP
오히려	오히려/MAG
교과서의	교과서/NNG+의/JKG
질이	질/NNG+이/JKS
훨씬	훨씬/MAG
떨어진다는	떨어지/VV+ㄴ다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.243.10.3
조 회장은 “국정 교과서는 제작 과정에 경쟁과 긴장감이 없다”며 “국정 교과서는 여러 교과서 중에서 선택해 최선의 교육을 할 수 있는 가능성을 없앤다”고 말했다.

조	조/NNP
회장은	회장/NNG+은/JX
“국정	“/SS+국정/NNG
교과서는	교과서/NNG+는/JX
제작	제작/NNG
과정에	과정/NNG+에/JKB
경쟁과	경쟁/NNG+과/JC
긴장감이	긴장감/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
여러	여러/MMN
교과서	교과서/NNG
중에서	중/NNB+에서/JKB
선택해	선택/NNG+하/XSV+아/EC
최선의	최선/NNG+의/JKG
교육을	교육/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가능성을	가능/NNG+성/XSN+을/JKO
없앤다”고	없애/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.11.1
유신 체제 이후 시작된 ‘국정 교과서의 역사’가 증언하듯이, 학생들이 정권의 입맛에 따라 수시로 변하는 교과서에 적응해야 하는 문제도 지적됐다.

유신	유신/NNG
체제	체제/NNG
이후	이후/NNG
시작된	시작/NNG+되/XSV+ㄴ/ETM
‘국정	‘/SS+국정/NNG
교과서의	교과서/NNG+의/JKG
역사’가	역사/NNG+’/SS+가/JKS
증언하듯이,	증언/NNG+하/XSV+듯이/EC+,/SP
학생들이	학생/NNG+들/XSN+이/JKS
정권의	정권/NNG+의/JKG
입맛에	입맛/NNG+에/JKB
따라	따르/VV+아/EC
수시로	수시로/MAG
변하는	변하/VV+는/ETM
교과서에	교과서/NNG+에/JKB
적응해야	적응/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
문제도	문제/NNG+도/JX
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.243.11.2
조 회장은 “국정 교과서는 교육부가 저작권과 수정·개편 권한을 가진 교과서로, 역사 교과서를 정권의 홍보물로 전락시킬 수 있다”고 우려했다.

조	조/NNP
회장은	회장/NNG+은/JX
“국정	“/SS+국정/NNG
교과서는	교과서/NNG+는/JX
교육부가	교육부/NNG+가/JKS
저작권과	저작/NNG+권/XSN+과/JC
수정·개편	수정/NNG+·/SP+개편/NNG
권한을	권한/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
교과서로,	교과서/NNG+로/JKB+,/SP
역사	역사/NNG
교과서를	교과서/NNG+를/JKO
정권의	정권/NNG+의/JKG
홍보물로	홍보물/NNG+로/JKB
전락시킬	전락/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.11.3
보수 성향의 언론이나 역사학자들이 선뜻 국정화에 동의하지 못하는 것도 이 때문이다.

보수	보수/NNG
성향의	성향/NNG+의/JKG
언론이나	언론/NNG+이나/JC
역사학자들이	역사학자/NNG+들/XSN+이/JKS
선뜻	선뜻/MAG
국정화에	국정/NNG+화/XSN+에/JKB
동의하지	동의/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
것도	것/NNB+도/JX
이	이/NP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.243.11.4
<동아일보>는 1월10일치 사설을 통해 “국정화로 퇴보 말고 제대로 된 국사 교과서를 만들라”고 지적한 바 있다.

<동아일보>는	</SS+동아일보/NNP+>/SS+는/JX
1월10일치	1/SN+월/NNB+10/SN+일/NNB+치/NNB
사설을	사설/NNG+을/JKO
통해	통하/VV+아/EC
“국정화로	“/SS+국정/NNG+화/XSN+로/JKB
퇴보	퇴보/NNG
말고	말/VV+고/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
국사	국사/NNG
교과서를	교과서/NNG+를/JKO
만들라”고	만들/VV+라/EF+”/SS+고/JKQ
지적한	지적/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.243.12.1
새누리당 의원들과 뉴라이트 성향 역사학자 등이 국정화의 주된 근거로 삼는 ‘분단국가론’도 도마에 올랐다.

새누리당	새누리당/NNP
의원들과	의원/NNG+들/XSN+과/JC
뉴라이트	뉴라이트/NNG
성향	성향/NNG
역사학자	역사학자/NNG
등이	등/NNB+이/JKS
국정화의	국정/NNG+화/XSN+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
근거로	근거/NNG+로/JKB
삼는	삼/VV+는/ETM
‘분단국가론’도	‘/SS+분단국가/NNG+론/XSN+’/SS+도/JX
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.12.2
분단이라는 특수한 상황에서 국사만큼은 이념적 대립 없이 국정 교과서로 가르쳐야 한다는 주장이다.

분단이라는	분단/NNG+이/VCP+라는/ETM
특수한	특수/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
국사만큼은	국사/NNG+만큼/JKB+은/JX
이념적	이념/NNG+적/XSN
대립	대립/NNG
없이	없이/MAG
국정	국정/NNG
교과서로	교과서/NNG+로/JKB
가르쳐야	가르치/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.243.12.3
역사교사모임은 “우리가 북한보다 성공한 것이 자유민주주의 체제 덕이라고 말하면서, 역사 교과서 체제만은 북한·베트남·러시아 정도만 운영하는 국정 교과서 제도를 따라하자는 것이 놀라울 뿐”이라고 짚었다.

역사교사모임은	역사/NNG+교사/NNG+모임/NNG+은/JX
“우리가	“/SS+우리/NP+가/JKS
북한보다	북한/NNP+보다/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
자유민주주의	자유/NNG+민주주의/NNG
체제	체제/NNG
덕이라고	덕/NNG+이/VCP+라고/EC
말하면서,	말/NNG+하/XSV+면서/EC+,/SP
역사	역사/NNG
교과서	교과서/NNG
체제만은	체제/NNG+만/JX+은/JX
북한·베트남·러시아	북한/NNP+·/SP+베트남/NNP+·/SP+러시아/NNP
정도만	정도/NNG+만/JX
운영하는	운영/NNG+하/XSV+는/ETM
국정	국정/NNG
제도를	제도/NNG+를/JKO
따라하자는	따르/VV+아/EC+하/VV+자는/ETM
놀라울	놀랍/VA+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.243.13.1
원로 역사학자인 이만열 전 국사편찬위원장은 “그들은 필요할 때 자유민주주의를 강조하지만 한국사 교과서 국정화가 자유민주체제와 어떻게 조화를 이루는가에 대해서는 말이 없다”고 비판했다.

원로	원로/NNG
역사학자인	역사학자/NNG+이/VCP+ㄴ/ETM
이만열	이만열/NNP
전	전/MMD
국사편찬위원장은	국사/NNG+편찬위원장/NNG+은/JX
“그들은	“/SS+그/NP+들/XSN+은/JX
필요할	필요/NNG+하/XSA+ㄹ/ETM
때	때/NNG
자유민주주의를	자유/NNG+민주주의/NNG+를/JKO
강조하지만	강조/NNG+하/XSV+지만/EC
한국사	한국사/NNG
교과서	교과서/NNG
국정화가	국정/NNG+화/XSN+가/JKS
자유민주체제와	자유/NNG+민주/NNG+체제/NNG+와/JKB
어떻게	어떻/VA+게/EC
조화를	조화/NNG+를/JKO
이루는가에	이루/VV+는가/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
말이	말/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.243.13.2
이어 “일본 학자들이 ‘한국은 국정 교과서제를 채택하면서 어떻게 그보다 선진적인 검정제도를 채용하고 있는 일본의 역사 교과서를 비판할 수 있는가’라고 비판한다”며 검정 교과서 제도를 유지해야 한다고 강조했다.

이어	이어/MAG
“일본	“/SS+일본/NNP
학자들이	학자/NNG+들/XSN+이/JKS
‘한국은	‘/SS+한국/NNP+은/JX
국정	국정/NNG
교과서제를	교과서/NNG+제/XSN+를/JKO
채택하면서	채택/NNG+하/XSV+면서/EC
어떻게	어떻/VA+게/EC
그보다	그/NP+보다/JKB
선진적인	선진/NNG+적/XSN+이/VCP+ㄴ/ETM
검정제도를	검정/NNG+제도/NNG+를/JKO
채용하고	채용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
일본의	일본/NNP+의/JKG
역사	역사/NNG
교과서를	교과서/NNG+를/JKO
비판할	비판/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는가’라고	있/VA+는가/EF+’/SS+라고/JKQ
비판한다”며	비판/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
검정	검정/NNG
교과서	교과서/NNG
제도를	제도/NNG+를/JKO
유지해야	유지/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


