# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.240
metadata : {}


# id : NWRW1800000056.240.1.1
MBC·KBS 총파업 돌입

MBC·KBS	MBC/SL+·/SP+KBS/SL
업무로	업무/NNG+로/JKB
돌아올	돌아오/VV+ㄹ/ETM
것을	것/NNB+을/JKO
종용했다.	종용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.240.5.2
하지만 두 노조는 “경영진 사퇴가 먼저”라는 태도에서 물러서지 않았다.

하지만	하지만/MAJ
두	두/MMN
노조는	노조/NNG+는/JX
“경영진	“/SS+경영진/NNG
사퇴가	사퇴/NNG+가/JKS
먼저”라는	먼저/MAG+”/SS+이/VCP+라는/ETM
태도에서	태도/NNG+에서/JKB
물러서지	물러서/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.240.6.1
공영방송 관리감독 책무가 있는 방송통신위원회(방통위) 움직임에도 이목이 쏠린다.

공영방송	공영/NNG+방송/NNG
관리감독	관리/NNG+감독/NNG
책무가	책무/NNG+가/JKS
있는	있/VA+는/ETM
방송통신위원회(방통위)	방송/NNG+통신/NNG+위원회/NNG+(/SS+방통위/NNG+)/SS
움직임에도	움직임/NNG+에/JKB+도/JX
이목이	이목/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.240.6.2
방통위는 문화방송 대주주인 방송문화진흥회(방문진) 검사 등을 검토 중인 것으로 알려졌다.

방통위는	방통위/NNG+는/JX
문화방송	문화방송/NNP
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
방송문화진흥회(방문진)	방송/NNG+문화/NNG+진흥회/NNG+(/SS+방문진/NNG+)/SS
검사	검사/NNG
등을	등/NNB+을/JKO
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.240.7.1
한편, 김장겸 문화방송 사장의 체포영장 발부에 반발해 정기국회 일정을 전면 거부하고 있는 자유한국당은 이날도 “문재인 정부의 폭주하는 좌파 광풍”이라며 날을 세웠다.

한편,	한편/MAG+,/SP
김장겸	김장겸/NNP
문화방송	문화방송/NNP
사장의	사장/NNG+의/JKG
체포영장	체포/NNG+영장/NNG
발부에	발부/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
정기국회	정기/NNG+국회/NNG
일정을	일정/NNG+을/JKO
전면	전면/NNG
거부하고	거부/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
자유한국당은	자유한국당/NNP+은/JX
이날도	이날/NNG+도/JX
“문재인	“/SS+문재인/NNP
정부의	정부/NNG+의/JKG
폭주하는	폭주/NNG+하/XSV+는/ETM
좌파	좌파/NNG
광풍”이라며	광풍/NNG+”/SS+이/VCP+라며/EC
날을	날/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.240.7.2
정우택 원내대표는 “국회 일정 보이콧에는 변함이 없지만 (북한의 6차 핵실험 때문에) 초당적 안보 차원에서 국회 국방위원회 등 관련 상임위 참여 여부 등은 의원총회를 통해 결정할 예정”이라고 밝혔다.

정우택	정우택/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“국회	“/SS+국회/NNG
일정	일정/NNG
보이콧에는	보이콧/NNG+에/JKB+는/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없지만	없/VA+지만/EC
(북한의	(/SS+북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
때문에)	때문/NNB+에/JKB+)/SS
초당적	초당/NNG+적/XSN
안보	안보/NNG
차원에서	차원/NNG+에서/JKB
국회	국회/NNG
국방위원회	국방/NNG+위원회/NNG
등	등/NNB
관련	관련/NNG
상임위	상임위/NNG
참여	참여/NNG
여부	여부/NNG
등은	등/NNB+은/JX
의원총회를	의원/NNG+총회/NNG+를/JKO
통해	통하/VV+아/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


