# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.465
metadata : {}


# id : NWRW1800000024.465.1.1
‘치병 기적’ /이단시비·승리주의 벗으려면

‘치병	‘/SS+치병/NNG
다른 종교에 비해 ‘기복’과 이단 논란이 적었던 한국 가톨릭에서도 신유능력을 주장하는 한 인물을 둘러싼 논쟁이 뜨겁다.

다른	다른/MMD
종교에	종교/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
‘기복’과	‘/SS+기복/NNG+’/SS+과/JC
이단	이단/NNG
논란이	논란/NNG+이/JKS
적었던	적/VA+었/EP+던/ETM
한국	한국/NNP
가톨릭에서도	가톨릭/NNG+에서/JKB+도/JX
신유능력을	신유/NNG+능력/NNG+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
한	한/MMN
인물을	인물/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논쟁이	논쟁/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000024.465.7.2
1985년부터 자신이 모신 성모상이 눈물을 흘린다고 주장하며, 추종자들과 ‘마리아와 구원방주회’라는 단체를 조직해 전남 나주 성모동산에서 별도의 기념일을 정해 의식을 거행하며 기적수 등으로 사람들을 치료해온 윤율리아(63)씨를 둘러싼 논쟁이다.

1985년부터	1985/SN+년/NNB+부터/JX
자신이	자신/NNG+이/JKS
모신	모시/VV+ㄴ/ETM
성모상이	성모상/NNG+이/JKS
눈물을	눈물/NNG+을/JKO
흘린다고	흘리/VV+ㄴ다고/EC
주장하며,	주장/NNG+하/XSV+며/EC+,/SP
추종자들과	추종자/NNG+들/XSN+과/JC
‘마리아와	‘/SS+마리아/NNP+와/JC
구원방주회’라는	구원/NNG+방주회/NNG+’/SS+이/VCP+라는/ETM
단체를	단체/NNG+를/JKO
조직해	조직/NNG+하/XSV+아/EC
전남	전남/NNP
나주	나주/NNP
성모동산에서	성모/NNG+동산/NNG+에서/JKB
별도의	별도/NNG+의/JKG
기념일을	기념일/NNG+을/JKO
정해	정하/VV+아/EC
의식을	의식/NNG+을/JKO
거행하며	거행/NNG+하/XSV+며/EC
기적수	기적수/NNG
등으로	등/NNB+으로/JKB
사람들을	사람/NNG+들/XSN+을/JKO
치료해온	치료/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
윤율리아(63)씨를	윤율리아/NNP+(/SS+63/SN+)/SS+씨/NNB+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논쟁이다.	논쟁/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.465.7.3
광주대교구가 공개적으로 경고한 이 단체에 대해 최근엔 광주대교구 황양주 신부(봉선조봉본당 주임)가 광주가톨릭대학원에서 ‘나주 윤율리아와 연관된 일들에 대한 그리스도적 식별’이라는 제목으로 석사학위 논문을 발표했다.

광주대교구가	광주/NNP+대/XPN+교구/NNG+가/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
경고한	경고/NNG+하/XSV+ㄴ/ETM
이	이/MMD
단체에	단체/NNG+에/JKB
대해	대하/VV+아/EC
최근엔	최근/NNG+에/JKB+ㄴ/JX
광주대교구	광주/NNP+대/XPN+교구/NNG
황양주	황양주/NNP
신부(봉선조봉본당	신부/NNG+(/SS+봉선조봉본당/NNP
주임)가	주임/NNG+)/SS+가/JKS
광주가톨릭대학원에서	광주가톨릭대학원/NNP+에서/JKB
‘나주	‘/SS+나주/NNP
윤율리아와	윤율리아/NNP+와/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
일들에	일/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
그리스도적	그리스도/NNG+적/XSN
식별’이라는	식별/NNG+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
석사학위	석사/NNG+학위/NNG
논문을	논문/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.465.7.4
황 신부는 ‘기적이 어떻게 진짜인가를 알 것인가’라는 문제에 대해 “교회의 식별 전통에서는 ‘열매를 보고 나무를 안다’는 원리를 강조했다.

황	황/NNP
신부는	신부/NNG+는/JX
‘기적이	‘/SS+기적/NNG+이/JKS
어떻게	어떻/VA+게/EC
진짜인가를	진짜/NNG+이/VCP+ㄴ가/EF+를/JKO
알	알/VV+ㄹ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
“교회의	“/SS+교회/NNG+의/JKG
식별	식별/NNG
전통에서는	전통/NNG+에서/JKB+는/JX
‘열매를	‘/SS+열매/NNG+를/JKO
보고	보/VV+고/EC
나무를	나무/NNG+를/JKO
안다’는	알/VV+ㄴ다/EF+’/SS+는/ETM
원리를	원리/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.465.8.1
황 신부는 “(치유와 같은) 기적을 통해 신앙으로 들어가는 이들이 계속 기적을 바라는 유아기적 차원에 머물러 있는 게 문제”라며 “신앙을 성장시키는 게 종교지도자의 역할인데, 종교지도자들이 (기적을) 선교 수단으로만 여기는 게 문제점”이라고 말했다.

황	황/NNP
신부는	신부/NNG+는/JX
“(치유와	“/SS+(/SS+치유/NNG+와/JKB
같은)	같/VA+은/ETM+)/SS
기적을	기적/NNG+을/JKO
통해	통하/VV+아/EC
신앙으로	신앙/NNG+으로/JKB
들어가는	들어가/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
계속	계속/MAG
바라는	바라/VV+는/ETM
유아기적	유아기/NNG+적/XSN
차원에	차원/NNG+에/JKB
머물러	머무르/VV+어/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKS
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“신앙을	“/SS+신앙/NNG+을/JKO
성장시키는	성장/NNG+시키/XSV+는/ETM
종교지도자의	종교/NNG+지도자/NNG+의/JKG
역할인데,	역할/NNG+이/VCP+ㄴ데/EC+,/SP
종교지도자들이	종교/NNG+지도자/NNG+들/XSN+이/JKS
(기적을)	(/SS+기적/NNG+을/JKO+)/SS
선교	선교/NNG
수단으로만	수단/NNG+으로/JKB+만/JX
여기는	여기/VV+는/ETM
문제점”이라고	문제점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.465.8.2
황 신부는 또 “인간들은 눈에 드러나는 기적에 대해서만 호기심을 보이기 마련이지만 예수께선 추종자들이 계속 기적을 보여달라고 했을 때 (기적으로 악을 처단하는 대신) 자신이 십자가를 지고 죽음으로써 자신을 내주는 사랑을 보여주었다”고 덧붙였다.

황	황/NNP
신부는	신부/NNG+는/JX
또	또/MAG
“인간들은	“/SS+인간/NNG+들/XSN+은/JX
눈에	눈/NNG+에/JKB
드러나는	드러나/VV+는/ETM
기적에	기적/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
호기심을	호기심/NNG+을/JKO
보이기	보이/VV+기/ETN
마련이지만	마련/NNB+이/VCP+지만/EC
예수께선	예수/NNP+께서/JKS+ㄴ/JX
추종자들이	추종자/NNG+들/XSN+이/JKS
계속	계속/MAG
기적을	기적/NNG+을/JKO
보여달라고	보이/VV+어/EC+달/VX+라고/EC
했을	하/VV+았/EP+을/ETM
때	때/NNG
(기적으로	(/SS+기적/NNG+으로/JKB
악을	악/NNG+을/JKO
처단하는	처단/NNG+하/XSV+는/ETM
대신)	대신/NNG+)/SS
자신이	자신/NNG+이/JKS
십자가를	십자가/NNG+를/JKO
지고	지/VV+고/EC
죽음으로써	죽음/NNG+으로써/JKB
자신을	자신/NNG+을/JKO
내주는	내주/VV+는/ETM
사랑을	사랑/NNG+을/JKO
보여주었다”고	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.465.9.1
<기독교사상> 주간 한종호 목사는 “죽을병에 걸렸다가 나을 경우 치유 경험자는 이를 절대화해 그것에 갇힘으로써 다양한 신앙을 받아들이지 않는다”며 “간증이라는 이름으로 그것을 떠들고 다니기보다는 신비는 신비 차원에서 간직하면서 오히려 낫지 못하고 아픈 사람들도 보듬어주는 게 신앙인의 자세로 본다”고 말했다.

<기독교사상>	</SS+기독교/NNG+사상/NNG+>/SS
주간	주간/NNG
한종호	한종호/NNP
목사는	목사/NNG+는/JX
“죽을병에	“/SS+죽을병/NNG+에/JKB
걸렸다가	걸리/VV+었/EP+다가/EC
나을	낫/VV+을/ETM
경우	경우/NNG
치유	치유/NNG
경험자는	경험자/NNG+는/JX
이를	이/NP+를/JKO
절대화해	절대/NNG+화/XSN+하/XSV+아/EC
그것에	그것/NP+에/JKB
갇힘으로써	갇히/VV+ㅁ/ETN+으로써/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
신앙을	신앙/NNG+을/JKO
받아들이지	받아들이/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“간증이라는	“/SS+간증/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
그것을	그것/NP+을/JKO
떠들고	떠들/VV+고/EC
다니기보다는	다니/VV+기/ETN+보다/JKB+는/JX
신비는	신비/NNG+는/JX
신비	신비/NNG
차원에서	차원/NNG+에서/JKB
간직하면서	간직/NNG+하/XSV+면서/EC
오히려	오히려/MAG
낫지	낫/VV+지/EC
못하고	못하/VX+고/EC
아픈	아프/VA+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
보듬어주는	보듬/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
신앙인의	신앙인/NNG+의/JKG
자세로	자세/NNG+로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.465.10.1
‘기적’이라는 빛에 따르는 그늘은 체험자의 이단 시비만이 아니다.

‘기적’이라는	‘/SS+기적/NNG+’/SS+이/VCP+라는/ETM
빛에	빛/NNG+에/JKB
따르는	따르/VV+는/ETM
그늘은	그늘/NNG+은/JX
체험자의	체험자/NNG+의/JKG
이단	이단/NNG
시비만이	시비/NNG+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000024.465.10.2
믿으면 반드시 낫는다는 승리주의 간증 앞에서 어떤 기적도 무력하게 죽을 수밖에 없는 이들은 신앙의 패배주의자로 전락하고, 신에게서조차 버림받은 듯한 고통을 피하지 못한다.

믿으면	믿/VV+으면/EC
반드시	반드시/MAG
낫는다는	낫/VV+는다는/ETM
승리주의	승리/NNG+주의/NNG
간증	간증/NNG
앞에서	앞/NNG+에서/JKB
어떤	어떤/MMD
기적도	기적/NNG+도/JX
무력하게	무력/NNG+하/XSA+게/EC
죽을	죽/VV+을/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
이들은	이/NNB+들/XSN+은/JX
신앙의	신앙/NNG+의/JKG
패배주의자로	패배주의자/NNG+로/JKB
전락하고,	전락/NNG+하/XSV+고/EC+,/SP
신에게서조차	신/NNG+에게서/JKB+조차/JX
버림받은	버림받/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
고통을	고통/NNG+을/JKO
피하지	피하/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.465.11.1
그러면 병들어 모든 것을 신과 부처에게 의지하고 싶은 환자들은 과연 어떻게 해야 할까?

그러면	그러면/MAJ
병들어	병들/VV+어/EC
모든	모든/MMN
것을	것/NNB+을/JKO
신과	신/NNG+과/JC
부처에게	부처/NNP+에게/JKB
의지하고	의지/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
환자들은	환자/NNG+들/XSN+은/JX
과연	과연/MAG
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
할까?	하/VX+ㄹ까/EF+?/SF


# id : NWRW1800000024.465.11.2
최근 <의사 예수>(전나무숲 펴냄)라는 책을 쓴 경주길교회 김종성 목사는 “기도원에서 신유 체험으로 병을 나았다가도 얼마 안 있어 재발하는 경우가 많다”며 “병의 뿌리인 생활습관과 스트레스 문제가 해결되지 않으면 다시 병이 걸리게 되어 있다”고 말했다.

최근	최근/NNG
<의사	</SS+의사/NNG
예수>(전나무숲	예수/NNP+>/SS+(/SS+전나무숲/NNP
펴냄)라는	펴내/VV+ㅁ/ETN+)/SS+이/VCP+라는/ETM
책을	책/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
경주길교회	경주길교회/NNP
김종성	김종성/NNP
목사는	목사/NNG+는/JX
“기도원에서	“/SS+기도원/NNG+에서/JKB
신유	신유/NNG
체험으로	체험/NNG+으로/JKB
병을	병/NNG+을/JKO
나았다가도	낫/VV+았/EP+다가/EC+도/JX
얼마	얼마/NNG
안	안/MAG
있어	있/VV+어/EC
재발하는	재발/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“병의	“/SS+병/NNG+의/JKG
뿌리인	뿌리/NNG+이/VCP+ㄴ/ETM
생활습관과	생활/NNG+습관/NNG+과/JC
스트레스	스트레스/NNG
문제가	문제/NNG+가/JKS
해결되지	해결/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
다시	다시/MAG
병이	병/NNG+이/JKS
걸리게	걸리/VV+게/EC
되어	되/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


