# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.179
metadata : {}


# id : NWRW1800000021.179.1.1
경제자유구역내 일부지역 분양가 상한제 폐지 추진

경제자유구역내	경제/NNG+자유/NNG+구역/NNG+내/NNB
컨벤션센터와	컨벤션/NNG+센터/NNG+와/JC
외국인학교,	외국인/NNG+학교/NNG+,/SP
공연장	공연장/NNG
등을	등/NNB+을/JKO
주요	주요/NNG
대상	대상/NNG
시설로	시설/NNG+로/JKB
꼽고	꼽/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.179.3.3
국토부는 지금처럼 경제자유구역에 분양가 상한제가 일률 적용되면 외국 자본을 포함한 민간자금을 유치하기 힘들 것으로 보고 있다.

국토부는	국토부/NNG+는/JX
지금처럼	지금/NNG+처럼/JKB
경제자유구역에	경제/NNG+자유/NNG+구역/NNG+에/JKB
분양가	분양/NNG+가/XSN
상한제가	상한/NNG+제/XSN+가/JKS
일률	일률/NNG
적용되면	적용/NNG+되/XSV+면/EC
외국	외국/NNG
자본을	자본/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
민간자금을	민간/NNG+자금/NNG+을/JKO
유치하기	유치/NNG+하/XSV+기/ETN
힘들	힘들/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.179.4.1
그러나 경제자유구역에서 분양가 상한제가 폐지되고 민간택지에서는 종전처럼 적용되면 공공주택의 분양가가 민간주택보다 높아질 수도 있어 적지 않은 혼란이 일어날 수도 있다.

그러나	그러나/MAJ
경제자유구역에서	경제/NNG+자유/NNG+구역/NNG+에서/JKB
분양가	분양/NNG+가/XSN
상한제가	상한/NNG+제/XSN+가/JKS
폐지되고	폐지/NNG+되/XSV+고/EC
민간택지에서는	민간/NNG+택지/NNG+에서/JKB+는/JX
종전처럼	종전/NNG+처럼/JKB
적용되면	적용/NNG+되/XSV+면/EC
공공주택의	공공/NNG+주택/NNG+의/JKG
분양가가	분양/NNG+가/XSN+가/JKS
민간주택보다	민간/NNG+주택/NNG+보다/JKB
높아질	높아지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
적지	적/VA+지/EC
않은	않/VX+은/ETM
혼란이	혼란/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.179.4.2
민간택지 분양가 상한제 폐지 등을 포함하는 주택법 개정안은 현재 국회에 계류 중이다.

민간택지	민간/NNG+택지/NNG
분양가	분양/NNG+가/XSN
상한제	상한/NNG+제/XSN
폐지	폐지/NNG
등을	등/NNB+을/JKO
포함하는	포함/NNG+하/XSV+는/ETM
주택법	주택법/NNG
개정안은	개정안/NNG+은/JX
현재	현재/MAG
국회에	국회/NNG+에/JKB
계류	계류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.179.5.1
국토부 주택정책과 관계자는 “이번 개정안은 경제자유구역 내 국제업무지역 같은 외자유치 필요 지역이 대상이고 경제자유구역위원회가 분양가 상한제 폐지를 최종 결정해야 한다”며 “경제자유구역 전체를 대상으로 분양가 상한제가 폐지돼 부동산 시장에 혼란을 불러일으키는 일은 없을 것”이라고 말했다.

국토부	국토부/NNG
주택정책과	주택/NNG+정책과/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
개정안은	개정안/NNG+은/JX
경제자유구역	경제/NNG+자유/NNG+구역/NNG
내	내/NNB
국제업무지역	국제/NNG+업무/NNG+지역/NNG
같은	같/VA+은/ETM
외자유치	외자/NNG+유치/NNG
필요	필요/NNG
지역이	지역/NNG+이/JKS
대상이고	대상/NNG+이/VCP+고/EC
경제자유구역위원회가	경제/NNG+자유/NNG+구역/NNG+위원회/NNG+가/JKS
분양가	분양/NNG+가/XSN
상한제	상한/NNG+제/XSN
폐지를	폐지/NNG+를/JKO
최종	최종/NNG
결정해야	결정/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“경제자유구역	“/SS+경제/NNG+자유/NNG+구역/NNG
전체를	전체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
상한제가	상한/NNG+제/XSN+가/JKS
폐지돼	폐지/NNG+되/XSV+어/EC
부동산	부동산/NNG
시장에	시장/NNG+에/JKB
혼란을	혼란/NNG+을/JKO
불러일으키는	불러일으키/VV+는/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


