# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.281
metadata : {}


# id : NWRW1800000056.281.1.1
[유레카] 히딩크 논란 / 김창금

[유레카]	[/SS+유레카/NNG+]/SS
한 경기에 들어가는 중계권료를 경제규모로 나눈 항목에서 한국을 1로 보면, 영국(107)과 프랑스(100) 등 유럽의 주요 리그는 100 안팎이다.

한	한/MMN
경기에	경기/NNG+에/JKB
들어가는	들어가/VV+는/ETM
중계권료를	중계권료/NNG+를/JKO
경제규모로	경제/NNG+규모/NNG+로/JKB
나눈	나누/VV+ㄴ/ETM
항목에서	항목/NNG+에서/JKB
한국을	한국/NNP+을/JKO
1로	1/SN+로/JKB
보면,	보/VV+면/EC+,/SP
영국(107)과	영국/NNP+(/SS+107/SN+)/SS+과/JC
프랑스(100)	프랑스/NNP+(/SS+100/SN+)/SS
등	등/NNB
유럽의	유럽/NNP+의/JKG
주요	주요/NNG
리그는	리그/NNG+는/JX
100	100/SN
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.281.4.3
일본(21)과 중국(89)은 물론 한국보다 하위 리그로 평가받는 인도네시아(15)나 베트남(1.4)도 한국보다 높았다.

일본(21)과	일본/NNP+(/SS+21/SN+)/SS+과/JC
중국(89)은	중국/NNP+(/SS+89/SN+)/SS+은/JX
물론	물론/MAG
한국보다	한국/NNP+보다/JKB
하위	하위/NNG
리그로	리그/NNG+로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
인도네시아(15)나	인도네시아/NNP+(/SS+15/SN+)/SS+나/JC
베트남(1.4)도	베트남/NNP+(/SS+1/SN+./SP+4/SN+)/SS+도/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000056.281.4.4
크로아티아(0.89)만이 한국보다 낮았다.

크로아티아(0.89)만이	크로아티아/NNP+(/SS+0/SN+./SP+89/SN+)/SS+만/JX+이/JKS
한국보다	한국/NNP+보다/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000056.281.5.1
한국은 1983년 프로리그를 출범시켰지만 1인당 관중 지출(4.50달러)이나 평균 관중 수(7872명), 중계권료(530만달러)에서 최하위권이다.

한국은	한국/NNP+은/JX
1983년	1983/SN+년/NNB
프로리그를	프로/NNG+리그/NNG+를/JKO
출범시켰지만	출범/NNG+시키/XSV+었/EP+지만/EC
1인당	1/SN+인/NNG+당/XSN
관중	관중/NNG
지출(4.50달러)이나	지출/NNG+(/SS+4/SN+./SP+50/SN+달러/NNB+)/SS+이나/JC
평균	평균/NNG
수(7872명),	수/NNG+(/SS+7872/SN+명/NNB+)/SS+,/SP
중계권료(530만달러)에서	중계권료/NNG+(/SS+530/SN+만/NR+달러/NNB+)/SS+에서/JKB
최하위권이다.	최/XPN+하위/NNG+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.281.5.2
국내 프로야구의 중계권료(3150만달러)나 1인당 관중 지출(9.74달러)에도 크게 밀린다.

국내	국내/NNG
프로야구의	프로/NNG+야구/NNG+의/JKG
중계권료(3150만달러)나	중계권료/NNG+(/SS+3150/SN+만/NR+달러/NNB+)/SS+나/JC
1인당	1/SN+인/NNG+당/XSN
관중	관중/NNG
지출(9.74달러)에도	지출/NNG+(/SS+9/SN+./SP+74/SN+달러/NNB+)/SS+에/JKB+도/JX
크게	크/VA+게/EC
밀린다.	밀리/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.6.1
히딩크 감독은 월드컵 4강을 이뤘지만, 그때는 1년6개월간 팀을 소집할 수 있었다.

히딩크	히딩크/NNP
감독은	감독/NNG+은/JX
월드컵	월드컵/NNG
4강을	4/SN+강/NNB+을/JKO
이뤘지만,	이루/VV+었/EP+지만/EC+,/SP
그때는	그때/NNG+는/JX
1년6개월간	1/SN+년/NNB+6/SN+개월/NNB+간/XSN
팀을	팀/NNG+을/JKO
소집할	소집/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000056.281.6.2
지금은 그렇게 할 수 없다.

지금은	지금/NNG+은/JX
그렇게	그렇/VA+게/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.281.6.3
유소년 축구나 지도자들의 승부 지상주의 변화, 팬들의 K리그 지원 등이 국가대표를 강화한다.

유소년	유소년/NNG
축구나	축구/NNG+나/JC
지도자들의	지도자/NNG+들/XSN+의/JKG
승부	승부/NNG
지상주의	지상주의/NNG
변화,	변화/NNG+,/SP
팬들의	팬/NNG+들/XSN+의/JKG
K리그	K/SL+리그/NNG
지원	지원/NNG
등이	등/NNB+이/JKS
국가대표를	국가/NNG+대표/NNG+를/JKO
강화한다.	강화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.281.6.4
화타나 편작이 오기를 바랄 때 한국 축구는 후퇴한다.

화타나	화타/NNP+나/JC
편작이	편작/NNP+이/JKS
오기를	오/VV+기/ETN+를/JKO
바랄	바라/VV+ㄹ/ETM
때	때/NNG
한국	한국/NNP
축구는	축구/NNG+는/JX
후퇴한다.	후퇴/NNG+하/XSV+ㄴ다/EF+./SF


