# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.253
metadata : {}


# id : NWRW1800000037.253.1.1
대박 대호

대박	대/XPN+박/NNG
그만이다.	그만/MAG+이/VCP+다/EF+./SF


# id : NWRW1800000037.253.8.6
이대호의 최종 종착지는 일본 내 다른 구단일 수도 있고 메이저리그 팀일 수도 있다.

이대호의	이대호/NNP+의/JKG
최종	최종/NNG
종착지는	종착지/NNG+는/JX
일본	일본/NNP
내	내/NNB
다른	다른/MMD
구단일	구단/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX
있고	있/VA+고/EC
메이저리그	메이저리그/NNG
팀일	팀/NNG+이/VCP+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.253.9.1
일본 프로야구에서 맹활약한 이승엽(전 요미우리·삼성)과 임창용(전 야쿠르트·시카고 컵스) 등은 수백억 원을 벌어들이며 ‘야구 재벌’로 우뚝 섰다.

일본	일본/NNP
프로야구에서	프로/NNG+야구/NNG+에서/JKB
맹활약한	맹활약/NNG+하/XSV+ㄴ/ETM
이승엽(전	이승엽/NNP+(/SS+전/MMD
요미우리·삼성)과	요미우리/NNP+·/SP+삼성/NNP+)/SS+과/JC
임창용(전	임창용/NNP+(/SS+전/MMD
야쿠르트·시카고	야쿠르트/NNG+·/SP+시카고/NNP
컵스)	컵스/NNP+)/SS
등은	등/NNB+은/JX
수백억	수백억/NR
원을	원/NNB+을/JKO
벌어들이며	벌어들이/VV+며/EC
‘야구	‘/SS+야구/NNG
재벌’로	재벌/NNG+’/SS+로/JKB
우뚝	우뚝/MAG
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.253.9.2
다음은 이대호 차례다.

다음은	다음/NNG+은/JX
이대호	이대호/NNP
차례다.	차례/NNG+이/VCP+다/EF+./SF


