# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.63
metadata : {}


# id : NWRW1800000025.63.1.1
美, 위조방지 ‘100달러 신권’ 내달 첫선

美,	美/SH+,/SP
지폐	지폐/NNG
뒷면에	뒷면/NNG+에/JKB
새겨져	새기/VV+어/EC+지/VX+어/EC
있는	있/VX+는/ETM
‘우리는	‘/SS+우리/NP+는/JX
신을	신/NNG+을/JKO
믿는다(In	믿/VV+는다/EF+(/SS+In/SL
God	God/SL
We	We/SL
Trust)’라는	Trust/SL+)/SS+’/SS+이/VCP+라는/ETM
문구도	문구/NNG+도/JX
그대로	그대로/MAG
남을	남/VV+을/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.63.4.4
그 대신 위조를 막기 위해 디자인을 바꾸고 새로운 배경색을 넣는 방안도 강구하고 있는 것으로 알려졌다.

그	그/NP
대신	대신/NNG
위조를	위조/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
디자인을	디자인/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
배경색을	배경색/NNG+을/JKO
넣는	넣/VV+는/ETM
방안도	방안/NNG+도/JX
강구하고	강구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.63.5.1
재무부는 “화폐 위조범보다 한 걸음 앞서가고 대중을 보호하기 위해 지폐를 새로 디자인했다”고 밝혔다.

재무부는	재무부/NNG+는/JX
“화폐	“/SS+화폐/NNG
위조범보다	위조범/NNG+보다/JKB
한	한/MMN
걸음	걸음/NNG
앞서가고	앞서가/VV+고/EC
대중을	대중/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지폐를	지폐/NNG+를/JKO
새로	새로/MAG
디자인했다”고	디자인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.63.5.2
미 정부는 2003년부터 위조지폐 유통을 막기 위한 식별장치를 넣고 1905년 이후 처음으로 배경색을 넣은 5달러, 10달러, 20달러, 50달러짜리 신권을 잇달아 선보였다.

미	미/NNP
정부는	정부/NNG+는/JX
2003년부터	2003/SN+년/NNB+부터/JX
위조지폐	위조지폐/NNG
유통을	유통/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
식별장치를	식별/NNG+장치/NNG+를/JKO
넣고	넣/VV+고/EC
1905년	1905/SN+년/NNB
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
배경색을	배경색/NNG+을/JKO
넣은	넣/VV+은/ETM
5달러,	5/SN+달러/NNB+,/SP
10달러,	10/SN+달러/NNB+,/SP
20달러,	20/SN+달러/NNB+,/SP
50달러짜리	50/SN+달러/NNB+짜리/XSN
신권을	신권/NNG+을/JKO
잇달아	잇달/VV+아/EC
선보였다.	선보이/VV+었/EP+다/EF+./SF


