# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.227
metadata : {}


# id : NWRW1800000030.227.1.1
또 모래바람… 홍명보호는 뚫을 수 있을까

또	또/MAG
사우디·오만·카타르와	사우디/NNP+·/SP+오만/NNP+·/SP+카타르/NNP+와/JKB
함께	함께/MAG
A조에	A/SL+조/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
오만전	오만전/NNG
2대0	2/SN+대/NNB+0/SN
승리로	승리/NNG+로/JKB
조	조/NNG
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.227.5.2
사우디와 카타르가 각각 1무, 오만이 1패다.

사우디와	사우디/NNP+와/JC
카타르가	카타르/NNP+가/JKS
각각	각각/MAG
1무,	1/SN+무/NNB+,/SP
오만이	오만/NNP+이/JKS
1패다.	1/SN+패/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.227.5.3
최종 예선 조 1위가 런던올림픽 본선에 직행한다.

최종	최종/NNG
예선	예선/NNG
조	조/NNG
1위가	1/SN+위/NNB+가/JKS
런던올림픽	런던/NNP+올림픽/NNG
본선에	본선/NNG+에/JKB
직행한다.	직행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.227.5.4
각 조 2위를 차지한 세 팀은 플레이오프를 치러 승리한 한 팀이 아프리카지역 예선 4위 팀과 마지막 한 장의 런던행(行) 티켓을 놓고 대결한다.

각	각/MMD
조	조/NNG
2위를	2/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
세	세/MMN
팀은	팀/NNG+은/JX
플레이오프를	플레이오프/NNG+를/JKO
치러	치르/VV+어/EC
승리한	승리/NNG+하/XSV+ㄴ/ETM
한	한/MMN
팀이	팀/NNG+이/JKS
아프리카지역	아프리카지역/NNP
예선	예선/NNG
4위	4/SN+위/NNB
팀과	팀/NNG+과/JKB
마지막	마지막/NNG
장의	장/NNB+의/JKG
런던행(行)	런던행/NNG+(/SS+行/SH+)/SS
티켓을	티켓/NNG+을/JKO
놓고	놓/VV+고/EC
대결한다.	대결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.227.6.1
홍명보 감독은 17일 파주 NFC(국가대표팀 트레이닝센터)에서 소집훈련을 마친 뒤 "충분히 준비했지만 대부분 선수가 중동 원정 경험이 없어 걱정"이라고 밝혔다.

홍명보	홍명보/NNP
감독은	감독/NNG+은/JX
17일	17/SN+일/NNB
파주	파주/NNP
NFC(국가대표팀	NFC/SL+(/SS+국가/NNG+대표/NNG+팀/NNG
트레이닝센터)에서	트레이닝/NNG+센터/NNG+)/SS+에서/JKB
소집훈련을	소집/NNG+훈련/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
"충분히	"/SS+충분히/MAG
준비했지만	준비/NNG+하/XSV+았/EP+지만/EC
대부분	대/XPN+부분/NNG
선수가	선수/NNG+가/JKS
중동	중동/NNP
원정	원정/NNG
경험이	경험/NNG+이/JKS
없어	없/VA+어/EC
걱정"이라고	걱정/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.227.6.2
이날 발표된 카타르·사우디전 소집 명단(20명)을 보면 A대표팀에서 뛰는 홍정호(제주)·윤빛가람(경남)·서정진(전북)·홍철(성남)을 제외하고는 축구 팬들에게 낯익은 선수가 드물다.

이날	이날/NNG
발표된	발표/NNG+되/XSV+ㄴ/ETM
카타르·사우디전	카타르/NNP+·/SP+사우디전/NNG
소집	소집/NNG
명단(20명)을	명단/NNG+(/SS+20/SN+명/NNB+)/SS+을/JKO
보면	보/VV+면/EC
A대표팀에서	A/SL+대표/NNG+팀/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
홍정호(제주)·윤빛가람(경남)·서정진(전북)·홍철(성남)을	홍정호/NNP+(/SS+제주/NNP+)/SS+·/SP+윤빛가람/NNP+(/SS+경남/NNP+)/SS+·/SP+서정진/NNP+(/SS+전북/NNP+)/SS+·/SP+홍철/NNP+(/SS+성남/NNP+)/SS+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
축구	축구/NNG
팬들에게	팬/NNG+들/XSN+에게/JKB
낯익은	낯익/VA+은/ETM
선수가	선수/NNG+가/JKS
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000030.227.7.1
평소 홍명보 감독은 "뾰족한 수가 없다"며 멤버 구성에 대한 어려움을 토로한 바 있다.

평소	평소/NNG
홍명보	홍명보/NNP
감독은	감독/NNG+은/JX
"뾰족한	"/SS+뾰족/MAG+하/XSA+ㄴ/ETM
수가	수/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
멤버	멤버/NNG
구성에	구성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
토로한	토로/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.227.7.2
올림픽 팀 경기는 FIFA(국제축구연맹)가 정한 A매치에 해당하지 않기 때문에 프로팀이 선수 차출에 응할 의무가 없다.

올림픽	올림픽/NNG
팀	팀/NNG
경기는	경기/NNG+는/JX
FIFA(국제축구연맹)가	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS+가/JKS
정한	정하/VV+ㄴ/ETM
A매치에	A/SL+매치/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
프로팀이	프로/NNG+팀/NNG+이/JKS
선수	선수/NNG
차출에	차출/NNG+에/JKB
응할	응하/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.227.8.1
이 때문에 기성용(셀틱)·구자철(볼프스부르크)·지동원(선덜랜드)·남태희(발랑시엔)·손흥민(함부르크) 등 내년을 기준으로 23세 이하의 유럽파 선수들은 올림픽 최종 예선에 나서기 어렵다.

이	이/NP
때문에	때문/NNB+에/JKB
기성용(셀틱)·구자철(볼프스부르크)·지동원(선덜랜드)·남태희(발랑시엔)·손흥민(함부르크)	기성용/NNP+(/SS+셀틱/NNP+)/SS+·/SP+구자철/NNP+(/SS+볼프스부르크/NNP+)/SS+·/SP+지동원/NNP+(/SS+선덜랜드/NNP+)/SS+·/SP+남태희/NNP+(/SS+발랑시엔/NNP+)/SS+·/SP+손흥민/NNP+(/SS+함부르크/NNP+)/SS
등	등/NNB
내년을	내년/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
23세	23/SN+세/NNB
이하의	이하/NNG+의/JKG
유럽파	유럽파/NNG
선수들은	선수/NNG+들/XSN+은/JX
올림픽	올림픽/NNG
최종	최종/NNG
예선에	예선/NNG+에/JKB
나서기	나서/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000030.227.8.2
김보경(세레소 오사카)·조영철(니가타) 등 일본 J리그에서 뛰는 국가대표급 선수들도 시즌이 아직 끝나지 않아 이번 소집 명단에 들지 못했다.

김보경(세레소	김보경/NNP+(/SS+세레소/NNP
오사카)·조영철(니가타)	오사카/NNP+)/SS+·/SP+조영철/NNP+(/SS+니가타/NNP+)/SS
등	등/NNB
일본	일본/NNP
J리그에서	J/SL+리그/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
국가대표급	국가/NNG+대표급/NNG
선수들도	선수/NNG+들/XSN+도/JX
시즌이	시즌/NNG+이/JKS
아직	아직/MAG
끝나지	끝나/VV+지/EC
않아	않/VX+아/EC
이번	이번/NNG
소집	소집/NNG
명단에	명단/NNG+에/JKB
들지	들/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.227.9.1
홍명보 감독은 이 위기를 탄탄한 팀워크로 돌파할 생각이다.

홍명보	홍명보/NNP
감독은	감독/NNG+은/JX
이	이/MMD
위기를	위기/NNG+를/JKO
탄탄한	탄탄하/VA+ㄴ/ETM
팀워크로	팀워크/NNG+로/JKB
돌파할	돌파/NNG+하/XSV+ㄹ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.227.9.2
올림픽 팀은 카타르·사우디전을 앞두고 지난 4일부터 남해와 창원에서 강도 높은 전지훈련을 소화했다.

올림픽	올림픽/NNG
팀은	팀/NNG+은/JX
카타르·사우디전을	카타르/NNP+·/SP+사우디전/NNG+을/JKO
앞두고	앞두/VV+고/EC
지난	지나/VV+ㄴ/ETM
4일부터	4/SN+일/NNB+부터/JX
남해와	남해/NNP+와/JC
창원에서	창원/NNP+에서/JKB
강도	강도/NNG
높은	높/VA+은/ETM
전지훈련을	전지훈련/NNG+을/JKO
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.227.9.3
홍 감독은 "지난 2주간은 조직력을 만드는 소중한 시간이었다"며 "선수들 모두 자신의 역할을 충분히 인식했다"고 말했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
2주간은	2/SN+주/NNB+간/XSN+은/JX
조직력을	조직력/NNG+을/JKO
만드는	만들/VV+는/ETM
소중한	소중하/VA+ㄴ/ETM
시간이었다"며	시간/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"선수들	"/SS+선수/NNG+들/XSN
모두	모두/MAG
자신의	자신/NNG+의/JKG
역할을	역할/NNG+을/JKO
충분히	충분히/MAG
인식했다"고	인식/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.227.9.4
백성동(연세대)과 윤일록(경남) 등 올해 콜롬비아 U-20 월드컵에 출전했던 신예들이 대표팀에 활기를 불어넣고 있다.

백성동(연세대)과	백성동/NNP+(/SS+연세대/NNP+)/SS+과/JC
윤일록(경남)	윤일록/NNP+(/SS+경남/NNP+)/SS
등	등/NNB
올해	올해/NNG
콜롬비아	콜롬비아/NNP
U-20	U/SL+-/SO+20/SN
월드컵에	월드컵/NNG+에/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
신예들이	신예/NNG+들/XSN+이/JKS
대표팀에	대표/NNG+팀/NNG+에/JKB
활기를	활기/NNG+를/JKO
불어넣고	불어넣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.227.10.1
홍명보 감독은 지난 16일 창원에서 올라온 선수단 전원에게 반나절의 휴가를 줬다.

홍명보	홍명보/NNP
감독은	감독/NNG+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
창원에서	창원/NNP+에서/JKB
올라온	올라오/VV+ㄴ/ETM
선수단	선수단/NNG
전원에게	전원/NNG+에게/JKB
반나절의	반나절/NNG+의/JKG
휴가를	휴가/NNG+를/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.227.10.2
새로 합류하는 A대표 4명에 밀려 전지훈련을 함께하고도 소집 명단에 결국 이름을 올리지 못한 선수들을 위한 배려였다.

새로	새로/MAG
합류하는	합류/NNG+하/XSV+는/ETM
A대표	A/SL+대표/NNG
4명에	4/SN+명/NNB+에/JKB
밀려	밀리/VV+어/EC
전지훈련을	전지훈련/NNG+을/JKO
함께하고도	함께/MAG+하/XSV+고/EC+도/JX
소집	소집/NNG
명단에	명단/NNG+에/JKB
결국	결국/MAG
이름을	이름/NNG+을/JKO
올리지	올리/VV+지/EC
못한	못하/VX+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
배려였다.	배려/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.227.10.3
홍 감독은 "2주간 함께 땀 흘린 친구들이 파주 NFC에서 짐을 싸서 나가는 모습을 보이는 것보다 다시 모일 때 자연스럽게 빠지는 것이 좋다고 판단했다"며 "이들을 생각해서라도 더 열심히 뛰라고 선수들에게 강조했다"고 말했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
"2주간	"/SS+2/SN+주/NNB+간/XSN
함께	함께/MAG
땀	땀/NNG
흘린	흘리/VV+ㄴ/ETM
친구들이	친구/NNG+들/XSN+이/JKS
파주	파주/NNP
NFC에서	NFC/SL+에서/JKB
짐을	짐/NNG+을/JKO
싸서	싸/VV+아서/EC
나가는	나가/VV+는/ETM
모습을	모습/NNG+을/JKO
보이는	보이/VV+는/ETM
것보다	것/NNB+보다/JKB
다시	다시/MAG
모일	모이/VV+ㄹ/ETM
때	때/NNG
자연스럽게	자연/NNG+스럽/XSA+게/EC
빠지는	빠지/VV+는/ETM
것이	것/NNB+이/JKS
좋다고	좋/VA+다고/EC
판단했다"며	판단/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"이들을	"/SS+이/NP+들/XSN+을/JKO
생각해서라도	생각/NNG+하/XSV+아서/EC+라도/JX
더	더/MAG
열심히	열심히/MAG
뛰라고	뛰/VV+라고/EC
선수들에게	선수/NNG+들/XSN+에게/JKB
강조했다"고	강조/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


