# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.103
metadata : {}


# id : NWRW1800000024.103.1.1
10년이상 노후차 바꿀때 세금70% 감면

10년이상	10/SN+년/NNB+이상/NNG
조성하고,	조성/NNG+하/XSV+고/EC+,/SP
산업은행	산업은행/NNP
등	등/NNB
기관투자가를	기관/NNG+투자가/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
1조원	1/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
부품소재	부품/NNG+소재/NNG
인수·합병	인수/NNG+·/SP+합병/NNG
펀드를	펀드/NNG+를/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.103.6.1
이밖에 국산 자동차들의 연비를 해마다 5%씩 높인다는 목표를 세우고, 신기술 개발자금 지원 재원을 마련한 뒤 하이브리드차 등 친환경차 핵심 기술을 개발하려는 기업에 연구·개발(R&D) 자금을 싼 이자로 빌려주는 방안도 이번 대책에 포함됐다.

이밖에	이/NP+밖/NNG+에/JKB
국산	국산/NNG
자동차들의	자동차/NNG+들/XSN+의/JKG
연비를	연비/NNG+를/JKO
해마다	해마다/MAG
5%씩	5/SN+%/SW+씩/XSN
높인다는	높이/VV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
세우고,	세우/VV+고/EC+,/SP
신기술	신/XPN+기술/NNG
개발자금	개발/NNG+자금/NNG
지원	지원/NNG
재원을	재원/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
하이브리드차	하이브리드/NNG+차/NNG
등	등/NNB
친환경차	친/XPN+환경/NNG+차/NNG
핵심	핵심/NNG
기술을	기술/NNG+을/JKO
개발하려는	개발/NNG+하/XSV+려는/ETM
기업에	기업/NNG+에/JKB
연구·개발(R&D)	연구/NNG+·/SP+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
자금을	자금/NNG+을/JKO
싼	싸/VA+ㄴ/ETM
이자로	이자/NNG+로/JKB
빌려주는	빌려주/VV+는/ETM
방안도	방안/NNG+도/JX
이번	이번/NNG
대책에	대책/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.103.7.1
이동관 청와대 대변인은 “이번 자동차산업 지원대책은 세계무역기구(WTO) 규정에 위배되지 않도록 철저히 검증했으며, 이산화탄소 배출 감축과 일자리 창출이라는 두 마리 토끼를 잡기 위한 방안”이라고 설명했다.

이동관	이동관/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
“이번	“/SS+이번/NNG
자동차산업	자동차/NNG+산업/NNG
지원대책은	지원/NNG+대책/NNG+은/JX
세계무역기구(WTO)	세계무역기구/NNP+(/SS+WTO/SL+)/SS
규정에	규정/NNG+에/JKB
위배되지	위배/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
철저히	철저히/MAG
검증했으며,	검증/NNG+하/XSV+았/EP+으며/EC+,/SP
이산화탄소	이산화/NNG+탄소/NNG
배출	배출/NNG
감축과	감축/NNG+과/JC
일자리	일자리/NNG
창출이라는	창출/NNG+이/VCP+라는/ETM
두	두/MMN
마리	마리/NNB
토끼를	토끼/NNG+를/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방안”이라고	방안/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.103.8.1
한편, 정부는 이런 지원방안을 자동차업계 노사관계 변화와 연계할 뜻을 비쳐 논란이 예상된다.

한편,	한편/MAG+,/SP
정부는	정부/NNG+는/JX
이런	이런/MMD
지원방안을	지원/NNG+방안/NNG+을/JKO
자동차업계	자동차업/NNG+계/XSN
노사관계	노사/NNG+관계/NNG
변화와	변화/NNG+와/JKB
연계할	연계/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
비쳐	비치/VV+어/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.103.8.2
이명박 대통령은 이날 “정부 지원에 앞서 자동차업계 노사가 먼저 고통분담을 통한 자구노력을 기울여야 한다”고 강조했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
“정부	“/SS+정부/NNG
지원에	지원/NNG+에/JKB
앞서	앞서/VV+어/EC
자동차업계	자동차업/NNG+계/XSN
노사가	노사/NNG+가/JKS
먼저	먼저/MAG
고통분담을	고통/NNG+분담/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
자구노력을	자구/NNG+노력/NNG+을/JKO
기울여야	기울이/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.103.8.3
특히 이윤호 지식경제부 장관은 “현대·기아차 쪽에서 노사관계를 선진화하겠다는 뭔가 합의라도 나와야 한다”고 말해, 정부 지원을 대가로 현대·기아차 노조에 임금 및 근로조건 양보를 압박할 것임을 예고했다.

특히	특히/MAG
이윤호	이윤호/NNP
지식경제부	지식/NNG+경제부/NNG
장관은	장관/NNG+은/JX
“현대·기아차	“/SS+현대/NNP+·/SP+기아차/NNP
쪽에서	쪽/NNB+에서/JKB
노사관계를	노사/NNG+관계/NNG+를/JKO
선진화하겠다는	선진/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
뭔가	뭐/NP+이/VCP+ㄴ가/EF
합의라도	합의/NNG+이/VCP+라도/EC
나와야	나오/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말해,	말/NNG+하/XSV+아/EC+,/SP
정부	정부/NNG
지원을	지원/NNG+을/JKO
대가로	대가/NNG+로/JKB
현대·기아차	현대/NNP+·/SP+기아차/NNP
노조에	노조/NNG+에/JKB
임금	임금/NNG
및	및/MAG
근로조건	근로/NNG+조건/NNG
양보를	양보/NNG+를/JKO
압박할	압박/NNG+하/XSV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


