# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.306
metadata : {}


# id : NWRW1800000049.306.1.1
中 “기어코 쏜다면 제지못해”… 우다웨이 방북 빈손 될수도

中	中/SH
북한이 중국의 사전 양해를 구하는 ‘의전’을 갖췄더라도 문제가 간단치 않지만 우 대표가 북한에 뒤통수를 맞은 것이라면 향후 양국 관계 악화의 새로운 불씨가 되기에 충분하다.

북한이	북한/NNP+이/JKS
중국의	중국/NNP+의/JKG
사전	사전/NNG
양해를	양해/NNG+를/JKO
구하는	구하/VV+는/ETM
‘의전’을	‘/SS+의전/NNG+’/SS+을/JKO
갖췄더라도	갖추/VV+었/EP+더라도/EC
문제가	문제/NNG+가/JKS
간단치	간단하/VA+지/EC
않지만	않/VX+지만/EC
우	우/NNP
대표가	대표/NNG+가/JKS
북한에	북한/NNP+에/JKB
뒤통수를	뒤통수/NNG+를/JKO
맞은	맞/VV+은/ETM
것이라면	것/NNB+이/VCP+라면/EC
향후	향후/NNG
양국	양국/NNG
관계	관계/NNG
악화의	악화/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
불씨가	불씨/NNG+가/JKC
되기에	되/VV+기/ETN+에/JKB
충분하다.	충분하/VA+다/EF+./SF


# id : NWRW1800000049.306.5.1
북한이 우 대표를 평양에 불러놓은 채 핵 보유를 기정사실화하는 공개 메시지를 보내는 것도 베이징을 자극하고 있다.

북한이	북한/NNP+이/JKS
우	우/NNP
대표를	대표/NNG+를/JKO
평양에	평양/NNP+에/JKB
불러놓은	부르/VV+어/EC+놓/VX+은/ETM
채	채/NNB
핵	핵/NNG
보유를	보유/NNG+를/JKO
기정사실화하는	기정사실/NNG+화/XSN+하/XSV+는/ETM
공개	공개/NNG
메시지를	메시지/NNG+를/JKO
보내는	보내/VV+는/ETM
것도	것/NNB+도/JX
베이징을	베이징/NNP+을/JKO
자극하고	자극/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.306.5.2
북한은 우 대표가 평양에 도착한 다음 날인 3일 노동신문을 통해 “미국을 비롯한 서방의 군사적 공격을 받은 유고슬라비아와 이라크 리비아의 비극적인 실례들을 놓고 볼 때 조선의 핵 보유는 아주 정당하다”고 주장했다.

북한은	북한/NNP+은/JX
우	우/NNP
대표가	대표/NNG+가/JKS
평양에	평양/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
3일	3/SN+일/NNB
노동신문을	노동신문/NNP+을/JKO
통해	통하/VV+아/EC
“미국을	“/SS+미국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
서방의	서방/NNG+의/JKG
군사적	군사/NNG+적/XSN
공격을	공격/NNG+을/JKO
받은	받/VV+은/ETM
유고슬라비아와	유고슬라비아/NNP+와/JC
이라크	이라크/NNP
리비아의	리비아/NNP+의/JKG
비극적인	비극/NNG+적/XSN+이/VCP+ㄴ/ETM
실례들을	실례/NNG+들/XSN+을/JKO
놓고	놓/VV+고/EC
볼	보/VX+ㄹ/ETM
때	때/NNG
조선의	조선/NNP+의/JKG
핵	핵/NNG
보유는	보유/NNG+는/JX
아주	아주/MAG
정당하다”고	정당하/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.6.1
루 대변인은 이달 8일 이후 ‘광명성 위성’ 발사를 예고한 북한에 대해 국제사회가 더욱 엄격한 제재를 가해야 한다는 주장에 대한 질의를 받고 “중국은 조선의 핵실험과 관련해 즉각 반대한다는 입장을 표명한 바 있다”고 확인했다.

루	루/NNP
대변인은	대변인/NNG+은/JX
이달	이달/NNG
8일	8/SN+일/NNB
이후	이후/NNG
‘광명성	‘/SS+광명성/NNP
위성’	위성/NNG+’/SS
발사를	발사/NNG+를/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
북한에	북한/NNP+에/JKB
대해	대하/VV+아/EC
국제사회가	국제/NNG+사회/NNG+가/JKS
더욱	더욱/MAG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
가해야	가하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
주장에	주장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
질의를	질의/NNG+를/JKO
받고	받/VV+고/EC
“중국은	“/SS+중국/NNP+은/JX
조선의	조선/NNP+의/JKG
핵실험과	핵/NNG+실험/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
즉각	즉각/MAG
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.6.2
지난달 6일 북한의 4차 핵실험 다음 날 성명을 내고 “결연히 반대한다”는 성명을 낸 사실을 상기시킨 것이다.

지난달	지난달/NNG
6일	6/SN+일/NNB
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
다음	다음/NNG
날	날/NNG
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
“결연히	“/SS+결연히/MAG
반대한다”는	반대/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
낸	내/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
상기시킨	상기/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.306.6.3
그는 또 “조선은 확실히 유관국가의 뺨을 때린 것이 맞다.

그는	그/NP+는/JX
또	또/MAG
“조선은	“/SS+조선/NNP+은/JX
확실히	확실히/MAG
유관국가의	유관/NNG+국가/NNG+의/JKG
뺨을	뺨/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
것이	것/NNB+이/JKS
맞다.	맞/VV+다/EF+./SF


# id : NWRW1800000049.306.6.4
그 뺨이 누구의 얼굴인지 그 누군가는 명확하게 알 것”이라는 이례적인 발언을 내놓기도 했다.

그	그/MMD
뺨이	뺨/NNG+이/JKS
누구의	누구/NP+의/JKG
얼굴인지	얼굴/NNG+이/VCP+ㄴ지/EC
누군가는	누구/NP+이/VCP+ㄴ가/EF+는/JX
명확하게	명확하/VA+게/EC
알	알/VV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
발언을	발언/NNG+을/JKO
내놓기도	내놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.306.7.1
하지만 북한과 중국 관영 매체를 통해 전해지는 우 대표의 방북은 외견상 평온해 보인다.

하지만	하지만/MAJ
북한과	북한/NNP+과/JC
중국	중국/NNP
관영	관영/NNG
매체를	매체/NNG+를/JKO
통해	통하/VV+아/EC
전해지는	전하/VV+아/EC+지/VX+는/ETM
우	우/NNP
대표의	대표/NNG+의/JKG
방북은	방북/NNG+은/JX
외견상	외견/NNG+상/XSN
평온해	평온/NNG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.306.7.2
우 대표는 3일 평양에 있는 김일성·김정일 동상을 찾았다고 북한 조선중앙통신이 이날 보도했다.

우	우/NNP
대표는	대표/NNG+는/JX
3일	3/SN+일/NNB
평양에	평양/NNP+에/JKB
있는	있/VA+는/ETM
김일성·김정일	김일성/NNP+·/SP+김정일/NNP
동상을	동상/NNG+을/JKO
찾았다고	찾/VV+았/EP+다고/EC
북한	북한/NNP
조선중앙통신이	조선중앙통신/NNP+이/JKS
이날	이날/NNG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.7.3
앞서 우 대표는 2일 평양공항에 도착해 박성일 북한 외무성 미주국 부국장 등의 영접을 받았다.

앞서	앞서/MAG
우	우/NNP
대표는	대표/NNG+는/JX
2일	2/SN+일/NNB
평양공항에	평양공항/NNP+에/JKB
도착해	도착/NNG+하/XSV+아/EC
박성일	박성일/NNP
북한	북한/NNP
외무성	외무성/NNG
미주국	미주국/NNP
부국장	부국장/NNG
등의	등/NNB+의/JKG
영접을	영접/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.8.1
우 대표가 사전 통보를 받았는지를 떠나 이번 방북 일정의 큰 목표는 장거리 미사일 발사를 자제시키는 데 모아질 것이 분명하다.

우	우/NNP
대표가	대표/NNG+가/JKS
사전	사전/NNG
통보를	통보/NNG+를/JKO
받았는지를	받/VV+았/EP+는지/EF+를/JKO
떠나	떠나/VV+아/EC
이번	이번/NNG
방북	방북/NNG
일정의	일정/NNG+의/JKG
큰	크/VA+ㄴ/ETM
목표는	목표/NNG+는/JX
장거리	장거리/NNG
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
자제시키는	자제/NNG+시키/XSV+는/ETM
데	데/NNB
모아질	모으/VV+아/EC+지/VX+ㄹ/ETM
것이	것/NNB+이/JKS
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000049.306.8.2
주펑(朱鋒) 베이징대 국제관계학원 교수는 3일 동아일보와의 통화에서 “우 대표의 방북은 ‘설득 외교의 길’이 될 것”이라며 “설득 외교가 실패할 경우 중국에도 큰 영향을 미칠 것”이라고 말했다.

주펑(朱鋒)	주펑/NNP+(/SS+朱鋒/SH+)/SS
베이징대	베이징대/NNP
국제관계학원	국제/NNG+관계/NNG+학원/NNG
교수는	교수/NNG+는/JX
3일	3/SN+일/NNB
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“우	“/SS+우/NNP
대표의	대표/NNG+의/JKG
방북은	방북/NNG+은/JX
‘설득	‘/SS+설득/NNG
외교의	외교/NNG+의/JKG
길’이	길/NNG+’/SS+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“설득	“/SS+설득/NNG
외교가	외교/NNG+가/JKS
실패할	실패/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
중국에도	중국/NNP+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.8.3
그와 북측 외교 당국자들의 회담에선 4차 핵실험에 대한 유엔 안전보장이사회 결의안 수위와 미사일 발사 실험 문제를 놓고 격론이 오갔을 것으로 추정된다.

그와	그/NP+와/JKB
북측	북측/NNG
외교	외교/NNG
당국자들의	당국자/NNG+들/XSN+의/JKG
회담에선	회담/NNG+에서/JKB+ㄴ/JX
4차	4/SN+차/NNB
핵실험에	핵/NNG+실험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
유엔	유엔/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
결의안	결의안/NNG
수위와	수위/NNG+와/JC
미사일	미사일/NNG
발사	발사/NNG
실험	실험/NNG
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
격론이	격론/NNG+이/JKS
오갔을	오가/VV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.306.8.4
우 대표는 김계관 제1부상, 6자회담 수석대표인 이용호 부상 등 북한 외무성 고위 관리들과 만날 예정인 것으로 알려졌다.

우	우/NNP
대표는	대표/NNG+는/JX
김계관	김계관/NNP
제1부상,	제/XPN+1/SN+부상/NNG+,/SP
6자회담	6/SN+자/NNB+회담/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
이용호	이용호/NNP
부상	부상/NNG
등	등/NNB
북한	북한/NNP
외무성	외무성/NNG
고위	고위/NNG
관리들과	관리/NNG+들/XSN+과/JKB
만날	만나/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.306.8.5
그가 김정은 노동당 제1비서를 만날 가능성은 낮아 보인다.

그가	그/NP+가/JKS
김정은	김정은/NNP
노동당	노동당/NNP
제1비서를	제/XPN+1/SN+비서/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
낮아	낮/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.306.9.1
2003년 이후 6자회담을 통해 북한 핵 문제 해결의 간사국 역할을 자임했던 중국은 북한의 핵실험과 장거리 미사일 발사 실험으로 영향력 부재를 드러낸 것에 당혹감을 감추지 못하고 있다.

2003년	2003/SN+년/NNB
이후	이후/NNG
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
통해	통하/VV+아/EC
북한	북한/NNP
핵	핵/NNG
문제	문제/NNG
해결의	해결/NNG+의/JKG
간사국	간사국/NNG
역할을	역할/NNG+을/JKO
자임했던	자임/NNG+하/XSV+았/EP+던/ETM
중국은	중국/NNP+은/JX
북한의	북한/NNP+의/JKG
핵실험과	핵/NNG+실험/NNG+과/JC
장거리	장거리/NNG
미사일	미사일/NNG
발사	발사/NNG
실험으로	실험/NNG+으로/JKB
영향력	영향력/NNG
부재를	부재/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
것에	것/NNB+에/JKB
당혹감을	당혹감/NNG+을/JKO
감추지	감추/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.306.9.2
루 대변인도 “북한이 기어코 위성 발사를 하려 한다면 우리는 제지할 수 없다”고 말했다.

루	루/NNP
대변인도	대변인/NNG+도/JX
“북한이	“/SS+북한/NNP+이/JKS
기어코	기어코/MAG
위성	위성/NNG
발사를	발사/NNG+를/JKO
하려	하/VV+려/EC
한다면	하/VX+ㄴ다면/EC
우리는	우리/NP+는/JX
제지할	제지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.306.9.3
우 대표가 방북까지 하고도 장거리 미사일 발사를 막지 못할 경우 미국과 일본, 한국 등 주변국의 빈축을 살 것이 분명하다.

우	우/NNP
대표가	대표/NNG+가/JKS
방북까지	방북/NNG+까지/JX
하고도	하/VV+고/EC+도/JX
장거리	장거리/NNG
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
막지	막/VV+지/EC
못할	못하/VX+ㄹ/ETM
경우	경우/NNG
미국과	미국/NNP+과/JC
일본,	일본/NNP+,/SP
한국	한국/NNP
등	등/NNB
주변국의	주변국/NNG+의/JKG
빈축을	빈축/NNG+을/JKO
살	사/VV+ㄹ/ETM
것이	것/NNB+이/JKS
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000049.306.9.4
우 대표가 빈손으로 평양을 떠난 뒤 북한이 마치 그를 통해 중국의 양해를 얻은 것처럼 홍보할 가능성도 있다.

우	우/NNP
대표가	대표/NNG+가/JKS
빈손으로	빈손/NNG+으로/JKB
평양을	평양/NNP+을/JKO
떠난	떠나/VV+ㄴ/ETM
뒤	뒤/NNG
북한이	북한/NNP+이/JKS
마치	마치/MAG
그를	그/NP+를/JKO
통해	통하/VV+아/EC
중국의	중국/NNP+의/JKG
양해를	양해/NNG+를/JKO
얻은	얻/VV+은/ETM
것처럼	것/NNB+처럼/JKB
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.306.9.5
중국의 대북 핵외교가 시험대에 올라 있다.

중국의	중국/NNP+의/JKG
대북	대북/NNG
핵외교가	핵/NNG+외교/NNG+가/JKS
시험대에	시험대/NNG+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


