# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.161
metadata : {}


# id : NWRW1800000041.161.1.1
대장은 오고… 마왕은 가고…

대장은	대장/NNG+은/JX
김추자부터	김추자/NNP+부터/JX
god,	god/SL+,/SP
서태지,	서태지/NNP+,/SP
MC몽,	MC몽/NNP+,/SP
양희은,	양희은/NNP+,/SP
한영애,	한영애/NNP+,/SP
토이까지	토이/NNP+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
연령대의	연령대/NNG+의/JKG
가수가	가수/NNG+가/JKS
오랜만에	오랜만/NNG+에/JKB
돌아오기도	돌아오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.161.3.7
전문가들과 올해의 멜로디, 올해의 가사, 올해의 귀환, 올해의 순간을 돌아봤다.》

전문가들과	전문가/NNG+들/XSN+과/JKB
올해의	올해/NNG+의/JKG
멜로디,	멜로디/NNG+,/SP
가사,	가사/NNG+,/SP
귀환,	귀환/NNG+,/SP
순간을	순간/NNG+을/JKO
돌아봤다.》	돌아보/VV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000041.161.4.1
○ ‘내꺼인 듯 내꺼 아닌 내꺼 같은’

○	○/SW
‘내꺼인	‘/SS+나/NP+의/JKG+꺼/NNB+이/VCP+ㄴ/ETM
듯	듯/NNB
내꺼	나/NP+의/JKG+꺼/NNB
아닌	아니/VCN+ㄴ/ETM
같은’	같/VA+은/ETM+’/SS


# id : NWRW1800000041.161.5.1
도부터 시까지, 계이름은 12개이지만 올해도 1200개, 12만 개, 아니 그보다 많은 멜로디가 작곡가들의 머리에서 나와 세상 밖으로 쏟아져 내렸다.

도부터	도/NNG+부터/JX
시까지,	시/NNG+까지/JX+,/SP
계이름은	계이름/NNG+은/JX
12개이지만	12/SN+개/NNB+이/VCP+지만/EC
올해도	올해/NNG+도/JX
1200개,	1200/SN+개/NNB+,/SP
12만	12/SN+만/NR
개,	개/NNB+,/SP
아니	아니/MAG
그보다	그/NP+보다/JKB
많은	많/VA+은/ETM
멜로디가	멜로디/NNG+가/JKS
작곡가들의	작곡가/NNG+들/XSN+의/JKG
머리에서	머리/NNG+에서/JKB
나와	나오/VV+아/EC
세상	세상/NNG
밖으로	밖/NNG+으로/JKB
쏟아져	쏟아지/VV+어/EC
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.161.5.2
올해를 대표할 만한 결정적인 선율은 뭐였을까.

올해를	올해/NNG+를/JKO
대표할	대표/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
선율은	선율/NNG+은/JX
뭐였을까.	뭐/NP+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000041.161.6.1
씨스타의 소유와 정기고가 함께 부른 ‘썸’과 자이언티의 ‘양화대교’는 멜로디와 가사 양면에서 올해 한 방을 날렸다고 여러 전문가들이 입을 모았다.

씨스타의	씨스타/NNP+의/JKG
소유와	소유/NNP+와/JC
정기고가	정기고/NNP+가/JKS
함께	함께/MAG
부른	부르/VV+ㄴ/ETM
‘썸’과	‘/SS+썸/NNP+’/SS+과/JC
자이언티의	자이언티/NNP+의/JKG
‘양화대교’는	‘/SS+양화대교/NNP+’/SS+는/JX
멜로디와	멜로디/NNG+와/JC
가사	가사/NNG
양면에서	양면/NNG+에서/JKB
올해	올해/NNG
한	한/MMN
방을	방/NNB+을/JKO
날렸다고	날리/VV+었/EP+다고/EC
여러	여러/MMN
전문가들이	전문가/NNG+들/XSN+이/JKS
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.6.2
SBS 파워FM ‘아름다운 이 아침, 김창완입니다’의 남중권 PD는 ‘썸’에 대해 “‘내꺼인 듯 내꺼 아닌 내꺼 같은’은 공감의 최대치를 끌어내면서 ‘썸’이란 국적불명의 신조어를 확실히 풀이해낸 절묘한 가사”라고 했다.

SBS	SBS/SL
파워FM	파워/NNG+FM/SL
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
이	이/MMD
아침,	아침/NNG+,/SP
김창완입니다’의	김창완/NNP+이/VCP+ㅂ니다/EF+’/SS+의/JKG
남중권	남중권/NNP
PD는	PD/SL+는/JX
‘썸’에	‘/SS+썸/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
“‘내꺼인	“/SS+‘/SS+나/NP+의/JKG+꺼/NNB+이/VCP+ㄴ/ETM
듯	듯/NNB
내꺼	나/NP+의/JKG+꺼/NNB
아닌	아니/VCN+ㄴ/ETM
같은’은	같/VA+은/ETM+’/SS+은/JX
공감의	공감/NNG+의/JKG
최대치를	최대/NNG+치/XSN+를/JKO
끌어내면서	끌어내/VV+면서/EC
‘썸’이란	‘/SS+썸/NNG+’/SS+이/VCP+란/ETM
국적불명의	국적/NNG+불명/NNG+의/JKG
신조어를	신조어/NNG+를/JKO
확실히	확실히/MAG
풀이해낸	풀이/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
절묘한	절묘하/VA+ㄴ/ETM
가사”라고	가사/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.6.3
이대화 대중음악평론가는 “대중성과 세련됨 사이의 줄타기를 잘했다.

이대화	이대화/NNP
대중음악평론가는	대중음악/NNG+평론가/NNG+는/JX
“대중성과	“/SS+대중/NNG+성/XSN+과/JC
세련됨	세련/NNG+되/XSA+ㅁ/ETN
사이의	사이/NNG+의/JKG
줄타기를	줄타기/NNG+를/JKO
잘했다.	잘/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.6.4
단순한 편곡임에도 이만한 히트를 기록한 건 멜로디의 힘”이라고 말했다.

단순한	단순/NNG+하/XSA+ㄴ/ETM
편곡임에도	편곡/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
이만한	이만하/VA+ㄴ/ETM
히트를	히트/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
멜로디의	멜로디/NNG+의/JKG
힘”이라고	힘/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.7.1
‘우리 집에는 매일 나 홀로 있었지/아버지는 택시드라이버/어디냐고 여쭤보면 항상 양화대교…’로 시작하는 ‘양화대교’는 성장한 화자가 다시 서울 양화대교를 건너면서 가족의 행복을 기원하는 노래다.

‘우리	‘/SS+우리/NP
집에는	집/NNG+에/JKB+는/JX
매일	매일/MAG
나	나/NP
홀로	홀로/MAG
있었지/아버지는	있/VA+었/EP+지/EF+//SP+아버지/NNG+는/JX
택시드라이버/어디냐고	택시/NNG+드라이버/NNG+//SP+어디/NP+이/VCP+냐고/EC
여쭤보면	여쭤보/VV+면/EC
항상	항상/MAG
양화대교…’로	양화대교/NNP+…/SE+’/SS+로/JKB
시작하는	시작/NNG+하/XSV+는/ETM
‘양화대교’는	‘/SS+양화대교/NNP+’/SS+는/JX
성장한	성장/NNG+하/XSV+ㄴ/ETM
화자가	화자/NNG+가/JKS
다시	다시/MAG
서울	서울/NNP
양화대교를	양화대교/NNP+를/JKO
건너면서	건너/VV+면서/EC
가족의	가족/NNG+의/JKG
행복을	행복/NNG+을/JKO
기원하는	기원/NNG+하/XSV+는/ETM
노래다.	노래/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.161.7.2
강일권 웹진 ‘리드머’ 편집장은 양화대교의 가사와 멜로디를 칭찬하며 “곡의 메시지를 잘 전달하면서도 반복을 통해 귀를 잡아끄는 구성이 일품이었다.

강일권	강일권/NNP
웹진	웹진/NNG
‘리드머’	‘/SS+리드머/NNP+’/SS
편집장은	편집장/NNG+은/JX
양화대교의	양화대교/NNP+의/JKG
가사와	가사/NNG+와/JC
멜로디를	멜로디/NNG+를/JKO
칭찬하며	칭찬/NNG+하/XSV+며/EC
“곡의	“/SS+곡/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
잘	잘/MAG
전달하면서도	전달/NNG+하/XSV+면서/EC+도/JX
반복을	반복/NNG+을/JKO
통해	통하/VV+아/EC
귀를	귀/NNG+를/JKO
잡아끄는	잡아끌/VV+는/ETM
구성이	구성/NNG+이/JKS
일품이었다.	일품/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.161.7.3
특히 후렴구보다 버스(verse·절)가 뛰어나다”고 했다.

특히	특히/MAG
후렴구보다	후렴구/NNG+보다/JKB
버스(verse·절)가	버스/NNG+(/SS+verse/SL+·/SP+절/NNG+)/SS+가/JKS
뛰어나다”고	뛰어나/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.8.1
이대화 평론가는 태양의 ‘눈, 코, 입’을, 서정민갑 평론가는 여성그룹 EXID의 ‘위아래’를 올해의 멜로디로 꼽았다.

이대화	이대화/NNP
평론가는	평론가/NNG+는/JX
태양의	태양/NNP+의/JKG
‘눈,	‘/SS+눈/NNG+,/SP
코,	코/NNG+,/SP
입’을,	입/NNG+’/SS+을/JKO+,/SP
서정민갑	서정민갑/NNP
여성그룹	여성/NNG+그룹/NNG
EXID의	EXID/SL+의/JKG
‘위아래’를	‘/SS+위아래/NNP+’/SS+를/JKO
올해의	올해/NNG+의/JKG
멜로디로	멜로디/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.8.2
그는 ‘위아래’에 대해 “안무 영상으로 주목을 끌었지만 잘 만든 멜로디 한 방이 없었으면 뜨기 어려웠을 것”이라고 했다.

그는	그/NP+는/JX
‘위아래’에	‘/SS+위아래/NNP+’/SS+에/JKB
대해	대하/VV+아/EC
“안무	“/SS+안무/NNG
영상으로	영상/NNG+으로/JKB
주목을	주목/NNG+을/JKO
끌었지만	끌/VV+었/EP+지만/EC
잘	잘/MAG
만든	만들/VV+ㄴ/ETM
멜로디	멜로디/NNG
한	한/MMN
방이	방/NNB+이/JKS
없었으면	없/VA+었/EP+으면/EC
뜨기	뜨/VV+기/ETN
어려웠을	어렵/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.9.1
김윤하 평론가는 혼성 포크 듀오 ‘김사월X김해원’의 ‘비밀’을 “올해 가장 섹시했던 노랫말”로 추천했다.

김윤하	김윤하/NNP
평론가는	평론가/NNG+는/JX
혼성	혼성/NNG
포크	포크/NNG
듀오	듀오/NNG
‘김사월X김해원’의	‘/SS+김사월/NNP+X/SL+김해원/NNP+’/SS+의/JKG
‘비밀’을	‘/SS+비밀/NNP+’/SS+을/JKO
“올해	“/SS+올해/NNG
가장	가장/MAG
섹시했던	섹시/NNG+하/XSA+았/EP+던/ETM
노랫말”로	노랫말/NNG+”/SS+로/JKB
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.9.2
‘누구도 모르는 나만의 비밀을 말할게… 이해한다면 그건 유령이 되는 거야… 나를 아껴줘/아니 그냥, 내버려둬…’를 남녀가 주고받는 이 노래에 대해 그는 “온몸을 배배꼬거나 ‘아임쏘핫’ 하지 않아도 은밀하고 관능적일 수 있다는 걸 보여줬다”고 했다.

‘누구도	‘/SS+누구/NP+도/JX
모르는	모르/VV+는/ETM
나만의	나/NP+만/JX+의/JKG
비밀을	비밀/NNG+을/JKO
말할게…	말/NNG+하/XSV+ㄹ게/EF+…/SE
이해한다면	이해/NNG+하/XSV+ㄴ다면/EC
그건	그거/NP+ㄴ/JX
유령이	유령/NNG+이/JKC
되는	되/VV+는/ETM
거야…	거/NNB+이/VCP+야/EF+…/SE
나를	나/NP+를/JKO
아껴줘/아니	아끼/VV+어/EC+주/VX+어/EF+//SP+아니/MAG
그냥,	그냥/MAG+,/SP
내버려둬…’를	내버리/VV+어/EC+두/VX+어/EF+…/SE+’/SS+를/JKO
남녀가	남녀/NNG+가/JKS
주고받는	주고받/VV+는/ETM
이	이/MMD
노래에	노래/NNG+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
“온몸을	“/SS+온몸/NNG+을/JKO
배배꼬거나	배배/MAG+꼬/VV+거나/EC
‘아임쏘핫’	‘/SS+아임쏘핫/NNG+’/SS
하지	하/VV+지/EC
않아도	않/VX+아도/EC
은밀하고	은밀하/VA+고/EC
관능적일	관능/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
보여줬다”고	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.10.1
○ 서태지의 귀환, 마왕의 죽음

○	○/SW
서태지의	서태지/NNP+의/JKG
귀환,	귀환/NNG+,/SP
마왕의	마왕/NNG+의/JKG
죽음	죽음/NNG


# id : NWRW1800000041.161.11.1
전문가들은 ‘소격동’ ‘크리스말로윈’을 앞세운 서태지가 ‘올해의 귀환’이었다는 데 의견을 모았다.

전문가들은	전문가/NNG+들/XSN+은/JX
‘소격동’	‘/SS+소격동/NNP+’/SS
‘크리스말로윈’을	‘/SS+크리스말로윈/NNP+’/SS+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
서태지가	서태지/NNP+가/JKS
‘올해의	‘/SS+올해/NNG+의/JKG
귀환’이었다는	귀환/NNG+’/SS+이/VCP+었/EP+다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.11.2
서정민갑 평론가는 “전략을 세워 다시 이슈를 만들면서 돌아왔고, 가요계 트렌드를 따르기보다 자신의 기본기를 충실히 보여줬다”면서 “서태지와 아이들 시절만 한 파장이나 음악적 완성도는 아니었지만, 나이가 들어도 꾸준히 별 세 개 반짜리 앨범을 내주는 뮤지션이 있다는 사실을 확인해 뿌듯하다”고 말했다.

서정민갑	서정민갑/NNP
평론가는	평론가/NNG+는/JX
“전략을	“/SS+전략/NNG+을/JKO
세워	세우/VV+어/EC
다시	다시/MAG
이슈를	이슈/NNG+를/JKO
만들면서	만들/VV+면서/EC
돌아왔고,	돌아오/VV+았/EP+고/EC+,/SP
가요계	가요/NNG+계/XSN
트렌드를	트렌드/NNG+를/JKO
따르기보다	따르/VV+기/ETN+보다/JKB
자신의	자신/NNG+의/JKG
기본기를	기본기/NNG+를/JKO
충실히	충실히/MAG
보여줬다”면서	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+면서/EC
“서태지와	“/SS+서태지/NNP+와/JC
아이들	아이/NNG+들/XSN
시절만	시절/NNG+만/JX
한	하/VA+ㄴ/ETM
파장이나	파장/NNG+이나/JC
음악적	음악/NNG+적/XSN
완성도는	완성도/NNG+는/JX
아니었지만,	아니/VCN+었/EP+지만/EC+,/SP
나이가	나이/NNG+가/JKS
들어도	들/VV+어도/EC
꾸준히	꾸준히/MAG
별	별/NNG
세	세/MMN
개	개/NNB
반짜리	반/NNG+짜리/XSN
앨범을	앨범/NNG+을/JKO
내주는	내주/VV+는/ETM
뮤지션이	뮤지션/NNG+이/JKS
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
확인해	확인/NNG+하/XSV+아/EC
뿌듯하다”고	뿌듯하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.11.3
김윤하 평론가는 “한 뮤지션이 아니라 한 세대의 귀환이었다”며 god의 컴백에 주목했다.

김윤하	김윤하/NNP
평론가는	평론가/NNG+는/JX
“한	“/SS+한/MMN
뮤지션이	뮤지션/NNG+이/JKC
아니라	아니/VCN+라/EC
한	한/MMN
세대의	세대/NNG+의/JKG
귀환이었다”며	귀환/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
god의	god/SL+의/JKG
컴백에	컴백/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.11.4
강일권 편집장은 “1990년대를 풍미한 이들이 대거 돌아왔지만 기대만큼 압도적인 인상을 남긴 이는 없었다”고 했다.

강일권	강일권/NNP
편집장은	편집장/NNG+은/JX
“1990년대를	“/SS+1990/SN+년대/NNB+를/JKO
풍미한	풍미/NNG+하/XSV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
대거	대거/MAG
돌아왔지만	돌아오/VV+았/EP+지만/EC
기대만큼	기대/NNG+만큼/JKB
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
인상을	인상/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
이는	이/NNB+는/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.12.1
전문가들이 공히 꼽은 ‘올해의 순간’은 10월 27일 오후 8시 19분이었다.

전문가들이	전문가/NNG+들/XSN+이/JKS
공히	공히/MAG
꼽은	꼽/VV+은/ETM
‘올해의	‘/SS+올해/NNG+의/JKG
순간’은	순간/NNG+’/SS+은/JX
10월	10/SN+월/NNB
27일	27/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
19분이었다.	19/SN+분/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.161.12.2
신해철이 사망한 시간.

신해철이	신해철/NNP+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
시간.	시간/NNG+./SF


# id : NWRW1800000041.161.12.3
서정민갑 평론가는 “1990년대가 갑자기 사라진 느낌을 받았다.

서정민갑	서정민갑/NNP
평론가는	평론가/NNG+는/JX
“1990년대가	“/SS+1990/SN+년대/NNB+가/JKS
갑자기	갑자기/MAG
사라진	사라지/VV+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.12.4
몇 곡만으로 평가하긴 힘들지만 신해철은 오랜만에 좋은 노래들을 내놓으며 돌아왔다.

몇	몇/NR
곡만으로	곡/NNG+만/JX+으로/JKB
평가하긴	평가/NNG+하/XSV+기/ETN+ㄴ/JX
힘들지만	힘들/VA+지만/EC
신해철은	신해철/NNP+은/JX
오랜만에	오랜만/NNG+에/JKB
좋은	좋/VA+은/ETM
노래들을	노래/NNG+들/XSN+을/JKO
내놓으며	내놓/VV+으며/EC
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.161.12.5
제2의 전성기로 연결될 수도 있던 그의 귀환이 미완으로 끝나버린 게 가슴 아프다”고 말했다.

제2의	제/XPN+2/SN+의/JKG
전성기로	전성기/NNG+로/JKB
연결될	연결/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있던	있/VA+던/ETM
그의	그/NP+의/JKG
귀환이	귀환/NNG+이/JKS
미완으로	미완/NNG+으로/JKB
끝나버린	끝나/VV+아/EC+버리/VX+ㄴ/ETM
게	거/NNB+이/JKS
가슴	가슴/NNG
아프다”고	아프/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


