# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.152
metadata : {}


# id : NWRW1800000037.152.1.1
“서울대 박사공부도 만화가가 되기위한 여정이었죠”

“서울대	“/SS+서울대/NNP


# id : NWRW1800000037.152.7.2
만화를 그리려 해도 많이 알면 좋으니까 공부를 계속했습니다.

만화를	만화/NNG+를/JKO
그리려	그리/VV+려/EC
해도	하/VX+아도/EC
많이	많이/MAG
알면	알/VV+면/EC
좋으니까	좋/VA+으니까/EC
공부를	공부/NNG+를/JKO
계속했습니다.	계속/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000037.152.7.3
지구과학을 전공으로 택한 이유는 혼자 공부하기 어렵기도 하고 배우고 나면 전반적인 지식을 쌓을 수 있기 때문입니다.”

지구과학을	지구/NNG+과학/NNG+을/JKO
전공으로	전공/NNG+으로/JKB
택한	택하/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
혼자	혼자/MAG
공부하기	공부/NNG+하/XSV+기/ETN
어렵기도	어렵/VA+기/ETN+도/JX
하고	하/VX+고/EC
배우고	배우/VV+고/EC
나면	나/VX+면/EC
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
지식을	지식/NNG+을/JKO
쌓을	쌓/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문입니다.”	때문/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000037.152.8.1
정작 만화는 독학으로 배웠다.

정작	정작/MAG
만화는	만화/NNG+는/JX
독학으로	독학/NNG+으로/JKB
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.152.8.2
손 씨는 과학고 시절 만화동아리 ‘그림자들’을 만들었다.

손	손/NNP
씨는	씨/NNB+는/JX
과학고	과학고/NNG
시절	시절/NNG
만화동아리	만화/NNG+동아리/NNG
‘그림자들’을	‘/SS+그림자/NNG+들/XSN+’/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.152.8.3
동아리 친구들은 함께 서울대에 입학해 활동을 이어갔다.

동아리	동아리/NNG
친구들은	친구/NNG+들/XSN+은/JX
함께	함께/MAG
서울대에	서울대/NNP+에/JKB
입학해	입학/NNG+하/XSV+아/EC
활동을	활동/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.152.8.4
손 씨는 “박사나 연구원 수입이 안정적이겠지만 그래도 내가 생각한 캐릭터, 사건, 세계를 그림과 대사로 표현하는 만화를 죽을 때까지 그리겠다”고 했다.

손	손/NNP
씨는	씨/NNB+는/JX
“박사나	“/SS+박사/NNG+나/JC
연구원	연구원/NNG
수입이	수입/NNG+이/JKS
안정적이겠지만	안정/NNG+적/XSN+이/VCP+겠/EP+지만/EC
그래도	그러/VV+어도/EC
내가	내/NP+가/JKS
생각한	생각/NNG+하/XSV+ㄴ/ETM
캐릭터,	캐릭터/NNG+,/SP
사건,	사건/NNG+,/SP
세계를	세계/NNG+를/JKO
그림과	그림/NNG+과/JC
대사로	대사/NNG+로/JKB
표현하는	표현/NNG+하/XSV+는/ETM
만화를	만화/NNG+를/JKO
죽을	죽/VV+을/ETM
때까지	때/NNG+까지/JX
그리겠다”고	그리/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.9.1
손 씨는 ‘화석 그리는 만화가’ 이미지가 고착되는 것이 싫다며 다음 작품은 전혀 다른 작품이 될 것이라고 말했다.

손	손/NNP
씨는	씨/NNB+는/JX
‘화석	‘/SS+화석/NNG
그리는	그리/VV+는/ETM
만화가’	만화가/NNG+’/SS
이미지가	이미지/NNG+가/JKS
고착되는	고착/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
싫다며	싫/VA+다며/EC
다음	다음/NNG
작품은	작품/NNG+은/JX
전혀	전혀/MAG
다른	다른/MMD
작품이	작품/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.152.9.2
“만화는 결국 독자와의 소통이고 만화의 완성은 독자의 가슴속에서 이루어집니다.

“만화는	“/SS+만화/NNG+는/JX
결국	결국/MAG
독자와의	독자/NNG+와/JKB+의/JKG
소통이고	소통/NNG+이/VCP+고/EC
만화의	만화/NNG+의/JKG
완성은	완성/NNG+은/JX
독자의	독자/NNG+의/JKG
가슴속에서	가슴속/NNG+에서/JKB
이루어집니다.	이루어지/VV+ㅂ니다/EF+./SF


# id : NWRW1800000037.152.9.3
더 많은 사람이 좋아하는 만화를 그리고 싶습니다.

더	더/MAG
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
좋아하는	좋아하/VV+는/ETM
만화를	만화/NNG+를/JKO
그리고	그리/VV+고/EC
싶습니다.	싶/VX+습니다/EF+./SF


# id : NWRW1800000037.152.9.4
판타지 액션 학원물 등 다양한 작품을 그려보고 싶습니다.”

판타지	판타지/NNG
액션	액션/NNG
학원물	학원물/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
작품을	작품/NNG+을/JKO
그려보고	그리/VV+어/EC+보/VX+고/EC
싶습니다.”	싶/VX+습니다/EF+./SF+”/SS


