# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.268
metadata : {}


# id : NWRW1800000038.268.1.1
청소년대표팀의 득점 콤비, 고교축구 왕좌 놓고 격돌

청소년대표팀의	청소년/NNG+대표/NNG+팀/NNG+의/JKG
김신(18)이	김신/NNP+(/SS+18/SN+)/SS+이/JKS
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.268.7.2
현재 고교축구선수권에서 4골로 황희찬에 이어 개인 득점 2위에 올라 있는 김신은 "우승만 바라보고 뛰겠다"고 말했다.

현재	현재/MAG
고교축구선수권에서	고교/NNG+축구/NNG+선수/NNG+권/XSN+에서/JKB
4골로	4/SN+골/NNG+로/JKB
황희찬에	황희찬/NNP+에/JKB
이어	잇/VV+어/EC
개인	개인/NNG
득점	득점/NNG
2위에	2/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
김신은	김신/NNP+은/JX
"우승만	"/SS+우승/NNG+만/JX
바라보고	바라보/VV+고/EC
뛰겠다"고	뛰/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.268.8.1
양 팀의 공격수 황희찬과 김신은 청소년 대표팀에선 '찰떡궁합'을 자랑하는 콤비다.

양	양/MMN
팀의	팀/NNG+의/JKG
공격수	공격수/NNG
황희찬과	황희찬/NNP+과/JC
김신은	김신/NNP+은/JX
청소년	청소년/NNG
대표팀에선	대표/NNG+팀/NNG+에서/JKB+ㄴ/JX
'찰떡궁합'을	'/SS+찰떡궁합/NNG+'/SS+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
콤비다.	콤비/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.268.8.2
황희찬이 지난달 인도네시아에서 열린 AFC(아시아축구연맹) U-19 선수권 예선 1차전 필리핀과 벌인 경기에서 해트트릭을 기록했을 때 세 골을 모두 김신이 도왔다.

황희찬이	황희찬/NNP+이/JKS
지난달	지난달/NNG
인도네시아에서	인도네시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
AFC(아시아축구연맹)	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS
U-19	U/SL+-/SO+19/SN
선수권	선수/NNG+권/XSN
예선	예선/NNG
1차전	1/SN+차전/NNB
필리핀과	필리핀/NNP+과/JKB
벌인	벌이/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
해트트릭을	해트트릭/NNG+을/JKO
기록했을	기록/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
세	세/MMN
골을	골/NNG+을/JKO
모두	모두/MAG
김신이	김신/NNP+이/JKS
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.268.8.3
둘은 "대표팀에서의 시간은 잊고 반드시 승리하겠다"고 입을 모았다.

둘은	둘/NR+은/JX
"대표팀에서의	"/SS+대표/NNG+팀/NNG+에서/JKB+의/JKG
시간은	시간/NNG+은/JX
잊고	잊/VV+고/EC
반드시	반드시/MAG
승리하겠다"고	승리/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


