# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.286
metadata : {}


# id : NWRW1800000026.286.1.1
남는가 떠나는가 與野 '김태호 빅딜' 무산;"장관 2명 철회할테니 총리 봐달라" "No" 오늘 임명동의안 표결

남는가	남/VV+는가/EF
해당되는	해당/NNG+되/XSV+는/ETM
후보자는	후보자/NNG+는/JX
어떤	어떤/MMD
경우에도	경우/NNG+에/JKB+도/JX
반대해야	반대/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.286.6.1
여권은 여론 악화를 의식하면서도 김 후보자가 낙마할 경우 대안도 없고 이명박 정부 집권 후반기 구상 자체가 뒤흔들릴 것을 우려, 27일 본회의 표결 처리를 강행하기로 했다.

여권은	여권/NNG+은/JX
여론	여론/NNG
악화를	악화/NNG+를/JKO
의식하면서도	의식/NNG+하/XSV+면서/EC+도/JX
김	김/NNP
후보자가	후보자/NNG+가/JKS
낙마할	낙마/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
대안도	대안/NNG+도/JX
없고	없/VA+고/EC
이명박	이명박/NNP
정부	정부/NNG
집권	집권/NNG
후반기	후반기/NNG
구상	구상/NNG
자체가	자체/NNG+가/JKS
뒤흔들릴	뒤흔들리/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려,	우려/NNG+,/SP
27일	27/SN+일/NNB
본회의	본회의/NNG
표결	표결/NNG
처리를	처리/NNG+를/JKO
강행하기로	강행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.286.6.2
26일 오전까지만 해도 김 후보자에 대해 부정적 기류가 많았으나 청와대의 통과 의지가 워낙 강했던 것으로 알려졌다.

26일	26/SN+일/NNB
오전까지만	오전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
김	김/NNP
후보자에	후보자/NNG+에/JKB
대해	대하/VV+아/EC
부정적	부정/NNG+적/XSN
기류가	기류/NNG+가/JKS
많았으나	많/VA+았/EP+으나/EC
청와대의	청와대/NNP+의/JKG
통과	통과/NNG
의지가	의지/NNG+가/JKS
워낙	워낙/MAG
강했던	강하/VA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


