# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.350
metadata : {}


# id : NWRW1800000022.350.1.1
공무원이 풀지 못한 교통문제, 과학이 풀어내다;비용 줄이고 편의성 높이는 버스 운송 최적화 기법 개발 병원·학교 효과적 배치 등 포스텍·KAIST 과학자들 공공정책 해법 잇달아 제시

공무원이	공무원/NNG+이/JKS
방식으로	방식/NNG+으로/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
버스	버스/NNG
찾아낼	찾아내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
컴퓨터	컴퓨터/NNG
프로그램을	프로그램/NNG+을/JKO
독자	독자/NNG
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.6.4
이번 연구 결과는 지난 9일 경기도 용인시 경희대 국제캠퍼스에서 열린 대한산업공학회 추계학술대회에서 발표됐다.

이번	이번/NNG
연구	연구/NNG
결과는	결과/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
경기도	경기도/NNP
용인시	용인시/NNP
경희대	경희대/NNP
국제캠퍼스에서	국제/NNG+캠퍼스/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
대한산업공학회	대한산업공학회/NNP
추계학술대회에서	추계/NNG+학술/NNG+대회/NNG+에서/JKB
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.350.7.1
김 교수팀은 미국 한 도시의 의뢰를 받고 이 프로그램을 해당 도시의 대중교통 시스템 개선사업에 시범 적용, 10~15%의 버스를 줄일 수 있음을 확인했다.

김	김/NNP
교수팀은	교수/NNG+팀/NNG+은/JX
미국	미국/NNP
한	한/MMN
도시의	도시/NNG+의/JKG
의뢰를	의뢰/NNG+를/JKO
받고	받/VV+고/EC
이	이/MMD
프로그램을	프로그램/NNG+을/JKO
해당	해당/NNG
대중교통	대중교통/NNG
시스템	시스템/NNG
개선사업에	개선/NNG+사업/NNG+에/JKB
시범	시범/NNG
적용,	적용/NNG+,/SP
10~15%의	10/SN+~/SO+15/SN+%/SW+의/JKG
버스를	버스/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.7.2
비용으로 환산하면 연간 1억5000만달러(약 1650억원)에 이른다.

비용으로	비용/NNG+으로/JKB
환산하면	환산/NNG+하/XSV+면/EC
연간	연간/NNG
1억5000만달러(약	1/SN+억/NR+5000/SN+만/NR+달러/NNB+(/SS+약/MMA
1650억원)에	1650/SN+억/NR+원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.350.7.3
유사한 방식으로 삼성전자 반도체 공장의 효율성을 높이는 방법도 찾아냈다.

유사한	유사/NNG+하/XSA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
삼성전자	삼성전자/NNP
반도체	반도체/NNG
공장의	공장/NNG+의/JKG
효율성을	효율/NNG+성/XSN+을/JKO
높이는	높이/VV+는/ETM
방법도	방법/NNG+도/JX
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.350.7.4
삼성전자의 반도체 공장에는 자재를 나르는 160대의 무인 자동차가 있다.

삼성전자의	삼성전자/NNP+의/JKG
반도체	반도체/NNG
공장에는	공장/NNG+에/JKB+는/JX
자재를	자재/NNG+를/JKO
나르는	나르/VV+는/ETM
160대의	160/SN+대/NNB+의/JKG
무인	무인/NNG
자동차가	자동차/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.350.7.5
김 교수는 무인 자동차의 20%를 줄여 연간 30억원의 경비를 절약할 수 있게 했다.

김	김/NNP
교수는	교수/NNG+는/JX
무인	무인/NNG
자동차의	자동차/NNG+의/JKG
20%를	20/SN+%/SW+를/JKO
줄여	줄이/VV+어/EC
연간	연간/NNG
30억원의	30/SN+억/NR+원/NNB+의/JKG
경비를	경비/NNG+를/JKO
절약할	절약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.350.8.1
김 교수는 "이번에 개발된 버스 운송 최적화 기법은 도시의 쓰레기 수거에 사용되는 청소차 배치에도 적용할 수 있다"며 "버스 운송뿐 아니라 다른 자원의 효과적인 배치에도 활용할 수 있을 것"이라고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
"이번에	"/SS+이번/NNG+에/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
버스	버스/NNG
운송	운송/NNG
최적화	최적/NNG+화/XSN
기법은	기법/NNG+은/JX
도시의	도시/NNG+의/JKG
쓰레기	쓰레기/NNG
수거에	수거/NNG+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
청소차	청소차/NNG
배치에도	배치/NNG+에/JKB+도/JX
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"버스	"/SS+버스/NNG
운송뿐	운송/NNG+뿐/JX
아니라	아니/VCN+라/EC
다른	다른/MMD
자원의	자원/NNG+의/JKG
효과적인	효과/NNG+적/XSN+이/VCP+ㄴ/ETM
활용할	활용/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.9.1
◆통계물리학으로 보건소 지을 곳 확인

◆통계물리학으로	◆/SW+통계/NNG+물리학/NNG+으로/JKB
보건소	보건소/NNG
지을	짓/VV+을/ETM
곳	곳/NNG
확인	확인/NNG


# id : NWRW1800000022.350.10.1
영화관이나 수퍼마켓 같은 이윤 추구 시설의 배치는 시장 원리에 따라 정해진다.

영화관이나	영화관/NNG+이나/JC
수퍼마켓	수퍼마켓/NNG
같은	같/VA+은/ETM
이윤	이윤/NNG
추구	추구/NNG
시설의	시설/NNG+의/JKG
배치는	배치/NNG+는/JX
시장	시장/NNG
원리에	원리/NNG+에/JKB
따라	따르/VV+아/EC
정해진다.	정하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.350.10.2
사람이 많은 곳에는 영화관이 몰리지만 장사가 안 되는 외딴 지역에는 영화관을 보기 어렵다.

사람이	사람/NNG+이/JKS
많은	많/VA+은/ETM
곳에는	곳/NNG+에/JKB+는/JX
영화관이	영화관/NNG+이/JKS
몰리지만	몰리/VV+지만/EC
장사가	장사/NNG+가/JKS
안	안/MAG
되는	되/VV+는/ETM
외딴	외딴/MMA
지역에는	지역/NNG+에/JKB+는/JX
영화관을	영화관/NNG+을/JKO
보기	보/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000022.350.11.1
하지만 보건소나 병원 같은 공익 시설은 그와 다르다.

하지만	하지만/MAJ
보건소나	보건소/NNG+나/JC
병원	병원/NNG
같은	같/VA+은/ETM
공익	공익/NNG
시설은	시설/NNG+은/JX
그와	그/NP+와/JKB
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000022.350.11.2
사람이 없는 지역이어도 일정 숫자의 학교, 보건소는 필요하기 때문이다.

사람이	사람/NNG+이/JKS
없는	없/VA+는/ETM
지역이어도	지역/NNG+이/VCP+어도/EC
일정	일정/NNG
숫자의	숫자/NNG+의/JKG
학교,	학교/NNG+,/SP
보건소는	보건소/NNG+는/JX
필요하기	필요/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.11.3
여기에 정책 당국자의 고민이 있다.

여기에	여기/NP+에/JKB
정책	정책/NNG
당국자의	당국자/NNG+의/JKG
고민이	고민/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.350.11.4
무조건 많이 지으면 문제가 없겠지만 재원은 한정돼 있어 꼭 필요한 곳을 정확하게 찾는 게 중요하다.

무조건	무/XPN+조건/NNG
많이	많이/MAG
지으면	짓/VV+으면/EC
문제가	문제/NNG+가/JKS
없겠지만	없/VA+겠/EP+지만/EC
재원은	재원/NNG+은/JX
한정돼	한정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
꼭	꼭/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳을	곳/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.350.12.1
KAIST 물리학과 정하웅 교수와 성균관대 물리학과 김범준 교수는 통계물리학을 이용해 시장 원리에 따르는 이윤 추구 시설과 보건소 같은 공공시설물을 구분할 수 있는 표준을 제시했다.

KAIST	KAIST/SL
물리학과	물리학과/NNG
정하웅	정하웅/NNP
교수와	교수/NNG+와/JC
성균관대	성균관대/NNP
김범준	김범준/NNP
교수는	교수/NNG+는/JX
통계물리학을	통계/NNG+물리학/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
시장	시장/NNG
원리에	원리/NNG+에/JKB
따르는	따르/VV+는/ETM
이윤	이윤/NNG
추구	추구/NNG
시설과	시설/NNG+과/JC
보건소	보건소/NNG
같은	같/VA+은/ETM
공공시설물을	공공시설물/NNG+을/JKO
구분할	구분/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
표준을	표준/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.12.2
바로 '축척(縮尺) 지수'다.

바로	바로/MAG
'축척(縮尺)	'/SS+축척/NNG+(/SS+縮尺/SH+)/SS
지수'다.	지수/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.13.1
축척 지수는 사람들의 거주지에서 이발소, 병원 같은 시설물의 거리와 이용 빈도를 조사해 이 변수들의 상관관계를 분석한 수치다.

축척	축척/NNG
지수는	지수/NNG+는/JX
사람들의	사람/NNG+들/XSN+의/JKG
거주지에서	거주지/NNG+에서/JKB
이발소,	이발소/NNG+,/SP
병원	병원/NNG
같은	같/VA+은/ETM
시설물의	시설물/NNG+의/JKG
거리와	거리/NNG+와/JC
이용	이용/NNG
빈도를	빈도/NNG+를/JKO
조사해	조사/NNG+하/XSV+아/EC
이	이/MMD
변수들의	변수/NNG+들/XSN+의/JKG
상관관계를	상관관계/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.13.2
즉 인구 밀도 대비 시설물의 개수를 보여 주는 수치다.

즉	즉/MAG
인구	인구/NNG
밀도	밀도/NNG
대비	대비/NNG
시설물의	시설물/NNG+의/JKG
개수를	개수/NNG+를/JKO
보여	보이/VV+어/EC
주는	주/VX+는/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.13.3
축척 지수가 0이면 인구 밀도와 완전히 상관없이 시설물이 골고루 분포됐다는 의미이며, 지수가 커질수록 인구가 조밀한 곳에만 시설물이 들어서 있다는 뜻이다.

축척	축척/NNG
지수가	지수/NNG+가/JKS
0이면	0/SN+이/VCP+면/EC
인구	인구/NNG
밀도와	밀도/NNG+와/JKB
완전히	완전히/MAG
상관없이	상관없이/MAG
시설물이	시설물/NNG+이/JKS
골고루	골고루/MAG
분포됐다는	분포/NNG+되/XSV+었/EP+다는/ETM
의미이며,	의미/NNG+이/VCP+며/EC+,/SP
커질수록	커지/VV+ㄹ수록/EC
인구가	인구/NNG+가/JKS
조밀한	조밀하/VA+ㄴ/ETM
곳에만	곳/NNG+에/JKB+만/JX
들어서	들어서/VV+어/EC
있다는	있/VX+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.14.1
연구진에 따르면 공공시설물의 축척 지수는 일반적으로 0.66보다 낮았다.

연구진에	연구진/NNG+에/JKB
따르면	따르/VV+면/EC
공공시설물의	공공시설물/NNG+의/JKG
축척	축척/NNG
지수는	지수/NNG+는/JX
일반적으로	일반/NNG+적/XSN+으로/JKB
0.66보다	0/SN+./SP+66/SN+보다/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.350.14.2
미용실·커피 전문점 같은 이윤추구 시설물의 축척 지수는 1 근처였다.

미용실·커피	미용실/NNG+·/SP+커피/NNG
전문점	전문점/NNG
같은	같/VA+은/ETM
이윤추구	이윤/NNG+추구/NNG
시설물의	시설물/NNG+의/JKG
축척	축척/NNG
지수는	지수/NNG+는/JX
1	1/SN
근처였다.	근처/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.350.14.3
정책 당국자는 학교나 보건소를 추가로 지을 필요가 있는지 판단할 때 정 교수팀의 축척 지수를 유용하게 활용할 수 있다.

정책	정책/NNG
당국자는	당국자/NNG+는/JX
학교나	학교/NNG+나/JC
보건소를	보건소/NNG+를/JKO
추가로	추가/NNG+로/JKB
지을	짓/VV+을/ETM
필요가	필요/NNG+가/JKS
있는지	있/VA+는지/EC
판단할	판단/NNG+하/XSV+ㄹ/ETM
때	때/NNG
정	정/NNP
교수팀의	교수/NNG+팀/NNG+의/JKG
축척	축척/NNG
지수를	지수/NNG+를/JKO
유용하게	유용/NNG+하/XSA+게/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.350.14.4
학교를 신설해야 하는 지역의 축척 지수가 0.66보다 크면 새로 지어야 할 필요성이 있는 것이다.

학교를	학교/NNG+를/JKO
신설해야	신설/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
지역의	지역/NNG+의/JKG
축척	축척/NNG
지수가	지수/NNG+가/JKS
0.66보다	0/SN+./SP+66/SN+보다/JKB
크면	크/VA+면/EC
새로	새로/MAG
지어야	짓/VV+어야/EC
할	하/VX+ㄹ/ETM
필요성이	필요/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.350.15.1
연구진은 현재 국내 주요 공공시설물의 축척 지수를 조사한 결과 소방서는 0.6, 보건소는 0.09의 축척 지수를 얻었다고 밝혔다.

연구진은	연구진/NNG+은/JX
현재	현재/MAG
국내	국내/NNG
주요	주요/NNG
공공시설물의	공공시설물/NNG+의/JKG
축척	축척/NNG
지수를	지수/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
소방서는	소방서/NNG+는/JX
0.6,	0/SN+./SP+6/SN+,/SP
보건소는	보건소/NNG+는/JX
0.09의	0/SN+./SP+09/SN+의/JKG
얻었다고	얻/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.350.15.2
미국의 경우는 소방서는 0.78, 개인 병원은 1.13의 수치를 얻었다.

미국의	미국/NNP+의/JKG
경우는	경우/NNG+는/JX
소방서는	소방서/NNG+는/JX
0.78,	0/SN+./SP+78/SN+,/SP
개인	개인/NNG
병원은	병원/NNG+은/JX
1.13의	1/SN+./SP+13/SN+의/JKG
수치를	수치/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.350.15.3
정 교수는 "보건소의 축척 지수가 0.09인 것은 인구 밀도와 무관하게 골고루 잘 분포돼 있다는 의미"라며 "우리의 공공 의료 서비스 인프라가 미국보다 좋다고 본다"고 말했다.

정	정/NNP
교수는	교수/NNG+는/JX
"보건소의	"/SS+보건소/NNG+의/JKG
축척	축척/NNG
지수가	지수/NNG+가/JKS
0.09인	0/SN+./SP+09/SN+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
인구	인구/NNG
밀도와	밀도/NNG+와/JKB
무관하게	무관하/VA+게/EC
골고루	골고루/MAG
잘	잘/MAG
분포돼	분포/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
의미"라며	의미/NNG+"/SS+이/VCP+라며/EC
"우리의	"/SS+우리/NP+의/JKG
공공	공공/NNG
의료	의료/NNG
서비스	서비스/NNG
인프라가	인프라/NNG+가/JKS
미국보다	미국/NNP+보다/JKB
좋다고	좋/VA+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.350.15.4
이 연구 결과는 지난 8월 25일 '미국국립과학원회보(PNAS)'에 발표됐다.

이	이/MMD
연구	연구/NNG
결과는	결과/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
25일	25/SN+일/NNB
'미국국립과학원회보(PNAS)'에	'/SS+미국국립과학원/NNP+회보/NNG+(/SS+PNAS/SL+)/SS+'/SS+에/JKB
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


