# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.66
metadata : {}


# id : NWRW1800000042.66.1.1
일흔셋의 격정적 아리아… 1만2000명 마음 적셨네

일흔셋의	일흔셋/NR+의/JKG
공연이었다.	공연/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.66.5.3
하지만 이날 오후 말레이시아항공 여객기가 우크라이나에서 추락, 탑승 인원 298명 전원이 사망한 것으로 보인다는 비보(悲報)가 전해졌다.

하지만	하지만/MAJ
이날	이날/NNG
오후	오후/NNG
말레이시아항공	말레이시아항공/NNP
여객기가	여객기/NNG+가/JKS
우크라이나에서	우크라이나/NNP+에서/JKB
추락,	추락/NNG+,/SP
탑승	탑승/NNG
인원	인원/NNG
298명	298/SN+명/NNB
전원이	전원/NNG+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다는	보이/VV+ㄴ다는/ETM
비보(悲報)가	비보/NNG+(/SS+悲報/SH+)/SS+가/JKS
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.66.5.4
공연장 보안도 더 철저해졌다.

공연장	공연장/NNG
보안도	보안/NNG+도/JX
더	더/MAG
철저해졌다.	철저/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000042.66.5.5
생수나 음료수 병은 마개를 딴 채로만 공연장 안으로 들어올 수 있었다.

생수나	생수/NNG+나/JC
음료수	음료수/NNG
병은	병/NNG+은/JX
마개를	마개/NNG+를/JKO
딴	따/VV+ㄴ/ETM
채로만	채/NNB+로/JKB+만/JX
공연장	공연장/NNG
안으로	안/NNG+으로/JKB
들어올	들어오/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000042.66.6.1
묵념이 끝나고, 관객들이 하나둘씩 촛불을 밝히면서 리사이틀이 시작됐다.

묵념이	묵념/NNG+이/JKS
끝나고,	끝나/VV+고/EC+,/SP
관객들이	관객/NNG+들/XSN+이/JKS
하나둘씩	하나둘/NNG+씩/XSN
촛불을	촛불/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
리사이틀이	리사이틀/NNG+이/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.6.2
이스라엘 출신 지휘자 다니엘 오렌이 지휘한 베로나 아레나 오케스트라가 '라 트라비아타' 서곡을 연주했다.

이스라엘	이스라엘/NNP
출신	출신/NNG
지휘자	지휘자/NNG
다니엘	다니엘/NNP
오렌이	오렌/NNP+이/JKS
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
베로나	베로나/NNP
아레나	아레나/NNG
오케스트라가	오케스트라/NNG+가/JKS
'라	'/SS+라/NNP
트라비아타'	트라비아타/NNP+'/SS
서곡을	서곡/NNG+을/JKO
연주했다.	연주/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.66.6.3
도밍고는 이날 후배 성악가들과 함께 '라 트라비아타''가면무도회''포스카리가(家)의 두 사람' 등 베르디 오페라 3편 아리아를 부를 예정이었다.

도밍고는	도밍고/NNP+는/JX
이날	이날/NNG
후배	후배/NNG
성악가들과	성악가/NNG+들/XSN+과/JKB
함께	함께/MAG
'라	'/SS+라/NNP
트라비아타''가면무도회''포스카리가(家)의	트라비아타/NNP+'/SS+'/SS+가면무도회/NNP+'/SS+'/SS+포스카리가/NNG+(/SS+家/SH+)/SS+의/JKG
두	두/MMN
사람'	사람/NNG+'/SS
등	등/NNB
베르디	베르디/NNP
오페라	오페라/NNG
3편	3/SN+편/NNB
아리아를	아리아/NNG+를/JKO
부를	부르/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.1
루치아노 파바로티, 호세 카레라스와 함께 '스리 테너'로 유명했던 도밍고는 몇년 전부터 바리톤으로 방향을 바꿨다.

루치아노	루치아노/NNP
파바로티,	파바로티/NNP+,/SP
호세	호세/NNP
카레라스와	카레라스/NNP+와/JKB
함께	함께/MAG
'스리	'/SS+스리/NNG
테너'로	테너/NNG+'/SS+로/JKB
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
도밍고는	도밍고/NNP+는/JX
몇년	몇/NR+년/NNB
전부터	전/NNG+부터/JX
바리톤으로	바리톤/NNG+으로/JKB
방향을	방향/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.2
풍성하고 탄탄한 고음을 자랑하며 한창때 즐겨 불렀던 '라 트라비아타' 주역 알프레도 대신, 아버지 제르몽을 불렀다.

풍성하고	풍성/NNG+하/XSA+고/EC
탄탄한	탄탄하/VA+ㄴ/ETM
고음을	고음/NNG+을/JKO
자랑하며	자랑/NNG+하/XSV+며/EC
한창때	한창때/NNG
즐겨	즐기/VV+어/EC
불렀던	부르/VV+었/EP+던/ETM
'라	'/SS+라/NNP
트라비아타'	트라비아타/NNP+'/SS
주역	주역/NNG
알프레도	알프레도/NNP
대신,	대신/NNG+,/SP
아버지	아버지/NNG
제르몽을	제르몽/NNP+을/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.3
은발의 도밍고는 아들의 장래를 걱정하는 아버지의 마음을 원숙한 목소리와 연기로 풀어냈다.

은발의	은발/NNG+의/JKG
도밍고는	도밍고/NNP+는/JX
아들의	아들/NNG+의/JKG
장래를	장래/NNG+를/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
아버지의	아버지/NNG+의/JKG
마음을	마음/NNG+을/JKO
원숙한	원숙하/VA+ㄴ/ETM
목소리와	목소리/NNG+와/JC
연기로	연기/NNG+로/JKB
풀어냈다.	풀어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.4
비올레타 역을 맡은 아르헨티나 출신 소프라노 톨라(Tola)와 함께한 '친애하는 발레리 부인', 알프레도 역 프란체스코 멜리(Meli)를 달래던 '프로방스, 내 고향으로'는 열렬한 박수를 끌어냈다.

비올레타	비올레타/NNP
역을	역/NNG+을/JKO
맡은	맡/VV+은/ETM
아르헨티나	아르헨티나/NNP
출신	출신/NNG
소프라노	소프라노/NNG
톨라(Tola)와	톨라/NNP+(/SS+Tola/SL+)/SS+와/JKB
함께한	함께/MAG+하/XSV+ㄴ/ETM
'친애하는	'/SS+친애/NNG+하/XSV+는/ETM
발레리	발레리/NNP
부인',	부인/NNG+'/SS+,/SP
알프레도	알프레도/NNP
역	역/NNG
프란체스코	프란체스코/NNP
멜리(Meli)를	멜리/NNP+(/SS+Meli/SL+)/SS+를/JKO
달래던	달래/VV+던/ETM
'프로방스,	'/SS+프로방스/NNP+,/SP
내	나/NP+의/JKG
고향으로'는	고향/NNG+으로/JKB+'/SS+는/JX
열렬한	열렬하/VA+ㄴ/ETM
박수를	박수/NNG+를/JKO
끌어냈다.	끌어내/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.5
'가면무도회'에서도 테너 리카르도 대신, 리카르도의 충직한 신하 레나토를 불렀다.

'가면무도회'에서도	'/SS+가면무도회/NNP+'/SS+에서/JKB+도/JX
테너	테너/NNG
리카르도	리카르도/NNP
대신,	대신/NNG+,/SP
리카르도의	리카르도/NNP+의/JKG
충직한	충직/NNG+하/XSA+ㄴ/ETM
신하	신하/NNG
레나토를	레나토/NNP+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.6
아내와 주군(主君)의 부정을 알게 된 레나토가 '너였구나, 내 영혼을 더럽힌 자가'를 부를 때, 도밍고는 배신당한 분노에 떠는 격정의 사나이였다.

아내와	아내/NNG+와/JC
주군(主君)의	주군/NNG+(/SS+主君/SH+)/SS+의/JKG
부정을	부정/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
레나토가	레나토/NNP+가/JKS
'너였구나,	'/SS+너/NP+이/VCP+었/EP+구나/EF+,/SP
내	나/NP+의/JKG
영혼을	영혼/NNG+을/JKO
더럽힌	더럽히/VV+ㄴ/ETM
자가'를	자/NNB+가/JKS+'/SS+를/JKO
부를	부르/VV+ㄹ/ETM
때,	때/NNG+,/SP
도밍고는	도밍고/NNP+는/JX
배신당한	배신/NNG+당하/XSV+ㄴ/ETM
분노에	분노/NNG+에/JKB
떠는	떨/VV+는/ETM
격정의	격정/NNG+의/JKG
사나이였다.	사나이/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.66.7.7
올해 베로나 오페라 '가면무도회'에 출연하는 베이스 최승필도 도밍고와 함께 4중창, 5중창을 부르며 존재감을 과시했다.

올해	올해/NNG
베로나	베로나/NNP
오페라	오페라/NNG
'가면무도회'에	'/SS+가면무도회/NNP+'/SS+에/JKB
출연하는	출연/NNG+하/XSV+는/ETM
베이스	베이스/NNG
최승필도	최승필/NNP+도/JX
도밍고와	도밍고/NNP+와/JKB
함께	함께/MAG
4중창,	4/SN+중창/NNG+,/SP
5중창을	5/SN+중창/NNG+을/JKO
부르며	부르/VV+며/EC
존재감을	존재감/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.66.8.1
1시간 20분가량의 1부가 마칠 무렵, 아레나 하늘 위로 번개가 번쩍였다.

1시간	1/SN+시간/NNB
20분가량의	20/SN+분/NNB+가량/XSN+의/JKG
1부가	1/SN+부/NNB+가/JKS
마칠	마치/VV+ㄹ/ETM
무렵,	무렵/NNB+,/SP
아레나	아레나/NNG
하늘	하늘/NNG
위로	위/NNG+로/JKB
번개가	번개/NNG+가/JKS
번쩍였다.	번쩍이/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.8.2
굵은 빗방울이 떨어지기 시작했다.

굵은	굵/VA+은/ETM
빗방울이	빗방울/NNG+이/JKS
떨어지기	떨어지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.66.8.3
말레이시아 비행기 참사 희생자들을 추모하는 듯한 비였다.

말레이시아	말레이시아/NNP
비행기	비행기/NNG
참사	참사/NNG
희생자들을	희생자/NNG+들/XSN+을/JKO
추모하는	추모/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
비였다.	비/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000042.66.8.4
자정을 넘기도록 공연은 열리지 못했다.

자정을	자정/NNG+을/JKO
넘기도록	넘기/VV+도록/EC
공연은	공연/NNG+은/JX
열리지	열리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000042.66.8.5
관객들은 불평 한마디 없었다.

관객들은	관객/NNG+들/XSN+은/JX
불평	불평/NNG
한마디	한마디/NNG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000042.66.8.6
새벽 1시쯤 공연을 완전히 중단한다는 안내가 나왔다.

새벽	새벽/NNG
1시쯤	1/SN+시/NNB+쯤/XSN
공연을	공연/NNG+을/JKO
완전히	완전히/MAG
중단한다는	중단/NNG+하/XSV+ㄴ다는/ETM
안내가	안내/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.66.8.7
제의(祭儀)를 올리듯, 묵묵히 기다리던 관객들은 그제야 아레나를 나섰다.

제의(祭儀)를	제의/NNG+(/SS+祭儀/SH+)/SS+를/JKO
올리듯,	올리/VV+듯/EC+,/SP
묵묵히	묵묵히/MAG
기다리던	기다리/VV+던/ETM
관객들은	관객/NNG+들/XSN+은/JX
그제야	그제야/MAG
아레나를	아레나/NNG+를/JKO
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.9.1
이탈리아 베로나의 로마시대 원형 경기장(Arena)을 무대로 활용한 오페라 축제.

이탈리아	이탈리아/NNP
베로나의	베로나/NNP+의/JKG
로마시대	로마/NNP+시대/NNG
원형	원형/NNG
경기장(Arena)을	경기장/NNG+(/SS+Arena/SL+)/SS+을/JKO
무대로	무대/NNG+로/JKB
활용한	활용/NNG+하/XSV+ㄴ/ETM
오페라	오페라/NNG
축제.	축제/NNG+./SF


# id : NWRW1800000042.66.9.2
1913년 시작됐으며 올해는 6월 20일~9월 7일 열린다.

1913년	1913/SN+년/NNB
시작됐으며	시작/NNG+되/XSV+었/EP+으며/EC
올해는	올해/NNG+는/JX
6월	6/SN+월/NNB
20일~9월	20/SN+일/NNB+~/SO+9/SN+월/NNB
7일	7/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000042.66.9.3
‘나비 부인’ 등 오페라 6편을 포함, 54차례 공연을 올린다.

‘나비	‘/SS+나비/NNG
부인’	부인/NNG+’/SS
등	등/NNB
오페라	오페라/NNG
6편을	6/SN+편/NNB+을/JKO
포함,	포함/NNG+,/SP
54차례	54/SN+차례/NNG
공연을	공연/NNG+을/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


