# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.278
metadata : {}


# id : NWRW1800000046.278.1.1
[기자의 시각] 국회 수준 보여준 심학봉

[기자의	[/SS+기자/NNG+의/JKG
"강제로 벗기는 바람에 속옷이 찢어졌다" "성관계 직후 '즐기는 관계로 지내자'고 말했다" "다른 술자리에서도 몸을 더듬었다"는 등 믿기 어려운 내용들이었다.

"강제로	"/SS+강제/NNG+로/JKB
벗기는	벗기/VV+는/ETM
바람에	바람/NNB+에/JKB
속옷이	속옷/NNG+이/JKS
찢어졌다"	찢어지/VV+었/EP+다/EF+"/SS
"성관계	"/SS+성관계/NNG
직후	직후/NNG
'즐기는	'/SS+즐기/VV+는/ETM
관계로	관계/NNG+로/JKB
지내자'고	지내/VV+자/EF+'/SS+고/JKQ
말했다"	말/NNG+하/XSV+았/EP+다/EF+"/SS
"다른	"/SS+다른/MMD
술자리에서도	술자리/NNG+에서/JKB+도/JX
몸을	몸/NNG+을/JKO
더듬었다"는	더듬/VV+었/EP+다/EF+"/SS+는/ETM
등	등/NNB
믿기	믿/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
내용들이었다.	내용/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.278.2.6
피해 여성은 경찰 조사에서 진술을 번복했고, 경찰은 '혐의 없음' 결론을 내렸다.

피해	피해/NNG
여성은	여성/NNG+은/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
진술을	진술/NNG+을/JKO
번복했고,	번복/NNG+하/XSV+았/EP+고/EC+,/SP
경찰은	경찰/NNG+은/JX
'혐의	'/SS+혐의/NNG
없음'	없/VA+음/ETN+'/SS
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.3.1
지금까지 확인된 팩트는 '국회의원이 상임위 회의가 있는 날 대낮에 호텔에서 술 냄새를 풍기며 40대 여성과 성관계를 가졌고, 성관계 이후 돈을 건넸다'는 것이다.

지금까지	지금/NNG+까지/JX
확인된	확인/NNG+되/XSV+ㄴ/ETM
팩트는	팩트/NNG+는/JX
'국회의원이	'/SS+국회/NNG+의원/NNG+이/JKS
상임위	상임위/NNG
회의가	회의/NNG+가/JKS
있는	있/VA+는/ETM
날	날/NNG
대낮에	대낮/NNG+에/JKB
호텔에서	호텔/NNG+에서/JKB
술	술/NNG
냄새를	냄새/NNG+를/JKO
풍기며	풍기/VV+며/EC
40대	40/SN+대/NNB
여성과	여성/NNG+과/JKB
성관계를	성관계/NNG+를/JKO
가졌고,	가지/VV+었/EP+고/EC+,/SP
성관계	성관계/NNG
이후	이후/NNG
돈을	돈/NNG+을/JKO
건넸다'는	건네/VV+었/EP+다/EF+'/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.278.3.2
'피해 여성이 성폭행을 당했다고 신고하자 무릎 꿇고 빌며 측근을 통해 3000만원을 주겠다는 제안을 했다'는 것도 드러났다.

'피해	'/SS+피해/NNG
여성이	여성/NNG+이/JKS
성폭행을	성폭행/NNG+을/JKO
당했다고	당하/VV+았/EP+다고/EC
신고하자	신고/NNG+하/XSV+자/EC
무릎	무릎/NNG
꿇고	꿇/VV+고/EC
빌며	빌/VV+며/EC
측근을	측근/NNG+을/JKO
통해	통하/VV+아/EC
3000만원을	3000/SN+만/NR+원/NNB+을/JKO
주겠다는	주/VV+겠/EP+다는/ETM
제안을	제안/NNG+을/JKO
했다'는	하/VV+았/EP+다/EF+'/SS+는/ETM
것도	것/NNB+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.278.3.3
검찰은 현재 성폭행이 맞는지, 진술 번복 과정에서 회유와 협박이 있었는지 정밀하게 수사하고 있다.

검찰은	검찰/NNG+은/JX
현재	현재/MAG
성폭행이	성폭행/NNG+이/JKS
맞는지,	맞/VV+는지/EC+,/SP
진술	진술/NNG
번복	번복/NNG
과정에서	과정/NNG+에서/JKB
회유와	회유/NNG+와/JC
협박이	협박/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EC
정밀하게	정밀/NNG+하/XSA+게/EC
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.278.4.1
이런 상황을 스스로 '실수'라고 말하고 있는 심학봉(54·경북 구미갑) 의원에 대해 국회 윤리심사자문위원회는 의원직 제명이 합당하다고 28일 결론을 내렸다.

이런	이런/MMD
상황을	상황/NNG+을/JKO
스스로	스스로/MAG
'실수'라고	'/SS+실수/NNG+'/SS+라고/JKQ
말하고	말/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
심학봉(54·경북	심학봉/NNP+(/SS+54/SN+·/SP+경북/NNP
구미갑)	구미갑/NNP+)/SS
의원에	의원/NNG+에/JKB
대해	대하/VV+아/EC
국회	국회/NNG
윤리심사자문위원회는	윤리/NNG+심사/NNG+자문/NNG+위원회/NNG+는/JX
의원직	의원직/NNG
제명이	제명/NNG+이/JKS
합당하다고	합당하/VA+다고/EC
28일	28/SN+일/NNB
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.4.2
"국회의원의 품의를 떨어뜨려 국회의 명예를 심각하게 실추시켰다"는 데 만장일치로 동의했다.

"국회의원의	"/SS+국회/NNG+의원/NNG+의/JKG
품의를	품의/NNG+를/JKO
떨어뜨려	떨어뜨리/VV+어/EC
국회의	국회/NNG+의/JKG
명예를	명예/NNG+를/JKO
심각하게	심각하/VA+게/EC
실추시켰다"는	실추/NNG+시키/XSV+었/EP+다/EF+"/SS+는/ETM
데	데/NNB
만장일치로	만장일치/NNG+로/JKB
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.278.4.3
그러나 자문위 의견은 의견일 뿐, 국회는 윤리특별위원회와 본회의 표결 등 법적 절차를 남겨 두고 있다.

그러나	그러나/MAJ
자문위	자문위/NNG
의견은	의견/NNG+은/JX
의견일	의견/NNG+이/VCP+ㄹ/ETM
뿐,	뿐/NNB+,/SP
국회는	국회/NNG+는/JX
윤리특별위원회와	윤리/NNG+특별/NNG+위원회/NNG+와/JC
본회의	본회의/NNG
표결	표결/NNG
등	등/NNB
법적	법/NNG+적/XSN
절차를	절차/NNG+를/JKO
남겨	남기/VV+어/EC
두고	두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.278.4.4
결국 재적 의원 3분의 2가 찬성해야 심 의원의 제명 여부가 최종 확정된다.

결국	결국/MAG
재적	재적/NNG
의원	의원/NNG
3분의	3/SN+분/XSN+의/JKG
2가	2/SN+가/JKS
찬성해야	찬성/NNG+하/XSV+아야/EC
심	심/NNP
의원의	의원/NNG+의/JKG
제명	제명/NNG
여부가	여부/NNG+가/JKS
최종	최종/NNG
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.278.5.1
과연 우리 국회는 심학봉 의원을 제명시킬 수 있을까.

과연	과연/MAG
우리	우리/NP
국회는	국회/NNG+는/JX
심학봉	심학봉/NNP
의원을	의원/NNG+을/JKO
제명시킬	제명/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000046.278.5.2
지금껏 국회가 징계를 통해 제명한 국회의원은 1979년 10월 김영삼 전 대통령뿐이었다.

지금껏	지금껏/MAG
국회가	국회/NNG+가/JKS
징계를	징계/NNG+를/JKO
통해	통하/VV+아/EC
제명한	제명/NNG+하/XSV+ㄴ/ETM
국회의원은	국회/NNG+의원/NNG+은/JX
1979년	1979/SN+년/NNB
10월	10/SN+월/NNB
김영삼	김영삼/NNP
전	전/MMD
대통령뿐이었다.	대통령/NNG+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.278.5.3
신민당 총재 시절 외신 인터뷰에서 당시 정권을 비판했다는 이유로 여당 의원들 단독으로 통과시킨 징계였다.

신민당	신민당/NNP
총재	총재/NNG
시절	시절/NNG
외신	외신/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
당시	당시/NNG
정권을	정권/NNG+을/JKO
비판했다는	비판/NNG+하/XSV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
여당	여당/NNG
의원들	의원/NNG+들/XSN
단독으로	단독/NNG+으로/JKB
통과시킨	통과/NNG+시키/XSV+ㄴ/ETM
징계였다.	징계/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.278.5.4
이후 국회 차원의 자체 징계는 사실상 이름뿐이다.

이후	이후/NNG
국회	국회/NNG
차원의	차원/NNG+의/JKG
자체	자체/NNG
징계는	징계/NNG+는/JX
사실상	사실/NNG+상/XSN
이름뿐이다.	이름/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000046.278.5.5
지난 18대 국회에선 모두 54건의 징계안이 접수됐지만, 단 1건만 가결됐다.

지난	지나/VV+ㄴ/ETM
18대	18/SN+대/NNB
국회에선	국회/NNG+에서/JKB+ㄴ/JX
모두	모두/MAG
54건의	54/SN+건/NNB+의/JKG
징계안이	징계안/NNG+이/JKS
접수됐지만,	접수/NNG+되/XSV+었/EP+지만/EC+,/SP
단	단/MMA
1건만	1/SN+건/NNB+만/JX
가결됐다.	가결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.5.6
2011년 4월 아나운서 성희롱 파문을 일으킨 강용석 전 의원 징계안이었는데, 당시 자문위 의견을 존중해 제명안을 상정했으나 본회의에서 부결됐고, 다시 '출석 정지'로 조정돼 가결됐다.

2011년	2011/SN+년/NNB
4월	4/SN+월/NNB
아나운서	아나운서/NNG
성희롱	성희롱/NNG
파문을	파문/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
강용석	강용석/NNP
전	전/MMD
의원	의원/NNG
징계안이었는데,	징계안/NNG+이/VCP+었/EP+는데/EC+,/SP
당시	당시/NNG
자문위	자문위/NNG
의견을	의견/NNG+을/JKO
존중해	존중/NNG+하/XSV+아/EC
제명안을	제명안/NNG+을/JKO
상정했으나	상정/NNG+하/XSV+았/EP+으나/EC
본회의에서	본회의/NNG+에서/JKB
부결됐고,	부결/NNG+되/XSV+었/EP+고/EC+,/SP
다시	다시/MAG
'출석	'/SS+출석/NNG
정지'로	정지/NNG+'/SS+로/JKB
조정돼	조정/NNG+되/XSV+어/EC
가결됐다.	가결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.5.7
나머지는 임기 만료로 대부분 폐기되거나 자진 철회로 사라졌다.

나머지는	나머지/NNG+는/JX
임기	임기/NNG
만료로	만료/NNG+로/JKB
대부분	대/XPN+부분/NNG
폐기되거나	폐기/NNG+되/XSV+거나/EC
자진	자진/NNG
철회로	철회/NNG+로/JKB
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.6.1
현 19대 들어서도 38건이 신청돼 자연 소멸(자진 철회 등)을 제외한 25건이 계류 중이지만 의결된 징계는 한 건도 없다.

현	현/MMD
19대	19/SN+대/NNB
들어서도	들/VV+어서/EC+도/JX
38건이	38/SN+건/NNB+이/JKS
신청돼	신청/NNG+되/XSV+어/EC
자연	자연/NNG
소멸(자진	소멸/NNG+(/SS+자진/NNG
철회	철회/NNG
등)을	등/NNB+)/SS+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
25건이	25/SN+건/NNB+이/JKS
계류	계류/NNG
중이지만	중/NNB+이/VCP+지만/EC
의결된	의결/NNG+되/XSV+ㄴ/ETM
징계는	징계/NNG+는/JX
한	한/MMN
건도	건/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.278.6.2
한명숙 전 총리를 포함해 지금까지 18명이 불미스러운 일로 의원직을 잃고, 재판이나 검찰 수사가 진행 중인 의원이 18명이나 되지만 국회 자정(自淨) 기능은 작동하지 않고 있다.

한명숙	한명숙/NNP
전	전/MMD
총리를	총리/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
지금까지	지금/NNG+까지/JX
18명이	18/SN+명/NNB+이/JKS
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
일로	일/NNG+로/JKB
의원직을	의원직/NNG+을/JKO
잃고,	잃/VV+고/EC+,/SP
재판이나	재판/NNG+이나/JC
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
의원이	의원/NNG+이/JKS
18명이나	18/SN+명/NNB+이나/JX
되지만	되/VV+지만/EC
국회	국회/NNG
자정(自淨)	자정/NNG+(/SS+自淨/SH+)/SS
기능은	기능/NNG+은/JX
작동하지	작동/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.278.7.1
이런 흐름이라면 심학봉 의원 역시 국회 스스로 단죄할 가능성은 낮아 보인다.

이런	이런/MMD
흐름이라면	흐름/NNG+이/VCP+라면/EC
심학봉	심학봉/NNP
의원	의원/NNG
역시	역시/MAG
국회	국회/NNG
스스로	스스로/MAG
단죄할	단죄/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
낮아	낮/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.278.7.2
국회에선 벌써부터 "의원들 각자가 알아서 할 일이다"는 소리가 들린다.

국회에선	국회/NNG+에서/JKB+ㄴ/JX
벌써부터	벌써/MAG+부터/JX
"의원들	"/SS+의원/NNG+들/XSN
각자가	각자/NNG+가/JKS
알아서	알/VV+아서/EC
할	하/VV+ㄹ/ETM
일이다"는	일/NNG+이/VCP+다/EF+"/SS+는/ETM
소리가	소리/NNG+가/JKS
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.278.7.3
한 재선 의원은 기자에게 "잠자리 한 번 했다고 배지까지 뺏는 것은 너무하지 않느냐"는 웃지 못할 농담도 던졌다.

한	한/MMN
재선	재선/NNG
의원은	의원/NNG+은/JX
기자에게	기자/NNG+에게/JKB
"잠자리	"/SS+잠자리/NNG
번	번/NNB
했다고	하/VV+았/EP+다고/EC
배지까지	배지/NNG+까지/JX
뺏는	뺏/VV+는/ETM
것은	것/NNB+은/JX
너무하지	너무/MAG+하/XSA+지/EC
않느냐"는	않/VX+느냐/EF+"/SS+는/ETM
웃지	웃/VV+지/EC
못할	못하/VX+ㄹ/ETM
농담도	농담/NNG+도/JX
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.278.7.4
이런 정신 나간 의원들에게는 "내년 4월 총선에서 표로 심판하자"는 국민 목소리가 안 들리는 모양이다.

이런	이런/MMD
정신	정신/NNG
나간	나가/VV+ㄴ/ETM
의원들에게는	의원/NNG+들/XSN+에게/JKB+는/JX
"내년	"/SS+내년/NNG
4월	4/SN+월/NNB
총선에서	총선/NNG+에서/JKB
표로	표/NNG+로/JKB
심판하자"는	심판/NNG+하/XSV+자/EF+"/SS+는/ETM
국민	국민/NNG
목소리가	목소리/NNG+가/JKS
안	안/MAG
들리는	들리/VV+는/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


