# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.380
metadata : {}


# id : NWRW1800000028.380.1.1
현직검사가 “금융감독기관에 수사권 줘야”

현직검사가	현직/NNG+검사/NNG+가/JKS
이에 금감원이 지난 5월 양 변호사에게 ‘감봉 3개월’의 징계를 하라고 삼성생명 쪽에 요구하자, 양 변호사는 징계 처분 취소 청구 소송을 법원에 냈다.

이에	이/NP+에/JKB
금감원이	금감원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
양	양/NNP
변호사에게	변호사/NNG+에게/JKB
‘감봉	‘/SS+감봉/NNG
3개월’의	3/SN+개월/NNB+’/SS+의/JKG
징계를	징계/NNG+를/JKO
하라고	하/VV+라고/EC
삼성생명	삼성생명/NNP
쪽에	쪽/NNB+에/JKB
요구하자,	요구/NNG+하/XSV+자/EC+,/SP
변호사는	변호사/NNG+는/JX
징계	징계/NNG
처분	처분/NNG
취소	취소/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
법원에	법원/NNG+에/JKB
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.380.5.1
그러나 서울행정법원 행정12부(재판장 장상균)는 “금감원 검사원이 자료 열람을 요구한 것은 직원들의 동의를 전제로 해 영장주의에 반하는 불법으로 볼 수 없고, 자료제출 요구가 정당한 이상 삼성 쪽은 이에 응할 법률상 의무가 있다”며 원고 패소 판결했다고 27일 밝혔다.

그러나	그러나/MAJ
서울행정법원	서울행정법원/NNP
행정12부(재판장	행정/NNG+12/SN+부/NNG+(/SS+재판장/NNG
장상균)는	장상균/NNP+)/SS+는/JX
“금감원	“/SS+금감원/NNG
검사원이	검사원/NNG+이/JKS
자료	자료/NNG
열람을	열람/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
직원들의	직원/NNG+들/XSN+의/JKG
동의를	동의/NNG+를/JKO
전제로	전제/NNG+로/JKB
해	하/VV+아/EC
영장주의에	영장주의/NNG+에/JKB
반하는	반하/VV+는/ETM
불법으로	불법/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
자료제출	자료/NNG+제출/NNG
요구가	요구/NNG+가/JKS
정당한	정당하/VA+ㄴ/ETM
이상	이상/NNG
삼성	삼성/NNP
쪽은	쪽/NNB+은/JX
이에	이/NP+에/JKB
응할	응하/VV+ㄹ/ETM
법률상	법률/NNG+상/XSN
의무가	의무/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
원고	원고/NNG
패소	패소/NNG
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


