# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.291
metadata : {}


# id : NWRW1800000045.291.1.1
[송평인의 시사讀說]북한은 이란이 아니다

[송평인의	[/SS+송평인/NNP+의/JKG
아직	아직/MAG
우라늄	우라늄/NNG
농축	농축/NNG
단계에	단계/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.291.3.4
가진 핵을 포기하게 하는 것보다는 개발 중인 핵을 포기하게 하는 것이 상대적으로 쉽다.

가진	가지/VV+ㄴ/ETM
핵을	핵/NNG+을/JKO
포기하게	포기/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
것보다는	것/NNB+보다/JKB+는/JX
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000045.291.4.1
강온파가 공존하는 이란

강온파가	강온파/NNG+가/JKS
공존하는	공존/NNG+하/XSV+는/ETM
이란	이란/NNP


# id : NWRW1800000045.291.5.1
그러나 간과하기 쉬운 더 근본적인 차이점이 있다.

그러나	그러나/MAJ
간과하기	간과/NNG+하/XSV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
더	더/MAG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
차이점이	차이점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.291.5.2
북한에는 이란처럼 핵협상을 내부로부터 압박할 만한 정치 세력이 존재하지 않는다.

북한에는	북한/NNP+에/JKB+는/JX
이란처럼	이란/NNP+처럼/JKB
핵협상을	핵/NNG+협상/NNG+을/JKO
내부로부터	내부/NNG+로부터/JKB
압박할	압박/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
정치	정치/NNG
세력이	세력/NNG+이/JKS
존재하지	존재/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000045.291.5.3
이란은 이슬람 신정 국가라고 하지만 그 내부에 자유와 실용을 중시하는 세력이 남아있다.

이란은	이란/NNP+은/JX
이슬람	이슬람/NNG
신정	신정/NNG
국가라고	국가/NNG+이/VCP+라고/EC
하지만	하지만/MAJ
그	그/MMD
내부에	내부/NNG+에/JKB
자유와	자유/NNG+와/JC
실용을	실용/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
세력이	세력/NNG+이/JKS
남아있다.	남/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000045.291.5.4
그 씨앗은 가까이는 1979년 이란 혁명에 의해 쫓겨난 친서구적인 왕조에서 뿌리를 내린 것이고 멀리는 교양과 관용을 존중하는 페르시아 문명의 전통과도 연결된다.

그	그/MMD
씨앗은	씨앗/NNG+은/JX
가까이는	가까이/NNG+는/JX
1979년	1979/SN+년/NNB
이란	이란/NNP
혁명에	혁명/NNG+에/JKB
의해	의하/VV+아/EC
쫓겨난	쫓겨나/VV+ㄴ/ETM
친서구적인	친/XPN+서구/NNG+적/XSN+이/VCP+ㄴ/ETM
왕조에서	왕조/NNG+에서/JKB
뿌리를	뿌리/NNG+를/JKO
내린	내리/VV+ㄴ/ETM
것이고	것/NNB+이/VCP+고/EC
멀리는	멀리/MAG+는/JX
교양과	교양/NNG+과/JC
관용을	관용/NNG+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
페르시아	페르시아/NNP
문명의	문명/NNG+의/JKG
전통과도	전통/NNG+과/JKB+도/JX
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.291.6.1
이란 정치권에는 강경파 마무드 아마디네자드 전 대통령이 있는가 하면 이번 협상을 성사시킨 온건파 하산 로하니 대통령도 있다.

이란	이란/NNP
정치권에는	정치/NNG+권/XSN+에/JKB+는/JX
강경파	강경파/NNG
마무드	마무드/NNP
아마디네자드	아마디네자드/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
있는가	있/VA+는가/EF
하면	하/VV+면/EC
이번	이번/NNG
협상을	협상/NNG+을/JKO
성사시킨	성사/NNG+시키/XSV+ㄴ/ETM
온건파	온건파/NNG
하산	하산/NNP
로하니	로하니/NNP
대통령도	대통령/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.291.6.2
호메이니를 잇는 시아파 원리주의자의 지배하에서도 온건파 세력은 말살되지 않았다.

호메이니를	호메이니/NNP+를/JKO
잇는	잇/VV+는/ETM
시아파	시아파/NNG
원리주의자의	원리주의자/NNG+의/JKG
지배하에서도	지배/NNG+하/XSN+에서/JKB+도/JX
온건파	온건파/NNG
세력은	세력/NNG+은/JX
말살되지	말살/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.291.6.3
이란의 시아파는 원리주의라 하더라도 아랍 세계에서 기원한 수니파 원리주의 집단인 탈레반 알카에다 이슬람국가(IS) 등처럼 극악하지 않다.

이란의	이란/NNP+의/JKG
시아파는	시아파/NNG+는/JX
원리주의라	원리주의/NNG+이/VCP+라/EC
하더라도	하/VV+더라도/EC
아랍	아랍/NNP
세계에서	세계/NNG+에서/JKB
기원한	기원/NNG+하/XSV+ㄴ/ETM
수니파	수니파/NNG
원리주의	원리주의/NNG
집단인	집단/NNG+이/VCP+ㄴ/ETM
탈레반	탈레반/NNP
알카에다	알카에다/NNP
이슬람국가(IS)	이슬람국가/NNP+(/SS+IS/SL+)/SS
등처럼	등/NNB+처럼/JKB
극악하지	극악/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.291.6.4
온건파 세력의 힘이 만만치 않았다고도 볼 수 있다.

온건파	온건파/NNG
세력의	세력/NNG+의/JKG
힘이	힘/NNG+이/JKS
만만치	만만하/VA+지/EC
않았다고도	않/VX+았/EP+다고/EC+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.291.7.1
미국이 2004년 유럽연합(EU)의 반대에도 불구하고 이란에 대한 경제제재에 착수한 이후 이란인들은 큰 고통을 느꼈다.

미국이	미국/NNP+이/JKS
2004년	2004/SN+년/NNB
유럽연합(EU)의	유럽연합/NNP+(/SS+EU/SL+)/SS+의/JKG
반대에도	반대/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
경제제재에	경제/NNG+제재/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
이란인들은	이란인/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
고통을	고통/NNG+을/JKO
느꼈다.	느끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.291.7.2
온건파는 실용적인 사람들이다.

온건파는	온건파/NNG+는/JX
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
사람들이다.	사람/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000045.291.7.3
그들은 이데올로기적인 강경파와 달리 점점 더 심해진 경제적 고통을 참지 못했다.

그들은	그/NP+들/XSN+은/JX
이데올로기적인	이데올로기/NNG+적/XSN+이/VCP+ㄴ/ETM
강경파와	강경파/NNG+와/JKB
달리	달리/MAG
점점	점점/MAG
더	더/MAG
심해진	심하/VA+아/EC+지/VX+ㄴ/ETM
경제적	경제/NNG+적/XSN
고통을	고통/NNG+을/JKO
참지	참/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.291.7.4
“이란 내부의 온건파를 활용해 이란의 안보 이익을 존중하면서 이란을 설득해야 한다”는 협상론은 거기서 근거를 찾았고 그 주장이 옳았음이 이번에 입증됐다.

“이란	“/SS+이란/NNP
내부의	내부/NNG+의/JKG
온건파를	온건파/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
이란의	이란/NNP+의/JKG
안보	안보/NNG
이익을	이익/NNG+을/JKO
존중하면서	존중/NNG+하/XSV+면서/EC
이란을	이란/NNP+을/JKO
설득해야	설득/NNG+하/XSV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
협상론은	협상/NNG+론/XSN+은/JX
거기서	거기/NP+서/JKB
근거를	근거/NNG+를/JKO
찾았고	찾/VV+았/EP+고/EC
그	그/MMD
주장이	주장/NNG+이/JKS
옳았음이	옳/VA+았/EP+음/ETN+이/JKS
이번에	이번/NNG+에/JKB
입증됐다.	입증/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.291.8.1
한반도의 북쪽에는 역사적으로 한 번도 자유주의 세력이 존재하지 않았다.

한반도의	한반도/NNP+의/JKG
북쪽에는	북쪽/NNG+에/JKB+는/JX
역사적으로	역사/NNG+적/XSN+으로/JKB
한	한/MMN
번도	번/NNB+도/JX
자유주의	자유주의/NNG
세력이	세력/NNG+이/JKS
존재하지	존재/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.291.8.2
조선 왕조에서 바로 일본 식민 지배로 넘어갔고 다시 일본으로부터 해방되자마자 소련 공산당의 영향권에 들어갔다.

조선	조선/NNP
왕조에서	왕조/NNG+에서/JKB
바로	바로/MAG
일본	일본/NNP
식민	식민/NNG
지배로	지배/NNG+로/JKB
넘어갔고	넘어가/VV+았/EP+고/EC
다시	다시/MAG
일본으로부터	일본/NNP+으로부터/JKB
해방되자마자	해방/NNG+되/XSV+자마자/EC
소련	소련/NNP
공산당의	공산당/NNP+의/JKG
영향권에	영향/NNG+권/XSN+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.291.8.3
구한말과 일제 식민지 치하에서 어렵게 싹을 틔운 일부 자유주의 세력은 대거 월남해버렸다.

구한말과	구/XPN+한말/NNG+과/JKB
일제	일제/NNG
식민지	식민지/NNG
치하에서	치하/NNG+에서/JKB
어렵게	어렵/VA+게/EC
싹을	싹/NNG+을/JKO
틔운	틔우/VV+ㄴ/ETM
일부	일부/NNG
자유주의	자유주의/NNG
세력은	세력/NNG+은/JX
대거	대거/MAG
월남해버렸다.	월남/NNG+하/XSV+아/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.291.8.4
이란과 비교해보면 북한을 한편으로 경제제재로 압박을 가하면서 다른 한편으로는 협상의 테이블로 끌어들여 핵 문제를 푸는 것이 왜 어려운지 이해할 수 있다.

이란과	이란/NNP+과/JKB
비교해보면	비교/NNG+하/XSV+아/EC+보/VX+면/EC
북한을	북한/NNP+을/JKO
한편으로	한편/NNG+으로/JKB
경제제재로	경제/NNG+제재/NNG+로/JKB
압박을	압박/NNG+을/JKO
가하면서	가하/VV+면서/EC
다른	다른/MMD
한편으로는	한편/NNG+으로/JKB+는/JX
협상의	협상/NNG+의/JKG
테이블로	테이블/NNG+로/JKB
끌어들여	끌어들이/VV+어/EC
핵	핵/NNG
문제를	문제/NNG+를/JKO
푸는	풀/VV+는/ETM
것이	것/NNB+이/JKS
왜	왜/MAG
어려운지	어렵/VA+ㄴ지/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.291.9.1
1989년 독일 베를린 장벽을 무너뜨린 동독 시위는 라이프치히에서 시작됐다.

1989년	1989/SN+년/NNB
독일	독일/NNP
베를린	베를린/NNP
장벽을	장벽/NNG+을/JKO
무너뜨린	무너뜨리/VV+ㄴ/ETM
동독	동독/NNP
시위는	시위/NNG+는/JX
라이프치히에서	라이프치히/NNP+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.291.9.2
라이프치히의 월요 시위는 이른바 ‘교양시민층’이라고 불리는 작가 교사 등 지식인들이 주도했다.

라이프치히의	라이프치히/NNP+의/JKG
월요	월요/NNG
시위는	시위/NNG+는/JX
이른바	이른바/MAG
‘교양시민층’이라고	‘/SS+교양/NNG+시민/NNG+층/XSN+’/SS+이라고/JKQ
불리는	불리/VV+는/ETM
작가	작가/NNG
교사	교사/NNG
등	등/NNB
지식인들이	지식인/NNG+들/XSN+이/JKS
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.291.9.3
라이프치히대학을 나온 앙겔라 메르켈 독일 총리도 그런 부류였다.

라이프치히대학을	라이프치히대학/NNP+을/JKO
나온	나오/VV+ㄴ/ETM
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리도	총리/NNG+도/JX
그런	그런/MMD
부류였다.	부류/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.291.9.4
동독 공산당도 비밀경찰 슈타지도 그들의 삶에서 바이마르공화국에서 연유한 인간 기본권 존중의 기풍을 지울 수 없었다.

동독	동독/NNP
공산당도	공산당/NNP+도/JX
비밀경찰	비밀경찰/NNG
슈타지도	슈타지/NNP+도/JX
그들의	그/NP+들/XSN+의/JKG
삶에서	삶/NNG+에서/JKB
바이마르공화국에서	바이마르공화국/NNP+에서/JKB
연유한	연유/NNG+하/XSV+ㄴ/ETM
인간	인간/NNG
기본권	기본/NNG+권/XSN
존중의	존중/NNG+의/JKG
기풍을	기풍/NNG+을/JKO
지울	지우/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.291.10.1
자유의 기억이 없는 북한

자유의	자유/NNG+의/JKG
기억이	기억/NNG+이/JKS
없는	없/VA+는/ETM
북한	북한/NNP


# id : NWRW1800000045.291.11.1
북한은 이란처럼 호메이니 혁명 전의 친서구적인 시기가 있었던 것도 아니고 동독처럼 바이마르공화국 시기가 있었던 것도 아니다.

북한은	북한/NNP+은/JX
이란처럼	이란/NNP+처럼/JKB
호메이니	호메이니/NNP
혁명	혁명/NNG
전의	전/NNG+의/JKG
친서구적인	친/XPN+서구/NNG+적/XSN+이/VCP+ㄴ/ETM
시기가	시기/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
것도	것/NNB+도/JX
아니고	아니/VCN+고/EC
동독처럼	동독/NNP+처럼/JKB
바이마르공화국	바이마르공화국/NNP
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.291.11.2
한반도의 북쪽은 조선의 왕, 총독이 대리한 일본 덴노(天皇), 그리고 김씨 1, 2, 3세를 섬긴 기억밖에 없다.

한반도의	한반도/NNP+의/JKG
북쪽은	북쪽/NNG+은/JX
조선의	조선/NNP+의/JKG
왕,	왕/NNG+,/SP
총독이	총독/NNG+이/JKS
대리한	대리/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
덴노(天皇),	덴노/NNG+(/SS+天皇/SH+)/SS+,/SP
그리고	그리고/MAJ
김씨	김/NNP+씨/NNB
1,	1/SN+,/SP
2,	2/SN+,/SP
3세를	3/SN+세/NNB+를/JKO
섬긴	섬기/VV+ㄴ/ETM
기억밖에	기억/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.291.11.3
북한은 헤겔식으로 말하면 계속 한 사람의 자유만 존재한 곳이다.

북한은	북한/NNP+은/JX
헤겔식으로	헤겔식/NNG+으로/JKB
말하면	말/NNG+하/XSV+면/EC
계속	계속/MAG
한	한/MMN
사람의	사람/NNG+의/JKG
자유만	자유/NNG+만/JX
존재한	존재/NNG+하/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.291.11.4
북한은 이란도 독일도 아니다.

북한은	북한/NNP+은/JX
이란도	이란/NNP+도/JX
독일도	독일/NNP+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.291.11.5
북한과의 핵협상도 북한과의 통일과정도 매우 다른 경로를 상상하지 않으면 안 된다.

북한과의	북한/NNP+과/JKB+의/JKG
핵협상도	핵/NNG+협상/NNG+도/JX
통일과정도	통일/NNG+과정/NNG+도/JX
매우	매우/MAG
다른	다르/VA+ㄴ/ETM
경로를	경로/NNG+를/JKO
상상하지	상상/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


